"","yearly_rank","region","state","loc_id","city","airport_name","airport_classification","hub_type","year","passengers"
"2431",987,"WP","CA","CVH","Hollister","Hollister Municipal","General Aviation",NA,2012,0
"2432",996,"WP","CA","HWD","Hayward","Hayward Executive","General Aviation",NA,2012,49
"2433",1005,"WP","CA","OXR","Oxnard","Oxnard","General Aviation",NA,2012,19
"2434",1036,"WP","CA","VBG","Lompoc","Vandenberg AFB","General Aviation",NA,2012,49
"2435",1067,"WP","CA","SAC","Sacramento","Sacramento Executive","General Aviation",NA,2012,35
"2436",1136,"WP","CA","RNM","Ramona","Ramona","General Aviation",NA,2012,0
"2437",1190,"WP","CA","DWA","Davis","Yolo County","General Aviation",NA,2012,2
"2438",1200,"WP","CA","RAL","Riverside","Riverside Municipal","General Aviation",NA,2012,4
"2439",1201,"WP","CA","SNS","Salinas","Salinas Municipal","General Aviation",NA,2012,1800
"2440",1242,"WP","CA","GOO","Grass Valley","Nevada County Air Park","General Aviation",NA,2012,0
"2441",1244,"WP","CA","HHR","Hawthorne","Jack Northrop Field/Hawthorne Municipal","General Aviation",NA,2012,5
"2442",1298,"WP","CA","BIH","Bishop","Eastern Sierra Regional","General Aviation",NA,2012,0
"2443",1353,"WP","CA","WVI","Watsonville","Watsonville Municipal","General Aviation",NA,2012,0
"2444",1401,"WP","CA","L70","Agua Dulce","Agua Dulce","General Aviation",NA,2012,0
"2445",1440,"WP","CA","MAE","Madera","Madera Municipal","General Aviation",NA,2012,8
"2446",1514,"WP","CA","CNO","Chino","Chino","General Aviation",NA,2012,6
"2447",1519,"WP","CA","HJO","Hanford","Hanford Municipal","General Aviation",NA,2012,0
"2448",1528,"WP","CA","POC","La Verne","Brackett Field","General Aviation",NA,2012,0
"2449",1539,"WP","CA","C80","Coalinga","New Coalinga Municipal","General Aviation",NA,2012,3
"2450",1555,"WP","CA","MHV","Mojave","Mojave","General Aviation",NA,2012,10
"2451",1558,"WP","CA","O41","Woodland","Watts-Woodland","General Aviation",NA,2012,0
"2452",1592,"WP","CA","RBL","Red Bluff","Red Bluff Municipal","General Aviation",NA,2012,0
"2453",1613,"WP","CA","BLH","Blythe","Blythe","General Aviation",NA,2012,0
"2454",1617,"WP","CA","DAG","Daggett","Barstow-Daggett","General Aviation",NA,2012,5
"2455",1628,"WP","CA","MER","Atwater","Castle","General Aviation",NA,2012,4790
"2456",1632,"WP","CA","O02","Beckwourth","Nervino","General Aviation",NA,2012,4
"2457",1669,"WP","CA","MIT","Shafter","Shafter-Minter Field","General Aviation",NA,2012,0
"2458",1672,"WP","CA","MYV","Marysville","Yuba County","General Aviation",NA,2012,0
"2459",1678,"WP","CA","SEE","San Diego","Gillespie Field","General Aviation",NA,2012,33
"2460",1684,"WP","CA","WJF","Lancaster","General Wm J Fox Airfield","General Aviation",NA,2012,0
"2461",1713,"WP","CA","HGT","Fort Hunter / Ligget / Jolon","Tusi AHP (Hunter Liggett)","General Aviation",NA,2012,0
"2462",1727,"WP","CA","O26","Lone Pine","Lone Pine","General Aviation",NA,2012,0
"2463",1732,"WP","CA","PAO","Palo Alto","Palo Alto Airport of Santa Clara County","General Aviation",NA,2012,0
"2464",1746,"WP","CA","UKI","Ukiah","Ukiah Municipal","General Aviation",NA,2012,0
"2465",1778,"WP","CA","FOT","Fortuna","Rohnerville","General Aviation",NA,2012,0
"2466",1796,"WP","CA","O22","Columbia","Columbia","General Aviation",NA,2012,0
"2467",1797,"WP","CA","O46","Weed","Weed","General Aviation",NA,2012,2
"2468",1852,"WP","CA","CXL","Calexico","Calexico International","General Aviation",NA,2012,0
"2469",1855,"WP","CA","E36","Georgetown","Georgetown","General Aviation",NA,2012,0
"2470",1894,"WP","CA","MPI","Mariposa","Mariposa-Yosemite","General Aviation",NA,2012,0
"2471",1898,"WP","CA","O05","Chester","Rogers Field","General Aviation",NA,2012,0
"2472",1900,"WP","CA","OVE","Oroville","Oroville Municipal","General Aviation",NA,2012,2
"2473",1913,"WP","CA","SIY","Montague","Siskiyou County","General Aviation",NA,2012,7
"2474",1936,"WP","CA","APV","Apple Valley","Apple Valley","General Aviation",NA,2012,1
"2475",1946,"WP","CA","DVO","Novato","Gnoss Field","General Aviation",NA,2012,0
"2476",1969,"WP","CA","PTV","Porterville","Porterville Municipal","General Aviation",NA,2012,0
"2477",1976,"WP","CA","TNP","Twentynine Palms","Twentynine Palms","General Aviation",NA,2012,0
"2478",1980,"WP","CA","VCB","Vacaville","Nut Tree","General Aviation",NA,2012,0
"2479",5,"NM","CO","DEN","Denver","Denver International","Primary","Large",2012,25799841
"2480",104,"NM","CO","COS","Colorado Springs","City of Colorado Springs Municipal","Primary","Small",2012,836998
"2481",176,"NM","CO","GJT","Grand Junction","Grand Junction Regional","Primary","Nonhub",2012,217369
"2482",177,"NM","CO","ASE","Aspen","Aspen-Pitkin County/Sardy Field","Primary","Nonhub",2012,214892
"2483",185,"NM","CO","DRO","Durango","Durango-La Plata County","Primary","Nonhub",2012,186567
"2484",193,"NM","CO","EGE","Eagle","Eagle County Regional","Primary","Nonhub",2012,167914
"2485",234,"NM","CO","HDN","Hayden","Yampa Valley","Primary","Nonhub",2012,99969
"2486",241,"NM","CO","MTJ","Montrose","Montrose Regional","Primary","Nonhub",2012,75296
"2487",309,"NM","CO","GUC","Gunnison","Gunnison-Crested Butte Regional","Primary","Nonhub",2012,31181
"2488",426,"NM","CO","CEZ","Cortez","Cortez Municipal","Commercial Service",NA,2012,7548
"2489",438,"NM","CO","ALS","Alamosa","San Luis Valley Regional/Bergman Field","Commercial Service",NA,2012,6959
"2490",440,"NM","CO","PUB","Pueblo","Pueblo Memorial","Commercial Service",NA,2012,9812
"2491",442,"NM","CO","TEX","Telluride","Telluride Regional","Commercial Service",NA,2012,7828
"2492",546,"NM","CO","FNL","Loveland","Fort Collins-Loveland Municipal","Commercial Service",NA,2012,34817
"2493",623,"NM","CO","APA","Englewood","Centennial","General Aviation",NA,2012,563
"2494",712,"NM","CO","BJC","Broomfield","Rocky Mountain Metropolitan","General Aviation",NA,2012,330
"2495",767,"NM","CO","RIL","Rifle","Garfield County Regional","General Aviation",NA,2012,65
"2496",879,"NM","CO","AJZ","Delta","Blake Field","General Aviation",NA,2012,0
"2497",965,"NM","CO","BKF","Aurora","Buckley AFB","General Aviation",NA,2012,235
"2498",1076,"NM","CO","PSO","Pagosa Springs","Stevens Field","General Aviation",NA,2012,20
"2499",1172,"NM","CO","20V","Kremmling","Mc Elroy Airfield","General Aviation",NA,2012,0
"2500",1225,"NM","CO","AEJ","Buena Vista","Central Colorado Regional","General Aviation",NA,2012,0
"2501",1263,"NM","CO","1V6","Canon City","Fremont County","General Aviation",NA,2012,4
"2502",1328,"NM","CO","LXV","Leadville","Lake County","General Aviation",NA,2012,0
"2503",1387,"NM","CO","BDU","Boulder","Boulder Municipal","General Aviation",NA,2012,0
"2504",1414,"NM","CO","CAG","Craig","Craig-Moffat","General Aviation",NA,2012,0
"2505",1433,"NM","CO","ANK","Salida","Harriet Alexander Field","General Aviation",NA,2012,0
"2506",1463,"NM","CO","HEQ","Holyoke","Holyoke","General Aviation",NA,2012,0
"2507",1521,"NM","CO","LMO","Longmont","Vance Brand","General Aviation",NA,2012,3
"2508",1564,"NM","CO","TAD","Trinidad","Perry Stokes","General Aviation",NA,2012,0
"2509",1622,"NM","CO","GXY","Greeley","Greeley-Weld County","General Aviation",NA,2012,0
"2510",1650,"NM","CO","AKO","Akron","Colorado Plains Regional","General Aviation",NA,2012,0
"2511",1657,"NM","CO","EEO","Meeker","Meeker Coulter Field","General Aviation",NA,2012,0
"2512",1711,"NM","CO","FTG","Watkins","Front Range","General Aviation",NA,2012,0
"2513",1962,"NM","CO","LHX","La Junta","La Junta Municipal","General Aviation",NA,2012,0
"2514",54,"NE","CT","BDL","Windsor Locks","Bradley International","Primary","Medium",2012,2647610
"2515",296,"NE","CT","HVN","New Haven","Tweed-New Haven","Primary","Nonhub",2012,36975
"2516",732,"NE","CT","BDR","Bridgeport","Igor I Sikorsky Memorial","General Aviation",NA,2012,235
"2517",792,"NE","CT","OXC","Oxford","Waterbury-Oxford","General Aviation",NA,2012,74
"2518",830,"NE","CT","GON","Groton","Groton-New London","General Aviation",NA,2012,118
"2519",875,"NE","CT","HFD","Hartford","Hartford-Brainard","General Aviation",NA,2012,21
"2520",1117,"NE","CT","4B9","Simsbury","Simsbury","General Aviation",NA,2012,0
"2521",1133,"NE","CT","DXR","Danbury","Danbury Municipal","General Aviation",NA,2012,13
"2522",1605,"NE","CT","4B8","Plainville","Robertson Field","General Aviation",NA,2012,2
"2523",1877,"NE","CT","IJD","Willimantic","Windham","General Aviation",NA,2012,0
"2524",272,"EA","DE","ILG","Wilmington","New Castle","Primary","Nonhub",2012,1064
"2525",634,"EA","DE","DOV","Dover","Dover AFB","General Aviation",NA,2012,717
"2526",899,"EA","DE","GED","Georgetown","Sussex County","General Aviation",NA,2012,7
"2527",1660,"EA","DE","EVY","Middletown","Summit","General Aviation",NA,2012,0
"2528",11,"SO","FL","MIA","Miami","Miami International","Primary","Large",2012,18987488
"2529",14,"SO","FL","MCO","Orlando","Orlando International","Primary","Large",2012,17159427
"2530",21,"SO","FL","FLL","Fort Lauderdale","Fort Lauderdale/Hollywood International","Primary","Large",2012,11445103
"2531",29,"SO","FL","TPA","Tampa","Tampa International","Primary","Large",2012,8218487
"2532",47,"SO","FL","RSW","Fort Myers","Southwest Florida International","Primary","Medium",2012,3634152
"2533",52,"SO","FL","PBI","West Palm Beach","Palm Beach International","Primary","Medium",2012,2796359
"2534",56,"SO","FL","JAX","Jacksonville","Jacksonville International","Primary","Medium",2012,2579023
"2535",88,"SO","FL","SFB","Sanford","Orlando Sanford International","Primary","Small",2012,873069
"2536",99,"SO","FL","PNS","Pensacola","Pensacola International","Primary","Small",2012,740852
"2537",111,"SO","FL","SRQ","Sarasota","Sarasota/Bradenton International","Primary","Small",2012,637264
"2538",116,"SO","FL","PIE","Clearwater","St Pete-Clearwater International","Primary","Small",2012,436030
"2539",127,"SO","FL","EYW","Key West","Key West International","Primary","Small",2012,370637
"2540",131,"SO","FL","ECP","Panama City","Northwest Florida Beaches International","Primary","Small",2012,422750
"2541",139,"SO","FL","VPS","Valparaiso","Eglin AFB","Primary","Nonhub",2012,373542
"2542",142,"SO","FL","TLH","Tallahassee","Tallahassee Regional","Primary","Nonhub",2012,331296
"2543",156,"SO","FL","DAB","Daytona Beach","Daytona Beach International","Primary","Nonhub",2012,290144
"2544",175,"SO","FL","MLB","Melbourne","Melbourne International","Primary","Nonhub",2012,215300
"2545",183,"SO","FL","GNV","Gainesville","Gainesville Regional","Primary","Nonhub",2012,190461
"2546",191,"SO","FL","PGD","Punta Gorda","Punta Gorda","Primary","Nonhub",2012,99897
"2547",365,"SO","FL","NIP","Jacksonville","Jacksonville NAS (Towers Field)","General Aviation",NA,2012,12106
"2548",570,"SO","FL","APF","Naples","Naples Municipal","General Aviation",NA,2012,687
"2549",661,"SO","FL","BCT","Boca Raton","Boca Raton","General Aviation",NA,2012,480
"2550",698,"SO","FL","LAL","Lakeland","Lakeland Linder Regional","General Aviation",NA,2012,15191
"2551",699,"SO","FL","COF","Cocoa Beach","Patrick AFB","General Aviation",NA,2012,753
"2552",706,"SO","FL","SUA","Stuart","Witham Field","General Aviation",NA,2012,426
"2553",717,"SO","FL","VRB","Vero Beach","Vero Beach Municipal","General Aviation",NA,2012,142
"2554",723,"SO","FL","HRT","Mary Esther","Hurlburt Field","General Aviation",NA,2012,1777
"2555",730,"SO","FL","ISM","Kissimmee","Kissimmee Gateway","General Aviation",NA,2012,125
"2556",743,"SO","FL","DTS","Destin","Destin-Fort Walton Beach","General Aviation",NA,2012,119
"2557",748,"SO","FL","OPF","Miami","Opa-Locka Executive","General Aviation",NA,2012,974
"2558",751,"SO","FL","FXE","Fort Lauderdale","Fort Lauderdale Executive","General Aviation",NA,2012,311
"2559",753,"SO","FL","MCF","Tampa","MacDill AFB","General Aviation",NA,2012,670
"2560",755,"SO","FL","OCF","Ocala","Ocala International-Jim Taylor Field","General Aviation",NA,2012,270
"2561",760,"SO","FL","TMB","Miami","Kendall-Tamiami Executive","General Aviation",NA,2012,128
"2562",761,"SO","FL","ORL","Orlando","Executive","General Aviation",NA,2012,180
"2563",781,"SO","FL","SGJ","Saint Augustine","Northeast Florida Regional","General Aviation",NA,2012,95
"2564",805,"SO","FL","PAM","Panama City","Tyndall AFB","General Aviation",NA,2012,614
"2565",814,"SO","FL","FMY","Fort Myers","Page Field","General Aviation",NA,2012,52
"2566",816,"SO","FL","MTH","Marathon","The Florida Keys Marathon","General Aviation",NA,2012,30
"2567",842,"SO","FL","07FA","Key Largo","Ocean Reef Club","General Aviation",NA,2012,25
"2568",845,"SO","FL","FHB","Fernandina Beach","Fernandina Beach Municipal","General Aviation",NA,2012,10
"2569",850,"SO","FL","VNC","Venice","Venice Municipal","General Aviation",NA,2012,25
"2570",861,"SO","FL","MKY","Marco Island","Marco Island","General Aviation",NA,2012,36
"2571",866,"SO","FL","NQX","Key West","Key West NAS /Boca Chica Field/","General Aviation",NA,2012,593
"2572",910,"SO","FL","FL96","Jay","Jay","General Aviation",NA,2012,0
"2573",947,"SO","FL","VQQ","Jacksonville","Cecil","General Aviation",NA,2012,0
"2574",950,"SO","FL","FPR","Fort Pierce","St Lucie County International","General Aviation",NA,2012,16
"2575",975,"SO","FL","CRG","Jacksonville","Jacksonville Executive at Craig","General Aviation",NA,2012,4
"2576",1003,"SO","FL","FIN","Bunnell","Flagler County","General Aviation",NA,2012,1
"2577",1043,"SO","FL","TIX","Titusville","Space Coast Regional","General Aviation",NA,2012,4
"2578",1050,"SO","FL","BOW","Bartow","Bartow Municipal","General Aviation",NA,2012,38
"2579",1096,"SO","FL","LEE","Leesburg","Leesburg International","General Aviation",NA,2012,5
"2580",1101,"SO","FL","AVO","Avon Park","Avon Park Executive","General Aviation",NA,2012,4
"2581",1111,"SO","FL","BKV","Brooksville","Brooksville-Tampa Bay Regional","General Aviation",NA,2012,2
"2582",1167,"SO","FL","F45","West Palm Beach","North Palm Beach County General Aviation","General Aviation",NA,2012,9
"2583",1235,"SO","FL","GIF","Winter Haven","Winter Haven's Gilbert","General Aviation",NA,2012,13
"2584",1238,"SO","FL","VDF","Tampa","Tampa Executive","General Aviation",NA,2012,0
"2585",1253,"SO","FL","CGC","Crystal River","Crystal River-Captain Tom Davis Field","General Aviation",NA,2012,0
"2586",1291,"SO","FL","OBE","Okeechobee","Okeechobee County","General Aviation",NA,2012,11
"2587",1299,"SO","FL","EVB","New Smyrna Beach","New Smyrna Beach Municipal","General Aviation",NA,2012,25
"2588",1330,"SO","FL","PMP","Pompano Beach","Pompano Beach Airpark","General Aviation",NA,2012,0
"2589",1369,"SO","FL","SEF","Sebring","Sebring Regional","General Aviation",NA,2012,2
"2590",1383,"SO","FL","X14","La Belle","La Belle Municipal","General Aviation",NA,2012,0
"2591",1478,"SO","FL","AAF","Apalachicola","Apalachicola Regional-Cleve Randolph Field","General Aviation",NA,2012,0
"2592",1573,"SO","FL","CEW","Crestview","Bob Sikes","General Aviation",NA,2012,3
"2593",1578,"SO","FL","DED","DeLand","DeLand Municipal-Sidney H Taylor Field","General Aviation",NA,2012,0
"2594",1602,"SO","FL","ZPH","Zephyrhills","Zephyrhills Municipal","General Aviation",NA,2012,0
"2595",1604,"SO","FL","2IS","Clewiston","Airglades","General Aviation",NA,2012,2
"2596",1642,"SO","FL","17FL","Ocala","Jumbolair","General Aviation",NA,2012,0
"2597",1666,"SO","FL","HEG","Jacksonville","Herlong Recreational","General Aviation",NA,2012,0
"2598",1830,"SO","FL","42J","Keystone Heights","Keystone Airpark","General Aviation",NA,2012,0
"2599",1960,"SO","FL","INF","Inverness","Inverness","General Aviation",NA,2012,0
"2600",1961,"SO","FL","LCQ","Lake City","Lake City Gateway","General Aviation",NA,2012,0
"2601",1,"SO","GA","ATL","Atlanta","Hartsfield - Jackson Atlanta International","Primary","Large",2012,45798928
"2602",97,"SO","GA","SAV","Savannah","Savannah/Hilton Head International","Primary","Small",2012,789663
"2603",162,"SO","GA","AGS","Augusta","Augusta Regional at Bush Field","Primary","Nonhub",2012,271740
"2604",261,"SO","GA","CSG","Columbus","Columbus","Primary","Nonhub",2012,74336
"2605",297,"SO","GA","VLD","Valdosta","Valdosta Regional","Primary","Nonhub",2012,37030
"2606",305,"SO","GA","BQK","Brunswick","Brunswick Golden Isles","Primary","Nonhub",2012,31284
"2607",306,"SO","GA","ABY","Albany","Southwest Georgia Regional","Primary","Nonhub",2012,33494
"2608",450,"SO","GA","SVN","Savannah","Hunter AAF","General Aviation",NA,2012,17085
"2609",510,"SO","GA","LSF","Fort Benning (U.S. Army)","Lawson AAF (Fort Benning)","General Aviation",NA,2012,8527
"2610",562,"SO","GA","AHN","Athens","Athens/Ben Epps","General Aviation",NA,2012,1941
"2611",587,"SO","GA","PDK","Atlanta","Dekalb-Peachtree","General Aviation",NA,2012,422
"2612",604,"SO","GA","MCN","Macon","Middle Georgia Regional","General Aviation",NA,2012,843
"2613",637,"SO","GA","WRB","Warner Robins","Robins AFB","General Aviation",NA,2012,1049
"2614",678,"SO","GA","VAD","Valdosta","Moody AFB","General Aviation",NA,2012,514
"2615",688,"SO","GA","SSI","Brunswick","Malcolm McKinnon","General Aviation",NA,2012,103
"2616",772,"SO","GA","FTY","Atlanta","Fulton County Airport-Brown Field","General Aviation",NA,2012,75
"2617",835,"SO","GA","RYY","Marietta","Cobb County-McCollum Field","General Aviation",NA,2012,111
"2618",848,"SO","GA","TVI","Thomasville","Thomasville Regional","General Aviation",NA,2012,21
"2619",976,"SO","GA","LZU","Lawrenceville","Gwinnett County - Briscoe Field","General Aviation",NA,2012,0
"2620",1019,"SO","GA","HQU","Thomson","Thomson-McDuffie County","General Aviation",NA,2012,10
"2621",1064,"SO","GA","MGR","Moultrie","Moultrie Municipal","General Aviation",NA,2012,14
"2622",1104,"SO","GA","FFC","Peachtree City","Atlanta Regional Falcon Field","General Aviation",NA,2012,0
"2623",1121,"SO","GA","DNN","Dalton","Dalton Municipal","General Aviation",NA,2012,8
"2624",1168,"SO","GA","GVL","Gainesville","Lee Gilmer Memorial","General Aviation",NA,2012,3
"2625",1192,"SO","GA","RMG","Rome","Richard B Russell Regional - J H Towers Field","General Aviation",NA,2012,0
"2626",1202,"SO","GA","TBR","Statesboro","Statesboro-Bulloch County","General Aviation",NA,2012,10
"2627",1218,"SO","GA","CXU","Camilla","Camilla-Mitchell County","General Aviation",NA,2012,4
"2628",1226,"SO","GA","BGE","Bainbridge","Decatur County Industrial Air Park","General Aviation",NA,2012,2
"2629",1251,"SO","GA","AJR","Cornelia","Habersham County","General Aviation",NA,2012,1
"2630",1275,"SO","GA","ACJ","Americus","Jimmy Carter Regional","General Aviation",NA,2012,0
"2631",1290,"SO","GA","MAC","Macon","Macon Downtown","General Aviation",NA,2012,0
"2632",1321,"SO","GA","VPC","Cartersville","Cartersville","General Aviation",NA,2012,18
"2633",1333,"SO","GA","TOC","Toccoa","Toccoa - R G LeTourneau Field","General Aviation",NA,2012,0
"2634",1338,"SO","GA","4A7","Hampton","Atlanta South Regional","General Aviation",NA,2012,0
"2635",1364,"SO","GA","LGC","La Grange","La Grange-Callaway","General Aviation",NA,2012,0
"2636",1373,"SO","GA","CZL","Calhoun","Tom B David Field","General Aviation",NA,2012,0
"2637",1404,"SO","GA","OPN","Thomaston","Thomaston-Upson County","General Aviation",NA,2012,5
"2638",1406,"SO","GA","TMA","Tifton","Henry Tift Myers","General Aviation",NA,2012,0
"2639",1420,"SO","GA","MLJ","Milledgeville","Baldwin County","General Aviation",NA,2012,0
"2640",1477,"SO","GA","4J6","Saint Marys","St Marys","General Aviation",NA,2012,7
"2641",1482,"SO","GA","AYS","Waycross","Waycross-Ware County","General Aviation",NA,2012,0
"2642",1483,"SO","GA","CCO","Newnan","Newnan Coweta County","General Aviation",NA,2012,0
"2643",1484,"SO","GA","CTJ","Carrollton","West Georgia Regional - O V Gray Field","General Aviation",NA,2012,0
"2644",1485,"SO","GA","CVC","Covington","Covington Municipal","General Aviation",NA,2012,1
"2645",1543,"SO","GA","DBN","Dublin","W H 'Bud' Barron","General Aviation",NA,2012,10
"2646",1544,"SO","GA","DNL","Augusta","Daniel Field","General Aviation",NA,2012,5
"2647",1554,"SO","GA","LHW","Fort Stewart (U.S. Army)","Wright AAF (Fort Stewart)/Midcoast Regional","General Aviation",NA,2012,0
"2648",1570,"SO","GA","3J7","Greensboro","Greene County Regional","General Aviation",NA,2012,21
"2649",1620,"SO","GA","FZG","Fitzgerald","Fitzgerald Municipal","General Aviation",NA,2012,0
"2650",1694,"SO","GA","9A5","La Fayette","Barwick Lafayette","General Aviation",NA,2012,0
"2651",1749,"SO","GA","VDI","Vidalia","Vidalia Regional","General Aviation",NA,2012,0
"2652",1803,"SO","GA","PIM","Pine Mountain","Harris County","General Aviation",NA,2012,0
"2653",1881,"SO","GA","JZP","Jasper","Pickens County","General Aviation",NA,2012,0
"2654",1945,"SO","GA","DQH","Douglas","Douglas Municipal","General Aviation",NA,2012,5
"2655",1947,"SO","GA","DZJ","Blairsville","Blairsville","General Aviation",NA,2012,0
"2656",69,"WP","GU","GUM","Tamuning","Guam International","Primary","Small",2012,1477926
"2657",528,"WP","GU","UAM","Andersen,Mariana Island","Andersen AFB","General Aviation",NA,2012,1666
"2658",27,"WP","HI","HNL","Honolulu","Honolulu International","Primary","Large",2012,9225848
"2659",51,"WP","HI","OGG","Kahului","Kahului","Primary","Medium",2012,2861278
"2660",74,"WP","HI","KOA","Kailua Kona","Kona International at Keahole","Primary","Small",2012,1367091
"2661",78,"WP","HI","LIH","Lihue","Lihue","Primary","Small",2012,1308549
"2662",107,"WP","HI","ITO","Hilo","Hilo International","Primary","Small",2012,641904
"2663",253,"WP","HI","MKK","Kaunakakai","Molokai","Primary","Nonhub",2012,72421
"2664",283,"WP","HI","LNY","Lanai City","Lanai","Primary","Nonhub",2012,45692
"2665",340,"WP","HI","JHM","Lahaina","Kapalua","General Aviation",NA,2012,44568
"2666",516,"WP","HI","LUP","Kalaupapa","Kalaupapa","Commercial Service",NA,2012,3186
"2667",633,"WP","HI","NGF","Kaneohe","Kaneohe Bay MCAS (Marion E Carl Field)","General Aviation",NA,2012,3045
"2668",692,"WP","HI","MUE","Kamuela","Waimea-Kohala","General Aviation",NA,2012,5
"2669",729,"WP","HI","HNM","Hana","Hana","General Aviation",NA,2012,209
"2670",85,"CE","IA","DSM","Des Moines","Des Moines International","Primary","Small",2012,1018188
"2671",115,"CE","IA","CID","Cedar Rapids","The Eastern Iowa","Primary","Small",2012,491806
"2672",301,"CE","IA","DBQ","Dubuque","Dubuque Regional","Primary","Nonhub",2012,32389
"2673",321,"CE","IA","SUX","Sioux City","Sioux Gateway/Col Bud Day Field","Primary","Nonhub",2012,27168
"2674",335,"CE","IA","ALO","Waterloo","Waterloo Regional","Primary","Nonhub",2012,19522
"2675",444,"CE","IA","BRL","Burlington","Southeast Iowa Regional","Commercial Service",NA,2012,7887
"2676",517,"CE","IA","MCW","Mason City","Mason City Municipal","Commercial Service",NA,2012,6029
"2677",524,"CE","IA","FOD","Fort Dodge","Fort Dodge Regional","Commercial Service",NA,2012,5625
"2678",818,"CE","IA","AMW","Ames","Ames Municipal","General Aviation",NA,2012,277
"2679",908,"CE","IA","CIN","Carroll","Arthur N Neu","General Aviation",NA,2012,0
"2680",1044,"CE","IA","IKV","Ankeny","Ankeny Regional","General Aviation",NA,2012,4
"2681",1073,"CE","IA","DVN","Davenport","Davenport Municipal","General Aviation",NA,2012,5
"2682",1221,"CE","IA","IOW","Iowa City","Iowa City Municipal","General Aviation",NA,2012,61
"2683",1327,"CE","IA","CWI","Clinton","Clinton Municipal","General Aviation",NA,2012,0
"2684",1365,"CE","IA","OTM","Ottumwa","Ottumwa Regional","General Aviation",NA,2012,0
"2685",1391,"CE","IA","EOK","Keokuk","Keokuk Municipal","General Aviation",NA,2012,39
"2686",1405,"CE","IA","SPW","Spencer","Spencer Municipal","General Aviation",NA,2012,3
"2687",1441,"CE","IA","MXO","Monticello","Monticello Regional","General Aviation",NA,2012,0
"2688",1443,"CE","IA","PEA","Pella","Pella Municipal","General Aviation",NA,2012,0
"2689",1517,"CE","IA","FSW","Fort Madison","Fort Madison Municipal","General Aviation",NA,2012,32
"2690",1565,"CE","IA","TNU","Newton","Newton Municipal","General Aviation",NA,2012,0
"2691",1634,"CE","IA","ORC","Orange City","Orange City Municipal","General Aviation",NA,2012,2
"2692",1687,"CE","IA","2Y4","Rockwell City","Rockwell City Municipal","General Aviation",NA,2012,0
"2693",1696,"CE","IA","AIO","Atlantic","Atlantic Municipal","General Aviation",NA,2012,0
"2694",1698,"CE","IA","AXA","Algona","Algona Municipal","General Aviation",NA,2012,0
"2695",1712,"CE","IA","GGI","Grinnell","Grinnell Regional","General Aviation",NA,2012,0
"2696",1766,"CE","IA","C17","Marion","Marion","General Aviation",NA,2012,0
"2697",1767,"CE","IA","CBF","Council Bluffs","Council Bluffs Municipal","General Aviation",NA,2012,982
"2698",1777,"CE","IA","FFL","Fairfield","Fairfield Municipal","General Aviation",NA,2012,7
"2699",1791,"CE","IA","MIW","Marshalltown","Marshalltown Municipal","General Aviation",NA,2012,0
"2700",1800,"CE","IA","OOA","Oskaloosa","Oskaloosa Municipal","General Aviation",NA,2012,0
"2701",1838,"CE","IA","AWG","Washington","Washington Municipal","General Aviation",NA,2012,7
"2702",1846,"CE","IA","C27","Manchester","Manchester Municipal","General Aviation",NA,2012,3
"2703",1943,"CE","IA","CNC","Chariton","Chariton Municipal","General Aviation",NA,2012,0
"2704",1944,"CE","IA","CSQ","Creston","Creston Municipal","General Aviation",NA,2012,2
"2705",1967,"CE","IA","MUT","Muscatine","Muscatine Municipal","General Aviation",NA,2012,5
"2706",1968,"CE","IA","OQW","Maquoketa","Maquoketa Municipal","General Aviation",NA,2012,0
"2707",1975,"CE","IA","SHL","Sheldon","Sheldon Municipal","General Aviation",NA,2012,10
"2708",79,"NM","ID","BOI","Boise","Boise Air Terminal/Gowen Field","Primary","Small",2012,1307505
"2709",203,"NM","ID","IDA","Idaho Falls","Idaho Falls Regional","Primary","Nonhub",2012,160456
"2710",257,"NM","ID","LWS","Lewiston","Lewiston-Nez Perce County","Primary","Nonhub",2012,62197
"2711",276,"NM","ID","SUN","Hailey","Friedman Memorial","Primary","Nonhub",2012,47734
"2712",315,"NM","ID","TWF","Twin Falls","Joslin Field - Magic Valley Regional","Primary","Nonhub",2012,26059
"2713",327,"NM","ID","PIH","Arbon Valley","Pocatello Regional","Primary","Nonhub",2012,22214
"2714",759,"NM","ID","MUO","Mountain Home","Mountain Home AFB","General Aviation",NA,2012,819
"2715",857,"NM","ID","COE","Hayden Lake","Coeur D'Alene - Pappy Boyington Field","General Aviation",NA,2012,125
"2716",1032,"NM","ID","DIJ","Driggs","Driggs-Reed Memorial","General Aviation",NA,2012,10
"2717",1229,"NM","ID","MAN","Nampa","Nampa Municipal","General Aviation",NA,2012,0
"2718",1246,"NM","ID","MYL","McCall","McCall Municipal","General Aviation",NA,2012,21
"2719",1262,"NM","ID","SZT","Sandpoint","Sandpoint","General Aviation",NA,2012,20
"2720",1332,"NM","ID","S75","Payette","Payette Municipal","General Aviation",NA,2012,0
"2721",1610,"NM","ID","AOC","Arco","Arco-Butte County","General Aviation",NA,2012,0
"2722",1745,"NM","ID","U76","Mountain Home","Mountain Home Municipal","General Aviation",NA,2012,0
"2723",1825,"NM","ID","1U1","Moose Creek Ranger Station","Moose Creek /USFS/","General Aviation",NA,2012,0
"2724",1869,"NM","ID","GNG","Gooding","Gooding Municipal","General Aviation",NA,2012,0
