id,name,normalized_name
721,REALTOR'S OFFICE,realtor office
722,Rendering Plant,rendering plant
723,Harbor,harbor
724,YET ANOTHER HOUSE,yet another house
725,Truck Cab,truck cab
726,Gas Station,gas station
727,HOSPITAL EMERGENCY ROOM,hospital emergency room
728,Emergency Room,emergency room
729,Cathedral,cathedral
730,MERRY WIDOW INSURANCE COMPANY,merry widow insurance company
731,INSURANCE COMPANY,insurance company
732,SPRINGFIELD TEMPLE,springfield temple
733,Springfield Buddhist Temple,springfield buddhist temple
734,MEDICAL LIBRARY,medical library
735,OPERATING THEATER,operating theater
736,COLLEGE FRAT HOUSE,college frat house
737,HOSPITAL WAITING ROOM,hospital waiting room
738,Intensive Care Corridor,intensive care corridor
739,Springfield Park,springfield park
740,Springfield County Court House,springfield county court house
741,Monorail Conductor Class,monorail conductor class
742,Monorail Construction Site,monorail construction site
743,Monorail Cockpit,monorail cockpit
744,LANLEY'S OFC.,lanley ofc
745,Office,office
746,North Haverbrook,north haverbrook
747,Monorail,monorail
748,Springfield Central Monorail Platform,springfield central monorail platform
749,Monorail Dais,monorail dais
750,MONORAIL PLATFORM,monorail platform
751,Monorail Engine,monorail engine
752,Monorail Cabin,monorail cabin
1695,Sportacus,sportacus
753,COMMAND CENTER,command center
754,HALL OF RECORDS,hall of records
755,Sky,sky
756,North Haverbrook Airport,north haverbrook airport
757,Doctors Office,doctors office
758,ANCHOR STORE,anchor store
759,SIMPSON STATION WAGON,simpson station wagon
760,Diner,diner
761,"""the Lucky Stiff"" Funeral Home",the lucky stiff funeral home
762,FUNERAL PARLOR,funeral parlor
763,FUNERAL PARLOR OFFICE,funeral parlor office
764,DATING SERVICE,dating service
765,GYPSY SHACK,gypsy shack
766,Cryogenics Bank,cryogenics bank
767,SPERM BANK,sperm bank
768,SELMA'S HOUSE,selma house
769,Selma's Apartment,selma apartment
770,Simpson Driveway,simpson driveway
771,Duff Gardens Entrance,duff gardens entrance
772,BEER HALL OF THE PRESIDENTS,beer hall of the presidents
773,Duff Garden Souvenir Shop,duff garden souvenir shop
774,Little Land Of Duff,little land of duff
775,Duff Gardens,duff gardens
776,SECURITY OFFICE,security office
777,SOCCER FIELD,soccer field
778,Simpson TV Room,simpson tv room
779,BATHTUB,bathtub
780,BIGGER BROTHER AGENCY,bigger brother agency
781,AGENCY OFFICE,agency office
782,SPRINGFIELD STADIUM,springfield stadium
783,Baseball Field,baseball field
784,SKY OVER SPRINGFIELD,sky over springfield
785,TENEMENT BUILDING,tenement building
786,PEPI'S STREET,pepi street
787,Pepi's Apartment,pepi apartment
788,MARINE WORLD,marine world
789,AQUARIUM,aquarium
790,KBBL RADIO,kbbl radio
791,LUNCH ROOM,lunch room
792,Wiggum Home,wiggum home
793,ADULT MOVIE THEATER,adult movie theater
794,PRESIDENT'S BOX,president box
795,Springfield Elementary School Auditorium,springfield elementary school auditorium
796,AUDITORIUM STAGE DOOR,auditorium stage door
797,Nuclear Plant Parking Lot,nuclear plant parking lot
798,Duff Brewery,duff brewery
799,Duff Museum,duff museum
800,Duff Brewery Entrance,duff brewery entrance
801,All Creatures Great and Cheap,all creatures great and cheap
802,DRIVER TRAINING SCHOOL,driver training school
803,CHURCH BASEMENT ROOM,church basement room
804,SCIENCE FAIR,science fair
805,BASEBALL STADIUM,baseball stadium
806,ALCH-ANON MEETING,alch-anon meeting
807,SPRINGFIELD POWER WORKS,springfield power works
808,Dentist's Office,dentist office
809,UNION HALL,union hall
810,Nuclear Plant Hallway,nuclear plant hallway
811,Springfield Shopper Building,springfield shopper building
812,RED LIGHT DISTRICT,red light district
813,Factory,factory
814,Simpson Hut,simpson hut
815,Hardware Store,hardware store
816,Cartoon Barber Shop,cartoon barber shop
817,Itchy & Scratchy Studios,itchy scratchy studios
818,ROGER MEYERS' OFFICE,roger meyers office
819,Bart and Lisa's Bedroom,bart and lisa bedroom
820,Gym,gym
821,GYMNASIUM,gymnasium
822,WRITERS' OFFICE,writers office
823,Animation Building,animation building
824,Adult Education Center,adult education center
825,Grampa's Office,grampa office
826,Springfield High School Classroom,springfield high school classroom
827,Rod And Todd's Bedroom,rod and todd bedroom
828,CIVIL DEFENSE SHELTER,civil defense shelter
829,DEFENSE SHELTER,defense shelter
830,CAFETERIA,cafeteria
831,RELIGIOUS SCHOOL,religious school
832,"40'S STYLE NIGHT CLUB A LA THE MOVIE ""CABARET""",40 style night club a la the movie cabaret
833,SECURITY ROOM,security room
834,Springfield Fairgrounds,springfield fairgrounds
835,Springfield City Limits,springfield city limits
836,FIELDS AROUND SPRINGFIELD,fields around springfield
837,FALLOUT SHELTER,fallout shelter
838,ROOF TOP CORNER 12TH AND MAIN,roof top corner 12th and main
839,Bart's Body,bart body
840,“I Can't Believe It's a Law Firm!”,i cant believe it a law firm
841,SAUNA,sauna
842,PODIUM,podium
843,LOVEJOY HOUSE,lovejoy house
844,Courthouse Hallway,courthouse hallway
845,Springfield Women's Prison,springfield women prison
846,Trailer,trailer
847,Johnny Carson's House,johnny carson house
848,Johnny Carson's Backyard,johnny carson backyard
849,RACETRACK,racetrack
850,KBBL Studios,kbbl studios
851,GABBO SHOW,gabbo show
852,TOUR BUS,tour bus
853,Playboy Mansion,playboy mansion
854,ELIZABETH TAYLOR'S HOUSE,elizabeth taylor house
855,Krusty Theater,krusty theater
856,Stage,stage
857,Building,building
858,Springfield Swap Meet,springfield swap meet
859,SWAP MEET,swap meet
860,REHEARSAL HALL,rehearsal hall
861,Moe's Bathroom,moe bathroom
862,Boat,boat
863,Kennedy Airport,kennedy airport
864,Statue of Liberty,statue of liberty
865,CIVIC AUDITORIUM,civic auditorium
866,GRAMMYS,grammys
867,Hotel Suite,hotel suite
868,Hotel Balcony,hotel balcony
869,BLDG.,bldg
870,SOMEONE'S ROOM,someone room
871,Prison Cell,prison cell
872,PAROLE BOARD,parole board
873,HEARING ROOM,hearing room
874,Sideshow Bob's Room,sideshow bob room
875,PRIVATE INVESTIGATOR'S OFFICE,private investigator office
876,SPRINGFIELD BAR,springfield bar
877,FBI OFFICE,fbi office
878,Simpson Convertible,simpson convertible
879,Houseboat,houseboat
880,MARINA,marina
881,Old Simpson Home,old simpson home
882,SHORE,shore
883,SAFETY CHAMBER,safety chamber
884,BASEMENT OF NUCLEAR POWER PLANT,basement of nuclear power plant
885,SIMULATOR VAN,simulator van
886,GUIDANCE COUNSELOR'S,guidance counselor
887,ADMISSIONS OFFICE,admissions office
888,BOARD OF OVERSEERS CONFERENCE ROOM,board of overseers conference room
889,Springfield University,springfield university
890,Construction Site,construction site
891,Springfield A&M,springfield am
892,Springfield University Entrance,springfield university entrance
893,SPRINGFIELD MEMORIAL HOSPITAL,springfield memorial hospital
894,Ballroom,ballroom
895,NUCLEAR POWER PLANT BALLROOM,nuclear power plant ballroom
896,Burns's Warehouse,burns warehouse
897,Milk Plant,milk plant
898,Burns's Bedroom,burns bedroom
899,NIGHT GALLERY-TYPE SET,night gallery-type set
900,FASHION SHOW,fashion show
901,HELL,hell
902,SPRINGFIELD ELEMENTARY SCHOOL BUS,springfield elementary school bus
903,ALIEN SPACE SHIP,alien space ship
904,Flanders's Car,flanders car
905,Ambulance,ambulance
906,Castle,castle
907,BURNS' CASTLE,burns castle
908,SECRET ROOM,secret room
909,BURNS' BANQUET HALL,burns banquet hall
910,SIMPSON' HOUSE,simpson house
911,SODA MACHINE,soda machine
912,A DIFFERENT HALLWAY,a different hallway
913,Lenny's House,lenny house
914,Honky-tonk Roadhouse,honky-tonk roadhouse
915,SH_T KICKERS,sh_t kickers
916,UNDERGROUND CLUB,underground club
917,THE HATE BOX,the hate box
918,SECLUDED MEADOW,secluded meadow
919,Ruth's Car,ruth car
920,TRAIL,trail
921,Springfield Sign,springfield sign
922,TRAIL NIGHT,trail night
923,Chief Wiggum's Police Car,chief wiggum police car
924,WIGGUM'S CAR,wiggum car
925,GRAND CHASM,grand chasm
926,DRAGNET-STYLE LIMBO,dragnet-style limbo
927,LIMBO,limbo
928,Overpass,overpass
929,NEWS SET,news set
930,FLOAT,float
931,OUTSIDE THE ARCADE,outside the arcade
932,SPRINGFIELD STREET CORNER,springfield street corner
933,OUTSIDE THE KWIK-E-MART,outside the kwik-e-mart
934,BUSY MAIN STREET,busy main street
935,SEEDY SPRINGFIELD STREET,seedy springfield street
936,FREIGHTER,freighter
937,PATROL MEETING ROOM,patrol meeting room
938,Homer's Bedroom,homer bedroom
939,THE SIDE OF THE RIVER,the side of the river
940,THE RIVER,the river
941,A SUNNY BEACH,a sunny beach
942,OUT AT SEA,out at sea
943,River,river
944,RAFT,raft
945,Ocean,ocean
946,OFFSHORE OIL RIG,offshore oil rig
948,ARAB NIGHTCLUB,arab nightclub
949,HMO,hmo
950,Optometrist's Office,optometrist office
951,Dermatologist's Office,dermatologist office
952,Podiatrist's Office,podiatrist office
953,Internist's Office,internist office
954,Phone Booth,phone booth
955,TELEPHONE BOOTH,telephone booth
956,Homer's Room,homer room
957,Homer's Bathroom,homer bathroom
958,Homer's Hotel Room,homer hotel room
959,CONVENTION HALL,convention hall
960,Homer's Booth,homer booth
961,CHINESE RESTAURANT,chinese restaurant
962,CHINESE RESTAURANT KITCHEN,chinese restaurant kitchen
963,SPRINGFIELD BOARDWALK,springfield boardwalk
964,GONG SHOW,gong show
965,Mr. Burns' Casino,mr burns casino
966,Skinner's Living Room,skinner living room
967,Suburban Springfield Street,suburban springfield street
968,Smartline Studio,smartline studio
969,ELEGANT MANSION,elegant mansion
970,Box Factory,box factory
971,Channel 6 Studios,channel 6 studios
972,Street Corner,street corner
973,Krusty's Bathroom,krusty bathroom
974,Supermarket Grand Opening,supermarket grand opening
975,STAGE DOOR,stage door
976,Little Girl's Bedroom,little girl bedroom
977,TALKSHOW,talkshow
978,CITY STREETS,city streets
979,Homer's Hospital Room,homer hospital room
980,CHANNEL 6 TV STATION,channel 6 tv station
981,THE VAN,the van
982,Simpsons,simpsons
983,Monstromart,monstromart
984,DESOLATE SCRUBLAND,desolate scrubland
985,Himalayas,himalayas
986,India,india
987,AIRPORT IN INDIA,airport in india
988,INDIAN PLAIN,indian plain
989,MOUNTAIN TRAIL,mountain trail
990,Kwik-E-Mart Birthplace,kwik-e-mart birthplace
991,Center for Geriatric Medicine,center for geriatric medicine
992,Seniorville Trolley,seniorville trolley
993,Kidstown USA,kidstown usa
994,HUGE INDUSTRIAL COMPLEX,huge industrial complex
995,Malibu Stacy Factory,malibu stacy factory
996,SOMEPLACE,someplace
997,Apartment Complex,apartment complex
998,SPRINGFIELD GABLES STREET,springfield gables street
999,Stacy Lovell's House,stacy lovell house
1000,Kent Brockman's House,kent brockman house
1001,Somewhere,somewhere
1002,MISSION CONTROL,mission control
1003,Nasa,nasa
1004,CAPE CANAVERAL BASE,cape canaveral base
1005,Hotel Banquet Room,hotel banquet room
1006,SIMPSONS' BASE KITCHEN,simpsons base kitchen
1007,NASA Training Facility,nasa training facility
1008,NASA Gym,nasa gym
1009,NASA Corridor,nasa corridor
1010,Cape Canaveral,cape canaveral
1011,LAUNCH PAD,launch pad
1012,SIMPSONS' BASE HOUSE LIVING ROOM,simpsons base house living room
1013,NASA Mission Control,nasa mission control
1014,SIMPSONS' BASE HOUSING LIVING ROOM,simpsons base housing living room
1015,STADIUM BOX OFFICE,stadium box office
1016,Shelbyville Stadium,shelbyville stadium
1017,SPRINGFIELD LOCKER ROOM,springfield locker room
1018,LOCKER ROOM EXIT,locker room exit
1019,FLANDERS' REC ROOM,flanders rec room
1020,Flanders' Dining Room,flanders dining room
1021,SHELTER,shelter
1022,FLANDERS' STATION WAGON- DAY,flanders station wagon- day
1023,Boat Launch,boat launch
1024,Campsite,campsite
1025,UNIVERSITY CLOCK TOWER,university clock tower
1026,Flanders Master Bedroom,flanders master bedroom
1027,FLANDERS' DRIVEWAY,flanders driveway
1028,Roadside,roadside
1029,FIRST CHURCH,first church
1030,KBBL,kbbl
1031,ARBORETUM,arboretum
1032,Flanders Bedroom,flanders bedroom
1033,Springfield Streets,springfield streets
1034,Amphitheater,amphitheater
1035,ANOTHER AMPHITHEATER,another amphitheater
1036,Peanut Factory,peanut factory
1037,QUIET SPRINGFIELD STREET,quiet springfield street
1038,SPRINGFIELD ANIMAL REFUGE,springfield animal refuge
1039,ANOTHER BASEMENT ROOM,another basement room
1040,MUNICIPAL COURTROOM,municipal courtroom
1041,Sports Car,sports car
1042,Cheap Motel,cheap motel
1043,BASEMENT ROOM,basement room
1044,NEXT ROOM,next room
1045,BASEMENT TV MONITOR ROOM,basement tv monitor room
1046,SPRINGFIELD LAUNDROMAT,springfield laundromat
1047,ITALIAN RESTAURANT,italian restaurant
1048,Fort Springfield,fort springfield
1049,Prison Bus,prison bus
1050,Springfield Elementary School Crime Lab,springfield elementary school crime lab
1051,Riverbank,riverbank
1052,Old Abandoned Club House,old abandoned club house
1053,AUCTION HOUSE,auction house
1054,DESOLATE ROAD,desolate road
1055,QUIMBY COMPOUND,quimby compound
1056,QUIMBY COMPOUND FRONT YARD,quimby compound front yard
1057,QUIMBY MANSION,quimby mansion
1058,JURY ROOM,jury room
1059,Springfield Palace Hotel,springfield palace hotel
1060,Bouvier Apartment,bouvier apartment
1061,GENERATION X GROUP HOUSE,generation x group house
1062,MOUNTAINTOP,mountaintop
1063,SENIOR CITIZEN'S MINIBUS,senior citizen minibus
1064,Adult Education Annex,adult education annex
1065,OLD SOUTHERN MANSION,old southern mansion
1066,Simpson Front Porch,simpson front porch
1067,ATTIC,attic
1068,WAX MUSEUM,wax museum
1069,POOL EMPORIUM,pool emporium
1070,Pool Sharks!,pool sharks
1071,DR. HIBBERT'S EXAMINING ROOM,dr hibbert examining room
1072,MARTIN PRINCE'S BACKYARD,martin prince backyard
1073,JIMMY STEWART CHARACTER HOUSE,jimmy stewart character house
1074,FLANDERS' FRONT YARD,flanders front yard
1075,FLANDERS' LIVING ROOM,flanders living room
1076,Lisa's Classroom,lisa classroom
1077,Springfield Elementary School Band Room,springfield elementary school band room
1078,DRAINAGE TUNNEL,drainage tunnel
1079,Allison's Living Room,allison living room
1080,Allison's Playroom,allison playroom
1081,Honey Factory,honey factory
1082,SHORTY'S,shorty
1083,Street In Small Town In Amish Country,street in small town in amish country
1084,FREEWAY CHECKPOINT,freeway checkpoint
1085,CHECKPOINT,checkpoint
1086,Motel,motel
1087,Itchy & Scratchy Land,itchy scratchy land
1088,Itchy & Scratchy Land Park n' Fly,itchy scratchy land park n fly
1089,Itchy & Scratchy Land Helicopter,itchy scratchy land helicopter
1090,Itchy & Scratchy Land Entrance,itchy scratchy land entrance
1091,Itchy & Scratchy Hotel Restaurant,itchy scratchy hotel restaurant
1092,Itchy & Scratchy Hotel,itchy scratchy hotel
1093,PARENTS ISLAND,parents island
1094,Itchy's 70's Disco,itchy 70 disco
1095,ITCHY & SCRATCHY GIFT SHOP,itchy scratchy gift shop
1096,SCRATCHY,scratchy
1097,CONTROL COMPLEX,control complex
1098,CONTROL CENTER,control center
1099,GIFT SHOP,gift shop
1100,DETENTION AREA,detention area
1101,REPAIR ROOM,repair room
1102,BIRD SANCTUARY,bird sanctuary
1103,ENTRANCE EURO ITCHY & SCRATCHY LAND,entrance euro itchy scratchy land
1104,Public Library,public library
1105,MRS. MCFEARLY'S HOUSE,mrs mcfearly house
1106,REPUBLICAN HQ,republican hq
1107,Sideshow Bob's Limousine,sideshow bob limousine
1108,LUNCHEONETTE,luncheonette
1109,CIVIC CENTER,civic center
1110,POLLING PLACE,polling place
1111,PARKING STRUCTURE,parking structure
1112,BURNS' MOUNTAIN RETREAT,burns mountain retreat
1113,Caretakers Quarters,caretakers quarters
1114,GRAND BALLROOM,grand ballroom
1115,FIRST FLOOR,first floor
1116,PANTRY,pantry
1117,Chief Wiggum's Office,chief wiggum office
1118,Groundskeeper Willie's Shack,groundskeeper willie shack
1119,Shack,shack
1120,BASEMENT,basement
1121,TIME VORTEX,time vortex
1122,SPRINGFIELD JUNGLE,springfield jungle
1123,HIGH TECH ROOM,high tech room
1124,CORRIDOR,corridor
1125,SPRINGFIELD PRIMEVAL JUNGLE,springfield primeval jungle
1126,CAFETERIA STOREROOM,cafeteria storeroom
1127,KITCHEN DOOR,kitchen door
1128,NEIGHBORHOOD PLAYGROUND,neighborhood playground
1129,SEASHORE,seashore
1130,WINDY HILLTOP,windy hilltop
1131,GYM TEACHER'S OFFICE,gym teacher office
1132,Springfield Skating Rink,springfield skating rink
1133,HOCKEY RINK,hockey rink
1134,THE STEPS OF THE CAPITOL,the steps of the capitol
2172,BUSHES,bushes
1135,MONSTER ISLAND,monster island
1136,SKATING RINK LOCKER ROOM,skating rink locker room
1137,SKATING RINK,skating rink
1138,Apu's Apartment,apu apartment
1139,ICE RINK,ice rink
1140,Candy Convention,candy convention
1141,Rock Bottom Studio,rock bottom studio
1142,UNDERWATER WONDERLAND,underwater wonderland
1143,Springfield Cable Station,springfield cable station
1144,Public Access Studio,public access studio
1145,COLLEGE DORM,college dorm
1146,Huge Bookstore,huge bookstore
1147,Bookstore,bookstore
1148,Romantic Motel,romantic motel
1149,Appliance Store,appliance store
1150,ROAD OUT OF TOWN,road out of town
1151,Old Simpson Farmhouse,old simpson farmhouse
1152,Simpson Barn,simpson barn
1153,Simpson Farmhouse,simpson farmhouse
1154,Farmhouse,farmhouse
1155,UPSCALE BAR,upscale bar
1156,CHEERS-LIKE BAR,cheers-like bar
1157,GAY BAR,gay bar
1158,The Little Black Box,the little black box
1159,AIRLINE HEADQUARTERS,airline headquarters
1160,AIRPLANE RUNWAY,airplane runway
1161,Video Store,video store
1162,PSYCHIATRIST'S WAITING ROOM,psychiatrist waiting room
1163,Dr. Zweig's Office,dr zweig office
1164,PSYCHIATRIC CENTER,psychiatric center
1165,Lobby,lobby
1166,MARGE'S CHILDHOOD HOME,marge childhood home
1167,Desolate Planet,desolate planet
1168,MARGE'S FRONT YARD,marge front yard
1169,CORN FIELD,corn field
1170,AIRPORT RUNWAY,airport runway
1171,COPTER,copter
1172,Lenny and Carl Workstation,lenny and carl workstation
1173,TEMPLE ROOF,temple roof
1174,STONECUTTER TUNNEL,stonecutter tunnel
1175,BASKIN ROBBINS,baskin robbins
1176,Stonecutters Lodge,stonecutters lodge
1177,A HOSPITAL DELIVERY ROOM,a hospital delivery room
1178,FIGHTER COCKPIT,fighter cockpit
1179,FIGHTER,fighter
1180,OBSERVATORY,observatory
1181,House Of Representatives,house of representatives
1182,House Of Representative,house of representative
1183,Flanders Backyard,flanders backyard
1184,BOMB SHELTER,bomb shelter
1185,Krusty's Klown Kollege,krusty klown kollege
1186,Luigi's,luigi
1187,CLOWN COLLEGE,clown college
1188,GANGSTER'S CAR,gangster car
1189,Car Lot,car lot
1190,Switzerland Village,switzerland village
1191,Plastic Surgeons Office,plastic surgeons office
1192,GANGSTERS CAR,gangsters car
1193,South Pole,south pole
1194,Banana Republic,banana republic
1195,FASHIONABLE BUENOS AIRES STREET,fashionable buenos aires street
1196,VOLCANIC ISLAND,volcanic island
1197,Australia,australia
1198,Australian House,australian house
1199,Earth,earth
1200,Australian Airport,australian airport
1201,EMBASSY,embassy
1202,EMBASSY LATER,embassy later
1203,CULTURAL CENTER,cultural center
1204,Pub,pub
1205,Parliament House,parliament house
1206,AMBASSADOR'S OFFICE,ambassador office
1207,Discount Brokerage,discount brokerage
1208,CORPORATE BOARDROOM,corporate boardroom
1209,Swimming Pool,swimming pool
1210,Springfield Elementary School Gym,springfield elementary school gym
1211,First National Bank of Springfield,first national bank of springfield
1212,DOORWAY,doorway
1213,Ballet Class,ballet class
1214,SHOT,shot
1215,Limousine,limousine
1216,Driver's Test Car,driver test car
1217,SPRINGFIELD PERFORMING ARTS CENTER,springfield performing arts center
1218,PERFORMING ARTS CENTER,performing arts center
1219,SPRINGFIELD RIVER,springfield river
1220,HOSPITAL BED,hospital bed
1221,N.Y. CITY,ny city
1222,Desert,desert
1223,Springfield Hotel,springfield hotel
1224,COMMITTEE ROOM,committee room
1225,Hotel Hallway,hotel hallway
1226,Dorothy Chandler Pavilion,dorothy chandler pavilion
1227,MEADOW,meadow
1228,Friar Wiggum's Fantastical Beastarium,friar wiggum fantastical beastarium
1229,Tent,tent
1230,Lisa's Dorm,lisa dorm
1231,DORM ROOM,dorm room
1234,PARKFIELD MANOR,parkfield manor
1235,Skyscraper,skyscraper
1236,OTTO CAB,otto cab
1237,New Bedroom,new bedroom
1238,SPRINGFIELD MEADOW,springfield meadow
1239,BRIDE'S TENT,bride tent
1240,MAIN TENT,main tent
1241,Lisa's Tent,lisa tent
1242,GROOM'S TENT,groom tent
1243,RENAISSANCE FAIR,renaissance fair
1244,Chief Wiggum's Bedroom,chief wiggum bedroom
1245,Pet Store,pet store
1246,DOG RACING TRACK LOBBY,dog racing track lobby
1247,Track,track
1248,Burns's Gate,burns gate
1249,Burns's Bathroom,burns bathroom
1250,Laundry Chute,laundry chute
1251,BASEMENT LAUNDRY ROOM,basement laundry room
1252,BATTLEFIELD ENTRANCE,battlefield entrance
1253,HISTORICAL SITE,historical site
1254,BATTLEFIELD RE-CREATION,battlefield re-creation
1255,Gym Class,gym class
1256,ELEGANT LIVING ROOM,elegant living room
1257,ANOTHER CLASSROOM,another classroom
1258,Hallway Outside Skinner's Office,hallway outside skinner office
1259,Springfield Elementary School Prison,springfield elementary school prison
1260,Nurses Office A Little Later,nurses office a little later
1261,French Classroom,french classroom
1262,Operating Room,operating room
1263,HOSPITAL ROOM A FEW HOURS LATER,hospital room a few hours later
1264,Hospital Hallway,hospital hallway
1265,Springfield Bridge,springfield bridge
1266,MURPHY'S HOSPITAL ROOM,murphy hospital room
1267,The Jazz Hole,the jazz hole
1268,STEVE ALLEN SHOW,steve allen show
1269,Swanky Department Store,swanky department store
1270,COSBY SHOW LIVING ROOM,cosby show living room
1271,Bleeding Gums Murphy's Hospital Room,bleeding gums murphy hospital room
1272,SPRINGFIELD CEMETERY DAY,springfield cemetery day
1273,Wjazz,wjazz
1274,Jebediah Springfield Park,jebediah springfield park
1275,Small Park (includes A Band Shell),small park
1276,GRASSY KNOLL,grassy knoll
1277,City Street,city street
1278,Springfield Police Academy,springfield police academy
1279,OBSTACLE COURSE,obstacle course
1280,SHOOTING RANGE,shooting range
1281,DRIVING COURSE,driving course
1282,SPRINGFIELD CITY STREET,springfield city street
1283,MINOR LEAGUE BASEBALL FIELD,minor league baseball field
1284,LEMON TREE AREA,lemon tree area
1285,BORDERLAND,borderland
1286,Shelbyville Street,shelbyville street
1287,Shelbyville Park,shelbyville park
1288,Shelbyville Hillside,shelbyville hillside
1289,FLANDERS R.V.,flanders rv
1290,Shelbyville Bluffs,shelbyville bluffs
1291,BIG CAT BUILDING,big cat building
1292,Hill,hill
1293,GRASSY HILL,grassy hill
1294,IMPOUND LOT,impound lot
1295,Shelbyville Hospital,shelbyville hospital
1296,R.V.,rv
1297,Springfield Elementary School Roof,springfield elementary school roof
1298,Burns Oil Site,burns oil site
1299,TOWN HALL STEPS,town hall steps
1300,FRONT OF TOWN HALL,front of town hall
1301,Smithers's Apartment,smithers apartment
1302,NIGHTCLUB,nightclub
1303,PADDY WAGON,paddy wagon
1304,BACK OF COMIC BOOK STORE,back of comic book store
1305,SOME NERD'S HOUSE,some nerd house
1306,Hollywood Studio,hollywood studio
1307,Producer's Trailer,producer trailer
1308,MOVIE SET,movie set
1309,SHOOT LOCATION,shoot location
1310,Milhouse's Starwagon,milhouse starwagon
1311,EDITING TRAILER,editing trailer
1312,EDITING BAY,editing bay
1313,Slot Car Heaven,slot car heaven
1314,Abandoned Factory,abandoned factory
1315,HOLLYWOOD AND VINE,hollywood and vine
1316,SPRINGFIELD BENTLEY DEALER,springfield bentley dealer
1317,CHILD WELFARE BOARD,child welfare board
1318,Mingled Waters Health Spa,mingled waters health spa
1319,Swartzwelder County Courthouse,swartzwelder county courthouse
1320,Family Skills Class,family skills class
1321,Road Near Riverbank,road near riverbank
1322,ESTABLISHING,establishing
1323,SPRINGFIELD CENTRAL PARK,springfield central park
1324,Uncle Moe's Family Feedbag,uncle moe family feedbag
1325,181st Street,181st street
1326,Gramma Van Houten's Apartment,gramma van houten apartment
1327,Storytown Village,storytown village
1328,THE THREE BEARS' HOUSE,the three bears house
1329,TRAIN RIDE,train ride
1330,PETTING ZOO,petting zoo
1331,SHEEP PEN,sheep pen
1332,Slaughterhouse Exit,slaughterhouse exit
1333,Kwik-E-Mart Roof,kwik-e-mart roof
1334,Lard Lad Donuts,lard lad donuts
1335,SPRINGFIELD STRIP,springfield strip
1336,ROOFTOP OF CHANNEL 6,rooftop of channel 6
1337,BIG AND TALL MEN'S SHOP,big and tall men shop
1338,Van Brunt & Churchill Ad Agency,van brunt churchill ad agency
1339,AD AGENCY,ad agency
1340,REMOTE HIGHWAY OUT OF TOWN,remote highway out of town
1341,VENTURA BOULEVARD,ventura boulevard
1342,Dr. Nick Rivera's Office,dr nick rivera office
1343,Dr. Nick Rivera's Outer Office,dr nick rivera outer office
1344,VAST WAISTBAND,vast waistband
1345,REMOTE IDYLLIC CORN FIELD,remote idyllic corn field
1346,LITTER-STREWN HIGHWAY,litter-strewn highway
1347,SPRINGFIELD HIGHWAY,springfield highway
1348,TOP OF SPRINGFIELD FALLS,top of springfield falls
1349,Springfield Cemetery,springfield cemetery
1350,HOMER'S BOYHOOD HOME,homer boyhood home
1351,Germ Warfare Lab,germ warfare lab
1352,Springfield Post Office,springfield post office
1353,Springfield Airport Cab Stand,springfield airport cab stand
1354,Patty and Selma's Living Room,patty and selma living room
1355,ISOLATED STRETCH OF HIGHWAY,isolated stretch of highway
1356,ISOLATED HIGHWAY,isolated highway
1357,Springwood Minimum Security Prison,springwood minimum security prison
1358,Air Force Base,air force base
1359,Duff Blimp Exhibit,duff blimp exhibit
1360,F-15 FIGHTER DISPLAY,f-15 fighter display
1361,F-15 FIGHTER,f-15 fighter
1362,COLONEL'S WASHROOM,colonel washroom
1363,AIR SHOW,air show
1364,Channel Ocho,channel ocho
1365,Duff Blimp,duff blimp
1366,CIVIL DEFENSE SHACK,civil defense shack
1367,HARRIER JET,harrier jet
1368,WRIGHT BROS. PLANE,wright bros plane
1369,FIGHTER JET,fighter jet
1370,SPRINGFIELD BADLANDS,springfield badlands
1371,Springfield Civic Auditorium,springfield civic auditorium
1372,MATT GROENING'S OFFICE,matt groening office
1373,INDIAN PALACE,indian palace
1374,Try-N-Save,try-n-save
1375,Burns's Outer Office,burns outer office
1376,BUSH HOUSE,bush house
1377,BUSH PORCH,bush porch
1378,ELKS LODGE,elks lodge
1379,STORM DRAIN,storm drain
1380,SEWER DRAIN,sewer drain
1381,Ogdenville Outlet Mall,ogdenville outlet mall
1382,ELECTRONICS OUTLET,electronics outlet
1383,Appliance Zone,appliance zone
1384,FASHION MART,fashion mart
1385,Springfield Opera House,springfield opera house
1386,Springfield Glen Country Club,springfield glen country club
1387,Golf Course,golf course
1388,REMOTE HIGHWAY,remote highway
1389,LAW FIRM,law firm
1390,Haunted House,haunted house
1391,DOWNTOWN,downtown
1392,IRS Plaza,irs plaza
1393,IRS Building,irs building
1394,Krusty's Street,krusty street
1395,Krusty's Mansion,krusty mansion
1396,Base Of Mountain,base of mountain
1397,SPRINGFIELD SHORES,springfield shores
1398,SPRINGFIELD MARINA - BAIT & TACKLE SHOP,springfield marina - bait tackle shop
1399,BAIT & TACKLE SHOP,bait tackle shop
1400,SPRINGFIELD MARINA - SLIP 8,springfield marina - slip 8
1401,BEACH - A WHILE LATER,beach - a while later
1402,Springfield Historical Society,springfield historical society
1403,HISTORICAL SOCIETY,historical society
1404,Copy Jalopy,copy jalopy
1405,Graveyard,graveyard
1406,SPRINGFIELD DRAGSTRIP,springfield dragstrip
1407,Burns's Limo,burns limo
1408,Tropical Beach,tropical beach
