id,name,normalized_name,gender
1646,Mel Brooks,mel brooks,NA
1647,Head Rabbi,head rabbi,NA
1648,Back-up Rabbis,back-up rabbis,NA
1649,Man In Background,man in background,NA
1650,Japanese Man,japanese man,NA
1651,Japanese Woman,japanese woman,NA
1652,Person,person,NA
1654,Charles Bronson,charles bronson,NA
1655,Man In Audience,man in audience,NA
1656,New York Pilot,new york pilot,NA
1657,Spielbergo,spielbergo,NA
1658,Jay's Stomach,jays stomach,NA
1659,Actor #1,actor 1,NA
1660,Actor #3,actor 3,NA
1661,Villagers,villagers,NA
1662,BEN HUR,ben hur,NA
1663,EUDORA WELTY,eudora welty,NA
1664,Fortune Teller,fortune teller,NA
1665,FORTUNE-TELLER,fortune-teller,NA
1666,Student In Jeans,student in jeans,NA
1667,Moustached Man,moustached man,NA
1668,Mrs. Parkfield,mrs parkfield,NA
1669,Mr. Parkfield,mr parkfield,NA
1670,Eldred,eldred,NA
1671,Other Player,other player,NA
1672,Adult Nelson,adult nelson,NA
1673,NELSON JR.,nelson jr,NA
1674,Aged Krusty,aged krusty,NA
1675,Cable Announcer,cable announcer,NA
1676,Pet Store Man,pet store man,NA
1677,DRILL SGT.,drill sgt,NA
1678,Irs Agent,irs agent,NA
1679,Fat Cheeked Housekeeper,fat cheeked housekeeper,NA
1680,Ticket Lady,ticket lady,NA
1681,Shelbyville Principal,shelbyville principal,NA
1682,Enemy Soldier #1,enemy soldier 1,NA
1683,Enemy Soldier #2,enemy soldier 2,NA
1684,Soldier #3,soldier 3,NA
1685,Soldier #4,soldier 4,NA
1686,Ring Girl,ring girl,NA
1687,Tape Recorder,tape recorder,NA
1688,Tutor,tutor,NA
1689,Onlooker #1,onlooker 1,NA
1690,Opponent #1,opponent 1,NA
1691,Opponent #2,opponent 2,NA
1692,Opponent #3,opponent 3,NA
1693,Parents,parents,NA
1694,Tiny Student,tiny student,NA
1695,All Students,all students,NA
1696,Old Jazz Musician,old jazz musician,NA
1697,Store Clerk,store clerk,NA
1698,Rudi,rudi,NA
1699,Bart Butterfly,bart butterfly,NA
1700,Lion's Head,lions head,NA
1701,Darth,darth,NA
1702,Black Man,black man,NA
1703,Shill,shill,NA
1704,News Vendor,news vendor,NA
1705,Psychotic Guy,psychotic guy,NA
1706,Hairdresser,hairdresser,NA
1707,Players,players,NA
1708,Sinister Man,sinister man,NA
1709,Henchman,henchman,NA
1710,1st Tourist,1st tourist,NA
1711,2nd Tourist,2nd tourist,NA
1712,Outfielder,outfielder,NA
1713,Shelby,shelby,NA
1714,Backpack Kid,backpack kid,NA
1715,Shelbyville Kids,shelbyville kids,NA
1716,Springfield,springfield,NA
1717,Shelbyville,shelbyville,NA
1718,Tough Kid,tough kid,NA
1719,Dads,dads,NA
1720,Bigger Kid,bigger kid,NA
1721,1st Kid,1st kid,NA
1722,2nd Kid,2nd kid,NA
1723,Gas Station Attendant,gas station attendant,NA
1724,Second Customer,second customer,NA
1725,Shelbyvillers,shelbyvillers,NA
1726,Groundskeeper Wilma,groundskeeper wilma,NA
1727,Tow Truck Man,tow truck man,NA
1728,Shelbyville Grampa,shelbyville grampa,NA
1729,Prendergast,prendergast,NA
1730,Guillermo,guillermo,NA
1731,Tito Puente,tito puente,NA
1732,High School Student,high school student,NA
1733,Roughneck,roughneck,NA
1734,Veterinarian,veterinarian,NA
1735,Nelson's Parrot,nelsons parrot,NA
1736,All Teachers,all teachers,NA
1737,Male Inspector,male inspector,NA
1738,Female Inspector,female inspector,NA
1739,Other Old People,other old people,NA
1740,Imaginary Burns #1,imaginary burns 1,NA
1741,Imaginary Burns #2,imaginary burns 2,NA
1742,Imaginary Burns #3,imaginary burns 3,NA
1743,Ten Imaginary Burnses,ten imaginary burnses,NA
1744,Elderly Guard,elderly guard,NA
1745,Smithers's Brain,smitherss brain,NA
1746,SUPER-VILLAIN,super-villain,NA
1747,Teenage Employee,teenage employee,NA
1748,Pigeon,pigeon,NA
1749,Police Dispatcher,police dispatcher,NA
1750,Old Board Member,old board member,NA
1752,Scoutmaster,scoutmaster,NA
1753,Different Announcers,different announcers,NA
1754,Casting Lady,casting lady,NA
1755,Teamster,teamster,NA
1756,Dialogue Coach,dialogue coach,NA
1758,Movie Prop Guy,movie prop guy,NA
1759,Estonian Dwarf,estonian dwarf,NA
1760,Prop Guy,prop guy,NA
1761,Editor,editor,NA
1762,Spirograph Man,spirograph man,NA
1763,Mickey Rooney,mickey rooney,NA
1764,Helicopter Pilot,helicopter pilot,NA
1765,SHALLOW-LOOKING HOLLYWOODITE,shallow-looking hollywoodite,NA
1766,Bentley Salesman,bentley salesman,NA
1767,Head Lice,head lice,NA
1768,Bully Girls,bully girls,NA
1769,Old Mafia Guy,old mafia guy,NA
1771,Officer Noble,officer noble,NA
1772,FROM SPEAKER,from speaker,NA
1773,Father In Burlap Sack,father in burlap sack,NA
1774,Crow,crow,NA
1775,Pre-Teen Hibbert Kid,pre-teen hibbert kid,NA
1776,Little Hibbert Girl,little hibbert girl,NA
1777,Teenage Hibbert Boy,teenage hibbert boy,NA
1778,Barney-Shaped Form,barney-shaped form,NA
1779,Jinglers,jinglers,NA
1780,SHERRI/TERRI/THEIR SOULS,sherriterritheir souls,NA
1781,NELSON/HIS SOUL,nelsonhis soul,NA
1782,MARTIN'S SOUL,martins soul,NA
1783,Unctuous Waiter,unctuous waiter,NA
1784,Figure,figure,NA
1785,SHERRI/TERRI,sherriterri,NA
1786,VERY CUTE LITTLE GIRL,very cute little girl,NA
1787,Raving Derelict,raving derelict,NA
1788,Nana Van Houten,nana van houten,NA
1789,Wolf,wolf,NA
1790,Pigs,pigs,NA
1791,Papa Bear,papa bear,NA
1792,Mama Bear,mama bear,NA
1793,Baby Bear,baby bear,NA
1794,Mother Goose,mother goose,NA
1795,100 Flanderses,100 flanderses,NA
1796,Jose Flanders,jose flanders,NA
1797,Thistlewick Flanders,thistlewick flanders,NA
1798,Lamb,lamb,NA
1799,MS. HOOVER,ms hoover,NA
1800,Worm,worm,NA
1801,Child Voice,child voice,NA
1802,Linda McCartney,linda mccartney,NA
1803,Paul McCartney,paul mccartney,NA
1804,Lard Lad,lard lad,NA
1805,College Students,college students,NA
1806,Store Owner,store owner,NA
1807,Mr. Van Brunt,mr van brunt,NA
1808,Paul Anka,paul anka,NA
1809,Kindergarten Kids,kindergarten kids,NA
1810,All Parents,all parents,NA
1811,Homer's Mouth,homers mouth,NA
1812,Muscular Guy,muscular guy,NA
1813,Glamorous Woman,glamorous woman,NA
1814,Rugged Man,rugged man,NA
1815,Moviegoer,moviegoer,NA
1816,Ice Cream Man,ice cream man,NA
1817,Worker #3,worker 3,NA
1818,Line Man,line man,NA
1819,County Clerk,county clerk,NA
1820,Grave-digger,grave-digger,NA
1821,Howard Cosell,howard cosell,NA
1822,Protestors,protestors,NA
1823,Student Wiggum,student wiggum,NA
1824,Dennis Hopper,dennis hopper,NA
1825,Postal Clerk,postal clerk,NA
1826,Postal Clerk #2,postal clerk 2,NA
1827,Van Driver,van driver,NA
1828,Enraged Prisoner,enraged prisoner,NA
1829,Teenage Girl,teenage girl,NA
1830,Tv Audience,tv audience,NA
1831,AIRMAN AT THE GATE,airman at the gate,NA
1832,Very Normal Prisoner,very normal prisoner,NA
1833,Another Prisoner,another prisoner,NA
1834,Airman Tour Guide,airman tour guide,NA
1835,M.P.,mp,NA
1836,ENTIRE AUDIENCE,entire audience,NA
1837,Loudspeaker,loudspeaker,NA
1838,Airman At Gate,airman at gate,NA
1839,Airman With Pistol,airman with pistol,NA
1840,Airman In Tank,airman in tank,NA
1841,Matt Groening,matt groening,NA
1842,Network Executive #1,network executive 1,NA
1843,Network Executive #2,network executive 2,NA
1751,Producer,producer,m
1844,Supervillain,supervillain,NA
1845,Bont,bont,NA
1846,Indian Woman,indian woman,NA
1847,Bare-chested Man,bare-chested man,NA
1848,Richard Simmons Robot,richard simmons robot,NA
1849,Carolers,carolers,NA
1850,Rich Suburban Mom,rich suburban mom,NA
1851,SPOILED LITTLE BOY,spoiled little boy,NA
1852,Gavin,gavin,NA
1853,Mario,mario,NA
1854,"""Mario"" #2",mario 2,NA
1855,Donkey Kong,donkey kong,NA
1856,Lee Carvallo,lee carvallo,NA
1857,Sonic the Hedgehog,sonic the hedgehog,NA
1859,Answering Machine,answering machine,NA
1860,Mangy Santa,mangy santa,NA
1861,Quimby #2,quimby 2,NA
1862,Quimbys,quimbys,NA
1863,Bowling Clerk,bowling clerk,NA
1864,Nurselady Doris,nurselady doris,NA
1865,Sportscaster #2,sportscaster 2,NA
1866,Guy In Crowd,guy in crowd,NA
1869,GEORGE BUSH & FLANDERS,george bush flanders,NA
1870,Teenage Kid,teenage kid,NA
1871,HOMER AND BART,homer and bart,NA
1872,Elks,elks,NA
1873,GORBACHEV,gorbachev,NA
1874,Gerald Ford,gerald ford,NA
1877,Simpsons,simpsons,NA
1878,Women,women,NA
1879,Dorothy Parker-ish Socialite,dorothy parker-ish socialite,NA
1880,Patricia,patricia,NA
1881,Roberta,roberta,NA
1882,Brittany Brockman,brittany brockman,NA
1883,Tom Kite,tom kite,NA
1884,Saleslady,saleslady,NA
1885,Mr. Dewey,mr dewey,NA
1886,Bank Employee,bank employee,NA
1887,Teller #2,teller 2,NA
1888,Cayman Islands Bank Guy,cayman islands bank guy,NA
1889,Chief Agent,chief agent,NA
1890,2ND IRS AGENT,2nd irs agent,NA
1891,Phone Bid Taker,phone bid taker,NA
1892,Man's Voice,mans voice,NA
1893,Bob Newhart,bob newhart,NA
1894,GLOBAL POSITIONING SYSTEM,global positioning system,NA
1895,Pioneers,pioneers,NA
1896,Troy-jebediah,troy-jebediah,NA
1897,Fatherly Pioneer,fatherly pioneer,NA
1898,Mechanical Voice,mechanical voice,NA
1900,Committee Members,committee members,NA
1901,Sprüngfeld,sprüngfeld,NA
1902,Betsy Ross,betsy ross,NA
1903,Corporate Type,corporate type,NA
1904,Skull,skull,NA
1905,Sharpshooter,sharpshooter,NA
1906,Employees,employees,NA
1907,Mrs. Burns,mrs burns,NA
1908,Middle-aged Man,middle-aged man,NA
1909,Brinkley,brinkley,NA
1910,Suzanne Somers,suzanne somers,NA
1913,Courtroom Spectators,courtroom spectators,NA
1914,Amendment,amendment,NA
1915,Congressman,congressman,NA
1916,Mob Of Amendments,mob of amendments,NA
1917,Crazy Amendment,crazy amendment,NA
1918,Lester,lester,NA
1919,Miss Piggy,miss piggy,NA
1920,Sir Kermit,sir kermit,NA
1921,Paparazzo,paparazzo,NA
1922,PHONE VOICE,phone voice,NA
1924,Diners,diners,NA
1925,Obnoxious Diner,obnoxious diner,NA
1926,TROY/ONSCREEN TROY,troyonscreen troy,NA
1927,Male Co-host,male co-host,NA
1928,Female Co-host,female co-host,NA
1929,Ape,ape,NA
1930,Ape #2,ape 2,NA
1931,Chorus Of Ape Elders,chorus of ape elders,NA
1932,Ape Nurse,ape nurse,NA
1933,Dr. Zaius,dr zaius,NA
1934,Jub-Jub,jub-jub,NA
1935,Ticketing Agent,ticketing agent,NA
1936,Crackerman,crackerman,NA
1937,Other Traders,other traders,NA
1938,Angry Dad,angry dad,NA
1939,Deranged-looking Hitchhiker,deranged-looking hitchhiker,NA
1940,Andy Williams,andy williams,NA
1941,Commanding-voiced Man,commanding-voiced man,NA
1942,Proprietor,proprietor,NA
1943,Al Gore Doll,al gore doll,NA
1944,Pawn Shop Clerk,pawn shop clerk,NA
1945,Chinese Doctor,chinese doctor,NA
1946,Oak Ridge Engineer,oak ridge engineer,NA
1947,Review Board Members,review board members,NA
1948,Review Board Chairman,review board chairman,NA
1875,Brandine Del Roy,brandine del roy,f
1899,HURLBUT,hurlbut,m
1867,Disco Stu,disco stu,m
1911,Chester Lampwick,chester lampwick,m
1923,Macarthur Parker,macarthur parker,m
1858,Detective,detective,m
1876,Evelyn,evelyn,f
1949,Señora Bumblebee Man,señora bumblebee man,NA
1950,Twangy Singers,twangy singers,NA
1951,Very Tall Man,very tall man,NA
1952,Grampa Van Houten,grampa van houten,NA
1953,Judge Grandfather,judge grandfather,NA
1954,VIDAL,vidal,NA
1955,Voice On Intercom,voice on intercom,NA
1956,Phony Homer,phony homer,NA
1957,Phony Marge,phony marge,NA
1958,Iggy Wiggum,iggy wiggum,NA
1959,Sheldon Skinner,sheldon skinner,NA
1960,Arnie Gumble,arnie gumble,NA
1961,Ox,ox,NA
1962,Platoon,platoon,NA
1963,Etch,etch,NA
1964,ROD/TODD,rodtodd,NA
1965,State Dept. Man #1,state dept man 1,NA
1966,State Dept. Man #2,state dept man 2,NA
1967,Von Wörtzenburger,von wörtzenburger,NA
1968,VON WÖRTZENURGER,von wÖrtzenurger,NA
1969,GREAT GRAMPA,great grampa,NA
1970,Great Grampa Simpson,great grampa simpson,NA
1971,GREAT GRAMMA SIMPSON,great gramma simpson,NA
1972,Apu's Father,apus father,NA
1973,Apu's Mother,apus mother,NA
1974,Young Apu,young apu,NA
1976,Young Frink,young frink,NA
1977,Tom Cruise,tom cruise,NA
1978,Nicole Kidman,nicole kidman,NA
1979,I.N.S. AGENT,ins agent,NA
1980,Radio,radio,NA
1981,Sales Teen,sales teen,NA
1982,First Cool Guy,first cool guy,NA
1983,All Other Guys,all other guys,NA
1984,Second Girl,second girl,NA
1985,Ticket,ticket,NA
1986,Blockhead,blockhead,NA
1987,B-Real,b-real,NA
1988,Sales Kid,sales kid,NA
1989,Sour Kid,sour kid,NA
1990,Many Kids,many kids,NA
1991,Sour Kid #2,sour kid 2,NA
1992,Sour Girl,sour girl,NA
1993,Peter Frampton,peter frampton,NA
1994,Billy Corgan,billy corgan,NA
1995,Sonic Youth,sonic youth,NA
1996,Cypress Hill,cypress hill,NA
1997,Smashing Pumpkins,smashing pumpkins,NA
1998,First Gen-x Kid,first gen-x kid,NA
1999,Second Gen-x Kid,second gen-x kid,NA
2001,Jimmy Chamberlin,jimmy chamberlin,NA
2002,James Iha,james iha,NA
2003,DJ Muggs,dj muggs,NA
2004,London Orchestra Guy,london orchestra guy,NA
2005,FRAMPTON'S GUITAR,framptons guitar,NA
2006,Otto's Left Shoe,ottos left shoe,NA
2007,Otto's Right Shoe,ottos right shoe,NA
2008,Thurston Moore,thurston moore,NA
2009,Steve Shelley,steve shelley,NA
2010,Lee Ranaldo,lee ranaldo,NA
2011,Kim Gordon,kim gordon,NA
2012,Sen-Dog,sen-dog,NA
2013,Ice Cream Truck Supervisor,ice cream truck supervisor,NA
2014,Nerdy Girl,nerdy girl,NA
2015,OTHER NERDY GIRL,other nerdy girl,NA
2016,Pippi Longstocking,pippi longstocking,NA
2017,Eustace Tilley,eustace tilley,NA
2018,Alice,alice,NA
2019,COOL KID VOICE,cool kid voice,NA
2020,COOL GIRL VOICE,cool girl voice,NA
2021,Rick,rick,NA
2022,Erin,erin,NA
2023,Apu II,apu ii,NA
2024,Something,something,NA
2025,"Hulking, Shambling Figure",hulking shambling figure,NA
2026,Hugo,hugo,NA
2027,Prof. Mini-Frink,prof mini-frink,NA
2028,Notable,notable,NA
2029,Fat Man,fat man,NA
2030,Dole,dole,NA
2031,Committee Staff,committee staff,NA
2032,Clinton,clinton,NA
2033,KODOS-CLINTON,kodos-clinton,NA
2034,KANG-DOLE,kang-dole,NA
2035,Spokesman,spokesman,NA
2036,SECRET SERVICEMAN,secret serviceman,NA
2037,Man In Crowd,man in crowd,NA
2038,Alien Crier,alien crier,NA
2039,Businesswoman,businesswoman,NA
2041,Technicians,technicians,NA
2042,Student In Sunglasses,student in sunglasses,NA
2043,Milhouse,milhouse,NA
2044,Mr. Doyle,mr doyle,NA
2045,Leg-up Kid,leg-up kid,NA
2046,2nd Leg-up Kid,2nd leg-up kid,NA
2047,3RD LEG-UP KID,3rd leg-up kid,NA
2048,Leg-up Teacher,leg-up teacher,NA
2049,Rest Of Class,rest of class,NA
2050,Mrs. Owl,mrs owl,NA
2051,U.N. Member,un member,NA
2052,2nd U.N. Member,2nd un member,NA
2053,Jumpsuited Guy,jumpsuited guy,NA
3001,Duncan,duncan,NA
2040,Hank Scorpio,hank scorpio,m
2000,D'arcy,darcy,f
2054,Record/children,recordchildren,NA
2055,Computer,computer,NA
2056,Messenger,messenger,NA
2057,Mall Announcer,mall announcer,NA
2058,Indian #1,indian 1,NA
2059,Indian #2,indian 2,NA
2060,Microchip Voice,microchip voice,NA
2061,Jimbo's Dad,jimbos dad,NA
2062,Dolph's Dad,dolphs dad,NA
2063,Kearney's Dad,kearneys dad,NA
2064,LUCIUS,lucius,NA
2066,Prisoners,prisoners,NA
2067,Questioner #1,questioner 1,NA
2068,Questioner #2,questioner 2,NA
2069,Questioner #3,questioner 3,NA
2070,PAROLE BOARD MEMBERS,parole board members,NA
2071,T-shirt Vendor,t-shirt vendor,NA
2072,Michael Buffer,michael buffer,NA
2073,Fan Man,fan man,NA
2074,Park Ranger,park ranger,NA
2075,Tour Group,tour group,NA
2076,Old Preppie,old preppie,NA
2077,Willy Loman,willy loman,NA
2078,Wealthy Dowager,wealthy dowager,NA
2079,Male Admissions Officer,male admissions officer,NA
2080,Female Admissions Officer,female admissions officer,NA
2081,Costume Shop Clerk,costume shop clerk,NA
2082,Child's Voice,childs voice,NA
2083,Simulated Homer,simulated homer,NA
2084,Starlet,starlet,NA
2085,Sports Announcer,sports announcer,NA
2086,Dancer #1,dancer 1,NA
2088,Rusty,rusty,NA
2089,Bernice Hibbert,bernice hibbert,NA
2090,Dancer #2,dancer 2,NA
2091,BELLE/DANCERS,belledancers,NA
2092,Townsmen Chorus,townsmen chorus,NA
2093,Marge's Dummy,marges dummy,NA
2094,Hibbert Family,hibbert family,NA
2095,"Kearney, Jr.",kearney jr,NA
2096,Single Man,single man,NA
2097,Cracker Executive,cracker executive,NA
2098,Chase,chase,NA
2099,Starla,starla,NA
2100,Flashback Homer,flashback homer,NA
2101,Flashback Marge,flashback marge,NA
2102,COMBO FRONTMAN,combo frontman,NA
2103,Bandmembers,bandmembers,NA
2104,Homer's Recording,homers recording,NA
2105,Milhouse's Thoughts,milhouses thoughts,NA
2106,Paramedic,paramedic,NA
2107,Nelson's Brain,nelsons brain,NA
2108,National Guardsman,national guardsman,NA
2109,Main Title Singers,main title singers,NA
2110,Prison Officials,prison officials,NA
2111,Citizens,citizens,NA
2112,Older Nurse,older nurse,NA
2114,Young Ned,young ned,NA
2115,Young Dr. Foster,young dr foster,NA
2116,"Nedward Flanders, Sr.",nedward flanders sr,NA
2117,Mona Flanders,mona flanders,NA
2118,Crazy Man,crazy man,NA
2119,Jay Sherman,jay sherman,NA
2120,Various Onlookers,various onlookers,NA
2121,Coyote,coyote,NA
2122,Furniture Salesman,furniture salesman,NA
2123,First Mate,first mate,NA
2124,Leonard Nimoy,leonard nimoy,NA
2125,Video Arcade Man,video arcade man,NA
2126,Kevin Costner Voice,kevin costner voice,NA
2127,Guilty Man,guilty man,NA
2128,Fox Mulder,fox mulder,NA
2129,Dana Scully,dana scully,NA
2130,Alf,alf,NA
2131,MARVIN-THE-MARTIAN-TYPE,marvin-the-martian-type,NA
2132,Whale,whale,NA
2133,Frog #1,frog 1,NA
2134,Frog #2,frog 2,NA
2135,Frog #3,frog 3,NA
2136,alligator,alligator,NA
2137,Hot Dog Stand Guy,hot dog stand guy,NA
2138,SMITHERS',smithers,NA
2139,NICK RIVIERA,nick riviera,NA
2140,Motivational Man,motivational man,NA
2141,Picture Man,picture man,NA
2142,Pita Saleswoman,pita saleswoman,NA
2143,Investorettes,investorettes,NA
2144,Frank Ormand,frank ormand,NA
2145,1st Sportscaster,1st sportscaster,NA
2146,Entire Stadium,entire stadium,NA
2147,2nd Sportscaster,2nd sportscaster,NA
2148,Mobster,mobster,NA
2149,Little Yakuza,little yakuza,NA
2150,Yakuza,yakuza,NA
2151,1st Panicked Employee,1st panicked employee,NA
2152,2nd Panicked Employee,2nd panicked employee,NA
2153,Ranger,ranger,NA
2154,Smokey Bear,smokey bear,NA
2155,Smithers's Echo,smitherss echo,NA
2156,John Muir,john muir,NA
2157,Drunk Man,drunk man,NA
2158,McFadden,mcfadden,NA
2113,Dr. Foster,dr foster,m
2087,Belle,belle,f
2159,Mr. Burns's Thoughts,mr burnss thoughts,NA
2160,Family,family,NA
2161,FORD,ford,NA
2162,Older Woman,older woman,NA
2163,Elderly Woman,elderly woman,NA
2164,Nanny,nanny,NA
2166,Fidgety Lieutenant,fidgety lieutenant,NA
2167,Quentin Tarantino,quentin tarantino,NA
2168,Moderator,moderator,NA
2169,Writer #1,writer 1,NA
2170,Writer #3,writer 3,NA
2171,Writing Staff,writing staff,NA
2172,Head Animator,head animator,NA
2173,Roy,roy,NA
2174,David Cohen,david cohen,NA
2175,Sound Engineer,sound engineer,NA
2176,June,june,NA
2177,Nerd In Audience,nerd in audience,NA
2178,Theme Singers,theme singers,NA
2179,Very Deep Voice,very deep voice,NA
2180,Poochie,poochie,NA
2181,Hip Saleswoman,hip saleswoman,NA
2182,100 Workers,100 workers,NA
2183,Buffed Worker,buffed worker,NA
2184,Worker In Crowd,worker in crowd,NA
2185,Convicts,convicts,NA
2186,Fat Convict,fat convict,NA
2188,Sideshow Bob's Brain,sideshow bobs brain,NA
2189,1986 Cecil,1986 cecil,NA
2190,1986 BOB,1986 bob,NA
2191,1986 Krusty,1986 krusty,NA
2192,EVERYONE BUT BOB AND CECIL,everyone but bob and cecil,NA
2193,Cousin Merl,cousin merl,NA
2194,Man In Lower Outhouse,man in lower outhouse,NA
2195,Comedy Nurse,comedy nurse,NA
2196,Distressed Yuppie,distressed yuppie,NA
2197,Young Italian Man #1,young italian man 1,NA
2198,Limo Driver,limo driver,NA
2199,Emergency Operator,emergency operator,NA
2200,Irish Cops,irish cops,NA
2201,Drunken Revelers,drunken revelers,NA
2202,Shocked Old Woman,shocked old woman,NA
2203,Bar Crowd,bar crowd,NA
2204,Temperance Women,temperance women,NA
2205,Very Old Clerk,very old clerk,NA
2206,Councilmen,councilmen,NA
2207,Head Of Duff,head of duff,NA
2208,Quimby's Aide,quimbys aide,NA
2210,"HOMER, MARGE AND BART",homer marge and bart,NA
2211,Helpful Clerk,helpful clerk,NA
2212,Voice In Crowd,voice in crowd,NA
2213,Magician,magician,NA
2214,Cafeteria Worker,cafeteria worker,NA
2215,Computerized Japanese Voice,computerized japanese voice,NA
2216,Laddie,laddie,NA
2217,Credit Representative,credit representative,NA
2218,Repo Goon #2,repo goon 2,NA
2219,Heiress,heiress,NA
2220,Lumley,lumley,NA
2221,Distant Voice,distant voice,NA
2222,FIRE-STOKER,fire-stoker,NA
2223,Tommy,tommy,NA
2224,Mitchell,mitchell,NA
2225,Stockbroker,stockbroker,NA
2226,ADVISORS & SMITHERS,advisors smithers,NA
2227,Real Estate Agent,real estate agent,NA
2228,"Bret ""The Hitman"" Hart",bret the hitman hart,NA
2229,Shrieking Sheik,shrieking sheik,NA
2230,Activity Coordinator,activity coordinator,NA
2231,Female Resident,female resident,NA
2232,Male Resident,male resident,NA
2233,Several Residents,several residents,NA
2234,Hospital Intercom,hospital intercom,NA
2235,Test Blast Announcer,test blast announcer,NA
2236,Nearby Patient,nearby patient,NA
2237,P.A. SYSTEM,pa system,NA
2238,Young Flanders,young flanders,NA
2239,Young Lovejoy,young lovejoy,NA
2240,Japanese Worker #1,japanese worker 1,NA
2241,St. Eleutherius,st eleutherius,NA
2242,St. Bartholomew,st bartholomew,NA
2243,St. Lucian,st lucian,NA
2244,St. Donickus,st donickus,NA
2245,Japanese Businessman,japanese businessman,NA
2246,Mr. Sparkle,mr sparkle,NA
2247,UNDERWATER GIRLS #1 & #2,underwater girls 1 2,NA
2248,UNDERWATER GIRL #3,underwater girl 3,NA
2249,Sumo Wrestlers,sumo wrestlers,NA
2250,Japanese Announcer,japanese announcer,NA
2251,Donny,donny,NA
2252,Baboon,baboon,NA
2253,Japanese Tourist,japanese tourist,NA
2254,Zookeeper,zookeeper,NA
2255,Baboons,baboons,NA
2257,City Employee,city employee,NA
2258,Portly Chef,portly chef,NA
2259,Big Daddy,big daddy,NA
2260,Scary Huge-headed Figure,scary huge-headed figure,NA
2261,Betty,betty,NA
2187,Cecil Terwilliger,cecil terwilliger,m
2165,SHARY,shary,f
2209,Rex Banner,rex banner,m
2262,BETTY & MOE,betty moe,NA
2263,MOE & BETTY,moe betty,NA
2264,Tim Conway,tim conway,NA
2265,Ozmodiar,ozmodiar,NA
2266,OSMODIAR AND TROY,osmodiar and troy,NA
2267,Adlai Stevenson,adlai stevenson,NA
2268,Parrots,parrots,NA
2270,Cadet,cadet,NA
2271,Cadet Larsen,cadet larsen,NA
2272,Cadet Franklin,cadet franklin,NA
2273,Cadet Platt,cadet platt,NA
2274,Cadets,cadets,NA
2275,CADET ANDERSEN,cadet andersen,NA
2276,Cadet Anderson,cadet anderson,NA
2278,Cheerleaders,cheerleaders,NA
2279,Hasidic Man,hasidic man,NA
2280,Immigrants,immigrants,NA
2281,OFFICE WORKER IN TOWER ONE,office worker in tower one,NA
2282,OFFICE WORKER IN TOWER TWO,office worker in tower two,NA
2283,Undershirt Guy,undershirt guy,NA
2284,Dmv Recording,dmv recording,NA
2285,Gruff Voice,gruff voice,NA
2286,Crazy Guy,crazy guy,NA
2287,Fireworks Vendor,fireworks vendor,NA
2288,Society Matron,society matron,NA
2289,Alfred E. Neuman,alfred e neuman,NA
2290,Angry Cab Driver,angry cab driver,NA
2291,Bike Messenger,bike messenger,NA
2292,Song On Radio,song on radio,NA
2293,Jury Member #1,jury member 1,NA
2294,Jury Member #2,jury member 2,NA
2295,Jury Chorus,jury chorus,NA
2296,Mr. Cleary,mr cleary,NA
2297,Staff/patients,staffpatients,NA
2298,Construction Worker,construction worker,NA
2299,Picnickers,picnickers,NA
2300,Carriage Driver,carriage driver,NA
2301,Student Choir,student choir,NA
2302,Stranger,stranger,NA
2305,Young Armin,young armin,NA
2306,Frog,frog,NA
2307,Krusty,krusty,NA
2308,Asian Boy,asian boy,NA
2309,Young Barney,young barney,NA
2310,Little Girls,little girls,NA
2311,Headmistress,headmistress,NA
2312,Man At Bar,man at bar,NA
2313,French President,french president,NA
2314,Mutant Sideshow Mel,mutant sideshow mel,NA
2315,Mutant Dr. Hibbert,mutant dr hibbert,NA
2316,Mutant Moe,mutant moe,NA
2317,Mutant Skinner,mutant skinner,NA
2318,Mutant Burns,mutant burns,NA
2319,Mutant Lenny,mutant lenny,NA
2320,Mutants,mutants,NA
2321,Mutant Wiggum,mutant wiggum,NA
2322,MUTANT FLANDERS,mutant flanders,NA
2323,MUTANT MEL/SKINNER/MOE/BURNS/WIGGUM,mutant melskinnermoeburnswiggum,NA
2324,Creature,creature,NA
2325,Fly-head,fly-head,NA
2326,Governor Quimby,governor quimby,NA
2327,Constable Wiggum,constable wiggum,NA
2328,Goodman Skinner,goodman skinner,NA
2329,Goodman Flanders,goodman flanders,NA
2330,Pastor Lovejoy,pastor lovejoy,NA
2331,Goodman Moe,goodman moe,NA
2332,Goody Krabappel,goody krabappel,NA
2333,Goodman Lenny,goodman lenny,NA
2334,Snowman Eddie,snowman eddie,NA
2335,Princess Lou,princess lou,NA
2336,Goody Maude,goody maude,NA
2337,Pelé,pelé,NA
2338,Foreign Announcer,foreign announcer,NA
2339,Soccer Hooligans,soccer hooligans,NA
2340,Soccer Hooligan,soccer hooligan,NA
2341,Security Salesman,security salesman,NA
2342,Gun Clerk,gun clerk,NA
2343,Hooker,hooker,NA
2344,Muffled Voice,muffled voice,NA
2345,Team,team,NA
2346,Roy Firestone,roy firestone,NA
2347,Teenage Smithers,teenage smithers,NA
2348,MIDDLE-AGE GRAMPA,middle-age grampa,NA
2349,Teenage Lenny,teenage lenny,NA
2351,Joe Namath,joe namath,NA
2352,Other Players,other players,NA
2353,HANK,hank,NA
2354,Female Voices,female voices,NA
