title,genres,release_date,release_country,movie_rating,review_rating,movie_run_time,plot,cast,language,filming_locations,budget
Do You Like My Basement (2012),Comedy| Horror| Thriller,6-Oct-14,UK,NOT RATED,3.4,87 min,"Directed by Roger Sewhcomar. With Lian Allweiss, Maggie Balistreri, Lowell Byers, Eric Chase. Do You Like My Basement? tracks how one man's creative frustration bore a need to make the perfect horror film. Stanley Farmer was rejected universally by the film world. His frustration provoked a darker side and soon cunning, guile, devilish charm and a sociopath's streak compelled him to produce a home-made magnum opus. A film that blurs the lines between reality and fiction and demands the ...",Lian Allweiss|Maggie Balistreri|Lowell Byers|Eric Chase|Andres De Vengoechea|Sal Esen|Charlie Floyd|Jessica Alexandra Green|Stanley Lewis|Claude McCalla|Yukiko Miyawaki|Squeaky Moore|Matthew F. O'Connor|Araceli Parrish|Washino Rena,English,"New York City, New York, USA",NA
Sorceress (2017),Drama| Fantasy| Horror| Music| Romance| Thriller,25-Feb-17,USA,NA,4.6,84 min,"Directed by Naama Kates, Jarkko T. Laine. With Naama Kates, Oona Airola, Maritta Viitamäki, Antti Lattu. A young woman raised in the US returns to her birth country in Eastern Europe after a devastating tragedy. Questioning her sanity and her sexuality, she starts believing she possesses supernatural powers.",Naama Kates|Oona Airola|Maritta Viitamäki|Antti Lattu|Aapo Oranen|Virpi Lehto|Emerald Kristin Barcelona|Tyler Conklin|Emma Duncan|Tan Duong|Michael Haddad|Chasity Londynn|Brian Stevens|John Walker|John Davis Walker,English,"Helsinki, Finland","$500,000"
The Warning (2012),Horror,21-Dec-12,UK,NA,2.8,78 min,"Directed by Alexander Williams. With Simon Phillips, Marc Pickering, Grace Vallorani, Martin Fisher. We were warned in an ancient Mayan prophecy that the 21st December 2012 would be the beginning of the end, but not how and where this new era would unveil itself. Until now.",Simon Phillips|Marc Pickering|Grace Vallorani|Martin Fisher|Peter Barrett|Krzysztof Skonieczny|Rita Ramnani|Patrick O'Connor|Charlotte Lewis|Rodrig Andrisan|Stuart Bailey|Scott Fox Dear|Kyla Dervish|Susan Fordham|Lee Nicholas Harris,English,NA,"$500,000"
The Reverend (2011),Horror,3-Aug-12,UK,NOT RATED,4.3,98 min,"Directed by Neil Jones. With Rutger Hauer, Doug Bradley, Tamer Hassan, Edmund Kingsley. A Reverend begins his first day at his new parish only to be bitten by a vampire. His faith is soon tested when his thirst for blood and an encounter with a prostitute gives him a thirst for justice.",Rutger Hauer|Doug Bradley|Tamer Hassan|Edmund Kingsley|Simon Phillips|Emily Booth|Shane Richie|Giovanni Lombardo Radice|Marcia Do Vales|Stuart Brennan|Mads Koudal|Dominic Burns|Helen Griffin|Neil Jones|Gareth Webb,English,"South Wales, Wales, UK","$1,000,000"
Terror Birds (2016),Horror| Sci-Fi,8-Mar-16,USA,NA,3.9,87 min,"Directed by Sean Cain. With Jessica Lee Keller, Lindsey Sporrer, Greg Evigan, Leslie Easterbrook. When Maddy Stern discovers her father has gone missing during a routine birdwatching excursion, she and her college pals trek out into the wilderness to find him, only to end up in a wealthy scientist's desolate ranch aviary, where they encounter a pair of giant, hungry terror birds believed to be extinct for centuries.",Jessica Lee Keller|Lindsey Sporrer|Greg Evigan|Leslie Easterbrook|Dillon Cavitt|Evan Miller|Sarah Joy Byington|Heath Allyn|Mark Hanson|Craig Nigh|Sam Stinson|David Lee Hess|Carlton Caudle|Clint McCreery|Spencer Greenwood,NA,"Spiderwood Studios, Austin, Texas, USA",NA
Cabin of Horror (2015),Horror,31-Oct-15,USA,NA,4.9,65 min,"Directed by Sean Michael Williams, Emily Rahman. With Sean Michael Williams, Emily Rahman, Sophie Morrison, Steven Perillo. Jett, an indie filmmaker in search of a bone-chilling thrill, persuades his girlfriend Emma and friends to accompany him in an unauthorized weekend stay at a haunted cabin near Devil's Creek in Michigan. Upon their stay, they are harassed and terrorized by an evil spirit that refuses to let them leave the haunted grounds...ALIVE!",Sean Michael Williams|Emily Rahman|Sophie Morrison|Steven Perillo|Jesus 'Chuy' Romero|Jill Nigh|Rhiannon O'Keefe|Neal Kraft,English,"Chicago, Illinois, USA","$3,000"
Bayama Irukku (2017),Comedy| Horror,22-Sep-17,India,NA,6.2,122 min,"Directed by Jawahar. With Jagan, Lollu Sabha Jeeva, Reshmi Menon, Santhosh Prathap. After a group of friends discovers that one of their friends is facing problems with his wife, who they believe is possessed by a ghost, they try to save him with the help of an exorcist.",Jagan|Lollu Sabha Jeeva|Reshmi Menon|Santhosh Prathap|Rajendran|Kovai Sarala,Tamil,NA,NA
The curse of the mayans (2017),Horror| Sci-Fi,2-May-17,Japan,NA,4.5,NA,"Directed by Joaquin Rodriguez. With Olga Fonda, Carla Ortiz, Steve Wilcox, Mark Tacher. Dr. Alan Green an American Archelogist leads Danielle Noble an her team of cave divers on an expedition searching the Mayan ancient records. Instead of finding glory they will find hell hidden in the underwater caves of Xibalba.",Olga Fonda|Carla Ortiz|Steve Wilcox|Mark Tacher|Bernardo Peña|Juan Pablo Castañeda|Luis Felipe Tovar|Mauricio Martinez|Héctor Ortega|Mauricio Martinez|Ricardo Lima Martinez,Spanish|English,"Xcaret, Mexico","$3,000,000"
The Invited (2010),Horror| Thriller,17-Mar-15,USA,NOT RATED,4.3,95 min,"Directed by Ryan McKinney. With Carlos Alazraqui, Ellen Albertini Dow, Dana Barron, Christa Bella. A young married couple who are pregnant with their first child moves into their turn-of-the-century home where they discover that a great evil has resided there for nearly a century, unleashed by a previous occupant.",Carlos Alazraqui|Ellen Albertini Dow|Dana Barron|Christa Bella|Eric Bowen|William Brent|Sarah Brown|Victor Browne|Judea Cavoto|James Anthony Cotton|Karyn Dahl|Emily Rose Everhard|Nick Fenske|Alfonso Freeman|Michael Greggans,English,"Camino, California, USA","$7,000,000"
Purgatory Road (2017),Crime| Horror,27-Oct-17,USA,NA,NA,98 min,"Directed by Mark Savage. With Jeremy Sande, Sylvia Grace Crim, Kerry Kelly Gridley, Gary Cairns.",Jeremy Sande|Sylvia Grace Crim|Kerry Kelly Gridley|Gary Cairns|Trista Robinson|Luke Albright|Jack Teague|Douglas Cunningham|Calvin Williams|Manon Pages|Melody Brooke|Noah Cook|Jacquelyn Elder-Merideth|James Harlon Palmer|Hunter McGregor,English,NA,NA
The Small Woman in Grey (2017),Horror,1-Oct-17,UK,NA,9.5,90 min,"Directed by Andrew Sean Eltham-Byers. With Brinke Stevens, Susan Barham, Josh Boden, Aurora Collman. A group of teenagers go for a partying weekend in the woods. Unknown to them the woods they have chosen is home to a legend. The legend of a young girl who was bullied and then committed suicide. Are the woods haunted by a peaceful spirit or a spirit hell bent on destruction? Or is everything not quite what it seems? Watch as our teenagers fight with all their might to survive until morning.",Brinke Stevens|Susan Barham|Josh Boden|Aurora Collman|Heidi Dabrowski|Jordan Emmett|Matt Fisher|Alan Harding|Jesse James Reynolds|Heather Russell-Kay|Brett Shepherd|Becca Tizzard|John Turner,English,"England, UK","£5,000"
Witchcraft 15: Blood Rose (2016),Horror,1-Jan-17,USA,NA,4,81 min,"Directed by David Palmieri. With Molly Dougherty, Noël VanBrocklin, Berna Roberts, Leroy Castanon. Rose, a legacy witch, becomes a member of a local coven. Seductress Sharon uses her own powers to enter Roses' body and mind. She uses Rose unwillingly to steal people's souls. Her ultimate goal: resurrect Satan himself. Will Rose stop her sexy, evil rampage before it is too late?",Molly Dougherty|Noël VanBrocklin|Berna Roberts|Leroy Castanon|Zamra Dollskin|Ernest Pierce|Ryan Cleary|Jessica Beck|Manny Cazz|Diana Prince|Jennifer Woods,English,NA,NA
Oru Murai Vanthu Paarthaya (2016),Comedy| Horror| Romance,27-May-16,India,NA,5.3,151 min,"Directed by Sajan K. Mathew. With Unni Mukundan, Prayaga Martin, Sanusha, Bindu Panikkar. Prakshan runs an electrical hardware shop and is known by all the people of that village. As the story progresses, the entry of a mysterious girl in Prakshan's life unfolds a lot of suspense and comical moments.",Unni Mukundan|Prayaga Martin|Sanusha|Bindu Panikkar|Sadiq|Sudhi Koppa|Prasanth|Aju Varghese|Bijukuttan|Jayaprakash Kuloor|Resmi Anil|Jojo George|Disney James|Lal Jose|Abraham Koshy,Malayalam,NA,NA
The Taint (2011),Action| Comedy| Horror,12-Mar-13,USA,NA,5.3,75 min,"Directed by Drew Bolduc, Dan Nelson. With Drew Bolduc, Colleen Walsh, Cody Crenshaw, Kenneth Hall. The water is tainted. The Taint poisons the minds of men. It turns them into raging misogynists: monsters who want nothing more than to crush women's heads with rocks (or other objects). When society is transformed into a land of sadistic violence and horrible brutality, it is up to Phil O'Ginny and his hot friend, Misandra, to combat the horrible evil that is The Taint. Can they survive a world ...",Drew Bolduc|Colleen Walsh|Cody Crenshaw|Kenneth Hall|Gabriella Herzberg|Richard Spencer|Ariel Canton|Joey Tran|Patrick Gaskill|Will Towles|Mister Lobo|Giancarlo Agar|Mike Baker|Natalie W. Baker|Frank Bergaeimer,English,NA,NA
Prairie Dog (2015),Adventure| Drama| Fantasy| Horror| Thriller,1-Feb-16,USA,NA,7.4,94 min,"Directed by C. Blake Evernden. With John W. Bowers, Sebastian David, Tighe Gill, Stephen Graham. A lone sheriff and a visiting environmental consultant race to solve the mystery that haunts the valleys of Brada County.",John W. Bowers|Sebastian David|Tighe Gill|Stephen Graham|Daniel Howard|Carly James|Douglas MacArthur|Ashlin Malik|Liam McMahon|Wesley S. Menchenton|Madison Olsen|Pete Seadon|Bryn Sprado|Jocelyn Steinborn|Natasha Dawn Wood,English,"Lethbridge, Alberta, Canada","CAD 60,000"
Werewolf Rising (2014),Horror,14-Oct-14,USA,UNRATED,2.3,78 min,"Directed by BC Furtney. With Bill Oberst Jr., Melissa Carnell, Matt Copko, Brian Berry. Emma is a country girl who left for the big city only to return years later with big problems. And when she returns to her childhood home deep in the Arkansas mountains for some well needed rest, relaxation, and soul searching, her problems have only just begun. A bloodthirsty werewolf emerges from the woods to lay siege to the area, ravaging anything in its path and revealing a sinister ...",Bill Oberst Jr.|Melissa Carnell|Matt Copko|Brian Berry|Danielle Lozeau|Irena Murphy|Taylor Horneman,English,NA,NA
Getting Schooled (2017),Comedy| Horror,7-Feb-17,USA,NA,3,83 min,"Directed by Chuck Norfolk. With Mayra Leal, Tom Long, Roland Ruiz, Jake Byrd. In 1983, a group of High School students in a day of detention must run for their lives when a teacher in a wheel chair turns out to be an ex black ops soldier having a murderous flashback.",Mayra Leal|Tom Long|Roland Ruiz|Jake Byrd|Susan Ly|Morgan Tyler|Ron Jeremy|Nick W. Nicholson|Paula Marcenaro Solinger|Patricia Aquino|Michelle DeBelen|Johnson Nguyen|Rebecca Torrellas,English,NA,NA
The Cursed Man (2016),Horror| Thriller,31-Oct-16,USA,NA,7.9,90 min,"Directed by James L. Perry. With Brahm Gallagher, Brinna Locke, Maritza Brikisak, Linda Bendik. Alister Kunkle believes death is in love with him. A simple smile from friend or stranger is all it takes to encourage death to kill.",Brahm Gallagher|Brinna Locke|Maritza Brikisak|Linda Bendik|Mark Bishko|Paris Bravo|C. Ashleigh Caldwell|Ruth Connell|Anna Curtis|Lee Fobert|Paul Grace|Jules Hartley|Tom Herschderfer|Jack Keebler|M. Lee,English,"Los Angeles, California, USA","$1,000,000"
Evil in Her (2017),Horror,10-Mar-17,USA,NA,3.5,104 min,"Directed by Arun Konda. With Ben Whalen, Claire Bermingham, Junie Hoang, Tara Brown. After a series of young women are brutally murdered, the spirit of one of the women seeks to exact revenge on the killers as it works through the body of Sara, an unsuspecting newlywed. Sara's husband must navigate a terrifying sequence of murder, exorcism, and revenge in a race to solve the murders and bring the killers to justice. Once the killers have been identified, Sara and her husband face...",Ben Whalen|Claire Bermingham|Junie Hoang|Tara Brown|George Kyriakopoulos|Catherine Lacy|Julian Bane|Sonam Arvind Dhage|Edward Wooden|Alex O'Neill|Matthew Zapata|Maia Kazin,English,"Los Angeles, California, USA","$150,000"
Escaping the Dead (2017),Horror,17-Aug-17,USA,NOT RATED,7.3,NA,"Directed by Martin Sonntag. With Bastian Brinch Pedersen, Kim Sønderholm, Sune Rolf Jensen, Heine Sørensen. Inspired by the face eating incident in Florida a few years back, the film has its starting point in a typical day for the lead character, David. David is the local marihuana pusher, but he is the kind of dealer that smokes more than he sells. The country has been hit by a new deathdrug and when David and his partner in crime, Ahmir, are offered some exceptionally cheap cocaine they see it as an ...",Bastian Brinch Pedersen|Kim Sønderholm|Sune Rolf Jensen|Heine Sørensen|Lone Fleming|Lloyd Kaufman|Rama Øzel|Sead Sainoski|Hervé Toure|Daniel Hutera|Hassaan Hamza Waseem|David Munnecke|Umut Kilavuz|Lianne Hattel|Ahmed Hussein,Danish,"Værløse, Sjælland, Denmark",NA
Lord of Darkness (2012),Horror| Thriller,23-Feb-13,USA,R,4.5,90 min,"Directed by Ricky Wood. With David Hayman, Samuel Feeney, Gavin Mitchell, William Houston. Scottish cannibal Sawney Bean and his murderous, inbred family are responsible for over a thousand murders over the centuries.",David Hayman|Samuel Feeney|Gavin Mitchell|William Houston|Shian Denovan|Lizzie Brown|Fraser Sivewright|Will Sutton|Jean-Paul Jesstiece|Eilidh Nairn|Ross Maxwell|Ian Sexon|Lisa Cameron|Lindsay Cromar|Sam Hayman,English,"Scotland, UK",NA
Bloody Homecoming (2013),Horror,1-Nov-14,Poland,UNRATED,3.6,82 min,"Directed by Brian C. Weed. With Jim Tavaré, Rae Latt, Lexi Giovagnoli, Alex Dobrenko. Three years after a tragic accident leaves a student dead at the annual Homecoming dance, a group of senior friends anxious about the return of Homecoming Night to their sleepy Southern town find themselves visited by a deadly presence from their past in the dark and desolate halls of their very own high school.",Jim Tavaré|Rae Latt|Lexi Giovagnoli|Alex Dobrenko|Randi Lamey|Branden Lee Roth|Taryn Cervarich|Elizabeth Bigger|Shaleen Cholera|Grainne McDermott|Jesse Ferraro|Steve Earnest|Victoria Park|Hilary Wagner|Walter White III,English,"Elgin, Texas, USA",NA
Bacchanalia (2017),Comedy| Horror,10-Oct-17,USA,TV-MA,5.8,101 min,"Directed by Gary Meyer. With Edmund Digby-Jones, Kyle Calderwood, Mariana Peñalva, Lucinda Rhodes Thakrar. What seems like an innocent wine tasting weekend turns into a bizarre, wicked, sensually overheated debauchery, culminating in a murderous grand finale evening and fateful morning after.",Edmund Digby-Jones|Kyle Calderwood|Mariana Peñalva|Lucinda Rhodes Thakrar|Antoine Martin-Sauveur|Andrea Catozzi|Kasia Koleczek|Miglen Mirtchev|Kim Sønderholm|Jonathan Christopher Duncan|Marina De Salis|Callie Roberts|Gary Meyer|J.C. Montes-Roldan|Elizabeth Pencavel,English,"Provence-Alpes-Côte d'Azur, France","$1,000,000"
Applecart (2015),Crime| Drama| Horror,10-Mar-15,USA,NA,6.4,NA,"Directed by Dustin Mills. With Joni Durian, Allison Egan, Haley Madison, Josh Miller. Experimental b&w anthology film with no dialogue consisting of four gruesome psychosexual stories featuring a masked cast. A woman hates her family. An elderly person is abused. A woman hates her dad. A nut abducts his female co-worker.",Joni Durian|Allison Egan|Haley Madison|Josh Miller|Dave Parker|Erin R. Ryan|Brandon Salkil,English,NA,NA
Welcome to the Circle (2017),Horror,2017,USA,NA,NA,NA,"Directed by David Fowler. With Taylor Dianne Robinson, Matthew MacCaull, Cindy Busby, Heather Doerksen.",Taylor Dianne Robinson|Matthew MacCaull|Cindy Busby|Heather Doerksen|Hilary Jardine|Andrea Brooks|Jordana Largy|Ben Cotton|Christian Tessier|Spencer Drever|Michael Rogers|Matt Bellefleur,English,NA,NA
Ao oni (2014),Horror,5-Jul-14,Japan,NA,4.3,NA,"Directed by Daisuke Kobayashi. With Anna Iriyama, Kenta Suga, Shô Jinnai, Seiya. Friends go to a rumored haunted mansion on the outskirts of town and when they get there they get more than they expected.",Anna Iriyama|Kenta Suga|Shô Jinnai|Seiya|Seika Furuhata|Riku Ozeki,Japanese,NA,NA
Hitchhiker Massacre (2017),Horror,3-Apr-17,USA,NA,7.4,NA,"Directed by James L. Bills. With Ely LaMay, John Blyth Barrymore, Calista Carradine, Rocky Christopher. Beautiful young Hitchhikers are being slaughtered on the desert highways by a cannibalistic madman. Sally is trying to make her way back home when she's picked up by the killer - can she survive the night or will she become Road-Kill in this 80's style horror blood-bath!!!.",Ely LaMay|John Blyth Barrymore|Calista Carradine|Rocky Christopher|Allen Perada|Katherine Cronyn|James Bartholet|Veronica Lavery|Stephanie Gerard|Chanel Marie Koi|Krystel Roche,English,"Hollywood, California, USA",NA
Kotoko (2011),Drama| Horror,2-Mar-12,USA,NA,6.7,91 min,"Directed by Shin'ya Tsukamoto. With Shin'ya Tsukamoto, Cocco, Yûko Nakamura, Eiichi Takahashi. The story of a single mother who suffers from double vision; caring for her baby is a nerve-wrecking task that eventually leads her to a nervous breakdown. She is suspected of being a child abuser when things get out of control and her baby is taken away.",Shin'ya Tsukamoto|Cocco|Yûko Nakamura|Eiichi Takahashi|Haruna Kato|Ryûgo Nakamura|Mika Nakamura|Makoto Takakusa|Masaharu Seki|Shintai Kakazu|Shinji Takakusa|Masao Hiramatsu|Ken Koide|Hiroshi Matayoshi|Nami Inoue,Japanese,"Tokyo, Japan",NA
Michael Myers: Absolute Evil (2016),Horror,31-Mar-16,USA,NA,8.3,93 min,"Directed by Rick Gawel. With Brenda Arsenault, Marc Arturi, Beka, John Borowski. ""Michael Myers: Absolute Evil"" is a fan film in the style of a documentary treating the ""Halloween"" films from 1978 - 2002 as events that actually occurred. Featuring interviews with survivors, Haddonfield residents, experts who have researched the Myers case, and investigators who have attempted to capture him as well as never before seen crime scene photos, ""Michael Myers: Absolute Evil"" is the...",Brenda Arsenault|Marc Arturi|Beka|John Borowski|Tony Colon|John Coughlin|Michelle Courvais|Sharon Dalla Costa|Tracy Daujotas|JC Farris|Marcus Forman|Chuck Frangella|Danny Glenn|Sofi Gonzalez|Eileen Hertz,English,"Fair Game Store 5147 Main Street Downers Grove, Illinois, USA","$3,000"
The Nest of the Cuckoo Birds (1965),Drama| Horror,16-Oct-17,France,NA,5.3,81 min,"Directed by Bert Williams. With Bert Williams, Ann Long, Chuck Frankle, Jackie Scelza. Johnson, an agent for the Liquor Control Department, comes across the remote Cuckoo Bird Inn after escaping from a band of cut-throat moonshiners and a mysterious killer. He realizes there that he must discover the identity of the killer before it, or the inn's demented occupants turn him into another display in the grotesque Chapel Of The Dead.",Bert Williams|Ann Long|Chuck Frankle|Jackie Scelza|Larry Wright|Sherry Saxe|Bruce Bates|Harvey Ford,English,"Miami, Florida, USA","$127,000"
Silent But Deadly (2011),Comedy| Horror,24-Sep-13,USA,NOT RATED,3.6,80 min,"Directed by Stephen Scott. With Jason Mewes, William Sadler, Jordan Prentice, Kim Poirier. Thomas Capper is an unconventional and mysterious serial killer who takes aim at a Hollywood film set, by unleashing his own brand of retribution on the cast and crew.",Jason Mewes|William Sadler|Jordan Prentice|Kim Poirier|Marc Hickox|Benz Antoine|Patrick McKenna|Jai Jai Jones|R.D. Reid|Anand Rajaram|Nicole Arbour|Vanessa Burns|Rebeka Coles-Budrys|Michael Majeski|Aaron Walpole,English,"Chatham, Ontario, Canada","CAD 1,180,000"
Bloodlands (2017),Drama| Horror| Thriller,25-Feb-17,UK,NA,6.4,82 min,"Directed by Steven Kastrissios. With Gëzim Rudi, Emiljano Palali, Suela Bako, Alesia Xhemalaj. A struggling family in Albania, wrestling with tradition, must unite against a mysterious clan's aggressions, leading to a 'blood feud' that is all too familiar in the Balkans.",Gëzim Rudi|Emiljano Palali|Suela Bako|Alesia Xhemalaj|Dritan Arbana|Florist Bajgora|Andi Begolli|Enxhi Cuku|Fioralba Kryemadhi|Edvin Mustafa|Rina Narazani|Ermal Sadiku|Ilire Vinca Celaj,Albanian|Albanian,"Tirana, Albania",NA
Quad X: The Porn Movie Massacre (2015),Action| Comedy| Horror,16-May-15,USA,NA,5.7,89 min,"Directed by James Christopher. With Terissa Kelton, Mike Donis, Andrea Dettling, Duncan Coe. A killer is stalking the actors of Quadruple X films and trying to get a cut of his favorite porn stars.",Terissa Kelton|Mike Donis|Andrea Dettling|Duncan Coe|Jake Dertals|Daniel Cano|Colby Wallingsford|Derek Babb|Vanessa Vayle Perry|Mary Cate|Will McKenna|Ariane Powell|Marc Wasserman|Elena Weinberg|Eric Adair,English,NA,NA
Take 2: The Audition (2015),Horror,1-Feb-15,USA,NA,9.3,NA,"Directed by Rob Hawk. With Tyler Mane, Genoveva Rossi, Cabrina Collesides, Ursula Triplett. When 12 Actors embark on a journey through the woods on what they believe is a casting call for a multimillion dollar horror film, they soon find out that the cameras are rolling and they already got the role.",Tyler Mane|Genoveva Rossi|Cabrina Collesides|Ursula Triplett|Mark Behar|Rachel Cook|Rob Hawk|Loren W. Lepre|Gene Keller|Bessie Amato|Salvatore Franciosa|Steve Wollett|Jefferson Sanders|Gina Marie Scholl|Mark Valeriano,English,NA,"$10,000,000"
First Man on Mars (2016),Comedy| Horror| Sci-Fi,27-Sep-16,USA,NA,6.1,77 min,"Directed by Mike Lyddon. With Kelly Murtagh, Robert John Gilchrist, Candace McAdams, Sam Cobean. The countdown to terror has begun. Astronaut Eli Cologne became the first man on Mars, but something went horribly wrong. Infected by an alien organism, he returned to Earth a savage monster with an unquenchable thirst for human flesh.",Kelly Murtagh|Robert John Gilchrist|Candace McAdams|Sam Cobean|Benjamin Wood|Jeffrey Estiverne|Tressler Burton|Roy L. Jackson Jr.|Marcelle Shaneyfelt|Andy Reboul|Kirk Jordan|Joey Harmon,English,NA,"$14,000"
Blood Is Blood (2016),Horror| Thriller,1-Aug-16,USA,NA,5.4,80 min,"Directed by Stuart Sauvarin. With Fiona Dourif, Tessa Harnetiaux, Daniel di Tomasso, Barbara Eve Harris. A young girl seeks revenge after an unexpected death, while the world around her unravels revealing horrifying secrets about her life and family.",Fiona Dourif|Tessa Harnetiaux|Daniel di Tomasso|Barbara Eve Harris|Kate French|Andrew James Allen|Teni Panosian|Diana Lu|Caitlin Harris|Victoria Geil|Mike Rad|Malachi Rubio,English,"Los Angeles, California, USA",NA
Blood Kisses (2012),Drama| Horror| Mystery| Romance| Thriller,15-Nov-12,USA,NA,4.2,72 min,"Directed by Robert Kornhiser. With Victor Joel Ortiz, Sarah Yu, Nancy Malleo, Angelo Angrisani. Amid a series of murder victims drained of blood, a high school teacher's vampire-like behavior marks him as the prime target of an NYPD special unit investigation. With the manhunt closing in, he struggles for a last chance at redemption, or, forever embraces his demon.",Victor Joel Ortiz|Sarah Yu|Nancy Malleo|Angelo Angrisani|Elizabeth Bove|Johnny Pik|Ryan G. Metzger|Daryl Denner|Christina Jolley|Nadja Hoyer-Booth|John Caponigro|Ashton Crosby|Cash Tilton|Linda Vegara|Mariann Tepedino,English,NA,NA
The Hounds (2011),Crime| Horror| Thriller,20-Jan-13,USA,TV-MA,3.4,87 min,"Directed by Maurizio del Piccolo, Roberto del Piccolo. With Andy Callaghan, John Doughty, David Drew, Alice Knapton. Four friends (three guys and one girl) retreat deep into the wilderness for some camping, but after finding a dead body buried near their campsite, they are preyed upon by a shape-shifting cursed entity. Nothing is as it seems.",Andy Callaghan|John Doughty|David Drew|Alice Knapton|Nasif Malik|Maddie Moate|Danny Shayler|Paul Tonkin|Vicky Vatchers,English|Italian,NA,NA
Mortal Remains (2013),Horror| Mystery| Thriller,13-Oct-13,USA,NA,8.3,95 min,"Directed by Mark Ricche, Christian Stavrakis. With John Bender, Charles J. Brokaw, David Burian, Peter Flood. A docu-thriller focusing on the life, brief career, and mysterious death of Maryland filmmaker Karl Atticus, referred to by some as the ""godfather of the slasher film."" Features interviews with various historians and aficionados including Eduardo Sanchez, director of ""The Blair Witch Project,"" who in a 2008 interview posited the question: Why, for nearly four decades, has Atticus's story been ...",John Bender|Charles J. Brokaw|David Burian|Peter Flood|George Morris|Phil Nardozzi|Chuck Oles|Mark Ricche|Ben Rod|Christian Stavrakis|Eduardo Sánchez|Nick Tallo,English,"Pittsburgh, Pennsylvania, USA",NA
Ascension (2016),Horror| Sci-Fi| Thriller,10-Jul-16,USA,NA,NA,NA,"Directed by Ross Wachsman. With Anne Betancourt, Christie Burke, Robyn Cohen, Robert Gallo. Still mourning the death of her mother, 16 year old Angela, who's had some behavioral/mental instability issues, tries her best to keep harmony in the house. She takes care of her 6 year old sister Chloe and tries to keep the peace with her difficult, goth 17 year old sister Becca. Becca is furious that their father Jason pulled them out of school and hired grad student Gabby to home school them....",Anne Betancourt|Christie Burke|Robyn Cohen|Robert Gallo|Farrah Mackenzie|Benedita Pereira|August Roads|Ana Mulvoy Ten|Michael Traynor,English,"Altadena, California, USA",NA
Saturday Morning Mystery (2012),Comedy| Horror,16-Jun-12,USA,R,4.4,83 min,"Directed by Spencer Parsons. With Jonny Mars, Josephine Decker, Adam Wyatt Tate, Ashley Spillers. A dark and bloody parody about a Scooby-Doo-like team of paranormal investigators and their devoted dog. With the crew nearing bankruptcy, they're hired to get to the bottom of a series of spooky events at the remote Kyser mansion, an old religious school plagued by rumors of satanism and ritualistic murder. They're experts at debunking ghost stories, so they get right to work, and despite the ...",Jonny Mars|Josephine Decker|Adam Wyatt Tate|Ashley Spillers|Hamlet|Ryan Hennessee|Cyndi Williams|Jason Wehling|Spencer Parsons|Dodge Evans|Levi Krause|J. Nathan Day|Sonny Carl Davis|Jory Balsimo|Matia Balsimo,English,NA,NA
Buzzard Hollow Beef (2017),Horror,24-Sep-17,USA,NA,NA,75 min,"Directed by Joshua Johnson. With Scott C. Brown, Gabriel Caste, Janet Chiarabaglio, Jay Wesley Cochran. A psychedelic horror that follows a family, who after experiencing vivid hallucinations, believe that they have been poisoned by cannibalistic hillbillies.",Scott C. Brown|Gabriel Caste|Janet Chiarabaglio|Jay Wesley Cochran|Will Frazier|Bridget Irish|Bruce Jennings|Nadia Kamil|Gordon Leftenant|Emily Letts|Clayton Michael|Sam Miller|Doug Perkins|Rainer|Luke Severeid,English,NA,NA
Sanatorium (2013),Horror| Thriller,18-Oct-13,USA,R,5,90 min,"Directed by Brant Sersen. With Don Fanelli, Charlie Fersko, DJ Hazard, Lauren Hunter. In 1955, a insane patient left his room, walking to the children's ward. There he killed three children while they were asleep. Now, a group of paranormal investigators will go into the asylum where the killer's ghost supposedly still lies.",Don Fanelli|Charlie Fersko|DJ Hazard|Lauren Hunter|Tim Martin|Megan Neuringer|Katherine Puma|Justin Purnell|Kate Riley|Ben Rodgers,English,NA,NA
Tarot (2015),Drama| Horror| Mystery| Romance| Thriller,7-May-15,Indonesia,NA,7.5,119 min,"Directed by Jose Poernomo. With Shandy Aulia, Boy William, Sara Wijayanto, Aurélie Moeremans. Julie and Tristan are lovers who are about to get married. Hoping to get a beautiful card reading, they end up receiving an awful reading from a Tarot card reader. According to the opened cards, someone is coming from the past to take one of their lives. Tristan doesn't believe in the reading, but Julie can't get her mind off it because of the guilt she's feeling toward her twin sister, Sofia, ...",Shandy Aulia|Boy William|Sara Wijayanto|Aurélie Moeremans|Zaneta Georgina|Mega Carefansa|Norman Naya|Sisca Dewi|Bayu Semar,Indonesian,NA,NA
The Night Watchman (2016),Drama| Horror| Thriller,29-Jul-16,Spain,NA,4.2,94 min,"Directed by Miguel Ángel Jiménez. With Matt Horan, Jimmy Shaw, Kimberley Tell, Denis Rafter. Two estranged brothers attempt to reconnect after one has served time in prison and the other remained in their home town and became a Reverend.",Matt Horan|Jimmy Shaw|Kimberley Tell|Denis Rafter|Haritz Bisquert|Eneko Sagardoy|Karlos Aurrekoetxea|Irina Bravo|Jon Albisu|Aitor Pereda|Zigor Bilbao|Tatyana Suñé|Meritxell Laso|Alba Guilera|Silvia Oreja,English,"Morcín, Asturias, Spain",NA
