department,year,rd_budget,total_outlays,discretionary_outlays,gdp
NASA,2013,11845e6,34546e8,12022e8,16516e9
DOE,2013,11528e6,34546e8,12022e8,16516e9
HHS,2013,32095e6,34546e8,12022e8,16516e9
NIH,2013,30522e6,34546e8,12022e8,16516e9
NSF,2013,5739e6,34546e8,12022e8,16516e9
USDA,2013,2279e6,34546e8,12022e8,16516e9
Interior,2013,846e6,34546e8,12022e8,16516e9
DOT,2013,881e6,34546e8,12022e8,16516e9
EPA,2013,57e7,34546e8,12022e8,16516e9
DOC,2013,1397e6,34546e8,12022e8,16516e9
DHS,2013,737e6,34546e8,12022e8,16516e9
VA,2013,1253e6,34546e8,12022e8,16516e9
Other,2013,1846e6,34546e8,12022e8,16516e9
DOD,2014,70341e6,35061e8,11786e8,17244e9
NASA,2014,12432e6,35061e8,11786e8,17244e9
DOE,2014,12686e6,35061e8,11786e8,17244e9
HHS,2014,32438e6,35061e8,11786e8,17244e9
NIH,2014,30938e6,35061e8,11786e8,17244e9
NSF,2014,6135e6,35061e8,11786e8,17244e9
USDA,2014,2517e6,35061e8,11786e8,17244e9
Interior,2014,889e6,35061e8,11786e8,17244e9
DOT,2014,843e6,35061e8,11786e8,17244e9
EPA,2014,569e6,35061e8,11786e8,17244e9
DOC,2014,1641e6,35061e8,11786e8,17244e9
DHS,2014,1092e6,35061e8,11786e8,17244e9
VA,2014,1165e6,35061e8,11786e8,17244e9
Other,2014,1697e6,35061e8,11786e8,17244e9
DOD,2015,69522e6,36884e8,11687e8,17983e9
NASA,2015,11927e6,36884e8,11687e8,17983e9
DOE,2015,15033e6,36884e8,11687e8,17983e9
HHS,2015,31537e6,36884e8,11687e8,17983e9
NIH,2015,30046e6,36884e8,11687e8,17983e9
NSF,2015,626e7,36884e8,11687e8,17983e9
USDA,2015,2565e6,36884e8,11687e8,17983e9
Interior,2015,903e6,36884e8,11687e8,17983e9
DOT,2015,926e6,36884e8,11687e8,17983e9
EPA,2015,544e6,36884e8,11687e8,17983e9
DOC,2015,1596e6,36884e8,11687e8,17983e9
DHS,2015,96e7,36884e8,11687e8,17983e9
VA,2015,1231e6,36884e8,11687e8,17983e9
Other,2015,1558e6,36884e8,11687e8,17983e9
DOD,2016,75213e6,38526e8,11852e8,1847e10
NASA,2016,13713e6,38526e8,11852e8,1847e10
DOE,2016,15504e6,38526e8,11852e8,1847e10
HHS,2016,33121e6,38526e8,11852e8,1847e10
NIH,2016,31675e6,38526e8,11852e8,1847e10
NSF,2016,6222e6,38526e8,11852e8,1847e10
USDA,2016,2745e6,38526e8,11852e8,1847e10
Interior,2016,1005e6,38526e8,11852e8,1847e10
DOT,2016,91e7,38526e8,11852e8,1847e10
EPA,2016,53e7,38526e8,11852e8,1847e10
DOC,2016,173e7,38526e8,11852e8,1847e10
DHS,2016,602e6,38526e8,11852e8,1847e10
VA,2016,1262e6,38526e8,11852e8,1847e10
Other,2016,1653e6,38526e8,11852e8,1847e10
DOD,2017,51862e6,39816e8,12002e8,19177e9
NASA,2017,12361e6,39816e8,12002e8,19177e9
DOE,2017,15032e6,39816e8,12002e8,19177e9
HHS,2017,34758e6,39816e8,12002e8,19177e9
NIH,2017,33052e6,39816e8,12002e8,19177e9
NSF,2017,604e7,39816e8,12002e8,19177e9
USDA,2017,2625e6,39816e8,12002e8,19177e9
Interior,2017,955e6,39816e8,12002e8,19177e9
DOT,2017,936e6,39816e8,12002e8,19177e9
EPA,2017,506e6,39816e8,12002e8,19177e9
DOC,2017,1824e6,39816e8,12002e8,19177e9
DHS,2017,735e6,39816e8,12002e8,19177e9
VA,2017,1367e6,39816e8,12002e8,19177e9
Other,2017,1553e6,39816e8,12002e8,19177e9
