agency_name,program_name,additional_information_optional,agency_code,program_code,program_code_pod_format
Department of the Interior,Water and Energy Management Development ‐ Title XVI Projects,NA,010,010-063,010:063
Department of the Interior,Water and Energy Management Development ‐ Water Conservation Field Services,NA,010,010-064,010:064
Department of the Interior,Water and Energy Management Development ‐ Rural Water Programs,NA,010,010-065,010:065
Department of the Interior,Water and Energy Management Development ‐ Indian Water Rights Settlements,NA,010,010-066,010:066
Department of the Interior,Water and Energy Management Development ‐ San Joaquin River Restoration Program,NA,010,010-067,010:067
Department of the Interior,Land Management and Development,NA,010,010-068,010:068
Department of the Interior,Fish and Wildlife Management and Development ‐ Other,NA,010,010-069,010:069
Department of the Interior,Fish and Wildlife Management and Development ‐ Endangered Species Conservation/Recovery Program,NA,010,010-070,010:070
Department of the Interior,Facility Operations,NA,010,010-071,010:071
Department of the Interior,Facility Maintenance and Rehabilitation,NA,010,010-072,010:072
Department of the Interior,Policy and Administration,NA,010,010-073,010:073
Department of the Interior,California Bay‐Delta Restoration,NA,010,010-074,010:074
Department of the Interior,Central Valley Project Restoration Fund,NA,010,010-075,010:075
Department of the Interior,Lower Colorado River Basin Development Fund,NA,010,010-076,010:076
Department of the Interior,Upper Colorado River Basin Fund,NA,010,010-077,010:077
Department of the Interior,"Miscellaneous Permanent Accounts ‐ Operation, Maintenance, and Replacement of Project Works, North Platte Project (included in W&RR in MAX because under $million)",NA,010,010-078,010:078
Department of the Interior,Miscellaneous Permanent Accounts ‐ Payments to Farmers Irrigation District (included in W&RR in MAX because under $million),NA,010,010-079,010:079
Department of the Interior,Miscellaneous Permanent Accounts ‐ Klamath Payments to Local Units‐ Klamath Recreation Area (included in W&RR in MAX because under $million),NA,010,010-080,010:080
Department of the Interior,Miscellaneous Permanent Accounts ‐ O&M of Quarters (included in W&RR in MAX because under $million),NA,010,010-081,010:081
Department of the Interior,San Joaquin Restoration Fund,NA,010,010-082,010:082
Department of the Interior,Reclamation Water Settlements Fund,NA,010,010-083,010:083
Department of the Interior,Federal Lands Recreation Enhancement Act (included in W&RR in MAX because under $million),NA,010,010-084,010:084
Department of the Interior,"Colorado Dam Fund, Boulder Canyon Project",NA,010,010-085,010:085
Department of the Interior,Reclamation Trust Funds,NA,010,010-086,010:086
Department of the Interior,Central Utah Project Completion Account ‐ proposed to be included under BOR in 2013 & 2014,NA,010,010-087,010:087
Department of the Interior,Utah Reclamation Mitigation and Conservation Account ‐ proposed to be included under BOR in 2013 & 2014,NA,010,010-088,010:088
Department of the Interior,Environmental Enforcement,NA,010,010-089,010:089
Department of the Interior,"Operations, Safety and Regulation",NA,010,010-090,010:090
Department of the Interior,"Administrative Operations, General Support Services, Executive Direction",NA,010,010-091,010:091
Department of the Interior,Oil Spill Research,NA,010,010-092,010:092
Department of the Interior,Ecological Services,NA,010,010-093,010:093
Department of the Interior,National Wildlife Refuge System,NA,010,010-094,010:094
Department of the Interior,"Conservation, Enforcement and Science (new title & components 2014)",NA,010,010-095,010:095
Department of the Interior,Fish and Aquatic Conservation (new title 2013),NA,010,010-096,010:096
Department of the Interior,Cooperative Landscape Conservation (new title & components 2014),NA,010,010-097,010:097
Department of the Interior,General Operations,NA,010,010-098,010:098
Department of the Interior,Construction,NA,010,010-099,010:099
Department of the Interior,Land Acquisition,NA,010,010-100,010:100
Department of the Interior,Land Acquisition (Mandatory),NA,010,010-101,010:101
Department of the Interior,Cooperative Endangered Species Conservation Fund,NA,010,010-102,010:102
Department of the Interior,Neotropical Migratory Bird Conservation Fund,NA,010,010-103,010:103
Department of the Interior,State and Tribal Wildlife Grants Fund,NA,010,010-104,010:104
Department of the Interior,Contributed Funds,NA,010,010-105,010:105
Department of the Interior,Cooperative Endangered Species Conservation Fund,NA,010,010-106,010:106
Department of the Interior,Federal Aid in Wildlife Restoration,NA,010,010-107,010:107
Department of the Interior,Migratory Bird Conservation Account,NA,010,010-108,010:108
Department of the Interior,Multinational Species Conservation Fund,NA,010,010-109,010:109
Department of the Interior,Miscellaneous Permanent Appropriations,NA,010,010-110,010:110
Department of the Interior,National Wildlife Refuge Fund,NA,010,010-111,010:111
Department of the Interior,North American Wetlands Conservation Fund,NA,010,010-112,010:112
Department of the Interior,Recreation Enhancement Fee Program,NA,010,010-113,010:113
Department of the Interior,Federal Aid in Sport Fish Restoration Fund,NA,010,010-114,010:114
Department of the Interior,Park Management,NA,010,010-115,010:115
Department of the Interior,External Administrative Costs,NA,010,010-116,010:116
Department of the Interior,Recreation Programs,NA,010,010-117,010:117
Department of the Interior,Natural Programs,NA,010,010-118,010:118
Department of the Interior,Cultural Programs,NA,010,010-119,010:119
Department of the Interior,International Park Affairs,NA,010,010-120,010:120
Department of the Interior,Environmental and Compliance Review,NA,010,010-121,010:121
Department of the Interior,Grant Administration,NA,010,010-122,010:122
Department of the Interior,Urban Park and Recreation Recovery,NA,010,010-123,010:123
Department of the Interior,Heritage Partnership Programs,NA,010,010-124,010:124
Department of the Interior,Grants‐in‐Aid to States and Territories,NA,010,010-125,010:125
Department of the Interior,Grants‐in‐Aid to Tribes,NA,010,010-126,010:126
Department of the Interior,Competitive Grants to Underrepresented Communities,NA,010,010-127,010:127
Department of the Interior,Construction,NA,010,010-128,010:128
Department of the Interior,Federal Land Acquisition,NA,010,010-129,010:129
Department of the Interior,State Assistance,NA,010,010-130,010:130
Department of the Interior,Outer Continental Shelf Oil Lease Revenue,NA,010,010-131,010:131
Department of the Interior,Miscellaneous Trust Funds,NA,010,010-132,010:132
Department of the Interior,Other Permanent Appropriations,NA,010,010-133,010:133
Department of the Interior,Recreation Fee Permanent Appropriations,NA,010,010-134,010:134
Department of the Interior,Federal Land Acquisition,NA,010,010-135,010:135
Department of the Interior,State Assistance,NA,010,010-136,010:136
Department of the Interior,Urban Park and Recreation Recovery,NA,010,010-137,010:137
Department of the Interior,Territorial Assistance,NA,010,010-138,010:138
Department of the Interior,Operations Grants,NA,010,010-139,010:139
Department of the Interior,Covenant Grants,NA,010,010-140,010:140
Department of the Interior,Federal Services,NA,010,010-141,010:141
Department of the Interior,Enewetak Support,NA,010,010-142,010:142
Department of the Interior,Palau Compact Support,NA,010,010-143,010:143
Department of the Interior,"Payments to the U.S. Territories, Fiscal Assistance",NA,010,010-144,010:144
Department of the Interior,Compact of Free Association,NA,010,010-145,010:145
Department of the Interior,Payments in Lieu of Taxes,NA,010,010-146,010:146
Department of the Interior,Central Hazardous Materials Fund,NA,010,010-147,010:147
Department of the Interior,Natural Resources Revenue,NA,010,010-148,010:148
Department of the Interior,Natural Resource Damage Assessment and Restoration,NA,010,010-149,010:149
Department of the Interior,OSMRE Regulatory Program for active mining (Title V of the Surface Mining Control and Reclamation Act),NA,010,010-150,010:150
Department of the Interior,OSMRE Reclamation Program for reclaiming abandoned coal mine sites prior to enactment of the Surface Mining Control and Reclamation Act (Title IV of SMCRA),NA,010,010-151,010:151
Department of the Interior,Payments to States in Lieu of Coal Fee Receipts,NA,010,010-152,010:152
Department of the Interior,Supplemental Payments to UMWA Health Plans,NA,010,010-153,010:153
Department of the Interior,Payments to the UMWA from AML Interest,NA,010,010-154,010:154
Department of the Interior,Mandatory Grants to States and Tribes (AML),NA,010,010-155,010:155
Department of the Interior,Federal Trust Programs,NA,010,010-156,010:156
Department of the Interior,Tribal Special Fund,NA,010,010-157,010:157
Department of the Interior,Tribal Trust Fund,NA,010,010-158,010:158
Department of the Interior,Preparedness,NA,010,010-159,010:159
Department of the Interior,Suppression Operations,NA,010,010-160,010:160
Department of the Interior,Hazardous Fuels Reduction,NA,010,010-161,010:161
Department of the Interior,Burned Area Rehabilitation,NA,010,010-162,010:162
Department of the Interior,Facilities Construction and Maintenance,NA,010,010-163,010:163
Department of the Interior,Joint Fire Science Program,NA,010,010-164,010:164
Department of the Interior,Suppression Operations,NA,010,010-165,010:165
Department of the Interior,Ecosystems,NA,010,010-166,010:166
Department of the Interior,Climate and Land Use Change,NA,010,010-167,010:167
Department of the Interior,"Energy, Minerals, and Environmental Health",NA,010,010-168,010:168
Department of the Interior,Natural Hazards,NA,010,010-169,010:169
Department of the Interior,Water Resources,NA,010,010-170,010:170
Department of the Interior,Core Science Systems,NA,010,010-171,010:171
Department of the Interior,Administration and Enterprise Information Science Support,NA,010,010-172,010:172
Department of the Interior,Facilities,NA,010,010-173,010:173
Department of Justice,Department Leadership,NA,011,011-001,011:001
Department of Justice,Intergovernmental Relations,NA,011,011-002,011:002
Department of Justice,Executive Support and Professional Responsibilities,NA,011,011-003,011:003
Department of Justice,Justice Management Division,NA,011,011-004,011:004
Department of Justice,Justice Information Sharing Technology,NA,011,011-005,011:005
Department of Justice,Federal Prisoner Detention,NA,011,011-006,011:006
Department of Justice,"OIG Audits, Inspections, Investigations, and Reviews",NA,011,011-007,011:007
Department of Justice,Executive Office for Immigration Review (EOIR),NA,011,011-008,011:008
Department of Justice,Office of Pardon Attorney (OPA),NA,011,011-009,011:009
Department of Justice,U.S. Parole Commission (USPC),NA,011,011-010,011:010
Department of Justice,Foreign Claims,NA,011,011-011,011:011
Department of Justice,Office of the Solicitor General (OSG) – Federal Appellate Activity,NA,011,011-012,011:012
Department of Justice,TAX Division (TAX) - General Tax Matters,NA,011,011-013,011:013
Department of Justice,Criminal Division (CRM) - Enforcing Federal Criminal Laws,NA,011,011-014,011:014
Department of Justice,Civil Division (CIV) - Legal Representation,NA,011,011-015,011:015
Department of Justice,Environment and Natural Resources Division (ENRD) - Civil Litigation,NA,011,011-016,011:016
Department of Justice,Environment and Natural Resources Division (ENRD) - Criminal Litigation,NA,011,011-017,011:017
Department of Justice,Office of Legal Counsel (OLC) - Legal Counsel,NA,011,011-018,011:018
Department of Justice,Civil Rights Division (CRT) - Civil Rights Enforcements,NA,011,011-019,011:019
Department of Justice,INTERPOL Washington,NA,011,011-020,011:020
Department of Justice,Fees and Expenses of Witnesses (FEW),NA,011,011-021,011:021
Department of Justice,Antitrust Division (ATR),NA,011,011-022,011:022
Department of Justice,Criminal Litigation,NA,011,011-023,011:023
Department of Justice,Civil Litigation,NA,011,011-024,011:024
Department of Justice,Legal Education,NA,011,011-025,011:025
Department of Justice,Judicial and Courthouse Security,NA,011,011-026,011:026
Department of Justice,Fugitive Apprehension,NA,011,011-027,011:027
Department of Justice,Prisoner Security and Transportation,NA,011,011-028,011:028
Department of Justice,Protection of Witnesses,NA,011,011-029,011:029
Department of Justice,Tactical Operations,NA,011,011-030,011:030
Department of Justice,U.S. Marshals Service - Construction,NA,011,011-031,011:031
Department of Justice,September 11th Victims Compensation Fund,NA,011,011-032,011:032
Department of Justice,Conflict Resolution and Violence Prevention Program Operations,NA,011,011-033,011:033
Department of Justice,Investigative Expenses (Definite Authority),NA,011,011-034,011:034
Department of Justice,Permanent (Indefinite Authority),NA,011,011-035,011:035
Department of Justice,Administration of Cases,NA,011,011-036,011:036
Department of Justice,National Security,NA,011,011-037,011:037
Department of Justice,Investigations,NA,011,011-038,011:038
Department of Justice,Prosecutions,NA,011,011-039,011:039
Department of Justice,Intelligence,NA,011,011-040,011:040
Department of Justice,Counterterrorism/Counterintelligence,NA,011,011-041,011:041
Department of Justice,Criminal Enterprise/Federal Crimes,NA,011,011-042,011:042
Department of Justice,Criminal Justice Services (CJS),NA,011,011-043,011:043
Department of Justice,Federal Bureau of Investigation (Construction),NA,011,011-044,011:044
Department of Justice,International Enforcement,NA,011,011-045,011:045
Department of Justice,Domestic Enforcement,NA,011,011-046,011:046
Department of Justice,State and Local Assistance,NA,011,011-047,011:047
Department of Justice,"Drug Enforcement Administration, Construction",NA,011,011-048,011:048
Department of Justice,Diversion Control Program,NA,011,011-049,011:049
Department of Justice,Law Enforcement Operations (new for FY14),NA,011,011-050,011:050
Department of Justice,Investigative Support Services (new for FY14),NA,011,011-051,011:051
Department of Justice,"Bureau of Prison, Construction",NA,011,011-052,011:052
Department of Justice,Modernization and Repair (M&R),NA,011,011-053,011:053
Department of Justice,Inmate Care & Programs,NA,011,011-054,011:054
Department of Justice,Institution Security and Administration,NA,011,011-055,011:055
Department of Justice,Contract Confinement,NA,011,011-056,011:056
Department of Justice,Management and Administration - BOP,NA,011,011-057,011:057
Department of Justice,Federal Prison Industries (FPI),NA,011,011-058,011:058
Department of Justice,Commissary Fund,NA,011,011-059,011:059
Department of Justice,National Institute of Justice (NIJ),NA,011,011-060,011:060
Department of Justice,Criminal Justice Statistical Program (Bureau of Justice Statistics) (BJS),NA,011,011-061,011:061
Department of Justice,Regional Information Sharing System (RISS),NA,011,011-062,011:062
Department of Justice,Evaluation Clearinghouse,NA,011,011-063,011:063
Department of Justice,Justice Assistance Grants (JAG),NA,011,011-064,011:064
Department of Justice,Presidential Nominating Conventions,NA,011,011-065,011:065
Department of Justice,Byrne Competitive Grants,NA,011,011-066,011:066
Department of Justice,State Criminal Alien Assistance Program (SCAAP),NA,011,011-067,011:067
Department of Justice,Border Prosecution Initiatives,NA,011,011-068,011:068
Department of Justice,Victims of Trafficking,NA,011,011-069,011:069
Department of Justice,Residential Substance Abuse Treatment (RSAT) (Improving Reentry),NA,011,011-070,011:070
Department of Justice,Drug Court Program,NA,011,011-071,011:071
Department of Justice,Mentally Ill Offender Act,NA,011,011-072,011:072
Department of Justice,Prescription Drug Monitoring Program,NA,011,011-073,011:073
Department of Justice,Prison Rape Prevention and Prosecution Program,NA,011,011-074,011:074
Department of Justice,Missing Alzheimer's Program,NA,011,011-075,011:075
Department of Justice,Capital Litigation Improvement Grant Program,NA,011,011-076,011:076
Department of Justice,Indian Assistance,NA,011,011-077,011:077
Department of Justice,Court-Appointed Special Advocate,NA,011,011-078,011:078
Department of Justice,National Instant Criminal Background Check System Record Improvement Program (NICS),NA,011,011-079,011:079
Department of Justice,National Criminal History Improvement Program (NCHIP),NA,011,011-080,011:080
Department of Justice,S&L Gun Crime Prosecution Assist/Gun Violence Reduction,NA,011,011-081,011:081
Department of Justice,Second Chance/Prisoner Reentry,NA,011,011-082,011:082
Department of Justice,DNA Initiative,NA,011,011-083,011:083
Department of Justice,Children Exposed to Violence,NA,011,011-084,011:084
Department of Justice,John R. Justice Student Loan Repayment Program,NA,011,011-085,011:085
Department of Justice,Coverdell Forensic Science Grants,NA,011,011-086,011:086
Department of Justice,National Sex Offender Public Website,NA,011,011-087,011:087
Department of Justice,Adam Walsh Act Implementation,NA,011,011-088,011:088
Department of Justice,Byrne Criminal Justice Innovation Program,NA,011,011-089,011:089
Department of Justice,Consolidated Cybercrime and Economic Crime/Intellectual Property Enforcement Program,NA,011,011-090,011:090
Department of Justice,Part B: Formula Grants,NA,011,011-091,011:091
Department of Justice,Youth Mentoring,NA,011,011-092,011:092
Department of Justice,Title V: Local Delinquency Prevention Incentive Grants,NA,011,011-093,011:093
Department of Justice,National Forum on Youth Violence Prevention,NA,011,011-094,011:094
Department of Justice,Community-Based Violence Prevention Initiatives,NA,011,011-095,011:095
Department of Justice,Child Abuse Training for Judicial Personnel,NA,011,011-096,011:096
Department of Justice,Victim of Crimes Act of 1984 (VOCA) - Improving the Investigation & Prosecution Of Child Abuse,NA,011,011-097,011:097
Department of Justice,Juvenile Accountability Block Grant Program (JABG),NA,011,011-098,011:098
Department of Justice,Missing and Exploited Children's Program (MECP),NA,011,011-099,011:099
Department of Justice,Administrative Expenses,NA,011,011-100,011:100
Department of Justice,Tribal Law Enforcement,NA,011,011-101,011:101
Department of Justice,Methamphetamine Enforcement and Cleanup,NA,011,011-102,011:102
Department of Justice,COPS Hiring Program,NA,011,011-103,011:103
Department of Justice,Grants to Combat Violence Against Women (STOP),NA,011,011-104,011:104
Department of Justice,Research and Evaluation Violence Against Women (NIJ),NA,011,011-105,011:105
Department of Justice,Transitional Housing,NA,011,011-106,011:106
Department of Justice,Consolidated Youth Oriented Program,NA,011,011-107,011:107
Department of Justice,Grants to Encourage Arrest Policies,NA,011,011-108,011:108
Department of Justice,Rural Domestic Violence & Child Abuse Enforcement Assistance,NA,011,011-109,011:109
Department of Justice,Legal Assistance Program,NA,011,011-110,011:110
Department of Justice,Enhancing Safety for Victims and their Children in Family Law Matters,NA,011,011-111,011:111
Department of Justice,Campus Violence,NA,011,011-112,011:112
Department of Justice,Disabilities Program,NA,011,011-113,011:113
Department of Justice,Elder Program,NA,011,011-114,011:114
Department of Justice,Sexual Assault Services (SASP),NA,011,011-115,011:115
Department of Justice,Indian Country - Sexual Assault Clearinghouse,NA,011,011-116,011:116
Department of Justice,National Resource Center on Workplace Responses,NA,011,011-117,011:117
Department of Justice,Research on Violence Against Indian Women,NA,011,011-118,011:118
Department of Justice,Crime Victims Fund,NA,011,011-119,011:119
Department of Labor,Workforce Investment Act (WIA) Adult (ETA),NA,012,012-001,012:001
Department of Labor,WIA Dislocated Worker (ETA),NA,012,012-002,012:002
Department of Labor,WIA Youth (ETA),NA,012,012-003,012:003
Department of Labor,Workforce Innovation Fund (ETA),NA,012,012-004,012:004
Department of Labor,Indian and Native American Program (ETA),NA,012,012-005,012:005
Department of Labor,Migrant and Seasonal Farmworker (ETA),NA,012,012-006,012:006
Department of Labor,YouthBuild (ETA),NA,012,012-007,012:007
Department of Labor,Reintegration of Ex-Offenders (ETA),NA,012,012-008,012:008
Department of Labor,Job Corps (ETA),NA,012,012-009,012:009
Department of Labor,Community Service Employment for Older Americans (ETA),NA,012,012-010,012:010
Department of Labor,Trade Adjustment Assistance (ETA),NA,012,012-011,012:011
Department of Labor,TAA Community College & Career Training Grants (ETA),NA,012,012-012,012:012
Department of Labor,Federal-State Unemployment Insurance System (ETA),NA,012,012-013,012:013
Department of Labor,Employment Service (ETA),NA,012,012-014,012:014
Department of Labor,Foreign Labor Certification (ETA),NA,012,012-015,012:015
Department of Labor,Workforce Information (ETA),NA,012,012-016,012:016
Department of Labor,Apprenticeship (ETA),NA,012,012-017,012:017
Department of Labor,ETA management and other,NA,012,012-018,012:018
Department of Labor,Employee Benefits Security Administration,NA,012,012-019,012:019
Department of Labor,Pension Benefit Guaranty Corporation,NA,012,012-020,012:020
Department of Labor,Federal Employees’ Compensation Act (OWCP),NA,012,012-021,012:021
Department of Labor,Longshore and Harbor Workers Compensation (OWCP),NA,012,012-022,012:022
Department of Labor,Energy Employees Occupational Illness Compensation (OWCP),NA,012,012-023,012:023
Department of Labor,Coal Mine Workers’ Compensation (OWCP),NA,012,012-024,012:024
Department of Labor,OWCP management and other,NA,012,012-025,012:025
Department of Labor,Office of Labor Management Standards,NA,012,012-026,012:026
Department of Labor,Wage & Hour Division,NA,012,012-027,012:027
Department of Labor,Office of Federal Contractor Compliance Programs,NA,012,012-028,012:028
Department of Labor,Occupational Safety and Health Administration,NA,012,012-029,012:029
Department of Labor,Mine Safety and Health Administration,NA,012,012-030,012:030
Department of Labor,Labor Force Statistics (BLS),NA,012,012-031,012:031
Department of Labor,Prices and Cost of Living (BLS),NA,012,012-032,012:032
Department of Labor,Compensation and Working Conditions (BLS),NA,012,012-033,012:033
Department of Labor,Productivity and Technology (BLS),NA,012,012-034,012:034
Department of Labor,Executive Direction and Staff Services (BLS),NA,012,012-035,012:035
Department of Labor,Solicitor’s Office,NA,012,012-036,012:036
Department of Labor,International Labor Affairs Bureau,NA,012,012-037,012:037
Department of Labor,Women’s Bureau,NA,012,012-038,012:038
Department of Labor,Office of Disability Employment Policy,NA,012,012-039,012:039
Department of Labor,Jobs for Veterans State Grants (VETS),NA,012,012-040,012:040
Department of Labor,Transition Assistance Program Employment Workshop (VETS),NA,012,012-041,012:041
Department of Labor,Homeless Veterans' Reintegration Program (VETS),NA,012,012-042,012:042
Department of Labor,Federal Administration & USERRA Enforcement (VETS),NA,012,012-043,012:043
Department of Labor,DOL management and other,NA,012,012-044,012:044
Department of Labor,Office of Inspector General,NA,012,012-045,012:045
Department of State,Human Resources,NA,014,014-001,014:001
Department of State,Overseas Programs,NA,014,014-002,014:002
Department of State,Diplomatic Policy & Support,NA,014,014-003,014:003
Department of State,Security Programs,NA,014,014-004,014:004
Department of State,Capital Investment Fund,NA,014,014-005,014:005
Department of State,"Embassy Security, Construction and Maintenance",NA,014,014-006,014:006
Department of State,Conflict Stabilization Operations,NA,014,014-007,014:007
Department of State,Office of the Inspector General,NA,014,014-008,014:008
Department of State,Education and Cultural Exchanges Programs,NA,014,014-009,014:009
Department of State,Representation Allowances,NA,014,014-010,014:010
Department of State,Protection of Foreign Missions and Officials,NA,014,014-011,014:011
Department of State,Emergencies in the Diplomatic and Consular Service,NA,014,014-012,014:012
Department of State,Repatriation Loans Program Account,NA,014,014-013,014:013
Department of State,Payment to the American Institute in Taiwan,NA,014,014-014,014:014
Department of State,International Chancery Center,NA,014,014-015,014:015
Department of State,Contributions to International Organizations,NA,014,014-016,014:016
Department of State,Contributions to International Peacekeeping Activities,NA,014,014-017,014:017
Department of State,International Boundary and Water Commission – Salaries and Expenses,NA,014,014-018,014:018
Department of State,International Boundary and Water Commission – Construction,NA,014,014-019,014:019
Department of State,American Sections,NA,014,014-020,014:020
Department of State,International Fisheries Commission,NA,014,014-021,014:021
Department of State,Related Programs,NA,014,014-022,014:022
Department of the Treasury,Executive Direction,Departmental Offices,015,015-001,015:001
Department of the Treasury,International Affairs and Economic Policy,Departmental Offices,015,015-002,015:002
Department of the Treasury,Domestic Finance and Tax Policy,Departmental Offices,015,015-003,015:003
Department of the Treasury,Terrorism and Financial Intelligence (TFI),Departmental Offices,015,015-004,015:004
Department of the Treasury,Treasury-wide Management and Programs,Departmental Offices,015,015-005,015:005
Department of the Treasury,Treasury Forfeiture Fund,Departmental Offices,015,015-006,015:006
Department of the Treasury,Terrorism Risk Insurance Program,Departmental Offices,015,015-007,015:007
Department of the Treasury,Grants for Specified Energy Property,Departmental Offices,015,015-008,015:008
Department of the Treasury,Exchange Stabilization Fund (ESF),Departmental Offices,015,015-009,015:009
Department of the Treasury,Department-wide Systems and Capital Investments Program,NA,015,015-010,015:010
Department of the Treasury,Audit,Office of the Inspector General,015,015-011,015:011
Department of the Treasury,Investigations,Office of the Inspector General,015,015-012,015:012
Department of the Treasury,Audit,Special Inspector General for TARP,015,015-013,015:013
Department of the Treasury,Investigations,Special Inspector General for TARP,015,015-014,015:014
Department of the Treasury,Audit,Treasury Inspector General for Tax Administration,015,015-015,015:015
Department of the Treasury,Investigations,Treasury Inspector General for Tax Administration,015,015-016,015:016
Department of the Treasury,Community Development Financial Institutions (CDFI) Program,Community Development Financial Institutions Fund,015,015-017,015:017
Department of the Treasury,Bank Enterprise Award (BEA) Program,Community Development Financial Institutions Fund,015,015-018,015:018
Department of the Treasury,Native American CDFI Assistance (NACA) Program,Community Development Financial Institutions Fund,015,015-019,015:019
Department of the Treasury,Healthy Food Financing Initiative (HFFI),Community Development Financial Institutions Fund,015,015-020,015:020
Department of the Treasury,Financial Education and Counseling Pilot Program,Community Development Financial Institutions Fund,015,015-021,015:021
Department of the Treasury,Financial Education and Counseling Pilot Program (Hawaii),Community Development Financial Institutions Fund,015,015-022,015:022
Department of the Treasury,Capital Magnet Fund,Community Development Financial Institutions Fund,015,015-023,015:023
Department of the Treasury,Bond Guarantee Program,Community Development Financial Institutions Fund,015,015-024,015:024
Department of the Treasury,Bank Secrecy Act (BSA) Administration and Analysis,Financial Crimes Enforcement Network,015,015-025,015:025
Department of the Treasury,Collecting the Revenue,Alcohol and Tobacco Tax and Trade Bureau,015,015-026,015:026
Department of the Treasury,Protect the Public,Alcohol and Tobacco Tax and Trade Bureau,015,015-027,015:027
Department of the Treasury,Collections,Bureau of the Fiscal Service,015,015-028,015:028
Department of the Treasury,Do Not Pay (DNP) Business Center,Bureau of the Fiscal Service,015,015-029,015:029
Department of the Treasury,Government Agency Investment Services (GAIS),Bureau of the Fiscal Service,015,015-030,015:030
Department of the Treasury,Government-wide Accounting and Reporting (GWA),Bureau of the Fiscal Service,015,015-031,015:031
Department of the Treasury,Payments,Bureau of the Fiscal Service,015,015-032,015:032
Department of the Treasury,Retail Securities Services (RSS),Bureau of the Fiscal Service,015,015-033,015:033
Department of the Treasury,Summary Debt Accounting (SDA),Bureau of the Fiscal Service,015,015-034,015:034
Department of the Treasury,Wholesale Securities Services (WSS),Bureau of the Fiscal Service,015,015-035,015:035
Department of the Treasury,Pre-Filing Taxpayer Assistance and Education,Internal Revenue Service,015,015-036,015:036
Department of the Treasury,Filing and Account Services,Internal Revenue Service,015,015-037,015:037
Department of the Treasury,Investigations,Internal Revenue Service,015,015-038,015:038
Department of the Treasury,Exams and Collections,Internal Revenue Service,015,015-039,015:039
Department of the Treasury,Regulatory,Internal Revenue Service,015,015-040,015:040
Department of the Treasury,Shared Services and Support,Internal Revenue Service,015,015-041,015:041
Department of the Treasury,Information Services,Internal Revenue Service,015,015-042,015:042
Department of the Treasury,Business Systems and Modernization,Internal Revenue Service,015,015-043,015:043
Department of the Treasury,Capital Purchase Program (CPP),Troubled Asset Relief Program,015,015-044,015:044
Department of the Treasury,Targeted Investment Program (TIP),Troubled Asset Relief Program,015,015-045,015:045
Department of the Treasury,Asset Guarantee Program (AGP),Troubled Asset Relief Program,015,015-046,015:046
Department of the Treasury,Community Development Capital Initiative,Troubled Asset Relief Program,015,015-047,015:047
Department of the Treasury,Public-Private Investment Program (PPIP),Troubled Asset Relief Program,015,015-048,015:048
Department of the Treasury,Term Asset-Backed Securities Loan Facility (TALF),Troubled Asset Relief Program,015,015-049,015:049
Department of the Treasury,Small Business Administration (SBA) 7(a) Securities Purchase Program,Troubled Asset Relief Program,015,015-050,015:050
Department of the Treasury,American International Group,Troubled Asset Relief Program,015,015-051,015:051
Department of the Treasury,Automotive Industry Financing Program (AIFP),Troubled Asset Relief Program,015,015-052,015:052
Department of the Treasury,Making Home Affordable Program (MHA),Housing Program under TARP,015,015-053,015:053
Department of the Treasury,Housing Finance Agency (HFA) Hardest-Hit Fund,Housing Program under TARP,015,015-054,015:054
Department of the Treasury,Federal Housing Administration (FHA)-Refinance Program,Housing Program under TARP,015,015-055,015:055
Department of the Treasury,Preferred Stock Purchase Agreements (PSPA),Housing & Government Sponsored Enterprise Programs,015,015-056,015:056
Department of the Treasury,GSE Mortgage-Backed Securities (MBS) Purchase Program,Housing & Government Sponsored Enterprise Programs,015,015-057,015:057
Department of the Treasury,Housing Finance Agencies Initiative,Housing & Government Sponsored Enterprise Programs,015,015-058,015:058
Department of the Treasury,Small Business Lending Fund,NA,015,015-059,015:059
Department of the Treasury,State Small Business Credit Initiative Program,NA,015,015-060,015:060
Department of the Treasury,Financial Stability Oversight Council,Financial Research Fund,015,015-061,015:061
Department of the Treasury,Federal Deposit Insurance Corporation Payments,Financial Research Fund,015,015-062,015:062
Department of the Treasury,Office of Financial Research,Financial Research Fund,015,015-063,015:063
Department of the Treasury,Manufacturing,Bureau of Engraving and Printing,015,015-064,015:064
Department of the Treasury,Manufacturing,United States Mint,015,015-065,015:065
Department of the Treasury,Supervise,Office of the Comptroller of Currency,015,015-066,015:066
Department of the Treasury,Regulate,Office of the Comptroller of Currency,015,015-067,015:067
Department of the Treasury,Charter,Office of the Comptroller of Currency,015,015-068,015:068
Department of the Treasury,Federal Financing Bank (FFB),NA,015,015-069,015:069
Department of the Treasury,Contribution to the International Development Association (IDA),Treasury International Programs,015,015-070,015:070
Department of the Treasury,Contribution to the International Bank for Reconstruction and Development (IBRD),Treasury International Programs,015,015-071,015:071
Department of the Treasury,Contribution to the International Finance Corporation,Treasury International Programs,015,015-072,015:072
Department of the Treasury,Contribution to the Inter-American Development Bank (IDB and FSO),Treasury International Programs,015,015-073,015:073
Department of the Treasury,Contribution to the Multilateral Investment Fund (MIF),Treasury International Programs,015,015-074,015:074
Department of the Treasury,Contribution to the Inter-American Investment Corporation (IIC),Treasury International Programs,015,015-075,015:075
Department of the Treasury,Contribution to the Asian Development Bank (AsDB),Treasury International Programs,015,015-076,015:076
