Number,Name,Brand,Release_Year,Concentration,Rating_Value,Rating_Count,Main_Accords,Top_Notes,Middle_Notes,Base_Notes,Perfumers,URL
NA,AZUL by moussy - Grace アズール バイ マウジー グレース moussy / マウジー Solid Perfume,moussy / マウジー,NA,Solid Perfume,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/moussy/AZUL_by_moussy__Grace_____Solid_Perfume
NA,AZUL by moussy - Green アズール バイ マウジー グリーン moussy / マウジー Body Mist,moussy / マウジー,NA,Body Mist,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/moussy/AZUL_by_moussy__Green_____Body_Mist
NA,AZUL by moussy - Green アズール バイ マウジー グリーン moussy / マウジー Solid Perfume,moussy / マウジー,NA,Solid Perfume,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/moussy/AZUL_by_moussy__Green_____Solid_Perfume
NA,AZUL by moussy - In the Spotlight アズール バイ マウジー インザスポットライト moussy / マウジー 2013 Body Mist,moussy / マウジー,2013,Body Mist,NA,NA,NA,NA,NA,NA,Christophe Laudamiel,https://www.parfumo.com/Perfumes/moussy/AZUL_by_moussy__In_the_Spotlight_____Body_Mist
NA,AZUL by moussy - In the Spotlight アズール バイ マウジー インザスポットライト moussy / マウジー 2013 Eau de Toilette,moussy / マウジー,2013,Eau de Toilette,NA,NA,NA,NA,NA,NA,Christophe Laudamiel,https://www.parfumo.com/Perfumes/moussy/AZUL_by_moussy__In_the_Spotlight_____Eau_de_Toilette
NA,AZUL by moussy - In the Spotlight アズール バイ マウジー インザスポットライト moussy / マウジー 2013 Perfume,moussy / マウジー,2013,Perfume,NA,NA,NA,NA,NA,NA,Christophe Laudamiel,https://www.parfumo.com/Perfumes/moussy/AZUL_by_moussy__In_the_Spotlight_____Perfume
NA,AZUL by moussy - In the Spotlight アズール バイ マウジー インザスポットライト moussy / マウジー 2013 Solid Perfume,moussy / マウジー,2013,Solid Perfume,NA,NA,NA,NA,NA,NA,Christophe Laudamiel,https://www.parfumo.com/Perfumes/moussy/AZUL_by_moussy__In_the_Spotlight_____Solid_Perfume
NA,AZUL by moussy - Inspire アズール バイ マウジー インスパイア,moussy / マウジー,2018,NA,NA,NA,NA,"Aquatic notes, Bergamot, Green notes, Lemon, Lime, Melon","Jasmine, Kiwi, Peach, Rose, Waterlily","Orris root, White musk, White woods",NA,https://www.parfumo.com/Perfumes/moussy/AZUL_by_moussy__Inspire____
NA,AZUL by moussy - Juice アズール バイ マウジー ジュース,moussy / マウジー,NA,NA,NA,NA,NA,"Grapefruit, Red berries","Lily of the valley, Osmanthus, Violet","Amber, Vanilla",NA,https://www.parfumo.com/Perfumes/moussy/AZUL_by_moussy__Juice____
NA,AZUL by moussy - Marine アズール バイ マウジー マリン,moussy / マウジー,NA,NA,NA,NA,NA,"Apple, Banana, Leaf green, Lemon, Pineapple","Blackcurrant, Jasmine, Lily of the valley, Rose","Cedar, Musk, Sandalwood",NA,https://www.parfumo.com/Perfumes/moussy/AZUL_by_moussy__Marine____
NA,AZUL by moussy - Merrily アズール バイ マウジー メリリー,moussy / マウジー,2018,NA,NA,NA,NA,"Citrus fruits, Fruity notes, Green notes","Hawthorn, Iris, Jasmine, Rose","Amber, Coumarin, Musk, Vanilla",NA,https://www.parfumo.com/Perfumes/moussy/AZUL_by_moussy__Merrily____
NA,AZUL by moussy - Moonlight アズール バイ マウジー ムーンライト,moussy / マウジー,NA,NA,NA,NA,NA,"Bergamot, Mandarin orange","Jasmine, Rose","Amber, Musk, Powdery notes",NA,https://www.parfumo.com/Perfumes/moussy/AZUL_by_moussy__Moonlight____
NA,AZUL by moussy - Noble アズール バイ マウジー ノーブル,moussy / マウジー,NA,NA,NA,NA,NA,"Aquatic notes, Lemon","Gardenia, Lily of the valley, Rose","Musk, Patchouli, Woody notes",NA,https://www.parfumo.com/Perfumes/moussy/AZUL_by_moussy__Noble____
NA,Azul,Ganache Parfums,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Ganache_Parfums/azul
NA,Azul Noche,Zara,NA,NA,7.8,5,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Zara/azul-noche
NA,Azul Portinari,O Boticário,2005,NA,NA,NA,NA,"Aquatic notes, Bergamot, Birch leaf, Mandarin orange","Cedar, Geranium, Nutmeg, Sandalwood, Vetiver","Amber, Cedar, Leather, Musk, Oakmoss, Vetiver",NA,https://www.parfumo.com/Perfumes/O_Boticario/Azul_Portinari
NA,Azul pour Homme,Primark,2017,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Primark/Azul_pour_Homme
NA,Azulente,Figenzi,NA,NA,NA,NA,NA,"Grapefruit, Mandarin orange, Orange, Peppermint, Acid","Cinnamon, Rose absolute, Spices, Nausea","Amber, Blond leather, Blond woods, Patchouli",NA,https://www.parfumo.com/Perfumes/figenzi/azulente
NA,Azur E&S Rasage 1998 Après-Rasage apaisant sans alcool,E&S Rasage,1998,Après-Rasage apaisant sans alcool,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/e-s-rasage/azur-apres-rasage-apaisant-sans-alcool
NA,Azur E&S Rasage 2001 Aftershave,E&S Rasage,2001,Aftershave,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/e-s-rasage/azur-aftershave
NA,Azur E&S Rasage Eau de Toilette,E&S Rasage,NA,Eau de Toilette,8.3,6,"Spicy, Woody, Floral, Oriental, Earthy",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/e-s-rasage/azur-eau-de-toilette
NA,Azur,Puig,1969,NA,8.3,10,"Fresh, Spicy, Aquatic, Citrus, Powdery","Bergamot, Thyme, Mandarin orange","Lily of the valley, Jasmine","Patchouli, Oakmoss, Amber",NA,https://www.parfumo.com/Perfumes/Puig/Azur
NA,Azur,Thymes,2007,NA,NA,NA,"Fresh, Aquatic, Green, Synthetic, Citrus",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Thymes/Azur
NA,Azura,Paris Elysees / Le Parfum by PE,NA,NA,NA,NA,NA,"Bergamot, Cassia, Coconut, Cotton candy, Jasmine, Mandarin orange, Melon","Apricot, Blackberry, Honey, Jasmine, Lily of the valley, Orchid, Peach, Plum, Red berries, Rose","Amber, Caramel, Dark chocolate, Musk, Patchouli, Tonka bean, Vanilla",NA,https://www.parfumo.com/Perfumes/Paris_Elysees/Azura
NA,Azurēe d'Or,Estēe Lauder,2017,NA,8.8,2,NA,"Clary sage, Pink pepper, Plum, Saffron","Galbanum, Jasmine absolute, Rosa centifolia","Labdanum, Leather, Orris absolute, Patchouli, Vetiver",NA,https://www.parfumo.com/Perfumes/Estee_Lauder/Azure_d_Or
NA,Azurēe,Estēe Lauder,1969,NA,8.2,168,"Chypre, Leathery, Spicy, Woody, Green","Aldehydes, Basil, Gardenia, Jasmine, Artemisia, Citrus notes","Geranium, Orris root, Vetiver, Mugwort, Rose, Ylang-ylang","Leather, Moss, Amber, Musk, Patchouli",Bernard Chant,https://www.parfumo.com/Perfumes/Estee_Lauder/Azuree
NA,Azurēe,Estēe Lauder,2015,NA,8.3,79,"Chypre, Spicy, Green, Fresh, Woody","Citrus notes, Basil, Jasmine","Mugwort, Rose, Vetiver","Moss, Patchouli, Amber",NA,https://www.parfumo.com/Perfumes/Estee_Lauder/Azure_2015
NA,Azurēe Legacy,Estēe Lauder,2024,NA,8.3,2,"Animal, Green, Spicy, Woody, Earthy","Basil, Cardamom, Tarragon","Clary sage, Clove, Jasmine","Cumin, Leathery notes, Oakmoss, Patchouli, Sandalwood, Vetiver",Anne Flipo,https://www.parfumo.com/Perfumes/Estee_Lauder/azuree-legacy
NA,Azurēe Soleil,Estēe Lauder,2007,NA,7.8,64,"Floral, Fresh, Sweet, Gourmand, Woody","Mandarin orange, Bergamot","Jasmine, Myrrh, Orange blossom, Gardenia, Magnolia","Coconut, Amber, Caramel, Sandalwood, Vetiver",NA,https://www.parfumo.com/Perfumes/Estee_Lauder/Azuree_Soleil_Eau_Fraiche_Skinscent
NA,Azuré,L'Amande,2013,NA,NA,NA,NA,"Calabrian bergamot, Marine notes, Red mandarin orange","Jasmine, Orchid, Rosewood, White woods","Indonesian sandalwood, Tree moss, White musk",NA,https://www.parfumo.com/Perfumes/LAmande/Azure
NA,Azure,A Wing & A Prayer Perfumes,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/A_Wing__A_Prayer_Perfumes/Azure
NA,Azure Blue,Novae Plus / S. Cute,2013,NA,NA,NA,NA,"Apple, Fruits","Jasmine, Rose, Rosewood","Amber, Fir tree wood, Musk",NA,https://www.parfumo.com/Perfumes/Novae_Plus/Azure_Blue
NA,Azure Bluet,Reserved,NA,NA,NA,NA,NA,"Bergamot, Mandarin orange","Magnolia, Mint","Cashmere wood, Musk",NA,https://www.parfumo.com/Perfumes/Reserved/azure-bluet
NA,Azure Crystal for Men,M. Micallef,2015,NA,8.2,9,"Spicy, Citrus, Sweet, Fruity, Fresh","Neroli, Bergamot, Lemon, Pink pepper","Cinnamon, Jasmine, Tonka bean","Vanilla, Amber, Cashmeran, Cedar, White musk","Geoffrey Nejman, Jean-Claude Astier",https://www.parfumo.com/Perfumes/Martine_Micallef/Azure_Crystal_for_Men
NA,Azure Crystal for Women,M. Micallef,2015,NA,8.8,13,"Floral, Sweet, Fruity, Creamy, Powdery","Bergamot, Mandarin orange, Neroli","Coconut, Jasmine, Monoï, Plum","White musk, Amber, Vanilla","Geoffrey Nejman, Jean-Claude Astier",https://www.parfumo.com/Perfumes/Martine_Micallef/Azure_Crystal_for_Women
NA,Azure,Hamidi,NA,NA,NA,NA,NA,"Grapefruit, Lemon, Mint, Pink pepper","Ginger, ISO-E-Super, Jasmine, Nutmeg","Cedar, Frankincense, Labdanum, Patchouli, Sandalwood, Vetiver, White musk",NA,https://www.parfumo.com/Perfumes/hamidi/azure
NA,Azure Lime,Tom Ford,2010,NA,6.9,117,"Citrus, Fresh, Aquatic, Green, Woody","Lime water, Bergamot, Lemon, Black basil, Orange, Mint, Juniper berry","Jasmine, Neroli, Orange blossom, Violet leaf, Buchu, Orris butter","Musk, Irish moss, Oak wood, Sandalwood, Patchouli, Tonka bean","Antoine Lie, Ellen Molner, Rodrigo Flores-Roux",https://www.parfumo.com/Perfumes/Tom_Ford/Azure_Lime
NA,Azure Mist,Création Lamis,NA,NA,NA,NA,NA,"Bergamot, Pepper","Geranium, Lavender, Sichuan pepper","Ambroxan, Cedar, Labdanum",NA,https://www.parfumo.com/Perfumes/Creation_Lamis/Azure_Mist
NA,Azure Saray / سراي Eau de Parfum,Saray / سراي,NA,Eau de Parfum,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/saray/azure-eau-de-parfum
NA,Azure,Scent Swatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Scent_Swatch/Azure
NA,Azure Sky,Michalsky,2021,NA,6.3,7,"Fresh, Citrus, Synthetic, Spicy","Pepper, Bergamot, Melon, Pineapple leaf","Lavender, Pepper, Leather",Patchouli,NA,https://www.parfumo.com/Perfumes/Michalsky/azure-sky
NA,Azure Wave,Zara,2024,NA,6.5,2,NA,"Citrus notes, Fruity notes",Fougère notes,"Amber, Woody notes",NA,https://www.parfumo.com/Perfumes/Zara/azure-wave
NA,Azure,Western Valley,NA,NA,7.8,3,"Leathery, Sweet","Candied fruits, Caramel, Mandarin orange","Leather, Violet","Leather, Sandalwood, Tonka bean, Vanilla",NA,https://www.parfumo.com/Perfumes/western-valley/Azure
NA,Azurea,L.T. Piver,1901,NA,NA,NA,NA,NA,NA,NA,"Pierre Armigeant, George Darzens",https://www.parfumo.com/Perfumes/L_T_Piver/Azurea
NA,Azurina,J. G. Mouson & Co.,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/J_G_Mouson_Co/azurina
NA,Azuro,Heymountain Cosmetics,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Heymountain_Cosmetics/Azuro
NA,Azusa Blue,Estevia,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Estevia/Azusa_Blue
NA,Azza Silver,Swiss Arabian,NA,NA,8.7,3,"Smoky, Sweet, Spicy, Oriental, Leathery",Oud,"Caraway, Elemi resin, Frankincense, Saffron","Labdanum, Leather",NA,https://www.parfumo.com/Perfumes/Swiss_Arabian/Azza_Silver
NA,Azzaro 9 Azzaro 1984 Eau de Parfum,Azzaro,1984,Eau de Parfum,8.6,5,"Floral, Chypre, Spicy, Fruity, Powdery","Aldehydes, Pineapple, Bergamot, Mandarin orange","Lily, Tulip, Lily of the valley, Mimosa, Caraway, Dyer's-broom, Orange blossom, Rose, Tuberose, Wisteria, Ylang-ylang, Jasmine","Cedar, Oakmoss, Frankincense, Musk, Sandalwood, Vanilla","Alberto Morillas, Roger Pellégrino, Firmenich",https://www.parfumo.com/Perfumes/Azzaro/Azzaro_9_Eau_de_Parfum
NA,Azzaro 9 Azzaro 1984 Eau de Toilette,Azzaro,1984,Eau de Toilette,7.1,37,"Floral, Fruity, Spicy, Chypre, Sweet","Aldehydes, Pineapple, Bergamot, Mandarin orange","Lily, Tulip, Lily of the valley, Mimosa, Caraway, Dyer's-broom, Orange blossom, Rose, Tuberose, Wisteria, Ylang-ylang, Jasmine","Cedar, Oakmoss, Frankincense, Musk, Sandalwood, Vanilla","Alberto Morillas, Roger Pellégrino, Firmenich",https://www.parfumo.com/Perfumes/Azzaro/Azzaro_9_Eau_de_Toilette
NA,Azzaro 9 Azzaro 1984 Parfum,Azzaro,1984,Parfum,8.8,4,"Green, Woody, Chypre, Floral, Resinous","Aldehydes, Pineapple, Bergamot, Mandarin orange","Lily, Tulip, Lily of the valley, Mimosa, Caraway, Dyer's-broom, Orange blossom, Rose, Tuberose, Wisteria, Ylang-ylang, Jasmine","Cedar, Oakmoss, Frankincense, Musk, Sandalwood, Vanilla","Alberto Morillas, Roger Pellégrino, Firmenich",https://www.parfumo.com/Perfumes/Azzaro/Azzaro_9_Parfum
NA,Azzaro Couture,Azzaro,2008,NA,7.3,33,"Floral, Chypre, Green, Spicy, Powdery",NA,NA,NA,"Aurélien Guichard, Givaudan",https://www.parfumo.com/Perfumes/Azzaro/Azzaro_Couture
NA,Azzaro Couture Azzaro Azzaro 1975 Eau de Parfum,Azzaro,1975,Eau de Parfum,8.3,15,"Woody, Floral, Chypre, Resinous, Green","Gardenia, Peach, Plum, Apple blossom, Bergamot, Rose","Ylang-ylang, Jasmine, Iris","Moss, Patchouli, Amber, Styrax, Vetiver",Maurice Thibond,https://www.parfumo.com/Perfumes/Azzaro/Azzaro_Couture_Azzaro_Eau_de_Parfum
NA,Azzaro Couture Azzaro Azzaro 1975 Eau de Toilette,Azzaro,1975,Eau de Toilette,8,23,"Chypre, Floral, Woody, Green, Spicy","Gardenia, Peach, Plum, Apple blossom, Bergamot, Rose","Ylang-ylang, Jasmine, Iris","Moss, Patchouli, Amber, Styrax, Vetiver",Maurice Thibond,https://www.parfumo.com/Perfumes/Azzaro/Azzaro_Couture_Azzaro_Eau_de_Toilette
NA,Azzaro Couture Azzaro Azzaro 1975 Parfum,Azzaro,1975,Parfum,9.1,6,NA,"Gardenia, Peach, Plum, Apple blossom, Bergamot, Rose","Ylang-ylang, Jasmine, Iris","Moss, Patchouli, Amber, Styrax, Vetiver",Maurice Thibond,https://www.parfumo.com/Perfumes/Azzaro/Azzaro_Couture_Azzaro_Parfum
NA,Azzaro Couture La Poupée et son Ours,Azzaro,2009,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Azzaro/azzaro-couture-la-poupee-et-son-ours
NA,Azzaro pour Elle Azzaro 2015 Eau de Parfum,Azzaro,2015,Eau de Parfum,7.8,34,"Spicy, Floral, Citrus, Fresh, Powdery","Citrus fruits, Cardamom","Lily, Rose","Frankincense, Cashmere wood","Fabrice Pellegrin, Nathalie Lorson",https://www.parfumo.com/Perfumes/Azzaro/Azzaro_pour_Elle_Eau_de_Parfum
NA,Azzaro pour Elle Azzaro 2017 Eau de Toilette,Azzaro,2017,Eau de Toilette,7.3,2,"Floral, Spicy",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Azzaro/Azzaro_pour_Elle_Eau_de_Toilette
NA,Azzaro pour Elle Extrême,Azzaro,2016,NA,8.2,16,"Smoky, Oriental, Woody, Resinous, Sweet","Cardamom, Rosebud, Saffron","Rose, Royal lily","Oud, Frankincense, Cashmere wood, Peach","Nathalie Lorson, Fabrice Pellegrin, Firmenich",https://www.parfumo.com/Perfumes/Azzaro/Azzaro_pour_Elle_Extrme
NA,Azzaro pour Homme Amber Fever,Azzaro,2018,NA,8.1,51,"Spicy, Resinous, Sweet, Oriental, Gourmand",French clary sage,"Cocoa absolute, Frankincense","Amber, Benzoin, Tonka bean",NA,https://www.parfumo.com/Perfumes/Azzaro/Azzaro_pour_Homme_Amber_Fever
NA,Azzaro pour Homme Azzaro 1978 After Shave Lotion,Azzaro,1978,After Shave Lotion,9,22,"Spicy, Woody, Fresh, Fougère, Leathery","Lavender, Aniseed, Basil, Clary sage, Bergamot, Caraway, Lemon, Iris","Cedarwood, Sandalwood, Vetiver, Cardamom, Juniper berry, Patchouli","Oakmoss, Musk, Amber, Leather, Tonka bean","Gérard Anthony, Martin Heiddenreich, Richard Wirtz",https://www.parfumo.com/Perfumes/Azzaro/Azzaro_Pour_Homme_After_Shave_Lotion
NA,Azzaro pour Homme Azzaro 1978 Eau de Toilette,Azzaro,1978,Eau de Toilette,7.7,1014,"Spicy, Woody, Fougère, Leathery, Fresh","Lavender, Aniseed, Basil, Clary sage, Bergamot, Caraway, Lemon, Iris","Cedarwood, Sandalwood, Vetiver, Cardamom, Juniper berry, Patchouli","Oakmoss, Musk, Amber, Leather, Tonka bean","Gérard Anthony, Martin Heiddenreich, Richard Wirtz",https://www.parfumo.com/Perfumes/Azzaro/Azzaro_pour_Homme
NA,Azzaro pour Homme Azzaro 1992 Eau de Toilette Intense,Azzaro,1992,Eau de Toilette Intense,8.1,67,"Spicy, Fougère, Woody, Leathery, Citrus","Lavender, Aniseed, Basil, Clary sage, Bergamot, Caraway, Lemon, Iris","Cedarwood, Sandalwood, Vetiver, Cardamom, Juniper berry, Patchouli","Oakmoss, Musk, Amber, Leather, Tonka bean","Gérard Anthony, Martin Heiddenreich, Richard Wirtz",https://www.parfumo.com/Perfumes/Azzaro/Azzaro_pour_Homme_Eau_de_Toilette_Intense
NA,Azzaro pour Homme Collector Edition,Azzaro,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Azzaro/Azzaro_pour_Homme_Collector_Edition
NA,Azzaro pour Homme Collector Precious Wood Edition,Azzaro,2010,NA,4.5,2,Citrus,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Azzaro/Azzaro_pour_Homme_Bois_Precieux_Collector_Precious_Wood_Edition
NA,Azzaro pour Homme Cologne Intense,Azzaro,2021,NA,7.5,65,"Fresh, Citrus, Green, Spicy, Synthetic",Lime,Lavender,Mastic,Givaudan,https://www.parfumo.com/Perfumes/Azzaro/azzaro-pour-homme-cologne-intense
NA,Azzaro pour Homme Edition Noire,Azzaro,2017,NA,8.1,13,"Spicy, Woody, Oriental, Smoky, Fougère",Bitter orange,Mugwort,Cumin,NA,https://www.parfumo.com/Perfumes/Azzaro/Azzaro_pour_Homme_Edition_Noire
NA,Azzaro pour Homme Elixir,Azzaro,2009,NA,7,166,"Fruity, Sweet, Spicy, Woody, Oriental",NA,NA,NA,Michel Girard,https://www.parfumo.com/Perfumes/Azzaro/Azzaro_pour_Homme_Elixir
NA,Azzaro pour Homme Elixir Collector Precious Wood Edition,Azzaro,2010,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Azzaro/Azzaro_pour_Homme_Elixir_Bois_Precieux_Collector_Precious_Wood_Edition
NA,Azzaro pour Homme Freelight Edition,Azzaro,2016,NA,7,4,"Fresh, Citrus",NA,NA,NA,"Quentin Bisch, Jacques Huclier, Olivier Pescheux",https://www.parfumo.com/Perfumes/Azzaro/Azzaro_pour_Homme_Freelight_Edition
NA,Azzaro pour Homme Ginger Lover,Azzaro,2019,NA,8.1,65,"Spicy, Citrus, Woody, Fresh, Sweet","Indian cardamom, Lime","Kahili ginger, Cedar","Haitian vetiver, Coumarin","Sonia Constant, Michel Girard",https://www.parfumo.com/Perfumes/Azzaro/azzaro-pour-homme-ginger-lover
NA,Azzaro pour Homme Hot Pepper,Azzaro,2018,NA,7.7,13,"Sweet, Spicy, Woody, Floral, Resinous","Chili, Juniper berry","Frankincense, Pink pepper, Lavender","Cashmeran, Patchouli",NA,https://www.parfumo.com/Perfumes/Azzaro/Azzaro_pour_Homme_Hot_Pepper
NA,Azzaro pour Homme Intense,Azzaro,2015,NA,7.5,189,"Spicy, Sweet, Gourmand, Woody, Oriental",NA,NA,NA,"Jacques Huclier, Olivier Pescheux, Givaudan",https://www.parfumo.com/Perfumes/Azzaro/Azzaro_pour_Homme_Intense
NA,Azzaro pour Homme L'Eau,Azzaro,2011,NA,7.1,104,"Citrus, Fresh, Spicy, Woody, Fruity","Lemon, Lime, Grapefruit","Geranium, Lavender","Sandalwood, Musk, Patchouli, Vetiver","Michel Girard, Givaudan",https://www.parfumo.com/Perfumes/Azzaro/Azzaro_pour_Homme_L_Eau
NA,Azzaro pour Homme Naughty Leather,Azzaro,2018,NA,6.8,13,"Leathery, Sweet, Synthetic, Woody, Spicy",Davana,"Leather, Haitian vetiver, Cedarwood",Bourbon vanilla,NA,https://www.parfumo.com/Perfumes/Azzaro/Azzaro_pour_Homme_Naughty_Leather
NA,Azzaro pour Homme Night Time,Azzaro,2012,NA,6.7,60,"Spicy, Woody, Synthetic, Fresh, Fruity","Rhubarb, Bitter orange","Black pepper, Fougère notes, Nutmeg","Cedar, Vetiver","Christophe Raynaud, Michel Girard",https://www.parfumo.com/Perfumes/Azzaro/Azzaro_pour_Homme_Night_Time
NA,Azzaro pour Homme Silver Black (Lotion Apres Rasage) Onyx,Azzaro,2005,NA,NA,NA,NA,NA,NA,NA,Françoise Caron,https://www.parfumo.com/Perfumes/Azzaro/Azzaro_pour_Homme_Silver_Black_Onyx_Lotion_Apres_Rasage
NA,Azzaro pour Homme Silver Black Azzaro pour Homme Onyx Azzaro 2005 Eau de Toilette,Azzaro,2005,Eau de Toilette,7,89,"Spicy, Woody, Fresh, Synthetic, Fruity",NA,NA,NA,Françoise Caron,https://www.parfumo.com/Perfumes/Azzaro/Azzaro_pour_Homme_Silver_Black_Onyx_Eau_de_Toilette
NA,Azzaro pour Homme Summer 2013,Azzaro,2013,NA,7.6,19,"Spicy, Fresh, Citrus, Fruity, Woody","Italian lemon, Mandarin orange","Moroccan artemisia, Italian petitgrain",Egyptian cumin,NA,https://www.parfumo.com/Perfumes/Azzaro/Azzaro_pour_Homme_Summer_Edition_Edition_d_ete_2013
NA,Azzaro pour Homme Summer 2014,Azzaro,2014,NA,6.2,21,"Woody, Spicy, Fresh, Citrus, Fougère","Basil, Aniseed, Lavender, Fennel","Cardamom, Patchouli, Sandalwood, Vetiver","Leather, Oakmoss, Amber, Musk",NA,https://www.parfumo.com/Perfumes/Azzaro/Azzaro_pour_Homme_Summer_2014
NA,Azzaro pour Homme Summer 2015,Azzaro,2015,NA,7,14,"Woody, Citrus, Fruity, Fougère, Synthetic",NA,NA,NA,"Quentin Bisch, Olivier Pescheux, Jacques Huclier",https://www.parfumo.com/Perfumes/Azzaro/Azzaro_pour_Homme_Summer_2015
NA,Azzaro pour Homme Wild Mint,Azzaro,2019,NA,7.1,37,"Green, Fresh, Sweet, Fruity, Aquatic","Calypsone®, Bergamot","Nana mint, Balsam fir","Haitian vetiver, Indonesian patchouli",Roxanne Kirkpatrick,https://www.parfumo.com/Perfumes/Azzaro/azzaro-pour-homme-wild-mint
NA,Azzaro Sport,Azzaro,2020,NA,7.3,84,"Fresh, Citrus, Woody, Synthetic, Spicy",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Azzaro/azzaro-sport
NA,Azzemour,Crabtree & Evelyn,2001,NA,NA,NA,NA,"African violet, Bergamot, Nectarine","Clove, Freesia, Gardenia, Moroccan rose","Amber, Moss, Musk, Sandalwood",NA,https://www.parfumo.com/Perfumes/Crabtree__Evelyn/Azzemour
NA,Azzura,Azzaro,1999,NA,6.5,25,"Fruity, Floral, Woody, Fresh, Sweet","Blackcurrant, Bergamot, Cyclamen, Forget-me-not, Lily of the valley, Mandarin orange","Apricot, Blackcurrant, Jasmine, Rose","Vanilla, Sycamore, Yuzu",Laurent Bruyère,https://www.parfumo.com/Perfumes/Azzaro/Azzura
NA,Azzura,RP,NA,NA,NA,NA,"Synthetic, Citrus, Powdery, Woody, Floral","Mandarin orange, Neroli, Orange, Orange blossom",Iris,"Benzoin, Cedar, Frankincense, Vetiver",NA,https://www.parfumo.com/Perfumes/rp/azzura
NA,Azzurro di Capri Bruno Acampora Extrait de Parfum,Bruno Acampora,NA,Extrait de Parfum,NA,NA,NA,"Blackcurrant, Freesia, Ginger, Lemon, Skunk","Jasmine, Lily of the valley, Rose","Musk, Patchouli, Woods, Vorplaxa",Natalia Prozorowa / Наталья Прозорова,https://www.parfumo.com/Perfumes/Bruno_Acampora/Azzurro_di_Capri_Extrait_de_Parfum
NA,Azzurro di Capri Bruno Acampora Perfume Oil,Bruno Acampora,NA,Perfume Oil,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Bruno_Acampora/Azzurro_di_Capri
NA,Azzurro,Gissah / قصة,2021,NA,NA,NA,NA,"Ambrette, Bergamot, Lavender","Caramel, Jasmine, Peach","Ambergris, Leather, Vanilla",NA,https://www.parfumo.com/Perfumes/gissah/azzurro
NA,Azzurro,Next,NA,NA,NA,NA,NA,"Apple, Cucumber, Grapefruit, Garbage","Lily of the valley, Magnolia, Rose, Violet","Ambergris, Musk, Sandalwood, Grim",NA,https://www.parfumo.com/Perfumes/Next/Azzurro
NA,Azzurro,Roberto Ugolini,2012,NA,NA,NA,NA,"Damask rose, Mandarin orange, Rosebud","Blue iris, Cyclamen, Magnolia","Musk, Vanilla, Sandalwood",NA,https://www.parfumo.com/Perfumes/Roberto_Ugolini/azzurro
NA,B - Om,Lush / Cosmetics To Go,2004,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Lush/Om
NA,B - Two Hearts Beating As One,Lush / Cosmetics To Go,2004,NA,6,3,"Oriental, Floral, Sweet, Powdery, Spicy","Bergamot, Neroli","Jasmine, Rose, Ylang-ylang, Geranium","Vetiver, Sandalwood, Celery seed",NA,https://www.parfumo.com/Perfumes/Lush/Two_Hearts_Beating_As_One
NA,B Boucheron 2008 Eau de Parfum,Boucheron,2008,Eau de Parfum,7.5,71,"Floral, Spicy, Fruity, Woody, Sweet","Apricot, Neroli","Patchouli, Rose","Cedar, Spices, Osmanthus",Ursula Wandel,https://www.parfumo.com/Perfumes/Boucheron/B_Eau_de_Parfum
NA,B Boucheron 2008 Solid Perfume,Boucheron,2008,Solid Perfume,NA,NA,NA,"Apricot, Neroli","Patchouli, Rose","Cedar, Spices, Osmanthus",Ursula Wandel,https://www.parfumo.com/Perfumes/Boucheron/B_Solid_Perfume
