animal_id,sex,life_stage,pregnant,with_calf,death_cause,study_site,deploy_on_longitude,deploy_on_latitude,deploy_on_comments,deploy_off_longitude,deploy_off_latitude,deploy_off_type,deploy_off_comments
QU_car142,f,3-5,NA,NA,NA,Quintette,-121.345602975211,55.1212152558714,Group includ. CAR125 and new collars CAR141 and CAR143.,NA,NA,other,Lost
QU_car143,f,2-3,NA,FALSE,NA,Quintette,-121.345600375602,55.1212781333209,"Group includ. CAR125, CAR141, and CAR142.",NA,NA,other,Lost
BP_car144,f,3-5,NA,FALSE,NA,Burnt Pine,-122.337822622998,55.4365913615461,Group includ. CAR 145; very rich terrestrial lichen supply on eastern lower slopes of Stephenson.,NA,NA,other,Lost
QU_car139,f,3-5,NA,FALSE,NA,Quintette,-120.907497057844,54.861487633665,NA,NA,NA,other,Lost
QU_car141,f,6-8,NA,TRUE,NA,Quintette,-121.345600375602,55.1212781333209,Group includ. CAR125 and new collars CAR142 and CAR143.,NA,NA,other,Lost
QU_car137,f,2-3,NA,FALSE,NA,Quintette,-120.962191834141,54.865806660165,"Heavy snowmobile activity in area (alpine, subalpine and below treeline)",NA,NA,removal,Recovered failed collar and replaced with a new one.
BP_car145,f,5-7,NA,FALSE,Unknown,Burnt Pine,-122.337822622998,55.4365913615461,Group includ. CAR 144;  snow depth in valley on west side of mtn = 1.3 metres; abundant arboreal lichen on subalpine fir.,NA,NA,dead,NA
MO_car149,f,6-8,NA,FALSE,Unknown,Moberly,-122.46897938191,55.8565350129663,Group includ. CAR103 (148.519).,-122.513900579588,55.8527401492861,dead,NA
MO_car147,f,3-5,NA,FALSE,NA,Moberly,-122.945648221464,55.8834019612357,Group includ. CAR104 (148.410).,NA,NA,other,Infometrics
MO_car148,f,5-7,NA,FALSE,Predation - Wolf,Moberly,-122.814016785366,55.8106731853855,NA,-122.639935755109,55.7501928774013,dead,NA
MO_car151,f,10-12,NA,FALSE,Predation - Unknown predator,Moberly,-122.590571881263,55.7601109578668,Group includ. CAR150; teeth worn down to gumline.,-122.559113609578,55.8246492923356,dead,NA
QU_car152,f,3-5,NA,FALSE,Predation - Unknown predator,Quintette,-121.47112097229,55.1992020354669,Group includ. CAR111 (149.689; recaptured to retrieve collar).,-121.373363808646,55.0914110617541,dead,NA
MO_car150,f,3-5,NA,FALSE,NA,Moberly,-122.590571881263,55.7601109578668,Group includ. CAR151.,NA,NA,removal,NA
KE_car153,f,4-6,NA,FALSE,Predation - Unknown predator,Kennedy,-122.571666852738,55.2575000616327,NA,-122.360615030078,55.3190850635412,dead,NA
KE_car154,f,2-3,NA,FALSE,NA,Kennedy,-122.481935392882,55.1922897454182,NA,NA,NA,removal,NA
KE_car157,f,6-8,NA,FALSE,"Accidental, Collar Still in Field, Inaccessible",Kennedy,-122.612435700312,55.2927808735437,NA,-122.501959960486,55.1815599824545,dead,NA
KE_car156,f,5-7,NA,FALSE,NA,Kennedy,-122.531706428592,55.2331266231269,NA,NA,NA,removal,NA
KE_car155,f,5-7,NA,TRUE,NA,Kennedy,-122.473700979549,55.196118587623,NA,NA,NA,removal,NA
QU_car158,f,4-6,NA,FALSE,Predation - Wolf,Quintette,-121.528188887797,55.2149575344843,Mort recovery deployed on new caribou,-121.540525660855,55.1707721491482,dead,NA
MO_car150,f,3-5,NA,FALSE,NA,Moberly,-122.457802664652,55.8630006253716,Redeployment of mortality recovery,NA,NA,removal,Recovered failed collar and replaced with a new one.
QU_car146,f,3-5,NA,FALSE,NA,Quintette,-121.528188887797,55.2149575344843,Recapture - failed Iridium 149.210 removed; replaced with new Iridium.,-121.439542557041,55.0605348188113,dead,NA
QU_car137,f,3-5,NA,FALSE,NA,Quintette,-121.019117685063,54.8734810474629,Recapture - failed Iridium 149.220 removed; replaced with new Iridium.,NA,NA,removal,Recovered failed collar and replaced with a new one.
QU_car159,f,3-5,NA,FALSE,NA,Quintette,-121.007680498869,54.8892034631875,NA,NA,NA,removal,Recovered failed collar and replaced with a new one.
MO_car161,f,12-15,NA,FALSE,NA,Moberly,-122.474256479006,55.7780167046009,NA,NA,NA,other,Lost
QU_car166,f,4-6,NA,FALSE,Predation - Grizzly,Quintette,-121.448417648764,55.0426427464127,NA,-121.492911100202,55.0810567224605,dead,NA
QU_car163,f,4-6,NA,FALSE,Collar Still in Field,Quintette,-121.774795765549,55.1135344299668,NA,NA,NA,dead,NA
QU_car167,f,4-6,NA,FALSE,NA,Quintette,-121.374237540414,55.1490304896156,NA,NA,NA,other,Lost
MO_car150,f,4-6,NA,FALSE,NA,Moberly,-122.476338227933,55.7892213977715,Recapture - failed Iridium 149.100 removed; replaced with new Iridium.,NA,NA,other,Infometrics
SC_car171,f,6-8,NA,TRUE,NA,Scott,-123.341770286363,55.8716632161694,"same group as car168, car169 &car170",NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank
SC_car170,f,2-3,NA,FALSE,Predation - Wolf,Scott,-123.355710225107,55.8599070183438,same group as car168 & car169,-123.615896422712,55.9050106598486,dead,NA
SC_car168,f,6-8,NA,FALSE,NA,Scott,-123.354480492794,55.859955492116,NA,NA,NA,other,Infometrics
SC_car169,f,8-10,NA,FALSE,Collar still in Field,Scott,-123.355487301426,55.8599885293039,same group as car168,NA,NA,dead,NA
QU_car138,f,6-8,NA,FALSE,NA,Quintette,-120.97547630179,54.8725096075588,Recapture - failed Iridium 149.190 removed; replaced with VHF. No data provided for this deployment.,-120.937234715529,54.8665537393212,dead,NA
QU_car173,f,3-5,NA,FALSE,Predation - Wolf,Quintette,-121.024343622586,54.8523624858883,NA,-121.443387855794,54.7957474777161,dead,NA
QU_car172,f,4-6,NA,FALSE,NA,Quintette,-121.012452495389,54.8356655496432,NA,NA,NA,removal,NA
QU_car137,f,3-5,NA,FALSE,NA,Quintette,-121.01515831582,54.8646077279944,Recapture - failed Iridium 149.340 removed; replaced with VHF. No data provided for this deployment.,-121.405755700974,54.8836119952643,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank
QU_car175,f,NA,NA,TRUE,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank
QU_car159,f,NA,NA,FALSE,NA,Quintette,NA,NA,Removed and replaced Lotek Iridium 149.350,NA,NA,dead,NA
NA_car178,f,NA,NA,FALSE,NA,Narraway,NA,NA,including car124 and new collar car179,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank
NA_car177,f,NA,NA,FALSE,NA,Narraway,NA,NA,Including Moberly 149.753 and unidentified failed Lotek Iridium,NA,NA,other,Lost
NA_car179,f,NA,NA,FALSE,NA,Narraway,NA,NA,including car124 and new collar car178,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank
QU_car183,f,NA,NA,NA,Predation - Grizzly,Quintette,NA,NA,NA,-121.350819374002,55.1117700678951,dead,NA
QU_car181,f,NA,NA,NA,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank
QU_car180,f,NA,NA,NA,Predation - Grizzly,Quintette,NA,NA,NA,-120.874865651315,54.8556222506773,dead,NA
QU_car182,f,NA,NA,NA,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank
KE_car186,f,NA,NA,NA,NA,Kennedy,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank
KE_car187,f,NA,NA,NA,Vehicle Collision,Kennedy,NA,NA,NA,-122.816535560496,55.1230517182115,dead,NA
KE_car185,f,NA,NA,NA,NA,Kennedy,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank
KE_car156,f,NA,NA,FALSE,NA,Kennedy,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank
KE_car184,f,NA,NA,NA,Unknown,Kennedy,NA,NA,NA,NA,NA,dead,NA
KE_car155,f,NA,NA,TRUE,NA,Kennedy,NA,NA,NA,NA,NA,other,Infometrics
QU_car188,f,NA,NA,NA,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank
QU_car190,f,NA,NA,NA,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank
QU_car192,f,NA,NA,NA,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank
QU_car189,f,NA,NA,NA,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank
QU_car191,f,NA,NA,NA,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank
QU_car172,f,NA,NA,FALSE,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank
QU_car194,f,NA,NA,NA,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank
QU_car197,f,NA,NA,NA,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank
QU_car195,f,NA,NA,NA,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank
QU_car196,f,NA,NA,NA,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank
KE_car199,f,NA,NA,NA,NA,Kennedy,NA,NA,NA,NA,NA,unknown,NA
KE_car200,f,NA,NA,NA,NA,Kennedy,NA,NA,NA,NA,NA,unknown,NA
KE_car198,f,NA,NA,NA,NA,Kennedy,NA,NA,NA,NA,NA,unknown,NA
