Entity,Code,Year,Cereal yield index,Change to land area used for cereal production since 1961,Total population (Gapminder)
Bangladesh,BGD,1986,128,131,93188000
Bangladesh,BGD,1987,131,128,95671000
Bangladesh,BGD,1988,133,127,98186000
Bangladesh,BGD,1989,149,129,100695000
Bangladesh,BGD,1990,148,129,103172000
Bangladesh,BGD,1991,154,127,105599000
Bangladesh,BGD,1992,156,126,107984000
Bangladesh,BGD,1993,157,123,110351000
Bangladesh,BGD,1994,147,123,112738000
Bangladesh,BGD,1995,154,124,115170000
Bangladesh,BGD,1996,160,127,117650000
Bangladesh,BGD,1997,160,128,120161000
Bangladesh,BGD,1998,170,128,122683000
Bangladesh,BGD,1999,185,135,125190000
Bangladesh,BGD,2000,201,135,127658000
Bangladesh,BGD,2001,197,133,130089000
Bangladesh,BGD,2002,202,134,132478000
Bangladesh,BGD,2003,207,133,134792000
Bangladesh,BGD,2004,205,127,136986000
Bangladesh,BGD,2005,219,129,139036000
Bangladesh,BGD,2006,224,129,140920992
Bangladesh,BGD,2007,239,129,142660000
Bangladesh,BGD,2008,244,138,144304000
Bangladesh,BGD,2009,248,138,145924992
Bangladesh,BGD,2010,255,140,147575008
Bangladesh,BGD,2011,259,140,149272992
Bangladesh,BGD,2012,262,139,151006000
Bangladesh,BGD,2013,268,139,152760992
Bangladesh,BGD,2014,275,140,154516992
Bangladesh,BGD,1800,,,19227358
Bangladesh,BGD,1801,,,19265272
Bangladesh,BGD,1802,,,19303260
Bangladesh,BGD,1803,,,19341324
Bangladesh,BGD,1804,,,19379460
Bangladesh,BGD,1805,,,19417674
Bangladesh,BGD,1806,,,19455964
Bangladesh,BGD,1807,,,19494328
Bangladesh,BGD,1808,,,19532768
Bangladesh,BGD,1809,,,19571282
Bangladesh,BGD,1810,,,19611268
Bangladesh,BGD,1811,,,19652108
Bangladesh,BGD,1812,,,19695200
Bangladesh,BGD,1813,,,19740568
Bangladesh,BGD,1814,,,19788216
Bangladesh,BGD,1815,,,19838164
Bangladesh,BGD,1816,,,19890424
Bangladesh,BGD,1817,,,19945010
Bangladesh,BGD,1818,,,20001936
Bangladesh,BGD,1819,,,20061216
Bangladesh,BGD,1820,,,20122864
Bangladesh,BGD,1821,,,20186896
Bangladesh,BGD,1822,,,20253324
Bangladesh,BGD,1823,,,20322164
Bangladesh,BGD,1824,,,20393428
Bangladesh,BGD,1825,,,20467134
Bangladesh,BGD,1826,,,20543294
Bangladesh,BGD,1827,,,20621924
Bangladesh,BGD,1828,,,20703036
Bangladesh,BGD,1829,,,20786650
Bangladesh,BGD,1830,,,20872776
Bangladesh,BGD,1831,,,20961432
Bangladesh,BGD,1832,,,21050464
Bangladesh,BGD,1833,,,21139874
Bangladesh,BGD,1834,,,21229664
Bangladesh,BGD,1835,,,21319836
Bangladesh,BGD,1836,,,21410388
Bangladesh,BGD,1837,,,21501328
Bangladesh,BGD,1838,,,21592652
Bangladesh,BGD,1839,,,21684364
Bangladesh,BGD,1840,,,21776468
Bangladesh,BGD,1841,,,21868960
Bangladesh,BGD,1842,,,21961848
Bangladesh,BGD,1843,,,22055128
Bangladesh,BGD,1844,,,22148806
Bangladesh,BGD,1845,,,22242880
Bangladesh,BGD,1846,,,22337356
Bangladesh,BGD,1847,,,22432232
Bangladesh,BGD,1848,,,22527510
Bangladesh,BGD,1849,,,22623194
Bangladesh,BGD,1850,,,22719284
Bangladesh,BGD,1851,,,22812156
Bangladesh,BGD,1852,,,22905404
Bangladesh,BGD,1853,,,22999036
Bangladesh,BGD,1854,,,23093048
Bangladesh,BGD,1855,,,23187444
Bangladesh,BGD,1856,,,23282226
Bangladesh,BGD,1857,,,23377394
Bangladesh,BGD,1858,,,23472952
Bangladesh,BGD,1859,,,23568898
Bangladesh,BGD,1860,,,23665236
Bangladesh,BGD,1861,,,23763868
Bangladesh,BGD,1862,,,23864808
Bangladesh,BGD,1863,,,23968082
Bangladesh,BGD,1864,,,24073708
Bangladesh,BGD,1865,,,24181704
Bangladesh,BGD,1866,,,24292094
Bangladesh,BGD,1867,,,24404896
Bangladesh,BGD,1868,,,24520134
Bangladesh,BGD,1869,,,24637826
Bangladesh,BGD,1870,,,24757994
Bangladesh,BGD,1871,,,24880660
Bangladesh,BGD,1872,,,25005842
Bangladesh,BGD,1873,,,25122046
Bangladesh,BGD,1874,,,25252924
Bangladesh,BGD,1875,,,25386592
Bangladesh,BGD,1876,,,25523072
Bangladesh,BGD,1877,,,25655880
Bangladesh,BGD,1878,,,25799852
Bangladesh,BGD,1879,,,25946972
Bangladesh,BGD,1880,,,26094932
Bangladesh,BGD,1881,,,26241342
Bangladesh,BGD,1882,,,26390976
Bangladesh,BGD,1883,,,26541466
Bangladesh,BGD,1884,,,26690684
Bangladesh,BGD,1885,,,26842880
Bangladesh,BGD,1886,,,26995944
Bangladesh,BGD,1887,,,27148024
Bangladesh,BGD,1888,,,27302824
Bangladesh,BGD,1889,,,27458508
Bangladesh,BGD,1890,,,27615080
Bangladesh,BGD,1891,,,27772542
Bangladesh,BGD,1892,,,27930904
Bangladesh,BGD,1893,,,28090164
Bangladesh,BGD,1894,,,28250336
Bangladesh,BGD,1895,,,28411416
Bangladesh,BGD,1896,,,28573416
Bangladesh,BGD,1897,,,28736340
Bangladesh,BGD,1898,,,28900192
Bangladesh,BGD,1899,,,29064976
Bangladesh,BGD,1900,,,29230700
Bangladesh,BGD,1901,,,29397368
Bangladesh,BGD,1902,,,29563300
Bangladesh,BGD,1903,,,29731864
Bangladesh,BGD,1904,,,29901388
Bangladesh,BGD,1905,,,30071876
Bangladesh,BGD,1906,,,30243336
Bangladesh,BGD,1907,,,30413348
Bangladesh,BGD,1908,,,30586752
Bangladesh,BGD,1909,,,30761146
Bangladesh,BGD,1910,,,30936532
Bangladesh,BGD,1911,,,31112210
Bangladesh,BGD,1912,,,31289596
Bangladesh,BGD,1913,,,31458952
Bangladesh,BGD,1914,,,31620188
Bangladesh,BGD,1915,,,31773212
Bangladesh,BGD,1916,,,31926978
Bangladesh,BGD,1917,,,32081488
Bangladesh,BGD,1918,,,32243650
Bangladesh,BGD,1919,,,32404898
Bangladesh,BGD,1920,,,32566952
Bangladesh,BGD,1921,,,32729816
Bangladesh,BGD,1922,,,32893496
Bangladesh,BGD,1923,,,33057992
Bangladesh,BGD,1924,,,33223312
Bangladesh,BGD,1925,,,33389460
Bangladesh,BGD,1926,,,33556440
Bangladesh,BGD,1927,,,33724252
Bangladesh,BGD,1928,,,33892904
Bangladesh,BGD,1929,,,34103768
Bangladesh,BGD,1930,,,34357412
Bangladesh,BGD,1931,,,34654416
Bangladesh,BGD,1932,,,34953984
Bangladesh,BGD,1933,,,35256144
Bangladesh,BGD,1934,,,35560912
Bangladesh,BGD,1935,,,35868320
Bangladesh,BGD,1936,,,36178380
Bangladesh,BGD,1937,,,36491124
Bangladesh,BGD,1938,,,36806572
Bangladesh,BGD,1939,,,37124744
Bangladesh,BGD,1940,,,37445668
Bangladesh,BGD,1941,,,37642124
Bangladesh,BGD,1942,,,37713220
Bangladesh,BGD,1943,,,37658060
Bangladesh,BGD,1944,,,37602984
Bangladesh,BGD,1945,,,37547984
Bangladesh,BGD,1946,,,37511344
Bangladesh,BGD,1947,,,37493040
Bangladesh,BGD,1948,,,37493040
Bangladesh,BGD,1949,,,37493040
Bangladesh,BGD,1950,,,37895000
Bangladesh,BGD,1951,,,38706000
Bangladesh,BGD,1952,,,39490000
Bangladesh,BGD,1953,,,40292000
Bangladesh,BGD,1954,,,41150000
Bangladesh,BGD,1955,,,42086000
Bangladesh,BGD,1956,,,43114000
Bangladesh,BGD,1957,,,44233000
Bangladesh,BGD,1958,,,45435000
Bangladesh,BGD,1959,,,46701000
Bangladesh,BGD,1960,,,48014000
Bangladesh,BGD,2015,,,156256000
Bangladesh,BGD,2016,,,157976992
Bangladesh,BGD,2017,,,159684992
Bangladesh,BGD,2018,,,161376992
Bangladesh,BGD,2019,,,163046000
Barbados,BRB,1961,100,100,232000
Barbados,BRB,1962,133,94,233000
Barbados,BRB,1963,100,99,234000
Barbados,BRB,1964,95,75,235000
Barbados,BRB,1965,99,79,235000
Barbados,BRB,1966,110,105,236000
Barbados,BRB,1967,123,113,237000
Barbados,BRB,1968,126,161,237000
Barbados,BRB,1969,128,192,238000
Barbados,BRB,1970,129,174,239000
Barbados,BRB,1971,124,158,240000
Barbados,BRB,1972,145,200,242000
Barbados,BRB,1973,140,200,243000
Barbados,BRB,1974,139,201,245000
Barbados,BRB,1975,139,201,246000
Barbados,BRB,1976,139,201,248000
Barbados,BRB,1977,139,201,249000
Barbados,BRB,1978,139,201,250000
Barbados,BRB,1979,139,201,251000
Barbados,BRB,1980,133,211,252000
Barbados,BRB,1981,133,211,253000
Barbados,BRB,1982,133,211,254000
Barbados,BRB,1983,133,211,255000
Barbados,BRB,1984,145,232,255000
Barbados,BRB,1985,133,211,256000
Barbados,BRB,1986,136,216,257000
Barbados,BRB,1987,136,216,258000
Barbados,BRB,1988,139,221,259000
Barbados,BRB,1989,139,221,260000
Barbados,BRB,1990,142,226,261000
Barbados,BRB,1991,139,211,262000
Barbados,BRB,1992,136,184,263000
Barbados,BRB,1993,142,158,264000
Barbados,BRB,1994,138,132,265000
Barbados,BRB,1995,146,105,266000
Barbados,BRB,1996,142,79,267000
Barbados,BRB,1997,138,66,268000
Barbados,BRB,1998,138,53,269000
Barbados,BRB,1999,138,39,270000
Barbados,BRB,2000,138,30,272000
Barbados,BRB,2001,138,25,272000
Barbados,BRB,2002,139,22,273000
Barbados,BRB,2003,140,26,274000
Barbados,BRB,2004,141,25,275000
Barbados,BRB,2005,145,25,276000
Barbados,BRB,2006,143,26,277000
Barbados,BRB,2007,142,28,279000
Barbados,BRB,2008,145,26,280000
Barbados,BRB,2009,150,24,281000
Barbados,BRB,2010,153,24,282000
Barbados,BRB,2011,158,24,283000
Barbados,BRB,2012,170,26,284000
Barbados,BRB,2013,150,32,284000
Barbados,BRB,2014,143,8,285000
Barbados,BRB,1800,,,81729
Barbados,BRB,1801,,,81729
Barbados,BRB,1802,,,81729
Barbados,BRB,1803,,,81729
Barbados,BRB,1804,,,81729
Barbados,BRB,1805,,,81729
Barbados,BRB,1806,,,81729
Barbados,BRB,1807,,,81729
Barbados,BRB,1808,,,81729
Barbados,BRB,1809,,,81729
Barbados,BRB,1810,,,81729
Barbados,BRB,1811,,,81793
Barbados,BRB,1812,,,81923
Barbados,BRB,1813,,,82120
Barbados,BRB,1814,,,82384
Barbados,BRB,1815,,,82718
Barbados,BRB,1816,,,83121
Barbados,BRB,1817,,,83595
Barbados,BRB,1818,,,84142
Barbados,BRB,1819,,,84762
Barbados,BRB,1820,,,85456
Barbados,BRB,1821,,,86227
Barbados,BRB,1822,,,87075
Barbados,BRB,1823,,,88002
Barbados,BRB,1824,,,89008
Barbados,BRB,1825,,,90096
Barbados,BRB,1826,,,91266
Barbados,BRB,1827,,,92519
Barbados,BRB,1828,,,93858
Barbados,BRB,1829,,,95284
Barbados,BRB,1830,,,96798
Barbados,BRB,1831,,,98401
Barbados,BRB,1832,,,100031
Barbados,BRB,1833,,,101688
Barbados,BRB,1834,,,103372
Barbados,BRB,1835,,,105084
Barbados,BRB,1836,,,106825
Barbados,BRB,1837,,,108594
Barbados,BRB,1838,,,110393
Barbados,BRB,1839,,,112221
Barbados,BRB,1840,,,114080
Barbados,BRB,1841,,,115969
Barbados,BRB,1842,,,117859
Barbados,BRB,1843,,,119750
Barbados,BRB,1844,,,121641
Barbados,BRB,1845,,,123531
Barbados,BRB,1846,,,125421
Barbados,BRB,1847,,,127310
Barbados,BRB,1848,,,129197
Barbados,BRB,1849,,,131082
Barbados,BRB,1850,,,132965
Barbados,BRB,1851,,,134844
Barbados,BRB,1852,,,136675
Barbados,BRB,1853,,,138458
Barbados,BRB,1854,,,140190
Barbados,BRB,1855,,,141870
Barbados,BRB,1856,,,143498
Barbados,BRB,1857,,,145071
Barbados,BRB,1858,,,146589
Barbados,BRB,1859,,,148049
Barbados,BRB,1860,,,149452
Barbados,BRB,1861,,,150794
Barbados,BRB,1862,,,152077
Barbados,BRB,1863,,,153330
Barbados,BRB,1864,,,154553
Barbados,BRB,1865,,,155744
Barbados,BRB,1866,,,156903
Barbados,BRB,1867,,,158029
Barbados,BRB,1868,,,159122
Barbados,BRB,1869,,,160181
Barbados,BRB,1870,,,161205
Barbados,BRB,1871,,,162194
Barbados,BRB,1872,,,163148
Barbados,BRB,1873,,,164079
Barbados,BRB,1874,,,165051
Barbados,BRB,1875,,,166034
Barbados,BRB,1876,,,167026
Barbados,BRB,1877,,,167997
Barbados,BRB,1878,,,169011
Barbados,BRB,1879,,,170035
Barbados,BRB,1880,,,171071
Barbados,BRB,1881,,,172089
Barbados,BRB,1882,,,173141
Barbados,BRB,1883,,,174202
Barbados,BRB,1884,,,175249
Barbados,BRB,1885,,,176330
Barbados,BRB,1886,,,177429
Barbados,BRB,1887,,,178516
Barbados,BRB,1888,,,179647
Barbados,BRB,1889,,,180796
Barbados,BRB,1890,,,181964
Barbados,BRB,1891,,,183151
Barbados,BRB,1892,,,184356
Barbados,BRB,1893,,,185581
Barbados,BRB,1894,,,186824
Barbados,BRB,1895,,,188088
Barbados,BRB,1896,,,189370
Barbados,BRB,1897,,,190319
Barbados,BRB,1898,,,190926
Barbados,BRB,1899,,,191191
Barbados,BRB,1900,,,191119
Barbados,BRB,1901,,,190710
Barbados,BRB,1902,,,190872
Barbados,BRB,1903,,,189674
Barbados,BRB,1904,,,188067
Barbados,BRB,1905,,,186055
Barbados,BRB,1906,,,183639
Barbados,BRB,1907,,,181182
Barbados,BRB,1908,,,178830
Barbados,BRB,1909,,,176508
Barbados,BRB,1910,,,174350
Barbados,BRB,1911,,,172157
Barbados,BRB,1912,,,170366
Barbados,BRB,1913,,,168818
Barbados,BRB,1914,,,167283
Barbados,BRB,1915,,,165762
Barbados,BRB,1916,,,164256
Barbados,BRB,1917,,,162762
Barbados,BRB,1918,,,161284
Barbados,BRB,1919,,,159819
Barbados,BRB,1920,,,158368
Barbados,BRB,1921,,,157849
Barbados,BRB,1922,,,158262
Barbados,BRB,1923,,,159608
Barbados,BRB,1924,,,160964
Barbados,BRB,1925,,,162333
Barbados,BRB,1926,,,163713
Barbados,BRB,1927,,,165104
Barbados,BRB,1928,,,166508
Barbados,BRB,1929,,,167923
Barbados,BRB,1930,,,169351
Barbados,BRB,1931,,,170790
Barbados,BRB,1932,,,172242
Barbados,BRB,1933,,,173706
Barbados,BRB,1934,,,175183
Barbados,BRB,1935,,,176672
Barbados,BRB,1936,,,178173
Barbados,BRB,1937,,,179688
Barbados,BRB,1938,,,181215
Barbados,BRB,1939,,,182756
Barbados,BRB,1940,,,184309
Barbados,BRB,1941,,,185876
Barbados,BRB,1942,,,187456
Barbados,BRB,1943,,,189050
Barbados,BRB,1944,,,190657
Barbados,BRB,1945,,,192277
Barbados,BRB,1946,,,194734
Barbados,BRB,1947,,,198050
Barbados,BRB,1948,,,202252
Barbados,BRB,1949,,,206543
Barbados,BRB,1950,,,211000
Barbados,BRB,1951,,,216000
Barbados,BRB,1952,,,220000
Barbados,BRB,1953,,,223000
Barbados,BRB,1954,,,225000
Barbados,BRB,1955,,,227000
Barbados,BRB,1956,,,228000
Barbados,BRB,1957,,,229000
Barbados,BRB,1958,,,230000
Barbados,BRB,1959,,,230000
Barbados,BRB,1960,,,231000
Barbados,BRB,2015,,,285000
Barbados,BRB,2016,,,286000
Barbados,BRB,2017,,,286000
Barbados,BRB,2018,,,287000
Barbados,BRB,2019,,,287000
Belarus,BLR,1961,,,8204000
Belarus,BLR,1962,,,8280000
Belarus,BLR,1963,,,8353000
Belarus,BLR,1964,,,8428000
Belarus,BLR,1965,,,8506000
Belarus,BLR,1966,,,8587000
Belarus,BLR,1967,,,8671000
Belarus,BLR,1968,,,8754000
Belarus,BLR,1969,,,8836000
Belarus,BLR,1970,,,8914000
Belarus,BLR,1971,,,8987000
Belarus,BLR,1972,,,9057000
Belarus,BLR,1973,,,9123000
Belarus,BLR,1974,,,9188000
Belarus,BLR,1975,,,9253000
Belarus,BLR,1976,,,9316000
Belarus,BLR,1977,,,9379000
Belarus,BLR,1978,,,9441000
Belarus,BLR,1979,,,9505000
Belarus,BLR,1980,,,9570000
Belarus,BLR,1981,,,9636000
Belarus,BLR,1982,,,9703000
Belarus,BLR,1983,,,9770000
Belarus,BLR,1984,,,9837000
Belarus,BLR,1985,,,9901000
Belarus,BLR,1986,,,9965000
Belarus,BLR,1987,,,10026000
Belarus,BLR,1988,,,10081000
Belarus,BLR,1989,,,10124000
Belarus,BLR,1990,,,10151000
Belarus,BLR,1991,,,10161000
Belarus,BLR,1992,,,10154000
Belarus,BLR,1993,,,10135000
Belarus,BLR,1994,,,10108000
Belarus,BLR,1995,,,10078000
Belarus,BLR,1996,,,10045000
Belarus,BLR,1997,,,10009000
Belarus,BLR,1998,,,9970000
Belarus,BLR,1999,,,9924000
Belarus,BLR,2000,,,9872000
Belarus,BLR,2001,,,9811000
Belarus,BLR,2002,,,9746000
Belarus,BLR,2003,,,9679000
Belarus,BLR,2004,,,9617000
Belarus,BLR,2005,,,9562000
Belarus,BLR,2006,,,9517000
Belarus,BLR,2007,,,9481000
Belarus,BLR,2008,,,9453000
Belarus,BLR,2009,,,9433000
Belarus,BLR,2010,,,9421000
Belarus,BLR,2011,,,9415000
Belarus,BLR,2012,,,9417000
Belarus,BLR,2013,,,9424000
Belarus,BLR,2014,,,9432000
Belarus,BLR,1800,,,2355081
Belarus,BLR,1801,,,2355081
Belarus,BLR,1802,,,2355081
Belarus,BLR,1803,,,2355081
Belarus,BLR,1804,,,2355081
Belarus,BLR,1805,,,2355081
Belarus,BLR,1806,,,2355081
Belarus,BLR,1807,,,2355081
Belarus,BLR,1808,,,2355081
Belarus,BLR,1809,,,2355081
Belarus,BLR,1810,,,2355081
Belarus,BLR,1811,,,2356113
Belarus,BLR,1812,,,2358186
Belarus,BLR,1813,,,2361309
Belarus,BLR,1814,,,2365493
Belarus,BLR,1815,,,2370748
Belarus,BLR,1816,,,2377082
Belarus,BLR,1817,,,2384506
Belarus,BLR,1818,,,2393030
Belarus,BLR,1819,,,2402665
Belarus,BLR,1820,,,2413420
Belarus,BLR,1821,,,2425305
Belarus,BLR,1822,,,2438331
Belarus,BLR,1823,,,2452509
Belarus,BLR,1824,,,2467849
Belarus,BLR,1825,,,2484362
Belarus,BLR,1826,,,2502059
Belarus,BLR,1827,,,2520950
Belarus,BLR,1828,,,2541046
Belarus,BLR,1829,,,2562359
Belarus,BLR,1830,,,2584900
Belarus,BLR,1831,,,2608680
Belarus,BLR,1832,,,2632679
Belarus,BLR,1833,,,2656898
Belarus,BLR,1834,,,2681340
Belarus,BLR,1835,,,2706008
Belarus,BLR,1836,,,2730902
Belarus,BLR,1837,,,2756025
Belarus,BLR,1838,,,2781379
Belarus,BLR,1839,,,2806966
Belarus,BLR,1840,,,2832789
Belarus,BLR,1841,,,2858849
Belarus,BLR,1842,,,2885149
Belarus,BLR,1843,,,2911691
Belarus,BLR,1844,,,2938478
Belarus,BLR,1845,,,2965510
Belarus,BLR,1846,,,2992792
Belarus,BLR,1847,,,3020324
Belarus,BLR,1848,,,3048110
Belarus,BLR,1849,,,3076151
Belarus,BLR,1850,,,3104450
Belarus,BLR,1851,,,3133208
Belarus,BLR,1852,,,3162233
Belarus,BLR,1853,,,3191527
Belarus,BLR,1854,,,3221092
Belarus,BLR,1855,,,3250931
Belarus,BLR,1856,,,3281046
Belarus,BLR,1857,,,3311440
Belarus,BLR,1858,,,3342116
Belarus,BLR,1859,,,3373076
Belarus,BLR,1860,,,3404323
Belarus,BLR,1861,,,3435859
Belarus,BLR,1862,,,3467687
Belarus,BLR,1863,,,3499811
Belarus,BLR,1864,,,3532231
Belarus,BLR,1865,,,3564952
Belarus,BLR,1866,,,3597976
Belarus,BLR,1867,,,3631306
Belarus,BLR,1868,,,3664945
Belarus,BLR,1869,,,3698896
Belarus,BLR,1870,,,3733160
Belarus,BLR,1871,,,3767743
Belarus,BLR,1872,,,3802645
Belarus,BLR,1873,,,3836799
Belarus,BLR,1874,,,3872341
Belarus,BLR,1875,,,3908213
Belarus,BLR,1876,,,3944417
Belarus,BLR,1877,,,3979955
Belarus,BLR,1878,,,4016823
Belarus,BLR,1879,,,4054033
Belarus,BLR,1880,,,4091588
Belarus,BLR,1881,,,4128567
Belarus,BLR,1882,,,4166812
Belarus,BLR,1883,,,4205411
Belarus,BLR,1884,,,4243538
Belarus,BLR,1885,,,4282848
Belarus,BLR,1886,,,4322522
Belarus,BLR,1887,,,4361832
Belarus,BLR,1888,,,4402237
Belarus,BLR,1889,,,4443017
Belarus,BLR,1890,,,4484175
Belarus,BLR,1891,,,4525714
Belarus,BLR,1892,,,4567638
Belarus,BLR,1893,,,4609950
Belarus,BLR,1894,,,4652654
Belarus,BLR,1895,,,4695753
Belarus,BLR,1896,,,4739252
Belarus,BLR,1897,,,4783154
Belarus,BLR,1898,,,4827462
Belarus,BLR,1899,,,4872181
Belarus,BLR,1900,,,4917314
Belarus,BLR,1901,,,4962865
Belarus,BLR,1902,,,5008138
Belarus,BLR,1903,,,5054531
Belarus,BLR,1904,,,5101353
Belarus,BLR,1905,,,5148609
Belarus,BLR,1906,,,5196302
Belarus,BLR,1907,,,5243412
Belarus,BLR,1908,,,5291983
Belarus,BLR,1909,,,5341005
Belarus,BLR,1910,,,5390481
Belarus,BLR,1911,,,5440111
Belarus,BLR,1912,,,5490504
Belarus,BLR,1913,,,5541365
Belarus,BLR,1914,,,5592696
Belarus,BLR,1915,,,5644504
Belarus,BLR,1916,,,5696791
Belarus,BLR,1917,,,5749562
Belarus,BLR,1918,,,5802333
Belarus,BLR,1919,,,5855712
Belarus,BLR,1920,,,5909582
Belarus,BLR,1921,,,5963947
Belarus,BLR,1922,,,6018813
Belarus,BLR,1923,,,6074183
Belarus,BLR,1924,,,6130063
Belarus,BLR,1925,,,6186456
Belarus,BLR,1926,,,6243369
Belarus,BLR,1927,,,6300805
Belarus,BLR,1928,,,6358770
Belarus,BLR,1929,,,6417267
Belarus,BLR,1930,,,6476303
Belarus,BLR,1931,,,6535882
Belarus,BLR,1932,,,6596009
Belarus,BLR,1933,,,6656690
Belarus,BLR,1934,,,6717928
Belarus,BLR,1935,,,6779730
Belarus,BLR,1936,,,6842100
Belarus,BLR,1937,,,6905045
Belarus,BLR,1938,,,6968568
Belarus,BLR,1939,,,7032675
Belarus,BLR,1940,,,7097373
Belarus,BLR,1941,,,7162665
Belarus,BLR,1942,,,7228559
Belarus,BLR,1943,,,7295058
Belarus,BLR,1944,,,7362169
Belarus,BLR,1945,,,7429898
Belarus,BLR,1946,,,7498250
Belarus,BLR,1947,,,7567230
Belarus,BLR,1948,,,7636845
Belarus,BLR,1949,,,7707100
Belarus,BLR,1950,,,7745000
Belarus,BLR,1951,,,7699000
Belarus,BLR,1952,,,7677000
Belarus,BLR,1953,,,7680000
Belarus,BLR,1954,,,7704000
Belarus,BLR,1955,,,7747000
Belarus,BLR,1956,,,7807000
Belarus,BLR,1957,,,7879000
Belarus,BLR,1958,,,7959000
Belarus,BLR,1959,,,8042000
Belarus,BLR,1960,,,8125000
Belarus,BLR,2015,,,9439000
Belarus,BLR,2016,,,9446000
Belarus,BLR,2017,,,9450000
Belarus,BLR,2018,,,9453000
Belarus,BLR,2019,,,9452000
Belgium,BEL,1961,,,9225000
Belgium,BEL,1962,,,9284000
Belgium,BEL,1963,,,9340000
Belgium,BEL,1964,,,9394000
Belgium,BEL,1965,,,9444000
Belgium,BEL,1966,,,9489000
Belgium,BEL,1967,,,9529000
Belgium,BEL,1968,,,9566000
Belgium,BEL,1969,,,9600000
Belgium,BEL,1970,,,9632000
Belgium,BEL,1971,,,9663000
Belgium,BEL,1972,,,9693000
Belgium,BEL,1973,,,9721000
Belgium,BEL,1974,,,9747000
Belgium,BEL,1975,,,9772000
Belgium,BEL,1976,,,9795000
Belgium,BEL,1977,,,9817000
Belgium,BEL,1978,,,9837000
Belgium,BEL,1979,,,9854000
Belgium,BEL,1980,,,9869000
Belgium,BEL,1981,,,9881000
Belgium,BEL,1982,,,9890000
Belgium,BEL,1983,,,9898000
Belgium,BEL,1984,,,9906000
Belgium,BEL,1985,,,9917000
Belgium,BEL,1986,,,9929000
Belgium,BEL,1987,,,9942000
Belgium,BEL,1988,,,9959000
Belgium,BEL,1989,,,9980000
Belgium,BEL,1990,,,10007000
Belgium,BEL,1991,,,10039000
Belgium,BEL,1992,,,10078000
Belgium,BEL,1993,,,10119000
Belgium,BEL,1994,,,10156000
Belgium,BEL,1995,,,10186000
Belgium,BEL,1996,,,10208000
Belgium,BEL,1997,,,10224000
Belgium,BEL,1998,,,10237000
Belgium,BEL,1999,,,10255000
Belgium,BEL,2000,,,10282000
Belgium,BEL,2001,,,10319000
Belgium,BEL,2002,,,10365000
Belgium,BEL,2003,,,10419000
Belgium,BEL,2004,,,10480000
Belgium,BEL,2005,,,10547000
Belgium,BEL,2006,,,10619000
Belgium,BEL,2007,,,10698000
Belgium,BEL,2008,,,10779000
Belgium,BEL,2009,,,10860000
Belgium,BEL,2010,,,10939000
Belgium,BEL,2011,,,11014000
Belgium,BEL,2012,,,11085000
Belgium,BEL,2013,,,11154000
Belgium,BEL,2014,,,11221000
Belgium,BEL,1800,,,3138137
Belgium,BEL,1801,,,3152306
Belgium,BEL,1802,,,3166538
Belgium,BEL,1803,,,3180835
Belgium,BEL,1804,,,3195197
Belgium,BEL,1805,,,3209623
Belgium,BEL,1806,,,3224114
Belgium,BEL,1807,,,3238671
Belgium,BEL,1808,,,3253294
Belgium,BEL,1809,,,3267982
Belgium,BEL,1810,,,3283959
Belgium,BEL,1811,,,3299476
Belgium,BEL,1812,,,3315795
Belgium,BEL,1813,,,3332912
Belgium,BEL,1814,,,3350824
Belgium,BEL,1815,,,3369577
Belgium,BEL,1816,,,3389119
Belgium,BEL,1817,,,3409494
Belgium,BEL,1818,,,3430748
Belgium,BEL,1819,,,3452829
Belgium,BEL,1820,,,3475782
Belgium,BEL,1821,,,3499557
Belgium,BEL,1822,,,3524149
Belgium,BEL,1823,,,3549557
Belgium,BEL,1824,,,3575823
Belgium,BEL,1825,,,3602946
Belgium,BEL,1826,,,3630921
Belgium,BEL,1827,,,3659746
Belgium,BEL,1828,,,3689465
Belgium,BEL,1829,,,3720075
Belgium,BEL,1830,,,3751571
Belgium,BEL,1831,,,3784000
Belgium,BEL,1832,,,3816714
Belgium,BEL,1833,,,3849667
Belgium,BEL,1834,,,3882857
Belgium,BEL,1835,,,3916286
Belgium,BEL,1836,,,3949952
Belgium,BEL,1837,,,3983905
Belgium,BEL,1838,,,4018143
Belgium,BEL,1839,,,4052571
Belgium,BEL,1840,,,4087429
Belgium,BEL,1841,,,4122048
Belgium,BEL,1842,,,4156524
Belgium,BEL,1843,,,4190810
Belgium,BEL,1844,,,4224952
Belgium,BEL,1845,,,4258905
Belgium,BEL,1846,,,4292667
Belgium,BEL,1847,,,4326286
Belgium,BEL,1848,,,4359714
Belgium,BEL,1849,,,4392952
Belgium,BEL,1850,,,4426000
Belgium,BEL,1851,,,4459059
Belgium,BEL,1852,,,4492118
Belgium,BEL,1853,,,4525129
Belgium,BEL,1854,,,4558093
Belgium,BEL,1855,,,4591058
Belgium,BEL,1856,,,4623974
Belgium,BEL,1857,,,4656844
Belgium,BEL,1858,,,4689713
Belgium,BEL,1859,,,4721059
Belgium,BEL,1860,,,4753834
Belgium,BEL,1861,,,4786608
Belgium,BEL,1862,,,4820002
Belgium,BEL,1863,,,4853968
Belgium,BEL,1864,,,4888600
Belgium,BEL,1865,,,4923852
Belgium,BEL,1866,,,4959723
