id,pokemon,species_id,height,weight,base_experience,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,color_1,color_2,color_f,egg_group_1,egg_group_2,url_icon,generation_id,url_image
237,hitmontop,237,1.4,48,159,fighting,NA,50,95,95,35,110,70,#C03028,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/3/3e/237MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/237.png
238,smoochum,238,0.4,6,61,ice,psychic,45,30,15,85,65,65,#98D8D8,#F85888,#AFB8C4,no-eggs,NA,//archives.bulbagarden.net/media/upload/6/6d/238MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/238.png
239,elekid,239,0.6,23.5,72,electric,NA,45,63,37,65,55,95,#F8D030,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/a/ad/239MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/239.png
240,magby,240,0.7,21.4,73,fire,NA,45,75,37,70,55,83,#F08030,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/9/99/240MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/240.png
241,miltank,241,1.2,75.5,172,normal,NA,95,80,105,40,70,100,#A8A878,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/9/9d/241MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/241.png
242,blissey,242,1.5,46.8,608,normal,NA,255,10,10,75,135,55,#A8A878,NA,NA,fairy,NA,//archives.bulbagarden.net/media/upload/d/d8/242MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/242.png
243,raikou,243,1.9,178,261,electric,NA,90,85,75,115,100,115,#F8D030,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/b/b4/243MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/243.png
244,entei,244,2.1,198,261,fire,NA,115,115,85,90,75,100,#F08030,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/1/14/244MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/244.png
245,suicune,245,2,187,261,water,NA,100,75,115,90,115,85,#6890F0,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/7/7d/245MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/245.png
246,larvitar,246,0.6,72,60,rock,ground,50,64,50,45,50,41,#B8A038,#E0C068,#C1A743,monster,NA,//archives.bulbagarden.net/media/upload/b/be/246MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/246.png
247,pupitar,247,1.2,152,144,rock,ground,70,84,70,65,70,51,#B8A038,#E0C068,#C1A743,monster,NA,//archives.bulbagarden.net/media/upload/4/44/247MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/247.png
248,tyranitar,248,2,202,270,rock,dark,100,134,110,95,100,61,#B8A038,#705848,#A68E3B,monster,NA,//archives.bulbagarden.net/media/upload/d/d6/248MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/248.png
249,lugia,249,5.2,216,306,psychic,flying,106,90,130,90,154,110,#F85888,#A890F0,#E465A1,no-eggs,NA,//archives.bulbagarden.net/media/upload/e/e8/249MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/249.png
250,ho-oh,250,3.8,199,306,fire,flying,106,130,90,110,154,90,#F08030,#A890F0,#DE835E,no-eggs,NA,//archives.bulbagarden.net/media/upload/c/cf/250MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/250.png
251,celebi,251,0.6,5,270,psychic,grass,100,100,100,100,100,100,#F85888,#78C850,#D8737A,no-eggs,NA,//archives.bulbagarden.net/media/upload/1/15/251MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/251.png
252,treecko,252,0.5,5,62,grass,NA,40,45,35,65,55,70,#78C850,NA,NA,monster,dragon,//archives.bulbagarden.net/media/upload/2/2e/252MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/252.png
253,grovyle,253,0.9,21.6,142,grass,NA,50,65,45,85,65,95,#78C850,NA,NA,monster,dragon,//archives.bulbagarden.net/media/upload/b/b7/253MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/253.png
254,sceptile,254,1.7,52.2,239,grass,NA,70,85,65,105,85,120,#78C850,NA,NA,monster,dragon,//archives.bulbagarden.net/media/upload/e/e2/254MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/254.png
255,torchic,255,0.4,2.5,62,fire,NA,45,60,40,70,50,45,#F08030,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/4/41/255MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/255.png
256,combusken,256,0.9,19.5,142,fire,fighting,60,85,60,85,60,55,#F08030,#C03028,#E46C2E,ground,NA,//archives.bulbagarden.net/media/upload/6/6e/256MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/256.png
257,blaziken,257,1.9,52,239,fire,fighting,80,120,70,110,70,80,#F08030,#C03028,#E46C2E,ground,NA,//archives.bulbagarden.net/media/upload/6/6d/257MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/257.png
258,mudkip,258,0.4,7.6,62,water,NA,50,70,50,50,50,40,#6890F0,NA,NA,monster,water1,//archives.bulbagarden.net/media/upload/a/ab/258MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/258.png
259,marshtomp,259,0.7,28,142,water,ground,70,85,70,60,70,50,#6890F0,#E0C068,#859BCF,monster,water1,//archives.bulbagarden.net/media/upload/e/eb/259MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/259.png
260,swampert,260,1.5,81.9,241,water,ground,100,110,90,85,90,60,#6890F0,#E0C068,#859BCF,monster,water1,//archives.bulbagarden.net/media/upload/0/09/260MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/260.png
261,poochyena,261,0.5,13.6,56,dark,NA,35,55,35,30,30,35,#705848,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/3/39/261MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/261.png
262,mightyena,262,1,37,147,dark,NA,70,90,70,60,60,70,#705848,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/b/ba/262MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/262.png
263,zigzagoon,263,0.4,17.5,56,normal,NA,38,30,41,30,41,60,#A8A878,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/4/49/263MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/263.png
264,linoone,264,0.5,32.5,147,normal,NA,78,70,61,50,61,100,#A8A878,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/2/22/264MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/264.png
265,wurmple,265,0.3,3.6,56,bug,NA,45,45,35,20,30,20,#A8B820,NA,NA,bug,NA,//archives.bulbagarden.net/media/upload/f/f4/265MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/265.png
266,silcoon,266,0.6,10,72,bug,NA,50,35,55,25,25,15,#A8B820,NA,NA,bug,NA,//archives.bulbagarden.net/media/upload/7/76/266MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/266.png
267,beautifly,267,1,28.4,178,bug,flying,60,70,50,100,50,65,#A8B820,#A890F0,#A8AE52,bug,NA,//archives.bulbagarden.net/media/upload/0/0e/267MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/267.png
268,cascoon,268,0.7,11.5,72,bug,NA,50,35,55,25,25,15,#A8B820,NA,NA,bug,NA,//archives.bulbagarden.net/media/upload/7/70/268MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/268.png
269,dustox,269,1.2,31.6,173,bug,poison,60,50,70,50,90,65,#A8B820,#A040A0,#A69A3F,bug,NA,//archives.bulbagarden.net/media/upload/a/ac/269MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/269.png
270,lotad,270,0.5,2.6,44,water,grass,40,30,30,40,50,30,#6890F0,#78C850,#6B9DC9,water1,plant,//archives.bulbagarden.net/media/upload/1/18/270MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/270.png
271,lombre,271,1.2,32.5,119,water,grass,60,50,50,60,70,50,#6890F0,#78C850,#6B9DC9,water1,plant,//archives.bulbagarden.net/media/upload/3/3e/271MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/271.png
272,ludicolo,272,1.5,55,216,water,grass,80,70,70,90,100,70,#6890F0,#78C850,#6B9DC9,water1,plant,//archives.bulbagarden.net/media/upload/2/2c/272MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/272.png
273,seedot,273,0.5,4,44,grass,NA,40,40,50,30,30,30,#78C850,NA,NA,ground,plant,//archives.bulbagarden.net/media/upload/9/92/273MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/273.png
274,nuzleaf,274,1,28,119,grass,dark,70,70,40,60,40,60,#78C850,#705848,#76AC4E,ground,plant,//archives.bulbagarden.net/media/upload/c/cb/274MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/274.png
275,shiftry,275,1.3,59.6,216,grass,dark,90,100,60,90,60,80,#78C850,#705848,#76AC4E,ground,plant,//archives.bulbagarden.net/media/upload/8/87/275MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/275.png
276,taillow,276,0.3,2.3,54,normal,flying,40,55,30,30,30,85,#A8A878,#A890F0,#A8A295,flying,NA,//archives.bulbagarden.net/media/upload/2/2f/276MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/276.png
277,swellow,277,0.7,19.8,159,normal,flying,60,85,60,75,50,125,#A8A878,#A890F0,#A8A295,flying,NA,//archives.bulbagarden.net/media/upload/6/65/277MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/277.png
278,wingull,278,0.6,9.5,54,water,flying,40,30,30,55,30,85,#6890F0,#A890F0,#7790F0,water1,flying,//archives.bulbagarden.net/media/upload/a/a7/278MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/278.png
279,pelipper,279,1.2,28,154,water,flying,60,50,100,95,70,65,#6890F0,#A890F0,#7790F0,water1,flying,//archives.bulbagarden.net/media/upload/0/06/279MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/279.png
280,ralts,280,0.4,6.6,40,psychic,fairy,28,25,25,45,35,40,#F85888,#EE99AC,#F56790,indeterminate,NA,//archives.bulbagarden.net/media/upload/0/0a/280MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/280.png
281,kirlia,281,0.8,20.2,97,psychic,fairy,38,35,35,65,55,50,#F85888,#EE99AC,#F56790,indeterminate,NA,//archives.bulbagarden.net/media/upload/7/71/281MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/281.png
282,gardevoir,282,1.6,48.4,233,psychic,fairy,68,65,65,125,115,80,#F85888,#EE99AC,#F56790,indeterminate,NA,//archives.bulbagarden.net/media/upload/c/ce/282MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/282.png
283,surskit,283,0.5,1.7,54,bug,water,40,30,32,50,52,65,#A8B820,#6890F0,#98AE52,water1,bug,//archives.bulbagarden.net/media/upload/0/09/283MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/283.png
284,masquerain,284,0.8,3.6,159,bug,flying,70,60,62,100,82,80,#A8B820,#A890F0,#A8AE52,water1,bug,//archives.bulbagarden.net/media/upload/d/d5/284MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/284.png
285,shroomish,285,0.4,4.5,59,grass,NA,60,40,60,40,60,35,#78C850,NA,NA,fairy,plant,//archives.bulbagarden.net/media/upload/7/70/285MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/285.png
286,breloom,286,1.2,39.2,161,grass,fighting,60,130,80,60,60,70,#78C850,#C03028,#89A346,fairy,plant,//archives.bulbagarden.net/media/upload/8/8c/286MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/286.png
287,slakoth,287,0.8,24,56,normal,NA,60,60,60,35,35,30,#A8A878,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/a/af/287MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/287.png
288,vigoroth,288,1.4,46.5,154,normal,NA,80,80,80,55,55,90,#A8A878,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/e/e6/288MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/288.png
289,slaking,289,2,130.5,252,normal,NA,150,160,100,95,65,100,#A8A878,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/f/f3/289MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/289.png
290,nincada,290,0.5,5.5,53,bug,ground,31,45,90,30,30,40,#A8B820,#E0C068,#B5B931,bug,NA,//archives.bulbagarden.net/media/upload/a/a6/290MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/290.png
291,ninjask,291,0.8,12,160,bug,flying,61,90,45,50,50,160,#A8B820,#A890F0,#A8AE52,bug,NA,//archives.bulbagarden.net/media/upload/9/9c/291MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/291.png
292,shedinja,292,0.8,1.2,83,bug,ghost,1,90,45,30,30,40,#A8B820,#705898,#9AA03D,mineral,NA,//archives.bulbagarden.net/media/upload/3/31/292MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/292.png
293,whismur,293,0.6,16.3,48,normal,NA,64,51,23,51,23,28,#A8A878,NA,NA,monster,ground,//archives.bulbagarden.net/media/upload/3/3b/293MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/293.png
294,loudred,294,1,40.5,126,normal,NA,84,71,43,71,43,48,#A8A878,NA,NA,monster,ground,//archives.bulbagarden.net/media/upload/1/1d/294MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/294.png
295,exploud,295,1.5,84,221,normal,NA,104,91,63,91,73,68,#A8A878,NA,NA,monster,ground,//archives.bulbagarden.net/media/upload/d/dc/295MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/295.png
296,makuhita,296,1,86.4,47,fighting,NA,72,60,30,20,30,25,#C03028,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/d/d9/296MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/296.png
297,hariyama,297,2.3,253.8,166,fighting,NA,144,120,60,40,60,50,#C03028,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/6/63/297MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/297.png
298,azurill,298,0.2,2,38,normal,fairy,50,20,40,20,40,20,#A8A878,#EE99AC,#B8A484,no-eggs,NA,//archives.bulbagarden.net/media/upload/b/b2/298MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/298.png
299,nosepass,299,1,97,75,rock,NA,30,45,135,45,90,30,#B8A038,NA,NA,mineral,NA,//archives.bulbagarden.net/media/upload/6/65/299MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/299.png
300,skitty,300,0.6,11,52,normal,NA,50,45,45,35,35,50,#A8A878,NA,NA,ground,fairy,//archives.bulbagarden.net/media/upload/a/ad/300MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/300.png
301,delcatty,301,1.1,32.6,140,normal,NA,70,65,65,55,55,90,#A8A878,NA,NA,ground,fairy,//archives.bulbagarden.net/media/upload/e/ea/301MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/301.png
302,sableye,302,0.5,11,133,dark,ghost,50,75,75,65,65,50,#705848,#705898,#70585B,humanshape,NA,//archives.bulbagarden.net/media/upload/3/34/302MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/302.png
303,mawile,303,0.6,11.5,133,steel,fairy,50,85,85,55,55,50,#B8B8D0,#EE99AC,#C5B0C7,ground,fairy,//archives.bulbagarden.net/media/upload/0/09/303MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/303.png
304,aron,304,0.4,60,66,steel,rock,50,70,100,40,40,30,#B8B8D0,#B8A038,#B8B2AB,monster,NA,//archives.bulbagarden.net/media/upload/0/07/304MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/304.png
305,lairon,305,0.9,120,151,steel,rock,60,90,140,50,50,40,#B8B8D0,#B8A038,#B8B2AB,monster,NA,//archives.bulbagarden.net/media/upload/5/51/305MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/305.png
306,aggron,306,2.1,360,239,steel,rock,70,110,180,60,60,50,#B8B8D0,#B8A038,#B8B2AB,monster,NA,//archives.bulbagarden.net/media/upload/9/95/306MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/306.png
307,meditite,307,0.6,11.2,56,fighting,psychic,30,40,55,40,55,60,#C03028,#F85888,#CD393F,humanshape,NA,//archives.bulbagarden.net/media/upload/1/1a/307MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/307.png
308,medicham,308,1.3,31.5,144,fighting,psychic,60,60,75,60,75,80,#C03028,#F85888,#CD393F,humanshape,NA,//archives.bulbagarden.net/media/upload/c/cf/308MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/308.png
309,electrike,309,0.6,15.2,59,electric,NA,40,45,40,65,40,65,#F8D030,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/4/4d/309MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/309.png
310,manectric,310,1.5,40.2,166,electric,NA,70,75,60,105,60,105,#F8D030,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/8/8a/310MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/310.png
311,plusle,311,0.4,4.2,142,electric,NA,60,50,40,85,75,95,#F8D030,NA,NA,fairy,NA,//archives.bulbagarden.net/media/upload/f/f2/311MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/311.png
312,minun,312,0.4,4.2,142,electric,NA,60,40,50,75,85,95,#F8D030,NA,NA,fairy,NA,//archives.bulbagarden.net/media/upload/3/35/312MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/312.png
313,volbeat,313,0.7,17.7,151,bug,NA,65,73,75,47,85,85,#A8B820,NA,NA,bug,humanshape,//archives.bulbagarden.net/media/upload/7/75/313MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/313.png
314,illumise,314,0.6,17.7,151,bug,NA,65,47,75,73,85,85,#A8B820,NA,NA,bug,humanshape,//archives.bulbagarden.net/media/upload/2/23/314MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/314.png
315,roselia,315,0.3,2,140,grass,poison,50,60,45,100,80,65,#78C850,#A040A0,#81A763,fairy,plant,//archives.bulbagarden.net/media/upload/4/42/315MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/315.png
316,gulpin,316,0.4,10.3,60,poison,NA,70,43,53,43,53,40,#A040A0,NA,NA,indeterminate,NA,//archives.bulbagarden.net/media/upload/d/db/316MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/316.png
317,swalot,317,1.7,80,163,poison,NA,100,73,83,73,83,55,#A040A0,NA,NA,indeterminate,NA,//archives.bulbagarden.net/media/upload/e/ed/317MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/317.png
318,carvanha,318,0.8,20.8,61,water,dark,45,90,20,65,20,65,#6890F0,#705848,#6982C7,water2,NA,//archives.bulbagarden.net/media/upload/c/c9/318MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/318.png
319,sharpedo,319,1.8,88.8,161,water,dark,70,120,40,95,40,95,#6890F0,#705848,#6982C7,water2,NA,//archives.bulbagarden.net/media/upload/2/23/319MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/319.png
320,wailmer,320,2,130,80,water,NA,130,70,35,70,35,60,#6890F0,NA,NA,ground,water2,//archives.bulbagarden.net/media/upload/d/d6/320MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/320.png
321,wailord,321,14.5,398,175,water,NA,170,90,45,90,45,60,#6890F0,NA,NA,ground,water2,//archives.bulbagarden.net/media/upload/5/5d/321MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/321.png
322,numel,322,0.7,24,61,fire,ground,60,60,40,65,45,35,#F08030,#E0C068,#EC8F3D,ground,NA,//archives.bulbagarden.net/media/upload/5/52/322MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/322.png
323,camerupt,323,1.9,220,161,fire,ground,70,100,70,105,75,40,#F08030,#E0C068,#EC8F3D,ground,NA,//archives.bulbagarden.net/media/upload/8/8e/323MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/323.png
324,torkoal,324,0.5,80.4,165,fire,NA,70,85,140,85,70,20,#F08030,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/4/49/324MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/324.png
325,spoink,325,0.7,30.6,66,psychic,NA,60,25,35,70,80,60,#F85888,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/a/ab/325MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/325.png
326,grumpig,326,0.9,71.5,165,psychic,NA,80,45,65,90,110,80,#F85888,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/5/53/326MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/326.png
327,spinda,327,1.1,5,126,normal,NA,60,60,60,60,60,60,#A8A878,NA,NA,ground,humanshape,//archives.bulbagarden.net/media/upload/f/f9/327MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/327.png
328,trapinch,328,0.7,15,58,ground,NA,45,100,45,45,45,10,#E0C068,NA,NA,bug,NA,//archives.bulbagarden.net/media/upload/c/cb/328MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/328.png
329,vibrava,329,1.1,15.3,119,ground,dragon,50,70,50,50,50,70,#E0C068,#7038F8,#C49F8A,bug,NA,//archives.bulbagarden.net/media/upload/a/a6/329MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/329.png
330,flygon,330,2,82,234,ground,dragon,80,100,80,80,80,100,#E0C068,#7038F8,#C49F8A,bug,NA,//archives.bulbagarden.net/media/upload/e/ee/330MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/330.png
331,cacnea,331,0.4,51.3,67,grass,NA,50,85,40,85,40,35,#78C850,NA,NA,plant,humanshape,//archives.bulbagarden.net/media/upload/7/70/331MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/331.png
332,cacturne,332,1.3,77.4,166,grass,dark,70,115,60,115,60,55,#78C850,#705848,#76AC4E,plant,humanshape,//archives.bulbagarden.net/media/upload/9/94/332MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/332.png
333,swablu,333,0.4,1.2,62,normal,flying,45,40,60,40,75,50,#A8A878,#A890F0,#A8A295,flying,dragon,//archives.bulbagarden.net/media/upload/4/42/333MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/333.png
334,altaria,334,1.1,20.6,172,dragon,flying,75,70,90,70,105,80,#7038F8,#A890F0,#7D4DF6,flying,dragon,//archives.bulbagarden.net/media/upload/0/07/334MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/334.png
335,zangoose,335,1.3,40.3,160,normal,NA,73,115,60,60,60,90,#A8A878,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/c/c6/335MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/335.png
336,seviper,336,2.7,52.5,160,poison,NA,73,100,60,100,60,65,#A040A0,NA,NA,ground,dragon,//archives.bulbagarden.net/media/upload/a/a5/336MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/336.png
337,lunatone,337,1,168,161,rock,psychic,90,55,65,95,85,70,#B8A038,#F85888,#C78E4B,mineral,NA,//archives.bulbagarden.net/media/upload/7/71/337MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/337.png
338,solrock,338,1.2,154,161,rock,psychic,90,95,85,55,65,70,#B8A038,#F85888,#C78E4B,mineral,NA,//archives.bulbagarden.net/media/upload/d/d5/338MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/338.png
339,barboach,339,0.4,1.9,58,water,ground,50,48,43,46,41,60,#6890F0,#E0C068,#859BCF,water2,NA,//archives.bulbagarden.net/media/upload/b/b1/339MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/339.png
340,whiscash,340,0.9,23.6,164,water,ground,110,78,73,76,71,60,#6890F0,#E0C068,#859BCF,water2,NA,//archives.bulbagarden.net/media/upload/c/cd/340MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/340.png
341,corphish,341,0.6,11.5,62,water,NA,43,80,65,50,35,35,#6890F0,NA,NA,water1,water3,//archives.bulbagarden.net/media/upload/0/09/341MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/341.png
342,crawdaunt,342,1.1,32.8,164,water,dark,63,120,85,90,55,55,#6890F0,#705848,#6982C7,water1,water3,//archives.bulbagarden.net/media/upload/2/20/342MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/342.png
343,baltoy,343,0.5,21.5,60,ground,psychic,40,40,55,40,70,55,#E0C068,#F85888,#E5A66F,mineral,NA,//archives.bulbagarden.net/media/upload/0/0e/343MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/343.png
344,claydol,344,1.5,108,175,ground,psychic,60,70,105,70,120,75,#E0C068,#F85888,#E5A66F,mineral,NA,//archives.bulbagarden.net/media/upload/3/31/344MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/344.png
345,lileep,345,1,23.8,71,rock,grass,66,41,77,61,87,23,#B8A038,#78C850,#A8A93D,water3,NA,//archives.bulbagarden.net/media/upload/b/bc/345MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/345.png
