rank,title,artist,gender,year,critic_name,critic_rols,critic_country,critic_country2
4,Bodak Yellow,Cardi B,female,2017,Kish Lal,Critic,US,NA
5,Get Ur Freak On,Missy Elliott,female,2001,Kish Lal,Critic,US,NA
1,The Message,Grandmaster Flash & The Furious Five,male,1982,Kevin Le Gendre,Critic,UK,NA
2,Fight The Power,Public Enemy,male,1989,Kevin Le Gendre,Critic,UK,NA
3,Paid In Full,Eric B & Rakim,male,1987,Kevin Le Gendre,Critic,UK,NA
4,Award Tour,A Tribe Called Quest,male,1993,Kevin Le Gendre,Critic,UK,NA
5,Witness (1 Hope),Roots Manuva,male,2001,Kevin Le Gendre,Critic,UK,NA
1,Doo Wop (That Thing),Lauryn Hill,female,1998,Yi-Ling Liu,Critic,China,NA
2,Humble,Kendrick Lamar,male,2017,Yi-Ling Liu,Critic,China,NA
3,Self Control,Frank Ocean,male,2016,Yi-Ling Liu,Critic,China,NA
4,I Like That,Janelle Monae,female,2018,Yi-Ling Liu,Critic,China,NA
5,Lost In The World,Kanye West ft. Bon Iver,male,2010,Yi-Ling Liu,Critic,China,NA
1,I Am I Be,De La Soul,male,1993,David Ma,Critic,US,NA
2,Above The Clouds,Gang Starr ft. Inspectah Deck,male,1998,David Ma,Critic,US,NA
3,The What,The Notorious B.I.G. ft. Method Man,male,1994,David Ma,Critic,US,NA
4,Excursions,A Tribe Called Quest,male,1991,David Ma,Critic,US,NA
5,Looking At The Front Door,Main Source,male,1990,David Ma,Critic,US,NA
1,Paid In Full,Eric B & Rakim,male,1987,Alejandro Marin,Radio Personality,Colombia,NA
2,N.Y. State Of Mind,Nas,male,1994,Alejandro Marin,Radio Personality,Colombia,NA
3,Nuthin’ But A ‘G’ Thang,Dr Dre ft. Snoop Doggy Dogg,male,1992,Alejandro Marin,Radio Personality,Colombia,NA
4,Ms Jackson,OutKast,male,2000,Alejandro Marin,Radio Personality,Colombia,NA
5,All Falls Down,Kanye West ft. Syleena Johnson,mixed,2004,Alejandro Marin,Radio Personality,Colombia,NA
1,93 ’Til Infinity,Souls of Mischief,male,1993,Michelle McDevitt,Audible Treats,US,NA
2,International Players Anthem,UGK ft. OutKast,male,2007,Michelle McDevitt,Audible Treats,US,NA
3,Paper Planes,M.I.A.,female,2008,Michelle McDevitt,Audible Treats,US,NA
4,I Got 5 On It,Luniz,male,1995,Michelle McDevitt,Audible Treats,US,NA
5,It Was A Good Day (B-Side Remix version),Ice Cube,male,1994,Michelle McDevitt,Audible Treats,US,NA
1,Protect Ya Neck,Wu-Tang Clan,male,1992,Drew Millard,The Outline,US,NA
2,Murder,UGK,male,1996,Drew Millard,The Outline,US,NA
3,I Got 5 On It,Luniz,male,1995,Drew Millard,The Outline,US,NA
4,Feelin’ Myself,Mac Dre,male,2004,Drew Millard,The Outline,US,NA
5,Beat Bop,Rammellzee & K Rob,male,1983,Drew Millard,The Outline,US,NA
1,White Lines,Grandmaster Melle Mel,male,1983,Judy Miller,Motormouth Media,US,NA
2,Rapper’s Delight,Sugarhill Gang,male,1979,Judy Miller,Motormouth Media,US,NA
3,Paid In Full,Eric B & Rakim,male,1987,Judy Miller,Motormouth Media,US,NA
4,Baby Got Back,Sir Mix-A-Lot,male,1992,Judy Miller,Motormouth Media,US,NA
5,The Breaks,Kurtis Blow,male,1980,Judy Miller,Motormouth Media,US,NA
1,How To Rap About Africa,Black Vulcanite,male,2016,Sabelo Mkhabela,Critic,South Africa,NA
2,Takkies,YoungstaCPT,male,2016,Sabelo Mkhabela,Critic,South Africa,NA
3,Sub City,Stogie T,male,2016,Sabelo Mkhabela,Critic,South Africa,NA
4,Gossip,Lil Wayne,male,2007,Sabelo Mkhabela,Critic,South Africa,NA
5,Ngqangqa,Kanyi,female,2017,Sabelo Mkhabela,Critic,South Africa,NA
1,U.N.I.T.Y.,Queen Latifah,female,1993,Tseliso Monaheng,Critic,South Africa,NA
2,So Many Tears,2Pac,male,1995,Tseliso Monaheng,Critic,South Africa,NA
3,I Gave You Power,Nas,male,1996,Tseliso Monaheng,Critic,South Africa,NA
4,Triumph,Wu-Tang Clan,male,1997,Tseliso Monaheng,Critic,South Africa,NA
5,Witness (1 Hope),Roots Manuva,male,2001,Tseliso Monaheng,Critic,South Africa,NA
1,Juicy,The Notorious B.I.G.,male,1994,Jacob Moore,Pigeons and Planes,US,NA
2,Electric Relaxation,A Tribe Called Quest,male,1993,Jacob Moore,Pigeons and Planes,US,NA
3,93 ’Til Infinity,Souls of Mischief,male,1993,Jacob Moore,Pigeons and Planes,US,NA
4,Rosa Parks,OutKast,male,1998,Jacob Moore,Pigeons and Planes,US,NA
5,All Caps,Madvillain,male,2004,Jacob Moore,Pigeons and Planes,US,NA
1,C.R.E.A.M.,Wu-Tang Clan,male,1993,Andrei Nikitin,Editor,Russian Federation,NA
2,N.Y. State Of Mind,Nas,male,1994,Andrei Nikitin,Editor,Russian Federation,NA
3,Still D.R.E.,Dr Dre ft. Snoop Dogg,male,1999,Andrei Nikitin,Editor,Russian Federation,NA
4,Lose Yourself,Eminem,male,2002,Andrei Nikitin,Editor,Russian Federation,NA
5,DNA,Kendrick Lamar,male,2017,Andrei Nikitin,Editor,Russian Federation,NA
1,Top Billin’,Audio Two,male,1987,Andrew Nosnitsky,Critic,US,NA
2,Freaky Tales,Too $hort,male,1987,Andrew Nosnitsky,Critic,US,NA
3,Codeine Crazy,Future,male,2014,Andrew Nosnitsky,Critic,US,NA
4,It’s All About The Benjamins (Remix),Puff Daddy ft. The Notorious B.I.G. & Lil’ Kim & The LOX,mixed,1997,Andrew Nosnitsky,Critic,US,NA
5,Scotty,D4L,male,2005,Andrew Nosnitsky,Critic,US,NA
1,Juicy,The Notorious B.I.G.,male,1994,Simone Paget,Toronto Sun,Canada,NA
2,Flava In Ya Ear (Remix),Craig Mack,male,1994,Simone Paget,Toronto Sun,Canada,NA
3,Act Too (Love of My Life),The Roots,male,1999,Simone Paget,Toronto Sun,Canada,NA
4,Life’s A Bitch,Nas ft. A.Z.,male,1994,Simone Paget,Toronto Sun,Canada,NA
5,Lost Ones,Lauryn Hill,female,1998,Simone Paget,Toronto Sun,Canada,NA
1,Follow The Leader,Eric B & Rakim,male,1988,Nate Patrin,Critic,US,NA
2,The World Is Yours,Nas,male,1994,Nate Patrin,Critic,US,NA
3,America’s Most Blunted,Madvillain,male,2004,Nate Patrin,Critic,US,NA
4,Alright,Kendrick Lamar,male,2015,Nate Patrin,Critic,US,NA
5,Get Ur Freak On,Missy Elliott,female,2001,Nate Patrin,Critic,US,NA
1,Fight The Power,Public Enemy,male,1989,Kevin Powell,Author,US,NA
2,The Message,Grandmaster Flash & The Furious Five,male,1982,Kevin Powell,Author,US,NA
3,Lost Ones,Lauryn Hill,female,1998,Kevin Powell,Author,US,NA
4,Dear Mama,2Pac,male,1995,Kevin Powell,Author,US,NA
5,Lose Yourself,Eminem,male,2002,Kevin Powell,Author,US,NA
1,Exhibit C,Jay Electronica,male,2009,Sekese Rasephei,Critic,South Africa,NA
2,Jonylah Forever,Lupe Fiasco,male,2013,Sekese Rasephei,Critic,South Africa,NA
3,Da Art Of Storytellin’,OutKast,male,1999,Sekese Rasephei,Critic,South Africa,NA
4,Slow It Down,Little Brother,male,2005,Sekese Rasephei,Critic,South Africa,NA
5,It’s Your World (Part 1 & 2),Common,male,2005,Sekese Rasephei,Critic,South Africa,NA
1,Fight The Power,Public Enemy,male,1989,Slick Rick,Artist,US,NA
2,Warm It Up Kane,Big Daddy Kane,male,1989,Slick Rick,Artist,US,NA
3,Know The Ledge,Eric B & Rakim,male,1992,Slick Rick,Artist,US,NA
4,Triumph,Wu-Tang Clan,male,1997,Slick Rick,Artist,US,NA
5,Pass That Dutch,Missy Elliott,female,2003,Slick Rick,Artist,US,NA
1,Mind Playing Tricks On Me,Geto Boys,male,1991,Grant Rindner,Critic,US,NA
2,Lucifer,JAY-Z,male,2003,Grant Rindner,Critic,US,NA
3,PRIDE,Kendrick Lamar,male,2017,Grant Rindner,Critic,US,NA
4,Sock It 2 Me,Missy Elliott ft. Da Brat,female,1997,Grant Rindner,Critic,US,NA
5,Ms Jackson,OutKast,male,2000,Grant Rindner,Critic,US,NA
1,Dear Mama,2Pac,male,1995,Al Rocco,Artist,China,NA
2,Changes,2Pac ft. Talent,male,1998,Al Rocco,Artist,China,NA
3,Wu-Tang Clan Ain’t Nuthing Ta Fuck Wit,Wu-Tang Clan,male,1993,Al Rocco,Artist,China,NA
4,Shook Ones (Part II),Mobb Deep,male,1995,Al Rocco,Artist,China,NA
5,Juicy,The Notorious B.I.G.,male,1994,Al Rocco,Artist,China,NA
1,It Was A Good Day,Ice Cube,male,1992,Dan Runcie,Trapital,US,NA
2,All Of The Lights,Kanye West ft. Rihanna & Kid Cudi,mixed,2010,Dan Runcie,Trapital,US,NA
3,Doo Wop (That Thing),Lauryn Hill,female,1998,Dan Runcie,Trapital,US,NA
4,International Players Anthem,UGK ft. OutKast,male,2007,Dan Runcie,Trapital,US,NA
5,The Message,Grandmaster Flash & The Furious Five,male,1982,Dan Runcie,Trapital,US,NA
1,Fight The Power,Public Enemy,male,1989,Tresa Sanders,TreMedia,US,NA
2,Ain’t No N*gga,JAY-Z ft. Foxy Brown,mixed,1996,Tresa Sanders,TreMedia,US,NA
3,Children’s Story,Slick Rick,male,1999,Tresa Sanders,TreMedia,US,NA
4,A Milli,Lil Wayne,male,2008,Tresa Sanders,TreMedia,US,NA
5,The Message,Grandmaster Flash & The Furious Five,male,1982,Tresa Sanders,TreMedia,US,NA
1,Moment Of Truth,Gang Starr,male,1998,Dimas Sanfiorenzo,OkayPlayer,US,NA
2,93 ’Til Infinity,Souls of Mischief,male,1993,Dimas Sanfiorenzo,OkayPlayer,US,NA
3,Bout It Bout It,Master P,male,1996,Dimas Sanfiorenzo,OkayPlayer,US,NA
4,Black Ice,Goodie Mob ft. OutKast,male,1998,Dimas Sanfiorenzo,OkayPlayer,US,NA
5,Bible On The Dash,Gunplay,male,2012,Dimas Sanfiorenzo,OkayPlayer,US,NA
1,Lose Yourself,Eminem,male,2002,Justin Sarachik,Rapzilla,US,NA
2,Shook Ones (Part II),Mobb Deep,male,1995,Justin Sarachik,Rapzilla,US,NA
3,Old Town Road (Remix),Lil Nas X ft. Billy Ray Cyrus,male,2019,Justin Sarachik,Rapzilla,US,NA
4,Renegade,JAY-Z ft. Eminem,male,2001,Justin Sarachik,Rapzilla,US,NA
5,I Used To Love H.E.R.,Common,male,1994,Justin Sarachik,Rapzilla,US,NA
1,Bling Bling,B.G.,male,1999,Jordan Sargent,SPIN,US,NA
2,Country Grammar,Nelly,male,2000,Jordan Sargent,SPIN,US,NA
3,Still Tippin’,Mike Jones,male,2004,Jordan Sargent,SPIN,US,NA
4,Sippin On Some Syrup,Three 6 Mafia ft. UGK,male,2000,Jordan Sargent,SPIN,US,NA
5,Who Dat,J.T. Money ft. Solé,mixed,1999,Jordan Sargent,SPIN,US,NA
1,Never Change,JAY-Z,male,2001,Zachary Schwartz,Critic,US,NA
2,Exhibit C,Jay Electronica,male,2009,Zachary Schwartz,Critic,US,NA
3,Runaway,Kanye West ft. Pusha T,male,2010,Zachary Schwartz,Critic,US,NA
4,A Milli,Lil Wayne,male,2008,Zachary Schwartz,Critic,US,NA
5,Mona Lisa,Slick Rick,male,1988,Zachary Schwartz,Critic,US,NA
1,They Want EFX,Das EFX,male,1992,Joseph Sciorra,Professor,US,NA
2,Black Cop,KRS-One,male,1993,Joseph Sciorra,Professor,US,NA
3,Atrevido,Orishas,male,2000,Joseph Sciorra,Professor,US,NA
4,Fight Da Faida,Frankie HI-NRG MC,male,1993,Joseph Sciorra,Professor,US,NA
5,L'Americano,Akhenaton,male,1995,Joseph Sciorra,Professor,US,NA
1,Kick Push,Lupe Fiasco,male,2006,Camille Storm,Critic,Kenya,NA
2,Shook Ones (Part II),Mobb Deep,male,1995,Camille Storm,Critic,Kenya,NA
3,Bonita Applebum,A Tribe Called Quest,male,1990,Camille Storm,Critic,Kenya,NA
4,If I Ruled The World (Imagine That),Nas ft. Lauryn Hill,mixed,1996,Camille Storm,Critic,Kenya,NA
5,Doo Wop (That Thing),Lauryn Hill,female,1998,Camille Storm,Critic,Kenya,NA
1,Wot Do U Call It?,Wiley,male,2004,Mike Sunda,Critic,Japan,NA
2,Fuck Tha Police,NWA,male,1988,Mike Sunda,Critic,Japan,NA
3,Runaway,Kanye West ft. Pusha T,male,2010,Mike Sunda,Critic,Japan,NA
4,B.O.B.,OutKast,male,2000,Mike Sunda,Critic,Japan,NA
5,Nice For What,Drake,male,2018,Mike Sunda,Critic,Japan,NA
1,Shook Ones (Part II),Mobb Deep,male,1995,Toddla T,BBC Radio 1,UK,NA
2,Nuthin’ But A ‘G’ Thang,Dr Dre ft. Snoop Doggy Dogg,male,1992,Toddla T,BBC Radio 1,UK,NA
3,C.R.E.A.M.,Wu-Tang Clan,male,1993,Toddla T,BBC Radio 1,UK,NA
4,Oh Yeah,Foxy Brown,female,2001,Toddla T,BBC Radio 1,UK,NA
5,Electric Relaxation,A Tribe Called Quest,male,1993,Toddla T,BBC Radio 1,UK,NA
1,Blood On The Leaves,Kanye West,male,2013,Ma’an Abu Taleb,Critic,UK,NA
2,Codeine Crazy,Future,male,2014,Ma’an Abu Taleb,Critic,UK,NA
3,Trap Beldi,Issam,male,2018,Ma’an Abu Taleb,Critic,UK,NA
4,Grief,Earl Sweatshirt,male,2015,Ma’an Abu Taleb,Critic,UK,NA
5,Mtaktak,Shabjdeed & Al Nather,male,2019,Ma’an Abu Taleb,Critic,UK,NA
1,The Rain (Supa Dupa Fly),Missy Elliott,female,1997,Sharine Taylor,Critic,Canada,NA
2,Cannon,Lil Wayne,male,2006,Sharine Taylor,Critic,Canada,NA
3,Ready Or Not,The Fugees,mixed,1996,Sharine Taylor,Critic,Canada,NA
4,Love Of My Life (An Ode To Hip Hop),Erykah Badu ft. Common,mixed,2002,Sharine Taylor,Critic,Canada,NA
5,Rock Wit U,Joe ft. G-Unit,male,2003,Sharine Taylor,Critic,Canada,NA
1,Don’t Sweat The Technique,Eric B & Rakim,male,1992,Ralf Theil,Critic,Germany,NA
2,Excursions,A Tribe Called Quest,male,1991,Ralf Theil,Critic,Germany,NA
3,The Blacker The Berry,Kendrick Lamar,male,2015,Ralf Theil,Critic,Germany,NA
4,One Day,UGK,male,1996,Ralf Theil,Critic,Germany,NA
5,Root Down,Beastie Boys,male,1994,Ralf Theil,Critic,Germany,NA
1,Aiiight Chill,Gang Starr,male,1994,Vikki Tobak,Author,US,NA
2,Life’s A Bitch,Nas ft. A.Z.,male,1994,Vikki Tobak,Author,US,NA
3,Rebel Without A Pause,Public Enemy,male,1988,Vikki Tobak,Author,US,NA
4,Bastard,Tyler The Creator,male,2009,Vikki Tobak,Author,US,NA
5,Look At Me!,XXXTENTACION,male,2015,Vikki Tobak,Author,US,NA
1,Rebel Without A Pause,Public Enemy,male,1988,Gabriel Tolliver,Critic,US,NA
2,Passin’ Me By,The Pharcyde,male,1992,Gabriel Tolliver,Critic,US,NA
3,93 ’Til Infinity,Souls of Mischief,male,1993,Gabriel Tolliver,Critic,US,NA
4,So What’cha Want,Beastie Boys,male,1992,Gabriel Tolliver,Critic,US,NA
5,Shook Ones (Part II),Mobb Deep,male,1995,Gabriel Tolliver,Critic,US,NA
1,They Reminisce Over You (T.R.O.Y.),Pete Rock & C.L. Smooth,male,1992,Pete Tosiello,Critic,US,NA
2,Last Dayz,Onyx,male,1995,Pete Tosiello,Critic,US,NA
3,Can’t Knock The Hustle,JAY-Z,male,1996,Pete Tosiello,Critic,US,NA
4,Swangin’ and Bangin',E.S.G.,male,1993,Pete Tosiello,Critic,US,NA
5,B.I.B.L.E. (Basic Instructions Before Leaving Earth),Killah Priest,male,1995,Pete Tosiello,Critic,US,NA
1,Dear Mama,2Pac,male,1995,Allyson Toy,Critic,US,NA
2,Backseat Freestyle,Kendrick Lamar,male,2012,Allyson Toy,Critic,US,NA
3,OVERSEAS,Bohan Phoenix,male,2018,Allyson Toy,Critic,US,NA
4,I Get Around,2Pac,male,1993,Allyson Toy,Critic,US,NA
5,No Diggity,Blackstreet ft. Dr Dre and Queen Pen,mixed,1996,Allyson Toy,Critic,US,NA
1,Hit ’Em Up,2Pac,male,1996,Ruby V,Radio Host,Kenya,NA
2,22 Two’s,JAY-Z,male,1996,Ruby V,Radio Host,Kenya,NA
3,Work It,Missy Elliott,female,2002,Ruby V,Radio Host,Kenya,NA
4,Juicy,The Notorious B.I.G.,male,1994,Ruby V,Radio Host,Kenya,NA
5,It Was A Good Day,Ice Cube,male,1992,Ruby V,Radio Host,Kenya,NA
1,That’s Not Me,Skepta ft. Jme,male,2014,Johann Voigt,Critic,Germany,NA
2,The Black God,SpaceGhostPurrp,male,2012,Johann Voigt,Critic,Germany,NA
3,Hard In Da Paint,Waka Flocka Flame,male,2009,Johann Voigt,Critic,Germany,NA
4,Kyoto,Yung Lean,male,2013,Johann Voigt,Critic,Germany,NA
5,Love Sosa,Chief Keef,male,2012,Johann Voigt,Critic,Germany,NA
1,I Really Mean It,The Diplomats,male,2003,Jan Wehn,Critic,Germany,NA
2,All Of The Lights,Kanye West ft. Rihanna & Kid Cudi,mixed,2010,Jan Wehn,Critic,Germany,NA
3,Worst Behavior,Drake,male,2013,Jan Wehn,Critic,Germany,NA
4,Tha Crossroads,Bone Thugs-N-Harmony,male,1996,Jan Wehn,Critic,Germany,NA
5,Still Fly,Big Tymers,male,2002,Jan Wehn,Critic,Germany,NA
1,Passin’ Me By,The Pharcyde,male,1992,Jeff Weiss,Passion of the Weiss,US,NA
2,Nuthin’ But A ‘G’ Thang,Dr Dre ft. Snoop Doggy Dogg,male,1992,Jeff Weiss,Passion of the Weiss,US,NA
3,Verbal Intercourse,Raekwon ft. Ghostface Killah and Nas,male,1995,Jeff Weiss,Passion of the Weiss,US,NA
4,Beat Bop,Rammellzee & K Rob,male,1983,Jeff Weiss,Passion of the Weiss,US,NA
5,Wipe Me Down (Remix),Foxx & Lil Boosie & Webbie,male,2006,Jeff Weiss,Passion of the Weiss,US,NA
1,One Love,Nas,male,1994,Eamon Whalen,Critic,US,NA
2,Ain’t No Thang,Outkast,male,1994,Eamon Whalen,Critic,US,NA
3,Cartoons & Cereal,Kendrick Lamar ft. Gunplay,male,2012,Eamon Whalen,Critic,US,NA
4,Sky’s The Limit,The Notorious B.I.G ft. 112,male,1997,Eamon Whalen,Critic,US,NA
5,Pacifier,Young Thug,male,2015,Eamon Whalen,Critic,US,NA
1,Fight The Power,Public Enemy,male,1989,Ernest Wilkins,Office Hours,US,NA
2,Paid In Full,Eric B & Rakim,male,1987,Ernest Wilkins,Office Hours,US,NA
3,Hypnotize,The Notorious B.I.G.,male,1997,Ernest Wilkins,Office Hours,US,NA
4,Who Am I (What’s My Name)?,Snoop Dogg,male,1993,Ernest Wilkins,Office Hours,US,NA
5,Can’t Tell Me Nothing,Kanye West,male,2007,Ernest Wilkins,Office Hours,US,NA
1,Grindin’,Clipse,male,2002,Andrew Winistorfer,Vinyl Me Please,US,NA
2,Cherchez La Ghost,Ghostface Killah ft. Madam Majestic & U-God,mixed,2000,Andrew Winistorfer,Vinyl Me Please,US,NA
3,Runaway,Kanye West ft. Pusha T,male,2010,Andrew Winistorfer,Vinyl Me Please,US,NA
4,Ha,Juvenile,male,2008,Andrew Winistorfer,Vinyl Me Please,US,NA
5,Turn On The Lights,Future,male,2012,Andrew Winistorfer,Vinyl Me Please,US,NA
1,Things Done Changed,The Notorious B.I.G.,male,1994,Fabian Wolff,Critic,Germany,NA
2,Ghetto Manifesto,The Coup,male,2001,Fabian Wolff,Critic,Germany,NA
3,Vicious Rap,Tanya ‘Sweet Tee’ Winley,female,1980,Fabian Wolff,Critic,Germany,NA
4,I Used To Love Him,Lauryn Hill ft. Mary J Blige,female,1998,Fabian Wolff,Critic,Germany,NA
5,Love Again (Akinyele Back),Run The Jewels ft. Gangsta Boo,mixed,2014,Fabian Wolff,Critic,Germany,NA
1,Lose Control,Missy Elliot ft. Ciara and Fatman Scoop,mixed,2005,Kirsten Zemke,Academic,New Zealand,NA
2,Super Bass,Nicki Minaj,female,2011,Kirsten Zemke,Academic,New Zealand,NA
3,Bodak Yellow,Cardi B,female,2017,Kirsten Zemke,Academic,New Zealand,NA
4,Ready Or Not,The Fugees,mixed,1996,Kirsten Zemke,Academic,New Zealand,NA
5,Shoop,Salt-N-Pepa,female,1993,Kirsten Zemke,Academic,New Zealand,NA
1,It Was A Good Day,Ice Cube,male,1992,Brian ‘Z’ Zisook,DJ Booth,US,NA
2,Shook Ones (Part II),Mobb Deep,male,1995,Brian ‘Z’ Zisook,DJ Booth,US,NA
3,Juicy,The Notorious B.I.G.,male,1994,Brian ‘Z’ Zisook,DJ Booth,US,NA
4,Dear Mama,2Pac,male,1995,Brian ‘Z’ Zisook,DJ Booth,US,NA
5,One Mic,Nas,male,2001,Brian ‘Z’ Zisook,DJ Booth,US,NA
