season_title,episode_num,episode_title,air_date,IMDB_rating,total_votes,desc
Zeo,45,Another Song and Dance,11/15/1996,7.4,274,Tommy asks Tanya for voice lessons when he has to sing in front of the class.
Zeo,46,Rangers of Two Worlds: Part I,11/20/1996,7.8,281,Everyone is stunned when it is revealed that Billy has aged into an old man.
Zeo,47,Rangers of Two Worlds: Part II,11/21/1996,7.9,283,The Power Rangers Zeo team up with the Alien Rangers of Aquitar to combat a double threat from King Mondo and Lord Zedd.
Zeo,48,Hawaii Zeo,11/22/1996,6.9,273,The golden powers start to fade from Jason.
Zeo,49,Good as Gold,11/23/1996,8,287,"Jason realizes, to his horror, that he's losing his powers as well as his strength. Pursued by Rita, Lord Zedd, and the Machine Empire who are all greedy for his powers, he finds himself helpless against them. Fortunately, he makes a narrow escape and collapses at the Juice Bar. The rangers are alarmed when they discover that Jason will lose his life as well as his powers if they are not transferred back to the Treys which can only happen when the planets are aligned just so. Alpha 5 gives the rangers a map with which they find the place for the power transfer. King ..."
Zeo,50,A Season to Remember,11/27/1996,5.3,283,"The Rangers, together with their friend Raymond, help Ernie set up for a multicultural holiday banquet, and in the process learn how different cultures celebrate the holidays."
Turbo,1,Shift Into Turbo: Part I,4/19/1997,6.7,290,Divatox returns to Earth seeking vengeance against the Power Rangers Turbo.
Turbo,2,Shift Into Turbo: Part II,4/26/1997,6.9,279,The Turbo Rangers race to stop Divatox from destroying the Angel Grove power plant during their graduation ceremony.
Turbo,3,Shift Into Turbo: Part III,4/30/1997,6.7,279,Zordon and Alpha 5 bid farewell to the planet Earth as Divatox escalates her assault on Angel Grove.
Turbo,4,Shadow Rangers,5/1/1997,7.4,268,Divatox's Chromite steals the Turbo Rangers' morphing energy to create evil shadow Rangers.
Turbo,5,Transmission Impossible,5/2/1997,7.1,263,"Arriving from the Planet Inquiris to deliver a message of great importance to Dimitria, the alien Visceron is brought down by Divatox, and when he refuses to talk, she meddles with his mind and turns him against the Turbo Rangers. Meanwhile, Tanya's KAGV radio show is targeted both by Divatox (a detonator is placed on the transmitter tower) and the Bulk & Skull Chimps (they hope to get noticed as humans by getting on the air!)"
Turbo,6,Rally Ranger,5/5/1997,6.5,264,"Participating in a soapbox-car derby, Justin contends with a brutal pre-teen bully, named Warren, who's prepared to win at any cost. Meanwhile, with his detonator-making prowess unappreciated on Divatox's Subcraft, Porto, feeling dejected, strikes out on his own, giving the Rangers big trouble! The lack of the tech expert doesn't stop Elgar from completing a detonator and sticking it in Warren's racer. Also, the Bulk & Skull Chimps hijack the previous year's winning racer in an effort to become famous and get turned back into humans."
Turbo,7,Built for Speed,5/6/1997,5.8,262,Adam battles the lightning-quick Demon Racer as he tries to stop his peers from a dangerous drag race.
Turbo,8,Bicycle Built for the Blues,5/7/1997,4.7,267,Justin is trapped on a speeding bicycle in an explosive countdown to zero.
Turbo,9,The Whole Lie,5/8/1997,6.2,263,Divatox's Mouth Piece Monster makes Justin lie constantly with a Piranhatron appearing for every lie.
Turbo,10,Glyph Hanger,5/10/1997,6.7,261,Divatox summons her ancient Egyptian ex-fiance Pharaoh to battle the Turbo Rangers.
Turbo,11,Weight and See,5/12/1997,6.8,263,Divatox sends Numbor to cause Angel Grove to sink into the ocean while Kat worries about her weight.
Turbo,12,Alarmed and Dangerous,5/13/1997,6.4,263,Divatox's forces set off false fire alarms all over Angel Grove as Justin deals with school bullies.
Turbo,13,The Millennium Message,5/17/1997,7.6,263,The Blue Senturion time travels to present-day Angel Grove with a message from the future for Dimitria.
Turbo,14,A Drive to Win,5/19/1997,6.8,262,Divatox sends Electrovolt to Angel Grove to ruin Adam's soccer team.
Turbo,15,Cars Attacks,5/20/1997,6.5,260,Wolfgang Amadeus Griller comes to Angel Grove in order to transform automobiles to life.
Turbo,16,"Honey, I Shrunk the Rangers: Part 1",5/21/1997,7.4,263,The Power Rangers are shrunk to the size of insects.
Turbo,17,"Honey, I Shrunk the Rangers: Part 2",9/9/1997,7.4,261,The micronized Turbo Rangers go on an action-packed trip trying to escape from Divatox's Subcraft.
Turbo,18,Passing the Torch: Part 1,9/10/1997,7.7,268,"Visited by her mother Mama D, Divatox is inspired to take down the Turbo Rangers by removing their leader. While heading to the outskirts of Angel Grove to go camping with Adam, Justin, and Tanya, Tommy & Kat are ambushed by Piranahtron. A pair of young teens on a bus in the midst of moving to the area, T.J. (a wannabe professional baseball batter) and Cassie (a wannabe singing star), spot the disturbance and come to the Rangers' aid. But will they be too late to save Tommy? Meanwhile, the other three Ranger Teens must contend with both a Putrapod and the Flamite ..."
Turbo,19,Passing the Torch: Part 2,9/11/1997,7.7,272,"Tommy, Kat, Adam, and Tanya pass their powers on to a new generation of Power Rangers."
Turbo,20,Stitch Witchery,9/12/1997,5.8,262,"Ashley is excited when she gets a job working with an extravagant fashion designer. She's unaware, though, that the designer, Delisha Enevil, is actually a monster of Divatox's. Ashley's ugly plaid jackets are mass produced by Piranahtron overnight. But the jackets are infused with the monster's magic, making anyone who wears them cruel, greedy, and evil. It's bad enough with all of the Rangers, sans Ashley, put them on, but when Blue Senturion gets tricked into one, he soon goes on another rampage, this time including a jacket-clad Robo Racer! Meanwhile, Bulk & Skull..."
Turbo,21,The Wheel of Fate,9/15/1997,7.7,268,Two intelligent cars from outer space called Lightning Cruiser and Storm Blaster travel to Earth.
Turbo,22,Trouble by the Slice,9/16/1997,7.4,260,Divatox is struck by amnesia while the Power Rangers battle evil pizzas.
Turbo,23,The Phantom Phenomenon,9/17/1997,7.8,264,The mysterious Phantom Ranger appears on Earth to assist the Power Rangers.
Turbo,24,Vanishing Act,9/18/1997,6.7,259,The Rangers try to uncover why everything around them is disappearing including the Power Chamber.
Turbo,25,When Time Freezes Over,9/19/1997,7.3,259,Divatox attempts to control time in order to freeze the planet Earth.
Turbo,26,The Darkest Day,9/22/1997,7.8,260,General Havoc reinforces Divatox helping her capture the Turbo Megazord.
Turbo,27,One Last Hope,9/23/1997,7.7,260,"With no way to defend Angel Grove, the Rangers turn to the Phantom Ranger for assistance."
Turbo,28,The Fall of the Phantom,9/25/1997,7.8,260,General Havoc and Divatox set a trap for the Phantom Ranger in order to capture his powerful Phantom Ruby.
Turbo,29,Clash of the Megazords,9/26/1997,7.7,262,The Turbo Rangers race to stop the Turbo Megazord and save the Phantom Ranger as his life force ebbs away.
Turbo,30,The Robot Ranger,10/3/1997,7.1,260,Justin suspects that his fellow Rangers have been replaced by robots.
Turbo,31,Beware the Third Wish,10/17/1997,6.1,256,The Wicked Wisher grants Divatox three wishes. One of which she uses to turn the Blue Senturion evil.
Turbo,32,Gardner of Evil,10/10/1997,5.7,255,The Power Rangers hurry to find the third wishing coin and restore the Blue Senturion.
Turbo,33,Fire in Your Tank,10/30/1997,6.4,256,The Torch Tiger steals the Turbo Rangers' super fuel turning him into an arsonist nightmare.
Turbo,34,The Turn of the Wretched Wrench,10/31/1997,5.4,262,"Ashley finds her auto mechanics class more difficult than she anticipated which is further complicated by her fellow student, the Maniac Mechanic."
Turbo,35,Spirit of the Woods,11/3/1997,7,259,T.J. meets a mysterious young boy in the forest named Erutan.
Turbo,36,The Song of Confusion,11/7/1997,7.6,259,Cassie's new rock band turns out to be more than she bargained for.
Turbo,37,The Accident,11/10/1997,7.5,255,"When Carlos injures a rival, even he isn't sure if it was really by accident."
Turbo,38,Cassie's Best Friend,11/11/1997,5.7,255,"Cassie's uncannily smart dog Jetson is transformed into a human following a misfire by Divatox's latest monster, Mr. Goorific. Bulk & Skull are hired to help find the missing dog. In human form, Jetson, calling himself Jethro, helps Cassie cope with the loss of her canine best friend and does his best to cheer her up. But with the monster and Elgar's repaired Terrorzord on the horizon, that happiness could be short lived..."
Turbo,39,The Curve Ball,11/12/1997,6,255,T.J. needs to learn how to hit a curve ball if he's going to save his baseball team's chances of victory as well as the world.
Turbo,40,Carlos and the Count,11/13/1997,7,252,"An encounter with a mutated lunar bat leaves Carlos with an aversion to sunlight, and a powerful thirst - for blood!"
Turbo,41,Little Strong Man,11/14/1997,7,255,"Justin has trouble trying out for sports, as he's too small and young to compete with the other teens. When an ant, mutated by Bulk & Skull's strange exterminator spray, bites him, he discovers he now has super strength! This makes him a hit with athletics, but the side effect is he's unable to morph. He's forced to choose between a life as a Ranger or a life as a dumb jock. Meanwhile, Divatox prepares to bring to Earth the first of her three Evil Zords, the first being her very own bird-like Divazord."
Turbo,42,The Rival Rangers,11/17/1997,7.3,253,"Ashley wants go to school dance with a new guy, Bobby. Cassie, though, wants the same, and saw him first. The two gals get rather down and dirty in competing for him. Meanwhile, the aptly named Sharkzord, is piloted by Porto in battle against our heroes."
Turbo,43,Parts and Parcel,11/18/1997,7.7,254,"Bulk and Skull are blamed for the thefts of several mechanical parts from the ""Super Duper Fast Delivery"" service they've begun working for. TJ attempts to help prove their innocence, since the parts are actually being stole by Piranahtrons to aid in the repairing of the Evil Zords. Speaking of which, the third and final one, Rygog's Catzord, is unveiled, as all three of the Evil Zords are reunited on Earth to battle against the Rescue Megazord, Turbo Megazord, and Robo Racer, for one last big battle!"
Turbo,44,Chase Into Space: Part 1,11/21/1997,8.1,265,"Justin faces the possibility of having to move away as against overwhelming odds, the Turbo Rangers charge into their final battle."
Turbo,45,Chase Into Space: Part 2,11/24/1997,8.3,264,The remaining Power Rangers blast off into outer space to try and save Zordon.
In Space,1,From Out of Nowhere: Part 1,2/6/1998,8.5,328,"The Rangers and Alpha 6 are sucked into an unknown high tech spaceship. Meanwhile, Dark Specter assembles many of the universe's most evil villains."
In Space,2,From Out of Nowhere: Part 2,2/13/1998,8.5,301,"With the Astro Megaship stranded on an uninhabited planet and Astronema's forces closing in, the Red Ranger reveals his identity to the Rangers and presents them with new powers."
In Space,3,Save Our Ship,2/20/1998,8,286,"The Rangers return to Earth, and attempt to bond better with alien Andros, who's bemused by our strange culture. Unfortunately, our heroes also get an unfriendly welcome from Astronema who has followed them there (along with her new henchman Elgar), and not only unleashes her cohort Ecliptor on them, but fires upon NASADA, intent on destroying the Shuttle! Meanwhile, Bulk & Skull seek to prove conclusively, without a single doubt, once and for all that aliens exist and are currently targeting Earth (and in the process become rich & famous). To do so, they team-up with..."
In Space,4,Shell Shocked,2/27/1998,6.6,322,The Space Rangers meet the Teenage Mutant Ninja Turtles.
In Space,5,Never Stop Searching,3/6/1998,8.4,281,"Carlos stumbles upon Andros watching a video of himself as a child, with his young sister, when she was kidnapped by an unknown creature. Soon, a life-form reading appears on Andros' home world of KO-35, which he assumes is maybe his long lost sister Karone, but what actually awaits him is an ambush by Ecliptor. When this leads to Carlos being injured by following him there, Andros quickly learns the best way to get through his guilt is by relying in others. Meanwhile, Bulk & Skull are led to a watermelon patch by Prof. Phenomenus, who convinces them it's a breeding ..."
In Space,6,Satellite Search,3/13/1998,7.3,279,NASADA asks the Rangers to help retrieve a crashed satellite with important data on Dark Specter's operations.
In Space,7,A Ranger Among Thieves,3/20/1998,7.9,273,"With his four Earthen teammates busy with Math midterms, Andros falls in with a crowd of car thieves at the Surf Spot. Chuck, the ringleader, manipulates Andros' good-natured-ness and turns him, unwittingly, into an accomplice (despite how the other two, Suzi & David, feel guilty about exploiting him). It's only after discovering the three are behind stealing Adelle's delivery van that he learns the truth behind them. But when the Voltage Hog monster attacks the area where the trio are storing the stolen cars, will Andros save his former ""friends"" despite their ..."
In Space,8,When Push Comes to Shove,3/27/1998,7.5,280,"Cassie loses her diary, which she believes may contain a picture of her that would reveal her identity as a Power Ranger. George, a teen troublemaker, gets ahold of it and uses it as blackmail to make Cassie go on a date with his pal, Lenny, a gentle giant. Meanwhile, Prof. Phenomenus unveils a new plutonium fuel, which plans to use to send Bulk & Skull into space to find aliens. But Astronema becomes aware of this, and has the Elephantitan monster try to topple the skyscraper the fuel is being stored at, in an effort to wipe out Angel Grove. It just so happens to be ..."
In Space,9,The Craterite Invasion,4/3/1998,8.6,277,A malfunction with the Megaship's Simudeck releases hundreds of real Craterites into Angel Grove.
In Space,10,The Wasp with a Heart,4/4/1998,8.2,281,"Waspicable, a kind-hearted monster from Earth, is torn between his caring nature and his loyalty to his evil brother Sting King."
In Space,11,The Delta Discovery,4/11/1998,8.8,290,The Phantom Ranger discovers where Dark Specter is hiding Zordon.
In Space,12,The Great Evilyzer,4/18/1998,7.5,271,Professor Phenomenus develops a ray that can turn objects evil which Astronema decides to use against the Power Rangers.
In Space,13,Grandma Matchmaker,4/25/1998,6.6,274,Ashley's grandmother visits Angel Grove intent on seeing Ashley engaged before she leaves.
In Space,14,The Barillian Sting,5/2/1998,8.7,285,A suspicious bounty hunter joins forces with Astronema despite Ecliptor's objections.
In Space,15,TJ's Identity Crisis,5/9/1998,8.6,281,Darkonda betrays Ecliptor to increase his own power. Meanwhile T.J. suffers an injury causing him to lose his memory.
In Space,16,Flashes of Darkonda,5/16/1998,8.7,387,Andros makes a startling discovery about his sister's kidnapper and journeys into the heart of Dark Specter's empire searching for answers.
In Space,17,The Rangers' Mega Voyage,9/12/1998,7.9,278,The Power Rangers use their newly-obtained Key Cards to decode the location of a new fleet of Zords.
In Space,18,True Blue to the Rescue,9/19/1998,8.5,281,"Justin, the Blue Turbo Ranger, returns to help the Power Rangers."
In Space,19,Invasion of the Body Switcher,9/26/1998,8,272,Astronema switches bodies with Ashley to infiltrate the Astro Megaship and capture the Power Rangers.
In Space,20,Survival of the Silver,10/3/1998,8.2,269,"The Rangers discover the cryogenically frozen Zhane, the Silver Ranger and Andros' best friend."
In Space,21,Red with Envy,10/10/1998,8,261,Andros battles Darkonda and his own jealousy as he worries Ashley might be attracted to Zhane.
In Space,22,The Silver Secret,10/14/1998,8.1,260,"After being frozen for two years, Zhane struggles with his weakening Ranger powers."
In Space,23,A Date with Danger,10/15/1998,8.4,263,Zhane struggles between his attraction to Astronema and his duty to help the other Power Rangers.
In Space,24,Zhane's Destiny,10/16/1998,7.9,266,"On a desolate planet, the Rangers are captured by a band of resistance fighters prompting Zhane to reconsider his place with the Power Rangers."
In Space,25,Always a Chance,10/17/1998,8.9,291,"The Rangers encounter Lizward, who has the ability to change places with another person. During a battle, he changes places with Cassie just as Carlos is about to attack. Carlos ends up injuring his friend. Cassie recovers, but Carlos begins to doubt his abilities as a ranger. He leaves the team for a while and encounters Adam, the person who chose him to be a Ranger. Adam trains Carlos to try and get his confidence back."
In Space,26,The Secret of the Locket,10/21/1998,8.4,266,"When Darkonda sets a trap for the Red Ranger, Andros finally comes face to face with his long-lost sister."
In Space,27,Astronema Thinks Twice,10/23/1998,8.6,265,Astronema questions her own motives as she travels to KO-35 to battle the Power Rangers.
In Space,28,The Rangers' Leap of Faith,10/24/1998,8.7,266,The Power Rangers question whether they can trust Astronema when she offers to help them find Zordon.
In Space,29,Dark Specter's Revenge: Part 1,10/28/1998,7.9,262,"With a new ally aboard the Megaship, the Rangers race to save the Earth from an asteroid on a collision course with the planet."
In Space,30,Dark Specter's Revenge: Part 2,10/29/1998,7.9,261,An old ally returns to help Andros rescue his sister from Dark Specter
In Space,31,Rangers Gone Psycho,10/30/1998,8.8,275,Astronema assembles a team of evil Psycho Rangers to solidify her power.
In Space,32,Carlos on Call,10/31/1998,7.2,261,A young girl discovers Carlos's secret. And blackmails him to be on call for her which jeopardizes the team.
In Space,33,A Rift in the Rangers,11/4/1998,8.7,274,The Psycho Rangers take advantage of the animosity between the Ranger girls to capture Ashley.
In Space,34,Five of a Kind,11/5/1998,8.7,271,T.J. devises a clever strategy to defeat the Psycho Rangers in battle.
In Space,35,Silence Is Golden,11/6/1998,8.5,263,"Able to recognize the Power Rangers' voices, the Psycho Rangers assume human disguises to try and find them when they least suspect it."
In Space,36,The Enemy Within,11/7/1998,8.5,265,"While searching for their Mega Voyager, the Power Rangers prepare for a final showdown with the Psycho Rangers."
In Space,37,Andros and the Stowaway,11/11/1998,4.8,266,"On a remote planet, Andros befriends a rapidly-growing baby alien on the run from his cruel master."
In Space,38,Misson to Secret City,11/12/1998,8,265,Andros and Carlos are trapped inside Astronema's Secret City forcing Andros to discover untapped powers in his Astro Morpher to save the day.
In Space,39,Ghosts in the Machine,11/13/1998,8.5,270,The Rangers race to stop Astronema from using her new device to turn people into Data Cards.
In Space,40,The Impenetrable Web,11/14/1998,8.6,266,Astronema lures the Rangers into a trap on a distant planet.
In Space,41,A Line in the Sand,11/18/1998,7.5,268,"A dark Humvee stalks each of the Space Rangers while they're on Earth in their civilian lives. It fails to capture Andros & Ashley while they're out on a date, but succeeds in taking out each of the others. With each it runs down, they're teleported to a barren desert, with no way to contact the Megaship! Even if our heroes can put the brakes on this living vehicle, known as Tankenstein, they'll have even bigger problems with its monster form."
In Space,42,Countdown to Destruction: Part 1,11/20/1998,9.4,330,Dark Specter's combined armies launch a final all-out assault on the entire universe.
In Space,43,Countdown to Destruction: Part 2,11/21/1998,9.4,339,"With the forces of evil all but triumphant, the Power Rangers make one last desperate attempt to save Zordon."
Lost Galaxy,1,Quasar Quest: Part 1,2/6/1999,8.3,230,An adventurous young man embarks on an epic adventure in space when he sneaks aboard the massive space colony Terra Venture.
Lost Galaxy,2,Quasar Quest: Part 2,2/13/1999,8.4,220,"As five heroes unite to protect planet Mirinoi from the villain Furio, the Galaxy Rangers are born."
Lost Galaxy,3,Race to the Rescue,2/20/1999,7.8,210,The Rangers befriend the Galactabeasts - five enormous animals that help them defend Terra Venture from the forces of the evil Scorpius.
Lost Galaxy,4,Rookie in Red,2/27/1999,7.7,208,Leo accepts responsibility as the newest member of the GSA (Galactic Space Alliance) when he forgets to properly lock a weapon storage room on Terra Venture.
Lost Galaxy,5,Homesick,3/6/1999,7.8,202,A homesick boy who misses Earth helps the Rangers during Furio's sleeping gas attack on Terra Venture.
Lost Galaxy,6,The Lights of Orion,3/13/1999,8.4,204,The shape-changing monster Mutantrum poses as Mike to lure Leo to the legendary Lights of Orion.
Lost Galaxy,7,Double Duty,3/20/1999,6.8,204,"Battling the Wisewizard, Kendrix meets an actress on a movie set who looks exactly like her."
Lost Galaxy,8,The Blue Crush,3/27/1999,7.1,198,Kai is smitten by a pretty girl but has little time for romance as the monster Quakemaker attacks Terra Venture with earthquakes.
Lost Galaxy,9,The Magna Defender,4/3/1999,8.8,212,"The heroic Magna Defender renews his feud with Scorpius' new general, Treacheron."
Lost Galaxy,10,The Sunflower Search,4/10/1999,8.6,200,"Seeking vengeance for his slain son, the Magna Defender battles the Fish Face monster on Terra Venture."
Lost Galaxy,11,Silent Sleep,4/17/1999,8.2,196,Leo and the Magna Defender are forced to work together when the Chillyfish monster freezes the people of Terra Venture.
Lost Galaxy,12,Orion Rising,5/1/1999,8,201,Kendrix and Maya work to escape from a force field created by the monster Destruxo before he can find the Lights of Orion.
Lost Galaxy,13,Orion Returns,5/8/1999,8.7,213,"It's a three-way race between the Power Rangers, the Magna Defender, and Destruxo as the Lights of Orion return."
Lost Galaxy,14,Shark Attack,5/15/1999,8.8,203,Both Treacheron and the Magna Defender hunt Trakeena for revenge while the Power Rangers find themselves outmatched in battle without Leo (recovering from injuries).
Lost Galaxy,15,Redemption Day,5/22/1999,9.2,206,The Magna Defender struggles to overcome his loss of values while facing (causing) Terra Venture's immanent doom.
Lost Galaxy,16,Destined for Greatness,9/25/1999,8.4,204,"Mike's return stirs up mixed emotions in Leo, who feels obligated to return his Quasar Saber to its rightful heir."
Lost Galaxy,17,Stolen Beauty,10/2/1999,7.2,207,Trakeena worries about losing her beauty when her father Scorpius wants her to become a full insect like him.
Lost Galaxy,18,The Rescue Mission,10/9/1999,7.7,214,Commander Stanton sends a boarding party to investigate a derelict spaceship with a dangerous secret.
Lost Galaxy,19,The Lost Galactabeasts: Part 1,10/16/1999,7.9,194,"Newly arrived Deviot, in application to be Scorpius' second in command, forces Kai and Damon into a fight to the death against each other."
Lost Galaxy,20,The Lost Galactabeasts: Part 2,10/22/1999,7.9,193,The Rangers struggle to free the lost Galactabeasts from Deviot's control.
Lost Galaxy,21,Heir to the Throne,10/23/1999,8.7,201,"While Trakeena makes new allies at an alien frontier saloon, Deviot plots against Scorpius."
Lost Galaxy,22,An Evil Game,10/25/1999,7.9,200,"Seeking vengeance, Trakeena has Leo captured while Deviot plots against her."
Lost Galaxy,23,Memories of Mirinoi,10/26/1999,6.7,201,"Shondra, Maya's best friend from her home world, arrives on Terra Venture, but Kendrix suspects Shondra may not be who she claims."
Lost Galaxy,24,Green Courage,10/27/1999,7.7,192,Trakeena blackmails Terra Venture into sending their best engineer to repair the Scorpion Stinger's engines.
Lost Galaxy,25,Blue to the Test,10/28/1999,7.7,194,Kai suspects Commander Stanton is under mind control when he orders Terra Venture steered into the course of a nearby star.
Lost Galaxy,26,Mean Wheels Mantis,10/29/1999,6.6,202,"Leo, Damon and Kai race the Motor Mantis monster on motorcycles. The prize: Kendrix and Maya."
Lost Galaxy,27,Loyax' Last Battle,11/1/1999,8.2,198,"Deviot sends the honorable warrior Loyax to destroy the Rangers, but when he meets Maya she questions the honor in his ways."
Lost Galaxy,28,A Red Romance,11/2/1999,7.5,192,Leo struggles to earn the approval of the brother of the girl he wants to date while trying to save her from Trakeena's latest monster.
Lost Galaxy,29,The Chameliac Warrior,11/3/1999,8.7,199,"The Rangers fight the Chameliac Warrior, unaware of danger to their Galactabeasts."
Lost Galaxy,30,To the Tenth Power,11/4/1999,8.9,228,Summoning up the five Psycho Rangers to pit against the five Galaxy Rangers brings forth the five Space Rangers to help bring them down.
Lost Galaxy,31,The Power of Pink,11/5/1999,8.9,229,"The Galaxy Book points the way for Psycho Pink to get the Savage Sword from planet Rashon, with Cassie and Kendrix in close pink pursuit."
Lost Galaxy,32,Protect the Quasar Saber,11/8/1999,8.8,202,"Karone, f.k.a. Astronema, seeks redemption by helping the Galaxy Rangers retrieve the lost Pink Quasar Saber from an alien outlaw auction."
Lost Galaxy,33,Facing the Past,11/9/1999,8.7,201,"In order to save the Rangers from a monster absorbing their powers, Karone addresses an old wrong she once perpetrated as Astronema."
Lost Galaxy,34,Turn Up the Volume,11/10/1999,7.7,198,Damon competes against an unscrupulous rival for the position of head mechanic on Terra Venture.
Lost Galaxy,35,Enter the Lost Galaxy,11/11/1999,7.8,195,The Terra Venture discovers the fabled Lost Galaxy.
Lost Galaxy,36,Beware the Mutiny,11/12/1999,7.2,194,The Rangers are welcomed to the Lost Galaxy by a scheming space pirate named Captain Mutiny.
Lost Galaxy,37,Grunchor on the Loose,11/15/1999,7.1,192,The Rangers battle the enormous Grunchor monster that has burrowed inside Terra Venture.
Lost Galaxy,38,Until Sunset,11/16/1999,5.6,196,"Captured by Deviot, Leo and Damon reminisce over their adventures up until now."
Lost Galaxy,39,Dream Battle,11/17/1999,7.6,193,"Captain Mutiny's sorceress, Hexuba, uses her magic to cause the Power Rangers to fall into a deep restless sleep."
Lost Galaxy,40,Hexuba's Graveyard,11/18/1999,7.7,190,Hexuba uses her magic to resurrect defeated monsters to battle the Power Rangers.
Lost Galaxy,41,Raise the Titanisaur,11/19/1999,7.2,189,"Captain Mutiny unleashes the gargantuan Titanisaur on Terra Venture, the greatest threat the Rangers have faced yet."
Lost Galaxy,42,Escape the Lost Galaxy,12/3/1999,8.6,193,Mike sacrifices to help Terra Venture escape the Lost Galaxy.
Lost Galaxy,43,Journey's End: Part 1,12/16/1999,8.7,196,Terra Venture discovers a lush green planet to colonize as Trakeena merges with Deviot to become stronger and more terrible than ever.
Lost Galaxy,44,Journey's End: Part 2,12/17/1999,8.8,201,The Rangers work to evacuate the crew of Terra Venture as Trakeena launches her final assault.
Lost Galaxy,45,Journey's End: Part 3,12/18/1999,8.8,201,"Trapped on a desolate moon in the ruins of Terra Venture, Leo faces Trakeena all alone."
Lightspeed Rescue,1,Operation Lightspeed,2/12/2000,7.9,126,Five brave young men and women are recruited by the secret agency Lightspeed Rescue to stop a band of demons from destroying Mariner Bay.
Lightspeed Rescue,2,Lightspeed Teamwork,2/19/2000,7.7,105,The Rangers deploy the Rescue Bird to evacuate people from a burning building while fighting the lava monster Magmavore.
Lightspeed Rescue,3,Trial by Fire,2/26/2000,7.8,101,Carter struggles with leading the Rangers in battle as he recalls a traumatic event from his childhood.
Lightspeed Rescue,4,Riding the Edge,3/4/2000,7.7,98,The team rushes to help Kelsey's friend Nancy try to land a space shuttle under attack by Diabolico.
Lightspeed Rescue,5,A Matter of Trust,3/11/2000,7.6,99,Dana is trusted with a special assignment by her father.
Lightspeed Rescue,6,Wheels of Destruction,3/18/2000,7.2,94,The Rangers and Vypra battle it out in new advanced vehicles.
Lightspeed Rescue,7,Cyborg Rangers,3/25/2000,8.2,99,General McKnight tries to replace the Power Rangers with robotic doubles.
Lightspeed Rescue,8,Up to the Challenge,4/1/2000,8.5,96,Chad faces a dangerous new opponent secretly in league with Vypra.
Lightspeed Rescue,9,Go Volcanic,4/8/2000,7.8,94,Dana faces double trouble when the bus she's on is hijacked and a monster causes a volcano to erupt in Mariner Bay.
Lightspeed Rescue,10,Rising from Ashes,4/15/2000,7.9,97,The Power Rangers attempt to rescue Miss Fairweather from an erupting volcano.
Lightspeed Rescue,11,From Deep in the Shadows,4/22/2000,8.6,98,The mysterious Titanium Ranger attacks the Power Rangers.
Lightspeed Rescue,12,Truth Discovered,4/29/2000,8.6,101,Captain Mitchell is reunited with his long-lost son.
Lightspeed Rescue,13,Ryan's Destiny,5/6/2000,8.3,94,Ryan does some soul-searching while Diabolico attacks Mariner Bay.
Lightspeed Rescue,14,Curse of the Cobra,5/13/2000,8.3,96,Ryan tries to hide his curse from the team.
Lightspeed Rescue,15,Strength of the Sun,5/20/2000,8.4,92,Ryan risks life and limb to overcome his curse and help the Rangers battle Diabolico's monsters.
Lightspeed Rescue,16,The Cobra Strikes,5/27/2000,8.5,88,Ryan journeys to an ancient tomb to overcome the curse of the cobra once and for all.
Lightspeed Rescue,17,Olympius Ascends,8/19/2000,8.3,85,"As the Rangers battle Diabolico, the infant Impus finally matures into an even more powerful demon."
Lightspeed Rescue,18,A Face from the Past,8/26/2000,8.5,88,Carter finally learns the identity of his boyhood hero.
Lightspeed Rescue,19,The Queen's Return,9/2/2000,8.1,82,Olympius conspires with Vypra to allow his mother Queen Bansheera to return to Earth once the planets align.
Lightspeed Rescue,20,The Omega Project,9/9/2000,8.3,81,Lightspeed Rescue tries to stop an asteroid from colliding with the Earth.
Lightspeed Rescue,21,The Fifth Crystal,9/16/2000,7.8,79,The Rangers race to find a crystal before Vypra can use it to power her dangerous new laser.
Lightspeed Rescue,22,The Chosen Path,9/23/2000,7.6,82,Chad works to regain the respect of his disappointed martial arts instructor.
Lightspeed Rescue,23,Yesterday Again,9/30/2000,7.8,74,Carter is haunted by psychic visions of a future in which the Power Rangers are defeated.
Lightspeed Rescue,24,As Time Runs Out,10/7/2000,7.7,72,The Rangers hurry to rid themselves of dangerous pods filled with poisonous flowers before they can hatch
Lightspeed Rescue,25,In the Freeze Zone,10/21/2000,8,73,Carter battles to save their frozen teammates.
Lightspeed Rescue,26,The Mighty Mega Battles,10/28/2000,8.5,75,The Rangers deploy their Mega Battle gear against Olympius and his monster.
Lightspeed Rescue,27,The Great Egg Caper,11/3/2000,7.6,76,Jinxer's plan to unleash a powerful monster on Mariner Bay is thwarted when a thief steals the monster's egg.
Lightspeed Rescue,28,Ocean Blue,11/4/2000,8,80,Vypra plots to use Chad's love for a mermaid against him.
Lightspeed Rescue,29,Trakeena's Revenge: Part 1,11/6/2000,8.3,96,"Trakeena comes to Mariner Bay, prompting the Lost Galaxy Rangers to team up with the Lightspeed Rescue Rangers."
Lightspeed Rescue,30,Trakeena's Revenge: Part 2,11/7/2000,8.5,94,The Lost Galaxy and Lightspeed Rescue Rangers join forces to stop Trakeena from destroying Mariner Bay.
Lightspeed Rescue,31,The Last Ranger,11/8/2000,7.6,71,Dana helps her teammates overcome a case of amnesia.
