binomial_name,country,continent,group,year_last_seen,threat_AA,threat_BRU,threat_RCD,threat_ISGD,threat_EPM,threat_CC,threat_HID,threat_P,threat_TS,threat_NSM,threat_GE,threat_NA,action_LWP,action_SM,action_LP,action_RM,action_EA,action_NA,red_list_category
Devillea flagelliformis,Brazil,South America,Flowering Plant,Before 1900,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Dicoma pretoriensis,South Africa,Africa,Flowering Plant,1920-1939,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Extinct
Dillenia fischeri,Philippines,Asia,Flowering Plant,1900-1919,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Diospyros katendei,Uganda,Africa,Flowering Plant,2000-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Diospyros ketsensis,Madagascar,Africa,Flowering Plant,1920-1939,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Diospyros subtrinervis,Madagascar,Africa,Flowering Plant,Before 1900,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Diplazium laffanianum,Bermuda,North America,Ferns and Allies,1900-1919,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,Extinct in the Wild
Diplazium ulugurense,Tanzania,Africa,Ferns and Allies,1960-1979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Discocactus subterraneo-proliferans,Brazil,South America,Flowering Plant,1980-1999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Extinct in the Wild
Disperis bosseri,Madagascar,Africa,Flowering Plant,1940-1959,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,Extinct
Disperis egregia,Tanzania,Africa,Flowering Plant,1940-1959,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Dissotis longisepala,Burundi,Africa,Flowering Plant,1940-1959,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Dombeya macropoda,Madagascar,Africa,Flowering Plant,1980-1999,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Extinct
Dombeya micrantha,Madagascar,Africa,Flowering Plant,1940-1959,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Dombeya pauciflora,Madagascar,Africa,Flowering Plant,1960-1979,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Dombeya sakamaliensis,Madagascar,Africa,Flowering Plant,1920-1939,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Dombeya sely,Madagascar,Africa,Flowering Plant,1940-1959,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Extinct
Dombeya seyrigiana,Madagascar,Africa,Flowering Plant,1940-1959,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Dombeya tavia,Madagascar,Africa,Flowering Plant,1940-1959,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Dombeya tsiandrensis,Madagascar,Africa,Flowering Plant,1940-1959,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Dorstenia bicaudata,Tanzania,Africa,Flowering Plant,1940-1959,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Drosera allantostigma,Australia,Oceania,Flowering Plant,2000-2020,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,Extinct
Dryopteris ascensionis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Ferns and Allies,1960-1979,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Extinct
Dubautia kenwoodii,United States,North America,Flowering Plant,1980-1999,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Extinct
Dypsis brittiana,Madagascar,Africa,Flowering Plant,2000-2020,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Extinct
Egletes humifusa,Ecuador,South America,Flowering Plant,Before 1900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Elaeocarpus occidentalis,Madagascar,Africa,Flowering Plant,1940-1959,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Elaphandra retroflexa,Ecuador,South America,Flowering Plant,1920-1939,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Elaphoglossum gracilipes,Ecuador,South America,Ferns and Allies,Before 1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Elaphoglossum polytrichum,Ecuador,South America,Ferns and Allies,Before 1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Eleocharis lepta,South Africa,Africa,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Emicocarpus fissifolius,Mozambique,Africa,Flowering Plant,1960-1979,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Emilia djalonensis,Guinea,Africa,Flowering Plant,1900-1919,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Encephalartos brevifoliolatus,South Africa,Africa,Cycad,2000-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Extinct in the Wild
Encephalartos cerinus,South Africa,Africa,Cycad,1980-1999,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Extinct
Encephalartos hirsutus,South Africa,Africa,Cycad,2000-2020,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,Extinct
Encephalartos inopinus,South Africa,Africa,Cycad,2000-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Extinct
Encephalartos nubimontanus,South Africa,Africa,Cycad,2000-2020,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Extinct in the Wild
Encephalartos relictus,Swaziland,Africa,Cycad,1960-1979,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Extinct in the Wild
Encephalartos woodii,South Africa,Africa,Cycad,1900-1919,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Extinct in the Wild
Endiandra scrobiculata,Malaysia,Asia,Flowering Plant,1960-1979,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Extinct
Epidendrum lanceolatum,Trinidad and Tobago,South America,Flowering Plant,Before 1900,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Eragrostis fosbergii,United States,North America,Flowering Plant,1980-1999,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,Extinct
Eremospatha barendii,Cameroon,Africa,Flowering Plant,2000-2020,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Eriocaulon caesium,Trinidad and Tobago,South America,Flowering Plant,Before 1900,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Extinct
Eriocaulon hildebrandtii,Madagascar,Africa,Flowering Plant,Before 1900,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Extinct
Eriocaulon parvicapitulatum,Madagascar,Africa,Flowering Plant,1900-1919,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,Extinct
Erythroxylum echinodendron,Cuba,North America,Flowering Plant,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct in the Wild
Etlingera heyneana,Indonesia,Asia,Flowering Plant,1920-1939,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Etlingera newmanii,Malaysia,Asia,Flowering Plant,1980-1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Eugenia albida,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Eugenia guayaquilensis,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Eugenia scheffleri,Tanzania,Africa,Flowering Plant,1900-1919,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Extinct
Eulophia grandidieri,Madagascar,Africa,Flowering Plant,1900-1919,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Extinct
Eulophia stenopetala,Bhutan,Asia,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Euphorbia alcicornis,Madagascar,Africa,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Euphorbia boinensis,Madagascar,Africa,Flowering Plant,1920-1939,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Extinct
Euphorbia capuronii,Madagascar,Africa,Flowering Plant,1940-1959,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Extinct in the Wild
Euphorbia mayurnathanii,India,Asia,Flowering Plant,1920-1939,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct in the Wild
Euphorbia neospinescens,Tanzania,Africa,Flowering Plant,1940-1959,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Euphorbia pirahazo,Madagascar,Africa,Flowering Plant,1920-1939,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Euphorbia ramofraga,Madagascar,Africa,Flowering Plant,1920-1939,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Extinct
Euphrasia mendoncae,Portugal,Europe,Flowering Plant,1920-1939,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Extinct
Fissidens microstictus,Portugal,Europe,Mosses,1980-1999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Fitchia mangarevensis,French Polynesia,Oceania,Flowering Plant,1920-1939,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Flabellidium spinosum,Bolivia,South America,Mosses,1900-1919,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Foetidia rubescens,Madagascar,Africa,Flowering Plant,1960-1979,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Extinct
Franklinia alatamaha,United States,North America,Flowering Plant,Before 1900,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Extinct in the Wild
Furcraea macdougallii,Mexico,North America,Flowering Plant,1960-1979,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct in the Wild
Galaxaura barbata,Ecuador,South America,Algae,1960-1979,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Extinct
Galipea ossana,Cuba,North America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Gaultheria stereophylla,Ecuador,South America,Flowering Plant,1900-1919,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Geostachys taipingensis,Malaysia,Asia,Flowering Plant,1940-1959,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Gomidesia cambessedeana,Brazil,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Gomphandra dinagatensis,Philippines,Asia,Flowering Plant,1900-1919,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Gossypium armourianum,Mexico,North America,Flowering Plant,2000-2020,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Extinct in the Wild
Grewia monantha,Madagascar,Africa,Flowering Plant,1960-1979,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Grewia perrieri,Madagascar,Africa,Flowering Plant,1900-1919,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Grewia tsiandrensis,Madagascar,Africa,Flowering Plant,1920-1939,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Extinct
Guettarda retusa,Cuba,North America,Flowering Plant,Before 1900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Guzmania lepidota,Ecuador,South America,Flowering Plant,Before 1900,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Guzmania poortmanii,Ecuador,South America,Flowering Plant,Before 1900,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Guzmania striata,Ecuador,South America,Flowering Plant,1940-1959,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Gynura campanulata,Kenya,Africa,Flowering Plant,1920-1939,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Gyrostipula obtusa,Madagascar,Africa,Flowering Plant,1960-1979,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Extinct
Habenaria lewallei,Burundi,Africa,Flowering Plant,1960-1979,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Habenaria petromedusa,Cabo Verde,Africa,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Heliotropium pannifolium,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Helmiopsis glaberrima,Madagascar,Africa,Flowering Plant,1940-1959,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Extinct
Hernandia drakeana,French Polynesia,Oceania,Flowering Plant,1900-1919,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Heterosamara bennae,Guinea,Africa,Flowering Plant,1920-1939,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Hibiscadelphus bombycinus,United States,North America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Hibiscadelphus crucibracteatus,United States,North America,Flowering Plant,1980-1999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Hibiscadelphus wilderianus,United States,North America,Flowering Plant,1900-1919,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Hibiscadelphus woodii,United States,North America,Flowering Plant,1980-1999,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,Extinct
Hibiscus grandistipulatus,Madagascar,Africa,Flowering Plant,1940-1959,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Hibiscus storckii,Fiji,Oceania,Flowering Plant,2000-2020,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Extinct in the Wild
Hopea shingkeng,India,Asia,Flowering Plant,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Hunteria hexaloba,Gabon,Africa,Flowering Plant,1900-1919,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Hydrostachys perrieri,Madagascar,Africa,Flowering Plant,1900-1919,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Hymenodictyon seyrigii,Madagascar,Africa,Flowering Plant,1940-1959,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Hypericum gnidiifolium,Ethiopia,Africa,Flowering Plant,Before 1900,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Ilex gardneriana,India,Asia,Flowering Plant,Before 1900,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Ilex ternatiflora,Cuba,North America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Impatiens boinensis,Madagascar,Africa,Flowering Plant,1900-1919,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Impatiens granulifera,Madagascar,Africa,Flowering Plant,1920-1939,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Impatiens saliensis,Tanzania,Africa,Flowering Plant,1920-1939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Indigofera ankaratrensis,Madagascar,Africa,Flowering Plant,1900-1919,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Indigofera pobeguinii,Guinea,Africa,Flowering Plant,1900-1919,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Inversodicraea abbayesii,Guinea,Africa,Flowering Plant,1940-1959,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,Extinct
Inversodicraea pygmaea,Guinea,Africa,Flowering Plant,1940-1959,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,Extinct
Isoetes heldreichii,Greece,Europe,Ferns and Allies,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Isoetes sinensis,China,Asia,Ferns and Allies,2000-2020,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Ixora trimera,Madagascar,Africa,Flowering Plant,1940-1959,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Kadua haupuensis,United States,North America,Flowering Plant,1980-1999,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,Extinct in the Wild
Kanaloa kahoolawensis,United States,North America,Flowering Plant,2000-2020,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,Extinct in the Wild
Kokia cookei,United States,North America,Flowering Plant,1960-1979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct in the Wild
Kokia lanceolata,United States,North America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Kunkeliella psilotoclada,Spain,Europe,Flowering Plant,1980-1999,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Extinct
Kyllinga chrysanthoides,Burundi,Africa,Flowering Plant,1960-1979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Lachanodes arborea,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,2000-2020,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,Extinct in the Wild
Lepidium amissum,New Zealand,Oceania,Flowering Plant,1900-1919,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Lepidium obtusatum,New Zealand,Oceania,Flowering Plant,1940-1959,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Licania caldasiana,Colombia,South America,Flowering Plant,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Lijndenia brenanii,Tanzania,Africa,Flowering Plant,1960-1979,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Extinct
Lijndenia ramiflora,Madagascar,Africa,Flowering Plant,1960-1979,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Linderniella boutiqueana,Burundi,Africa,Flowering Plant,1960-1979,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Linderniella ugandensis,Uganda,Africa,Flowering Plant,1900-1919,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Logania depressa,New Zealand,Oceania,Flowering Plant,Before 1900,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Loudetiopsis baldwinii,Guinea,Africa,Flowering Plant,1940-1959,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,Extinct
Lysimachia minoricensis,Spain,Europe,Flowering Plant,1920-1939,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Extinct in the Wild
Maclurodendron parviflorum,Malaysia,Asia,Flowering Plant,1960-1979,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Madhuca insignis,India,Asia,Flowering Plant,2000-2020,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Madhuca markleeana,Malaysia,Asia,Flowering Plant,1980-1999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Magnolia dixonii,Ecuador,South America,Flowering Plant,1960-1979,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Extinct
Magnolia emarginata,Haiti,North America,Flowering Plant,1980-1999,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,Extinct
Magnolia wolfii,Colombia,South America,Flowering Plant,2000-2020,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Extinct in the Wild
Manettia canescens,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Manettia holwayi,Ecuador,South America,Flowering Plant,1920-1939,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Mangifera casturi,Indonesia,Asia,Flowering Plant,1980-1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct in the Wild
Mangifera rubropetala,Malaysia,Asia,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct in the Wild
Manilkara gonavensis,Haiti,North America,Flowering Plant,1920-1939,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Margaritaria hispidula,Madagascar,Africa,Flowering Plant,1960-1979,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Marsdenia weberlingiana,New Caledonia,Oceania,Flowering Plant,1960-1979,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Matelea ecuadorensis,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Maxillaria broadwayi,Trinidad and Tobago,South America,Flowering Plant,1900-1919,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Maytenus manabiensis,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Melanochyla woodiana,Malaysia,Asia,Flowering Plant,1940-1959,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Melhania polyneura,Tanzania,Africa,Flowering Plant,Before 1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Melicope cruciata,United States,North America,Flowering Plant,2000-2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Melicope fatraina,Madagascar,Africa,Flowering Plant,1900-1919,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Melicope haleakalae,United States,North America,Flowering Plant,1900-1919,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Melicope macropus,United States,North America,Flowering Plant,1980-1999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Melicope nealae,United States,North America,Flowering Plant,1960-1979,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Melicope obovata,United States,North America,Flowering Plant,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Melicope paniculata,United States,North America,Flowering Plant,2000-2020,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Melpomene brevipes,Ecuador,South America,Ferns and Allies,Before 1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Memecylon isaloense,Madagascar,Africa,Flowering Plant,1940-1959,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,Extinct
Mesanthemum cupricola,Congo,Africa,Flowering Plant,1940-1959,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Mezoneuron ouenensis,New Caledonia,Oceania,Flowering Plant,Before 1900,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,Extinct
Miconia abscondita,Haiti,North America,Flowering Plant,1920-1939,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Miconia longisetosa,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Miconia scabra,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Microglossa caudata,Guinea,Africa,Flowering Plant,1900-1919,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Mikania iserniana,Ecuador,South America,Flowering Plant,Before 1900,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Mikania seemannii,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Mimosa kitrokala,Madagascar,Africa,Flowering Plant,1940-1959,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Musa insularimontana,Taiwan,Asia,Flowering Plant,1900-1919,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,Extinct in the Wild
Musa yamiensis,Taiwan,Asia,Flowering Plant,2000-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,Extinct
Musa zaifui,China,Asia,Flowering Plant,2000-2020,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,Extinct in the Wild
Myosotis laingii,New Zealand,Oceania,Flowering Plant,1900-1919,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Myrcia skeldingii,Jamaica,North America,Flowering Plant,1960-1979,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Myriophyllum axilliflorum,Madagascar,Africa,Flowering Plant,1920-1939,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,Extinct
Nanochilus palembanicus,Indonesia,Asia,Flowering Plant,Before 1900,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Nectandra caudatoacuminata,Haiti,North America,Flowering Plant,1920-1939,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Neomacounia nitida,Canada,North America,Mosses,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Nesiota elliptica,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,2000-2020,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Nidorella burundiensis,Burundi,Africa,Flowering Plant,1940-1959,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Nobregaea latinervis,Portugal,Europe,Mosses,1940-1959,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Noronhia populifolia,Madagascar,Africa,Flowering Plant,1900-1919,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Nymphaea thermarum,Rwanda,Africa,Flowering Plant,2000-2020,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Extinct in the Wild
Ochrosia brownii,French Polynesia,Oceania,Flowering Plant,2000-2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
