binomial_name,country,continent,group,year_last_seen,red_list_category,action_type,action_taken
Clitoria andrei,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Cloiselia humbertii,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Land & Water Protection,0
Cloiselia humbertii,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Species Management,0
Cloiselia humbertii,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Law & Policy,0
Cloiselia humbertii,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Research & Monitoring,0
Cloiselia humbertii,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Education & Awareness,0
Cloiselia humbertii,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Unknown,1
Cnidoscolus fragrans,Cuba,North America,Flowering Plant,Before 1900,Extinct,Land & Water Protection,0
Cnidoscolus fragrans,Cuba,North America,Flowering Plant,Before 1900,Extinct,Species Management,0
Cnidoscolus fragrans,Cuba,North America,Flowering Plant,Before 1900,Extinct,Law & Policy,0
Cnidoscolus fragrans,Cuba,North America,Flowering Plant,Before 1900,Extinct,Research & Monitoring,0
Cnidoscolus fragrans,Cuba,North America,Flowering Plant,Before 1900,Extinct,Education & Awareness,0
Cnidoscolus fragrans,Cuba,North America,Flowering Plant,Before 1900,Extinct,Unknown,1
Coffea alleizettii,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Land & Water Protection,0
Coffea alleizettii,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Species Management,1
Coffea alleizettii,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Law & Policy,0
Coffea alleizettii,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Research & Monitoring,0
Coffea alleizettii,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Education & Awareness,0
Coffea alleizettii,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Unknown,0
Coffea decaryana,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Land & Water Protection,1
Coffea decaryana,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Species Management,0
Coffea decaryana,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Law & Policy,0
Coffea decaryana,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Research & Monitoring,0
Coffea decaryana,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Education & Awareness,0
Coffea decaryana,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Unknown,0
Coffea heterocalyx,Cameroon,Africa,Flowering Plant,2000-2020,Extinct in the Wild,Land & Water Protection,0
Coffea heterocalyx,Cameroon,Africa,Flowering Plant,2000-2020,Extinct in the Wild,Species Management,1
Coffea heterocalyx,Cameroon,Africa,Flowering Plant,2000-2020,Extinct in the Wild,Law & Policy,0
Coffea heterocalyx,Cameroon,Africa,Flowering Plant,2000-2020,Extinct in the Wild,Research & Monitoring,0
Coffea heterocalyx,Cameroon,Africa,Flowering Plant,2000-2020,Extinct in the Wild,Education & Awareness,0
Coffea heterocalyx,Cameroon,Africa,Flowering Plant,2000-2020,Extinct in the Wild,Unknown,0
Coffea leonimontana,Cameroon,Africa,Flowering Plant,1960-1979,Extinct,Land & Water Protection,0
Coffea leonimontana,Cameroon,Africa,Flowering Plant,1960-1979,Extinct,Species Management,0
Coffea leonimontana,Cameroon,Africa,Flowering Plant,1960-1979,Extinct,Law & Policy,0
Coffea leonimontana,Cameroon,Africa,Flowering Plant,1960-1979,Extinct,Research & Monitoring,0
Coffea leonimontana,Cameroon,Africa,Flowering Plant,1960-1979,Extinct,Education & Awareness,0
Coffea leonimontana,Cameroon,Africa,Flowering Plant,1960-1979,Extinct,Unknown,1
Cola mosserayana,Congo,Africa,Flowering Plant,1920-1939,Extinct,Land & Water Protection,0
Cola mosserayana,Congo,Africa,Flowering Plant,1920-1939,Extinct,Species Management,0
Cola mosserayana,Congo,Africa,Flowering Plant,1920-1939,Extinct,Law & Policy,0
Cola mosserayana,Congo,Africa,Flowering Plant,1920-1939,Extinct,Research & Monitoring,0
Cola mosserayana,Congo,Africa,Flowering Plant,1920-1939,Extinct,Education & Awareness,0
Cola mosserayana,Congo,Africa,Flowering Plant,1920-1939,Extinct,Unknown,1
Cola vandersmisseniana,Congo,Africa,Flowering Plant,1940-1959,Extinct,Land & Water Protection,0
Cola vandersmisseniana,Congo,Africa,Flowering Plant,1940-1959,Extinct,Species Management,0
Cola vandersmisseniana,Congo,Africa,Flowering Plant,1940-1959,Extinct,Law & Policy,0
Cola vandersmisseniana,Congo,Africa,Flowering Plant,1940-1959,Extinct,Research & Monitoring,0
Cola vandersmisseniana,Congo,Africa,Flowering Plant,1940-1959,Extinct,Education & Awareness,0
Cola vandersmisseniana,Congo,Africa,Flowering Plant,1940-1959,Extinct,Unknown,1
Commidendrum gummiferum,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,NA,Extinct,Land & Water Protection,0
Commidendrum gummiferum,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,NA,Extinct,Species Management,0
Commidendrum gummiferum,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,NA,Extinct,Law & Policy,0
Commidendrum gummiferum,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,NA,Extinct,Research & Monitoring,0
Commidendrum gummiferum,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,NA,Extinct,Education & Awareness,0
Commidendrum gummiferum,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,NA,Extinct,Unknown,1
Corypha taliera,India,Asia,Flowering Plant,2000-2020,Extinct in the Wild,Land & Water Protection,0
Corypha taliera,India,Asia,Flowering Plant,2000-2020,Extinct in the Wild,Species Management,0
Corypha taliera,India,Asia,Flowering Plant,2000-2020,Extinct in the Wild,Law & Policy,0
Corypha taliera,India,Asia,Flowering Plant,2000-2020,Extinct in the Wild,Research & Monitoring,0
Corypha taliera,India,Asia,Flowering Plant,2000-2020,Extinct in the Wild,Education & Awareness,0
Corypha taliera,India,Asia,Flowering Plant,2000-2020,Extinct in the Wild,Unknown,1
Costus vinosus,Panama,North America,Flowering Plant,2000-2020,Extinct in the Wild,Land & Water Protection,0
Costus vinosus,Panama,North America,Flowering Plant,2000-2020,Extinct in the Wild,Species Management,0
Costus vinosus,Panama,North America,Flowering Plant,2000-2020,Extinct in the Wild,Law & Policy,0
Costus vinosus,Panama,North America,Flowering Plant,2000-2020,Extinct in the Wild,Research & Monitoring,0
Costus vinosus,Panama,North America,Flowering Plant,2000-2020,Extinct in the Wild,Education & Awareness,0
Costus vinosus,Panama,North America,Flowering Plant,2000-2020,Extinct in the Wild,Unknown,1
Cotula myriophylloides,South Africa,Africa,Flowering Plant,1960-1979,Extinct,Land & Water Protection,0
Cotula myriophylloides,South Africa,Africa,Flowering Plant,1960-1979,Extinct,Species Management,0
Cotula myriophylloides,South Africa,Africa,Flowering Plant,1960-1979,Extinct,Law & Policy,0
Cotula myriophylloides,South Africa,Africa,Flowering Plant,1960-1979,Extinct,Research & Monitoring,0
Cotula myriophylloides,South Africa,Africa,Flowering Plant,1960-1979,Extinct,Education & Awareness,0
Cotula myriophylloides,South Africa,Africa,Flowering Plant,1960-1979,Extinct,Unknown,1
Crudia zeylanica,Sri Lanka,Asia,Flowering Plant,1980-1999,Extinct,Land & Water Protection,0
Crudia zeylanica,Sri Lanka,Asia,Flowering Plant,1980-1999,Extinct,Species Management,0
Crudia zeylanica,Sri Lanka,Asia,Flowering Plant,1980-1999,Extinct,Law & Policy,0
Crudia zeylanica,Sri Lanka,Asia,Flowering Plant,1980-1999,Extinct,Research & Monitoring,0
Crudia zeylanica,Sri Lanka,Asia,Flowering Plant,1980-1999,Extinct,Education & Awareness,0
Crudia zeylanica,Sri Lanka,Asia,Flowering Plant,1980-1999,Extinct,Unknown,1
Cryosophila williamsii,Honduras,North America,Flowering Plant,1980-1999,Extinct in the Wild,Land & Water Protection,0
Cryosophila williamsii,Honduras,North America,Flowering Plant,1980-1999,Extinct in the Wild,Species Management,0
Cryosophila williamsii,Honduras,North America,Flowering Plant,1980-1999,Extinct in the Wild,Law & Policy,0
Cryosophila williamsii,Honduras,North America,Flowering Plant,1980-1999,Extinct in the Wild,Research & Monitoring,0
Cryosophila williamsii,Honduras,North America,Flowering Plant,1980-1999,Extinct in the Wild,Education & Awareness,0
Cryosophila williamsii,Honduras,North America,Flowering Plant,1980-1999,Extinct in the Wild,Unknown,1
Ctenitis pallatangana,Ecuador,South America,Ferns and Allies,Before 1900,Extinct,Land & Water Protection,0
Ctenitis pallatangana,Ecuador,South America,Ferns and Allies,Before 1900,Extinct,Species Management,0
Ctenitis pallatangana,Ecuador,South America,Ferns and Allies,Before 1900,Extinct,Law & Policy,0
Ctenitis pallatangana,Ecuador,South America,Ferns and Allies,Before 1900,Extinct,Research & Monitoring,0
Ctenitis pallatangana,Ecuador,South America,Ferns and Allies,Before 1900,Extinct,Education & Awareness,0
Ctenitis pallatangana,Ecuador,South America,Ferns and Allies,Before 1900,Extinct,Unknown,1
Cupaniopsis crassivalvis,New Caledonia,Oceania,Flowering Plant,Before 1900,Extinct,Land & Water Protection,0
Cupaniopsis crassivalvis,New Caledonia,Oceania,Flowering Plant,Before 1900,Extinct,Species Management,0
Cupaniopsis crassivalvis,New Caledonia,Oceania,Flowering Plant,Before 1900,Extinct,Law & Policy,0
Cupaniopsis crassivalvis,New Caledonia,Oceania,Flowering Plant,Before 1900,Extinct,Research & Monitoring,0
Cupaniopsis crassivalvis,New Caledonia,Oceania,Flowering Plant,Before 1900,Extinct,Education & Awareness,0
Cupaniopsis crassivalvis,New Caledonia,Oceania,Flowering Plant,Before 1900,Extinct,Unknown,1
Curcuma pygmaea,Viet Nam,Asia,Flowering Plant,2000-2020,Extinct,Land & Water Protection,0
Curcuma pygmaea,Viet Nam,Asia,Flowering Plant,2000-2020,Extinct,Species Management,0
Curcuma pygmaea,Viet Nam,Asia,Flowering Plant,2000-2020,Extinct,Law & Policy,0
Curcuma pygmaea,Viet Nam,Asia,Flowering Plant,2000-2020,Extinct,Research & Monitoring,0
Curcuma pygmaea,Viet Nam,Asia,Flowering Plant,2000-2020,Extinct,Education & Awareness,0
Curcuma pygmaea,Viet Nam,Asia,Flowering Plant,2000-2020,Extinct,Unknown,1
Cyanea arborea,United States,North America,Flowering Plant,1920-1939,Extinct,Land & Water Protection,0
Cyanea arborea,United States,North America,Flowering Plant,1920-1939,Extinct,Species Management,0
Cyanea arborea,United States,North America,Flowering Plant,1920-1939,Extinct,Law & Policy,0
Cyanea arborea,United States,North America,Flowering Plant,1920-1939,Extinct,Research & Monitoring,0
Cyanea arborea,United States,North America,Flowering Plant,1920-1939,Extinct,Education & Awareness,0
Cyanea arborea,United States,North America,Flowering Plant,1920-1939,Extinct,Unknown,1
Cyanea comata,United States,North America,Flowering Plant,Before 1900,Extinct,Land & Water Protection,0
Cyanea comata,United States,North America,Flowering Plant,Before 1900,Extinct,Species Management,0
Cyanea comata,United States,North America,Flowering Plant,Before 1900,Extinct,Law & Policy,0
Cyanea comata,United States,North America,Flowering Plant,Before 1900,Extinct,Research & Monitoring,0
Cyanea comata,United States,North America,Flowering Plant,Before 1900,Extinct,Education & Awareness,0
Cyanea comata,United States,North America,Flowering Plant,Before 1900,Extinct,Unknown,1
Cyanea cylindrocalyx,United States,North America,Flowering Plant,1900-1919,Extinct,Land & Water Protection,0
Cyanea cylindrocalyx,United States,North America,Flowering Plant,1900-1919,Extinct,Species Management,0
Cyanea cylindrocalyx,United States,North America,Flowering Plant,1900-1919,Extinct,Law & Policy,0
Cyanea cylindrocalyx,United States,North America,Flowering Plant,1900-1919,Extinct,Research & Monitoring,0
Cyanea cylindrocalyx,United States,North America,Flowering Plant,1900-1919,Extinct,Education & Awareness,0
Cyanea cylindrocalyx,United States,North America,Flowering Plant,1900-1919,Extinct,Unknown,1
Cyanea dolichopoda,United States,North America,Flowering Plant,1980-1999,Extinct,Land & Water Protection,0
Cyanea dolichopoda,United States,North America,Flowering Plant,1980-1999,Extinct,Species Management,0
Cyanea dolichopoda,United States,North America,Flowering Plant,1980-1999,Extinct,Law & Policy,0
Cyanea dolichopoda,United States,North America,Flowering Plant,1980-1999,Extinct,Research & Monitoring,1
Cyanea dolichopoda,United States,North America,Flowering Plant,1980-1999,Extinct,Education & Awareness,0
Cyanea dolichopoda,United States,North America,Flowering Plant,1980-1999,Extinct,Unknown,0
Cyanea eleeleensis,United States,North America,Flowering Plant,1960-1979,Extinct,Land & Water Protection,0
Cyanea eleeleensis,United States,North America,Flowering Plant,1960-1979,Extinct,Species Management,0
Cyanea eleeleensis,United States,North America,Flowering Plant,1960-1979,Extinct,Law & Policy,0
Cyanea eleeleensis,United States,North America,Flowering Plant,1960-1979,Extinct,Research & Monitoring,0
Cyanea eleeleensis,United States,North America,Flowering Plant,1960-1979,Extinct,Education & Awareness,0
Cyanea eleeleensis,United States,North America,Flowering Plant,1960-1979,Extinct,Unknown,1
Cyanea giffardii,United States,North America,Flowering Plant,1900-1919,Extinct,Land & Water Protection,0
Cyanea giffardii,United States,North America,Flowering Plant,1900-1919,Extinct,Species Management,0
Cyanea giffardii,United States,North America,Flowering Plant,1900-1919,Extinct,Law & Policy,0
Cyanea giffardii,United States,North America,Flowering Plant,1900-1919,Extinct,Research & Monitoring,0
Cyanea giffardii,United States,North America,Flowering Plant,1900-1919,Extinct,Education & Awareness,0
Cyanea giffardii,United States,North America,Flowering Plant,1900-1919,Extinct,Unknown,1
Cyanea kolekoleensis,United States,North America,Flowering Plant,1980-1999,Extinct,Land & Water Protection,0
Cyanea kolekoleensis,United States,North America,Flowering Plant,1980-1999,Extinct,Species Management,0
Cyanea kolekoleensis,United States,North America,Flowering Plant,1980-1999,Extinct,Law & Policy,0
Cyanea kolekoleensis,United States,North America,Flowering Plant,1980-1999,Extinct,Research & Monitoring,1
Cyanea kolekoleensis,United States,North America,Flowering Plant,1980-1999,Extinct,Education & Awareness,0
Cyanea kolekoleensis,United States,North America,Flowering Plant,1980-1999,Extinct,Unknown,0
Cyanea kuhihewa,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Land & Water Protection,0
Cyanea kuhihewa,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Species Management,1
Cyanea kuhihewa,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Law & Policy,0
Cyanea kuhihewa,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Research & Monitoring,0
Cyanea kuhihewa,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Education & Awareness,0
Cyanea kuhihewa,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Unknown,0
Cyanea linearifolia,United States,North America,Flowering Plant,1940-1959,Extinct,Land & Water Protection,0
Cyanea linearifolia,United States,North America,Flowering Plant,1940-1959,Extinct,Species Management,0
Cyanea linearifolia,United States,North America,Flowering Plant,1940-1959,Extinct,Law & Policy,0
Cyanea linearifolia,United States,North America,Flowering Plant,1940-1959,Extinct,Research & Monitoring,0
Cyanea linearifolia,United States,North America,Flowering Plant,1940-1959,Extinct,Education & Awareness,0
Cyanea linearifolia,United States,North America,Flowering Plant,1940-1959,Extinct,Unknown,1
Cyanea mauiensis,United States,North America,Flowering Plant,Before 1900,Extinct,Land & Water Protection,0
Cyanea mauiensis,United States,North America,Flowering Plant,Before 1900,Extinct,Species Management,0
Cyanea mauiensis,United States,North America,Flowering Plant,Before 1900,Extinct,Law & Policy,0
Cyanea mauiensis,United States,North America,Flowering Plant,Before 1900,Extinct,Research & Monitoring,0
Cyanea mauiensis,United States,North America,Flowering Plant,Before 1900,Extinct,Education & Awareness,0
Cyanea mauiensis,United States,North America,Flowering Plant,Before 1900,Extinct,Unknown,1
Cyanea minutiflora,United States,North America,Flowering Plant,1900-1919,Extinct,Land & Water Protection,0
Cyanea minutiflora,United States,North America,Flowering Plant,1900-1919,Extinct,Species Management,0
Cyanea minutiflora,United States,North America,Flowering Plant,1900-1919,Extinct,Law & Policy,0
Cyanea minutiflora,United States,North America,Flowering Plant,1900-1919,Extinct,Research & Monitoring,0
Cyanea minutiflora,United States,North America,Flowering Plant,1900-1919,Extinct,Education & Awareness,0
Cyanea minutiflora,United States,North America,Flowering Plant,1900-1919,Extinct,Unknown,1
Cyanea parvifolia,United States,North America,Flowering Plant,NA,Extinct,Land & Water Protection,0
Cyanea parvifolia,United States,North America,Flowering Plant,NA,Extinct,Species Management,0
Cyanea parvifolia,United States,North America,Flowering Plant,NA,Extinct,Law & Policy,0
Cyanea parvifolia,United States,North America,Flowering Plant,NA,Extinct,Research & Monitoring,0
Cyanea parvifolia,United States,North America,Flowering Plant,NA,Extinct,Education & Awareness,0
Cyanea parvifolia,United States,North America,Flowering Plant,NA,Extinct,Unknown,1
Cyanea pinnatifida,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Land & Water Protection,0
Cyanea pinnatifida,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Species Management,1
Cyanea pinnatifida,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Law & Policy,0
Cyanea pinnatifida,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Research & Monitoring,0
Cyanea pinnatifida,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Education & Awareness,0
Cyanea pinnatifida,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Unknown,0
Cyanea pohaku,United States,North America,Flowering Plant,1900-1919,Extinct,Land & Water Protection,0
Cyanea pohaku,United States,North America,Flowering Plant,1900-1919,Extinct,Species Management,0
Cyanea pohaku,United States,North America,Flowering Plant,1900-1919,Extinct,Law & Policy,0
Cyanea pohaku,United States,North America,Flowering Plant,1900-1919,Extinct,Research & Monitoring,0
Cyanea pohaku,United States,North America,Flowering Plant,1900-1919,Extinct,Education & Awareness,0
Cyanea pohaku,United States,North America,Flowering Plant,1900-1919,Extinct,Unknown,1
Cyanea pycnocarpa,United States,North America,Flowering Plant,NA,Extinct,Land & Water Protection,0
Cyanea pycnocarpa,United States,North America,Flowering Plant,NA,Extinct,Species Management,0
Cyanea pycnocarpa,United States,North America,Flowering Plant,NA,Extinct,Law & Policy,0
Cyanea pycnocarpa,United States,North America,Flowering Plant,NA,Extinct,Research & Monitoring,0
Cyanea pycnocarpa,United States,North America,Flowering Plant,NA,Extinct,Education & Awareness,0
Cyanea pycnocarpa,United States,North America,Flowering Plant,NA,Extinct,Unknown,1
Cyanea quercifolia,United States,North America,Flowering Plant,NA,Extinct,Land & Water Protection,0
Cyanea quercifolia,United States,North America,Flowering Plant,NA,Extinct,Species Management,0
Cyanea quercifolia,United States,North America,Flowering Plant,NA,Extinct,Law & Policy,0
Cyanea quercifolia,United States,North America,Flowering Plant,NA,Extinct,Research & Monitoring,0
Cyanea quercifolia,United States,North America,Flowering Plant,NA,Extinct,Education & Awareness,0
Cyanea quercifolia,United States,North America,Flowering Plant,NA,Extinct,Unknown,1
Cyanea sessilifolia,United States,North America,Flowering Plant,1940-1959,Extinct,Land & Water Protection,0
Cyanea sessilifolia,United States,North America,Flowering Plant,1940-1959,Extinct,Species Management,0
Cyanea sessilifolia,United States,North America,Flowering Plant,1940-1959,Extinct,Law & Policy,0
Cyanea sessilifolia,United States,North America,Flowering Plant,1940-1959,Extinct,Research & Monitoring,0
Cyanea sessilifolia,United States,North America,Flowering Plant,1940-1959,Extinct,Education & Awareness,0
Cyanea sessilifolia,United States,North America,Flowering Plant,1940-1959,Extinct,Unknown,1
Cyanea superba,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Land & Water Protection,0
Cyanea superba,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Species Management,1
Cyanea superba,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Law & Policy,0
Cyanea superba,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Research & Monitoring,0
Cyanea superba,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Education & Awareness,0
Cyanea superba,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Unknown,0
Cycas fugax,Viet Nam,Asia,Cycad,2000-2020,Extinct,Land & Water Protection,0
Cycas fugax,Viet Nam,Asia,Cycad,2000-2020,Extinct,Species Management,1
Cycas fugax,Viet Nam,Asia,Cycad,2000-2020,Extinct,Law & Policy,1
Cycas fugax,Viet Nam,Asia,Cycad,2000-2020,Extinct,Research & Monitoring,0
Cycas fugax,Viet Nam,Asia,Cycad,2000-2020,Extinct,Education & Awareness,0
Cycas fugax,Viet Nam,Asia,Cycad,2000-2020,Extinct,Unknown,0
Cyclophyllum tiebaghiense,New Caledonia,Oceania,Flowering Plant,2000-2020,Extinct,Land & Water Protection,0
Cyclophyllum tiebaghiense,New Caledonia,Oceania,Flowering Plant,2000-2020,Extinct,Species Management,0
Cyclophyllum tiebaghiense,New Caledonia,Oceania,Flowering Plant,2000-2020,Extinct,Law & Policy,0
Cyclophyllum tiebaghiense,New Caledonia,Oceania,Flowering Plant,2000-2020,Extinct,Research & Monitoring,0
Cyclophyllum tiebaghiense,New Caledonia,Oceania,Flowering Plant,2000-2020,Extinct,Education & Awareness,0
Cyclophyllum tiebaghiense,New Caledonia,Oceania,Flowering Plant,2000-2020,Extinct,Unknown,1
Cyclosorus burundensis,Burundi,Africa,Ferns and Allies,1960-1979,Extinct,Land & Water Protection,0
Cyclosorus burundensis,Burundi,Africa,Ferns and Allies,1960-1979,Extinct,Species Management,0
Cyclosorus burundensis,Burundi,Africa,Ferns and Allies,1960-1979,Extinct,Law & Policy,0
Cyclosorus burundensis,Burundi,Africa,Ferns and Allies,1960-1979,Extinct,Research & Monitoring,0
Cyclosorus burundensis,Burundi,Africa,Ferns and Allies,1960-1979,Extinct,Education & Awareness,0
Cyclosorus burundensis,Burundi,Africa,Ferns and Allies,1960-1979,Extinct,Unknown,1
Cynoglossum lowryanum,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Land & Water Protection,1
Cynoglossum lowryanum,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Species Management,0
Cynoglossum lowryanum,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Law & Policy,0
Cynoglossum lowryanum,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Research & Monitoring,0
Cynoglossum lowryanum,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Education & Awareness,0
Cynoglossum lowryanum,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Unknown,0
Cynoglossum tsaratananense,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Land & Water Protection,1
Cynoglossum tsaratananense,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Species Management,0
Cynoglossum tsaratananense,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Law & Policy,0
Cynoglossum tsaratananense,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Research & Monitoring,0
Cynoglossum tsaratananense,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Education & Awareness,0
Cynoglossum tsaratananense,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Unknown,0
Cynometra beddomei,India,Asia,Flowering Plant,Before 1900,Extinct,Land & Water Protection,0
Cynometra beddomei,India,Asia,Flowering Plant,Before 1900,Extinct,Species Management,0
Cynometra beddomei,India,Asia,Flowering Plant,Before 1900,Extinct,Law & Policy,0
Cynometra beddomei,India,Asia,Flowering Plant,Before 1900,Extinct,Research & Monitoring,0
Cynometra beddomei,India,Asia,Flowering Plant,Before 1900,Extinct,Education & Awareness,0
Cynometra beddomei,India,Asia,Flowering Plant,Before 1900,Extinct,Unknown,1
Cynorkis bimaculata,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Land & Water Protection,0
Cynorkis bimaculata,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Species Management,1
Cynorkis bimaculata,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Law & Policy,1
Cynorkis bimaculata,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Research & Monitoring,0
Cynorkis bimaculata,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Education & Awareness,0
Cynorkis bimaculata,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Unknown,0
Cynorkis catatii,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Land & Water Protection,0
Cynorkis catatii,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Species Management,0
Cynorkis catatii,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Law & Policy,0
Cynorkis catatii,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Research & Monitoring,0
Cynorkis catatii,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Education & Awareness,0
Cynorkis catatii,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Unknown,1
Cynorkis marojejyensis,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Land & Water Protection,1
Cynorkis marojejyensis,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Species Management,0
Cynorkis marojejyensis,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Law & Policy,0
Cynorkis marojejyensis,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Research & Monitoring,0
Cynorkis marojejyensis,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Education & Awareness,0
Cynorkis marojejyensis,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Unknown,0
Cynorkis rolfei,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Land & Water Protection,0
Cynorkis rolfei,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Species Management,1
Cynorkis rolfei,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Law & Policy,1
Cynorkis rolfei,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Research & Monitoring,0
Cynorkis rolfei,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Education & Awareness,0
Cynorkis rolfei,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Unknown,0
Cynorkis sylvatica,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Land & Water Protection,0
Cynorkis sylvatica,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Species Management,1
Cynorkis sylvatica,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Law & Policy,1
Cynorkis sylvatica,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Research & Monitoring,0
Cynorkis sylvatica,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Education & Awareness,0
Cynorkis sylvatica,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Unknown,0
Cynorkis usambarae,Tanzania,Africa,Flowering Plant,Before 1900,Extinct,Land & Water Protection,0
Cynorkis usambarae,Tanzania,Africa,Flowering Plant,Before 1900,Extinct,Species Management,0
Cynorkis usambarae,Tanzania,Africa,Flowering Plant,Before 1900,Extinct,Law & Policy,0
Cynorkis usambarae,Tanzania,Africa,Flowering Plant,Before 1900,Extinct,Research & Monitoring,0
Cynorkis usambarae,Tanzania,Africa,Flowering Plant,Before 1900,Extinct,Education & Awareness,0
Cynorkis usambarae,Tanzania,Africa,Flowering Plant,Before 1900,Extinct,Unknown,1
Cyperus chionocephalus,Ethiopia,Africa,Flowering Plant,1920-1939,Extinct,Land & Water Protection,0
Cyperus chionocephalus,Ethiopia,Africa,Flowering Plant,1920-1939,Extinct,Species Management,0
Cyperus chionocephalus,Ethiopia,Africa,Flowering Plant,1920-1939,Extinct,Law & Policy,0
Cyperus chionocephalus,Ethiopia,Africa,Flowering Plant,1920-1939,Extinct,Research & Monitoring,0
Cyperus chionocephalus,Ethiopia,Africa,Flowering Plant,1920-1939,Extinct,Education & Awareness,0
