ori,county,latitude,longitude,state_abbr,state,agency_name,agency_type,is_nibrs,nibrs_start_date
KS1030200,WILSON,37.558515,-95.745175,KS,Kansas,Neodesha Police Department,City,TRUE,2000-01-01
KS1030100,WILSON,37.558515,-95.745175,KS,Kansas,Fredonia Police Department,City,TRUE,2000-09-01
KS1030000,WILSON,37.558515,-95.745175,KS,Kansas,Wilson County Sheriff's Office,County,TRUE,2000-01-01
KS0060000,BOURBON,37.8561,-94.850928,KS,Kansas,Bourbon County Sheriff's Office,County,TRUE,2000-01-01
KS0060100,BOURBON,37.823025,-94.7073,KS,Kansas,Fort Scott Police Department,City,TRUE,2000-01-01
KS0200100,DECATUR,39.783542,-100.459708,KS,Kansas,Oberlin Police Department,City,TRUE,2000-01-01
KS0200000,DECATUR,39.783542,-100.459708,KS,Kansas,Decatur County Sheriff's Office,County,TRUE,2000-01-01
KS0230100,DOUGLAS,38.963764,-95.23475,KS,Kansas,Lawrence Police Department,City,TRUE,2000-01-01
KS0230200,DOUGLAS,38.896573,-95.290529,KS,Kansas,University of Kansas: Main Campus,University or College,TRUE,2000-01-01
KS0230300,DOUGLAS,38.896573,-95.290529,KS,Kansas,Baldwin City Police Department,City,TRUE,2000-01-01
KS0230400,DOUGLAS,38.896573,-95.290529,KS,Kansas,Eudora Police Department,City,TRUE,2000-01-01
KS0230000,DOUGLAS,38.963764,-95.23475,KS,Kansas,Douglas County Sheriff's Office,County,TRUE,2000-01-01
KS0240000,EDWARDS,37.883595,-99.304746,KS,Kansas,Edwards County Sheriff's Office,County,TRUE,2000-01-01
KS0360000,GREELEY,38.480404,-101.80597,KS,Kansas,Greeley County Sheriff's Office,County,TRUE,2000-01-01
KS0410000,HASKELL,37.55855,-100.876869,KS,Kansas,Haskell County Sheriff's Office,County,TRUE,2000-01-01
KS0430200,JACKSON,39.411145,-95.794485,KS,Kansas,Hoyt  Police Department,City,TRUE,2000-02-01
KS0430400,JACKSON,39.411145,-95.794485,KS,Kansas,Mayetta Police Department,City,TRUE,2000-03-01
KS0430100,JACKSON,39.463394,-95.7377,KS,Kansas,Holton Police Department,City,TRUE,2000-01-01
KS0430000,JACKSON,39.459015,-95.747894,KS,Kansas,Jackson County Sheriff's Office,County,TRUE,2000-01-01
KS0461000,JOHNSON,38.971035,-94.73084,KS,Kansas,Lenexa Police Department,City,TRUE,2006-01-01
KS0460000,JOHNSON,38.882427,-94.819466,KS,Kansas,Johnson County Sheriff's Office,County,TRUE,2000-01-01
KS0460100,JOHNSON,39.033836,-94.616585,KS,Kansas,Fairway Police Department,City,TRUE,2000-01-01
KS0460200,JOHNSON,38.954098,-94.615425,KS,Kansas,Leawood Police Department,City,TRUE,2000-01-01
KS0460300,JOHNSON,39.017418,-94.69028,KS,Kansas,Merriam Police Department,City,TRUE,2000-01-01
KS0460400,JOHNSON,39.01873,-94.65373,KS,Kansas,Mission Police Department,City,TRUE,2019-04-01
KS0460500,JOHNSON,38.86768,-94.82552,KS,Kansas,Olathe Police Department,City,TRUE,2019-04-01
KS0460600,JOHNSON,38.903667,-94.6714,KS,Kansas,Overland Park Police Department,City,TRUE,2019-07-01
KS0460700,JOHNSON,38.989285,-94.6304,KS,Kansas,Prairie Village Police Department,City,TRUE,2000-01-01
KS0460800,JOHNSON,39.036415,-94.63873,KS,Kansas,Roeland Park Police Department,City,TRUE,2000-01-01
KS0460900,JOHNSON,39.02212,-94.77992,KS,Kansas,Shawnee Police Department,City,TRUE,2000-01-01
KS0461100,JOHNSON,39.044037,-94.61192,KS,Kansas,Westwood Police Department,City,TRUE,2000-01-01
KS0461200,JOHNSON,38.883907,-94.82233,KS,Kansas,Gardner Police Department,City,TRUE,2000-01-01
KS0461300,JOHNSON,38.883907,-94.82233,KS,Kansas,Mission Hills Police Department,City,TRUE,2000-01-01
KS0462000,JOHNSON,38.98593,-94.77974,KS,Kansas,Johnson County Park,Other,TRUE,2000-01-01
KS0462200,JOHNSON,39.044037,-94.61192,KS,Kansas,Mission Woods Police Department,City,TRUE,2000-01-01
KS0462300,JOHNSON,39.044037,-94.61192,KS,Kansas,Westwood Hills Police Department,City,TRUE,2000-01-01
KS0462500,JOHNSON,38.997684,-94.686424,KS,Kansas,Shawnee Mission Public Schools,Other,TRUE,2004-09-01
KS0462600,JOHNSON,38.883907,-94.82233,KS,Kansas,Blue Valley School District,Other,TRUE,2004-01-01
KS0480000,KINGMAN,37.64222,-98.11175,KS,Kansas,Kingman County Sheriff's Office,County,TRUE,2000-01-01
KS0480100,KINGMAN,37.64223,-98.11175,KS,Kansas,Kingman Police Department,City,TRUE,2000-01-01
KS0500200,LABETTE,37.191468,-95.297473,KS,Kansas,Oswego Police Department,City,TRUE,2000-01-01
KS0500300,LABETTE,37.191468,-95.297473,KS,Kansas,Chetopa Police Department,City,TRUE,2000-01-01
KS0500400,LABETTE,37.191468,-95.297473,KS,Kansas,Altamont Police Department,City,TRUE,2000-01-01
KS0500000,LABETTE,37.165993,-95.107666,KS,Kansas,Labette County Sheriff's Office,County,TRUE,2000-01-01
KS0500100,LABETTE,37.34162,-95.26402,KS,Kansas,Parsons Police Department,City,TRUE,2000-01-01
KS0530000,LINCOLN,39.040707,-98.14436,KS,Kansas,Lincoln County Sheriff's Office,County,TRUE,2000-01-01
KS0710000,OSBORNE,39.348649,-98.767876,KS,Kansas,Osborne County Sheriff's Office,County,TRUE,2000-12-01
KS0710100,OSBORNE,39.348649,-98.767876,KS,Kansas,Osborne Police Department,City,TRUE,2012-09-01
KS0770100,RAWLINS,39.80761,-101.04342,KS,Kansas,Atwood Police Department,City,TRUE,2001-01-01
KS0770000,RAWLINS,39.80763,-101.03953,KS,Kansas,Rawlins County Sheriff's Office,County,TRUE,2000-01-01
KS0840100,RUSSELL,39.06713,-101.24713,KS,Kansas,Russell Police Department,City,TRUE,2000-01-01
KS0840000,RUSSELL,38.916839,-98.765638,KS,Kansas,Russell County Sheriff's Office,County,TRUE,2000-01-01
KS0892000,SHAWNEE,38.95646,-95.75981,KS,Kansas,Unified School District: Auburn-Washburn,Other,TRUE,2004-11-01
KS0891300,SHAWNEE,39.0513,-95.678185,KS,Kansas,Kansas Racing Commission Security Division,Other State Agency,TRUE,2005-12-01
KS0891800,SHAWNEE,39.035294,-95.70039,KS,Kansas,Washburn University,University or College,TRUE,2004-12-01
KS0891900,SHAWNEE,38.987278,-95.55669,KS,Kansas,Unified School District: Shawnee Heights,Other,TRUE,2011-05-01
KS0890700,SHAWNEE,39.041805,-95.755664,KS,Kansas,Auburn Police Department,City,TRUE,2004-01-01
KS0890900,SHAWNEE,39.053974,-95.66599,KS,Kansas,Topeka Fire Department Arson Investigation,Other,TRUE,2000-01-01
KS0891000,SHAWNEE,39.047302,-95.67497,KS,Kansas,Securities Office Investigation Section,Other State Agency,TRUE,2000-01-01
KS0891200,SHAWNEE,39.05923,-95.67003,KS,Kansas,Kansas Lottery Security Division,Other State Agency,TRUE,2001-11-01
KSKBI0000,SHAWNEE,39.03801,-95.684494,KS,Kansas,Kansas Bureau of Investigation,Other State Agency,TRUE,2000-01-01
KS0891700,SHAWNEE,39.13396,-95.67311,KS,Kansas,Unified School District: Seaman,Other,TRUE,2008-02-01
KS089280X,SHAWNEE,NA,NA,KS,Kansas,"Kansas State Gaming Agency,",NA,FALSE,NA
KS0890000,SHAWNEE,39.055595,-95.6716,KS,Kansas,Shawnee County Sheriff's Office,County,TRUE,2000-01-01
KS0890100,SHAWNEE,39.055595,-95.6716,KS,Kansas,Topeka Police Department,City,TRUE,2019-01-01
KS0890200,SHAWNEE,39.041805,-95.755664,KS,Kansas,Rossville Police Department,City,TRUE,2001-01-01
KS0890300,SHAWNEE,39.041805,-95.755664,KS,Kansas,Silver Lake Police Department,City,TRUE,2003-10-01
KS0890400,SHAWNEE,39.050564,-95.67537,KS,Kansas,State Fire Marshal,Other State Agency,TRUE,2008-06-01
KS0890500,SHAWNEE,39.041805,-95.755664,KS,Kansas,Kansas Alcoholic Beverage Control,Other State Agency,TRUE,2000-01-01
KS0890600,SHAWNEE,39.041805,-95.755664,KS,Kansas,Metropolitan Topeka Airport Authority,Other,TRUE,2000-01-01
KS0910100,SHERMAN,39.347984,-101.71327,KS,Kansas,Goodland Police Department,City,TRUE,2000-01-01
KS0910000,SHERMAN,39.351032,-101.710335,KS,Kansas,Sherman County Sheriff's Office,County,TRUE,2000-01-01
KS0940000,STANTON,37.565932,-101.789383,KS,Kansas,Stanton County Sheriff's Office,County,TRUE,2000-01-01
KS0950000,STEVENS,37.202356,-101.315796,KS,Kansas,Stevens County Sheriff's Office,County,TRUE,2000-01-01
KS0950100,STEVENS,37.202356,-101.315796,KS,Kansas,Hugoton Police Department,City,TRUE,2000-01-01
KS1000000,WALLACE,38.926626,-101.771103,KS,Kansas,Wallace County Sheriff's Office,County,TRUE,2000-01-01
KS1020000,WICHITA,38.481922,-101.347434,KS,Kansas,Wichita County Sheriff's Office,County,TRUE,2000-01-01
KS1040100,WOODSON,37.881382,-95.73223,KS,Kansas,Yates Center Police Department,City,TRUE,2000-01-01
KS1040000,WOODSON,37.881382,-95.73259,KS,Kansas,Woodson County Sheriff's Office,County,TRUE,2000-01-01
KS0020200,ANDERSON,38.215114,-95.292046,KS,Kansas,Colony Police Department,City,TRUE,2005-01-01
KS0020100,ANDERSON,38.215114,-95.292046,KS,Kansas,Garnett Police Department,City,TRUE,2000-01-01
KS0020000,ANDERSON,38.27986,-95.241455,KS,Kansas,Anderson County Sheriff's Office,County,TRUE,2000-01-01
KS0030000,ATCHISON,39.56617,-95.11933,KS,Kansas,Atchison County Sheriff's Office,County,TRUE,2000-01-01
KS0030100,ATCHISON,39.563007,-95.1193,KS,Kansas,Atchison Police Department,City,TRUE,2000-01-01
KS0110100,CHEROKEE,37.17085,-94.84,KS,Kansas,Columbus Police Department,City,TRUE,2000-01-01
KS0110200,CHEROKEE,37.169392,-94.845698,KS,Kansas,Galena Police Department,City,TRUE,2000-01-01
KS0110300,CHEROKEE,37.169392,-94.845698,KS,Kansas,Baxter Springs Police Department,City,TRUE,2000-01-01
KS0110000,CHEROKEE,37.17085,-94.842705,KS,Kansas,Cherokee County Sheriff's Office,County,TRUE,2000-01-01
KS0120000,CHEYENNE,39.789256,-101.727302,KS,Kansas,Cheyenne County Sheriff's Office,County,TRUE,2000-01-01
KS0170100,COMANCHE,37.189071,-99.254089,KS,Kansas,Coldwater Police Department,City,TRUE,2005-01-01
KS0170000,COMANCHE,37.189071,-99.254089,KS,Kansas,Comanche  County Sheriff's Office,County,TRUE,2004-03-01
KS0170200,COMANCHE,37.189071,-99.254089,KS,Kansas,Protection Police Department,City,TRUE,2001-06-01
KS0190000,CRAWFORD,37.512306,-94.864105,KS,Kansas,Crawford County Sheriff's Office,County,TRUE,2000-01-01
KS0190200,CRAWFORD,37.505628,-94.853941,KS,Kansas,Arma Police Department,City,TRUE,2000-07-01
KS0190300,CRAWFORD,37.511604,-94.8417,KS,Kansas,Girard Police Department,City,TRUE,2000-01-01
KS0190400,CRAWFORD,37.505628,-94.853941,KS,Kansas,Frontenac Police Department,City,TRUE,2000-01-01
KS0190500,CRAWFORD,37.34441,-94.8208,KS,Kansas,Cherokee Police Department,City,TRUE,2000-01-01
KS0190700,CRAWFORD,37.505628,-94.853941,KS,Kansas,Pittsburg State University,University or College,TRUE,2000-01-01
KS0190800,CRAWFORD,37.505628,-94.853941,KS,Kansas,Arcadia Police Department,City,TRUE,2000-04-01
KS0190900,CRAWFORD,37.505628,-94.853941,KS,Kansas,Mulberry Police Department,City,TRUE,2000-03-01
KS0191200,CRAWFORD,NA,NA,KS,Kansas,Kansas Racing and Gaming Commission:,NA,TRUE,2017-04-01
KS0190100,CRAWFORD,37.505628,-94.853941,KS,Kansas,Pittsburg Police Department,City,TRUE,2000-01-01
KS0220200,DONIPHAN,39.788502,-95.147225,KS,Kansas,Troy Police Department,City,TRUE,2000-01-01
KS0220000,DONIPHAN,39.788502,-95.147225,KS,Kansas,Doniphan County Sheriff's Office,County,TRUE,2000-01-01
KS0220100,DONIPHAN,39.788502,-95.147225,KS,Kansas,Elwood Police Department,City,TRUE,2000-01-01
KS0220300,DONIPHAN,39.759754,-94.94611,KS,Kansas,Wathena Police Department,City,TRUE,2000-01-01
KS0220400,DONIPHAN,39.788502,-95.147225,KS,Kansas,Highland Police Department,City,TRUE,2000-01-01
KS0300100,FRANKLIN,38.615814,-95.27746,KS,Kansas,Ottawa Police Department,City,TRUE,2000-01-01
KS0300700,FRANKLIN,38.612923,-95.268555,KS,Kansas,Franklin County Drug Enforcement,Other,TRUE,2000-01-01
KS0300200,FRANKLIN,38.558019,-95.278962,KS,Kansas,Wellsville Police Department,City,TRUE,2000-03-01
KS0300000,FRANKLIN,38.612923,-95.268555,KS,Kansas,Franklin County Sheriff's Office,County,TRUE,2000-01-01
KS0380000,HAMILTON,37.995244,-101.793689,KS,Kansas,Hamilton County Sheriff's Office,County,TRUE,2000-01-01
KS0420000,HODGEMAN,38.087493,-99.898407,KS,Kansas,Hodgeman County Sheriff's Office,County,TRUE,2000-01-01
KS0590300,MARSHALL,39.701744,-96.418724,KS,Kansas,Frankfort Police Department,City,TRUE,2000-01-01
KS0590200,MARSHALL,39.782709,-96.521243,KS,Kansas,Blue Rapids Police Department,City,TRUE,2000-02-01
KS0590100,MARSHALL,39.840675,-96.6456,KS,Kansas,Marysville Police Department,City,TRUE,2000-01-01
KS0590000,MARSHALL,39.84118,-96.641945,KS,Kansas,Marshall County Sheriff's Office,County,TRUE,2000-01-01
KS0590400,MARSHALL,39.782709,-96.521243,KS,Kansas,Waterville Police Department,City,TRUE,2000-01-01
KS0620000,MITCHELL,39.393026,-98.207362,KS,Kansas,Mitchell County Sheriff's Office,County,TRUE,2000-01-01
KS0620100,MITCHELL,39.45889,-98.10771,KS,Kansas,Beloit Police Department,City,TRUE,2000-01-01
KS0740000,PHILLIPS,39.75592,-99.32452,KS,Kansas,Phillips County Sheriff's Office,County,TRUE,2002-02-01
KS0790000,REPUBLIC,39.82891,-97.650921,KS,Kansas,Republic County Sheriff's Office,County,TRUE,2000-01-01
KS0790100,REPUBLIC,39.82891,-97.650921,KS,Kansas,Belleville Police Department,City,TRUE,2000-01-01
KS0871500,SEDGWICK,37.681045,-97.461054,KS,Kansas,Maize Police Department,City,TRUE,2000-01-01
KS0870000,SEDGWICK,37.69478,-97.33957,KS,Kansas,Sedgwick County Sheriff's Office,County,TRUE,2001-12-01
KS0870100,SEDGWICK,37.545734,-97.27021,KS,Kansas,Derby Police Department,City,TRUE,2000-01-01
KS0870200,SEDGWICK,37.56436,-97.353874,KS,Kansas,Haysville Police Department,City,TRUE,2000-01-01
KS0870300,SEDGWICK,37.692635,-97.33823,KS,Kansas,Wichita Police Department,City,TRUE,2000-11-01
KS0870500,SEDGWICK,37.839355,-97.365616,KS,Kansas,Valley Center Police Department,City,TRUE,2000-01-01
KS0870600,SEDGWICK,37.716373,-97.29674,KS,Kansas,Wichita State University,University or College,TRUE,2000-01-01
KS0870700,SEDGWICK,37.681045,-97.461054,KS,Kansas,Colwich Police Department,City,TRUE,2003-01-01
KS0870800,SEDGWICK,37.686478,-97.26213,KS,Kansas,Eastborough Police Department,City,TRUE,2002-01-01
KS0870900,SEDGWICK,37.681045,-97.461054,KS,Kansas,Cheney Police Department,City,TRUE,2000-01-01
KS0871000,SEDGWICK,37.681045,-97.461054,KS,Kansas,Clearwater Police Department,City,TRUE,2000-01-01
KS0871100,SEDGWICK,37.681045,-97.461054,KS,Kansas,Goddard Police Department,City,TRUE,2000-01-01
KS0871300,SEDGWICK,37.681045,-97.461054,KS,Kansas,Garden Plain Police Department,City,TRUE,2000-01-01
KS0871400,SEDGWICK,37.681045,-97.461054,KS,Kansas,Mount Hope Police Department,City,TRUE,2005-01-01
KS0871600,SEDGWICK,37.681045,-97.461054,KS,Kansas,Park City Police Department,City,TRUE,2000-01-01
KS0871800,SEDGWICK,37.775604,-97.26218,KS,Kansas,Bel Aire Police Department,City,TRUE,2000-02-01
KS0872000,SEDGWICK,37.681045,-97.461054,KS,Kansas,Andale Police Department,City,TRUE,2001-04-01
KS0872100,SEDGWICK,37.681045,-97.461054,KS,Kansas,Kechi Police Department,City,TRUE,2003-04-01
KS0872400,SEDGWICK,37.681045,-97.461054,KS,Kansas,Unified School District: Goddard,Other,TRUE,2000-01-01
KS0872500,SEDGWICK,37.681045,-97.461054,KS,Kansas,Bentley Police Department,City,TRUE,2006-07-01
KS0900000,SHERIDAN,39.350542,-100.441206,KS,Kansas,Sheridan County Sheriff's Office,County,TRUE,2000-06-01
KS0900100,SHERIDAN,39.350542,-100.441206,KS,Kansas,Hoxie Police Department,City,TRUE,2000-02-01
KS0930100,STAFFORD,38.03563,-98.719889,KS,Kansas,Stafford Police Department,City,TRUE,2000-01-01
KS0930000,STAFFORD,38.03563,-98.719889,KS,Kansas,Stafford County Sheriff's Office,County,TRUE,2000-01-01
KS0930200,STAFFORD,38.03563,-98.719889,KS,Kansas,St. John Police Department,City,TRUE,2000-01-01
KS0930300,STAFFORD,38.03563,-98.719889,KS,Kansas,Macksville Police Department,City,TRUE,2001-02-01
KS0210000,DICKINSON,38.91526,-97.213745,KS,Kansas,Dickinson County Sheriff's Office,County,TRUE,2000-01-01
KS0210100,DICKINSON,38.867735,-97.157943,KS,Kansas,Abilene Police Department,City,TRUE,2000-01-01
KS0210200,DICKINSON,38.867735,-97.157943,KS,Kansas,Herington Police Department,City,TRUE,2000-01-01
KS0210300,DICKINSON,38.867735,-97.157943,KS,Kansas,Chapman Police Department,City,TRUE,2000-01-01
KS0270100,ELLSWORTH,38.700845,-98.205355,KS,Kansas,Ellsworth Police Department,City,TRUE,2000-01-01
KS0270200,ELLSWORTH,38.700845,-98.205355,KS,Kansas,Wilson Police Department,City,TRUE,2000-03-01
KS0270300,ELLSWORTH,38.700845,-98.205355,KS,Kansas,Kanopolis Police Department,City,TRUE,2001-07-01
KS0270400,ELLSWORTH,38.700845,-98.205355,KS,Kansas,Holyrood Police Department,City,TRUE,2006-09-01
KS0270000,ELLSWORTH,38.730377,-98.231735,KS,Kansas,Ellsworth County Sheriff's Office,County,TRUE,2000-01-01
KS0370000,GREENWOOD,37.878659,-96.242232,KS,Kansas,Greenwood County Sheriff's Office,County,TRUE,2000-01-01
KS0440200,JEFFERSON,39.345028,-95.45757,KS,Kansas,Valley Falls Police Department,City,TRUE,2000-02-01
KS0440400,JEFFERSON,39.197052,-95.20833,KS,Kansas,McLouth Police Department,City,TRUE,2000-01-01
KS0440500,JEFFERSON,39.239644,-95.375314,KS,Kansas,Nortonville Police Department,City,TRUE,2000-01-01
KS0440600,JEFFERSON,39.239644,-95.375314,KS,Kansas,Oskaloosa Police Department,City,TRUE,2000-02-01
KS0440700,JEFFERSON,39.239644,-95.375314,KS,Kansas,Winchester Police Department,City,TRUE,2000-01-01
KS0440800,JEFFERSON,39.239644,-95.375314,KS,Kansas,Perry Police Department,City,TRUE,2000-01-01
KS0440300,JEFFERSON,39.239644,-95.375314,KS,Kansas,Meriden Police Department,City,TRUE,2000-03-01
KS0440000,JEFFERSON,39.239644,-95.375314,KS,Kansas,Jefferson County Sheriff's Office,County,TRUE,2000-01-01
KS0570200,MCPHERSON,38.395812,-97.647489,KS,Kansas,Lindsborg Police Department,City,TRUE,2000-01-01
KS0570000,MCPHERSON,38.37359,-97.68325,KS,Kansas,McPherson County Sheriff's Office,County,TRUE,2000-01-01
KS0570100,MCPHERSON,38.37359,-97.68325,KS,Kansas,McPherson Police Department,City,TRUE,2000-01-01
KS0570300,MCPHERSON,38.395812,-97.647489,KS,Kansas,Galva Police Department,City,TRUE,2000-01-01
KS0570400,MCPHERSON,38.395812,-97.647489,KS,Kansas,Moundridge Police Department,City,TRUE,2000-01-01
KS0570600,MCPHERSON,38.395812,-97.647489,KS,Kansas,Marquette Police Department,City,TRUE,2000-01-01
KS0570800,MCPHERSON,38.395812,-97.647489,KS,Kansas,Inman Police Department,City,TRUE,2000-12-01
KS0570900,MCPHERSON,38.395812,-97.647489,KS,Kansas,Canton Police Department,City,TRUE,2000-07-01
KS0990100,WABAUNSEE,38.955154,-96.201262,KS,Kansas,Alma Police Department,City,TRUE,2000-02-01
KS0990300,WABAUNSEE,38.955154,-96.201262,KS,Kansas,Alta Vista Police Department,City,TRUE,2002-04-01
KS0990000,WABAUNSEE,38.955154,-96.201262,KS,Kansas,Wabaunsee County Sheriff's Office,County,TRUE,2000-01-01
KS1051200,WYANDOTTE,NA,NA,KS,Kansas,Independent School District: Kansas City,Other,TRUE,2015-02-01
KS1051100,WYANDOTTE,NA,NA,KS,Kansas,Kansas Racing and Gaming Commission:,NA,TRUE,2016-07-01
KS1050000,WYANDOTTE,39.064007,-94.81771,KS,Kansas,Wyandotte County Sheriff's Office,County,TRUE,2001-11-01
KS1050900,WYANDOTTE,NA,NA,KS,Kansas,Kansas City Fire Department,NA,TRUE,2017-09-01
KS1050700,WYANDOTTE,39.11669,-94.74597,KS,Kansas,Kansas City Kansas Community College,University or College,TRUE,2004-05-01
KS1050400,WYANDOTTE,39.057323,-94.61174,KS,Kansas,University of Kansas: Medical Center,University or College,TRUE,2000-01-01
KS1050300,WYANDOTTE,39.115384,-94.763087,KS,Kansas,Edwardsville Police Department,City,TRUE,2000-01-01
KS1050200,WYANDOTTE,39.11554,-94.6269,KS,Kansas,Kansas City Police Department,City,FALSE,NA
KS0100100,CHAUTAUQUA,37.126965,-96.18684,KS,Kansas,Sedan Police Department,City,TRUE,2000-01-01
KS0100200,CHAUTAUQUA,37.154259,-96.245396,KS,Kansas,Cedar Vale Police Department,City,TRUE,2000-01-01
KS0100400,CHAUTAUQUA,NA,NA,KS,Kansas,Unified School District:,NA,TRUE,2023-01-01
KS0100000,CHAUTAUQUA,37.128136,-96.18683,KS,Kansas,Chautauqua County Sheriff's Office,County,TRUE,2000-01-01
KS0630200,MONTGOMERY,37.223526,-95.70527,KS,Kansas,Independence Police Department,City,TRUE,2000-06-01
KS0630400,MONTGOMERY,37.189537,-95.742403,KS,Kansas,Caney Police Department,City,TRUE,2000-02-01
KS0630300,MONTGOMERY,37.268627,-95.551636,KS,Kansas,Cherryvale Police Department,City,TRUE,2000-11-01
KS0630100,MONTGOMERY,37.189537,-95.742403,KS,Kansas,Coffeyville Police Department,City,TRUE,2000-01-01
KS0630000,MONTGOMERY,37.223263,-95.703804,KS,Kansas,Montgomery County Sheriff's Office,County,TRUE,2000-01-01
KS1010000,WASHINGTON,39.776714,-97.095611,KS,Kansas,Washington County Sheriff's Office,County,TRUE,2000-01-01
KS0520200,LEAVENWORTH,39.109253,-95.08621,KS,Kansas,Tonganoxie Police Department,City,TRUE,2000-01-01
KS0520300,LEAVENWORTH,39.240746,-94.89871,KS,Kansas,Lansing Police Department,City,TRUE,2000-01-01
KS0520500,LEAVENWORTH,39.189511,-95.038977,KS,Kansas,Basehor Police Department,City,TRUE,2000-01-01
KS0520100,LEAVENWORTH,39.314144,-94.91131,KS,Kansas,Leavenworth Police Department,City,TRUE,2000-01-01
KS0520000,LEAVENWORTH,39.314144,-94.91131,KS,Kansas,Leavenworth County Sheriff's Office,County,TRUE,2000-01-01
KS0750100,POTTAWATOMIE,39.382187,-96.337113,KS,Kansas,St. Marys Police Department,City,TRUE,2000-01-01
KS0750400,POTTAWATOMIE,39.382187,-96.337113,KS,Kansas,St. George Police Department,City,TRUE,2001-02-01
KS0750600,POTTAWATOMIE,39.382187,-96.337113,KS,Kansas,Havensville Police Department,City,TRUE,2008-04-01
KS0750500,POTTAWATOMIE,39.382187,-96.337113,KS,Kansas,Onaga Police Department,City,TRUE,2009-02-01
KS0750000,POTTAWATOMIE,39.382187,-96.337113,KS,Kansas,Pottawatomie County Sheriff's Office,County,TRUE,2000-01-01
KS0660100,"BROWN, NEMAHA",39.791043,-96.005381,KS,Kansas,Sabetha Police Department,City,TRUE,2000-01-01
KSKHPQ000,NOT SPECIFIED,NA,NA,KS,Kansas,Highway Patrol:,NA,TRUE,2017-01-01
KSKHP1100,NOT SPECIFIED,NA,NA,KS,Kansas,Highway Patrol:,NA,TRUE,2018-07-01
KSKHP1000,NOT SPECIFIED,NA,NA,KS,Kansas,Highway Patrol:,NA,TRUE,2017-01-01
KSKHP0900,NOT SPECIFIED,NA,NA,KS,Kansas,Highway Patrol:,NA,TRUE,2017-01-01
KSKHP0800,NOT SPECIFIED,NA,NA,KS,Kansas,Highway Patrol:,NA,TRUE,2017-01-01
KSKHP0700,NOT SPECIFIED,NA,NA,KS,Kansas,Highway Patrol:,NA,TRUE,2017-01-01
KSKHP0600,NOT SPECIFIED,NA,NA,KS,Kansas,Highway Patrol:,NA,TRUE,2017-01-01
KS089045Y,NOT SPECIFIED,NA,NA,KS,Kansas,Department of Labor,NA,TRUE,2016-01-01
KSKHP0500,NOT SPECIFIED,NA,NA,KS,Kansas,Highway Patrol:,NA,TRUE,2017-01-01
KSKHP0400,NOT SPECIFIED,NA,NA,KS,Kansas,Highway Patrol:,NA,TRUE,2017-01-01
KSKHP0300,NOT SPECIFIED,NA,NA,KS,Kansas,Highway Patrol:,NA,TRUE,2017-01-01
KSKHP0200,NOT SPECIFIED,NA,NA,KS,Kansas,Highway Patrol:,NA,TRUE,2017-01-01
KSKHP0100,NOT SPECIFIED,NA,NA,KS,Kansas,Highway Patrol:,NA,TRUE,2017-01-01
KSKHP0000,NOT SPECIFIED,39.05037,-95.67426,KS,Kansas,Kansas Highway Patrol,State Police,TRUE,2000-01-01
KSDI05200,NOT SPECIFIED,39.825931,-95.569905,KS,Kansas,Sac and Fox Tribal,Tribal,TRUE,2021-01-01
KSDI05100,NOT SPECIFIED,39.98889,-95.3681,KS,Kansas,Iowa Tribal,Tribal,TRUE,2021-01-01
KSDI05000,NOT SPECIFIED,39.825931,-95.569905,KS,Kansas,Kickapoo Tribal,Tribal,TRUE,2021-01-01
KSDI00200,NOT SPECIFIED,39.343086,-95.73828,KS,Kansas,Potawatomi Tribal,Tribal,TRUE,2004-07-01
KS0892700,NOT SPECIFIED,NA,NA,KS,Kansas,Kansas Attorney General Criminal Investigation Unit,NA,TRUE,2018-05-01
KS0461700,"JOHNSON, MIAMI",38.883907,-94.82233,KS,Kansas,Spring Hill Police Department,City,TRUE,2000-01-01
KS0400400,"HARVEY, SEDGWICK",38.050144,-97.436706,KS,Kansas,Sedgwick Police Department,City,TRUE,2005-08-01
KS0960300,"SEDGWICK, SUMNER",37.681045,-97.461054,KS,Kansas,Mulvane Police Department,City,TRUE,2000-01-01
KS0462400,"JOHNSON, WYANDOTTE",38.883907,-94.82233,KS,Kansas,Lake Quivira Police Department,City,TRUE,2000-05-01
KS0550100,"GOVE, LOGAN, THOMAS",39.12648,-100.852615,KS,Kansas,Oakley Police Department,City,TRUE,2000-01-01
KS1050100,"LEAVENWORTH, WYANDOTTE",39.115384,-94.763087,KS,Kansas,Bonner Springs Police Department,City,TRUE,2000-01-01
KS0750200,"POTTAWATOMIE, WABAUNSEE",39.382187,-96.337113,KS,Kansas,Wamego Police Department,City,TRUE,2000-01-01
KY0650000,LEE,37.607902,-83.719309,KY,Kentucky,Lee County Sheriff's Office,County,TRUE,2009-01-01
KY0650100,LEE,37.607902,-83.719309,KY,Kentucky,Beattyville Police Department,City,TRUE,2009-01-01
KY0060000,BATH,38.152249,-83.737641,KY,Kentucky,Bath County Sheriff's Office,County,TRUE,2014-01-01
KY0060100,BATH,38.152249,-83.737641,KY,Kentucky,Owingsville Police Department,City,TRUE,2009-01-01
KY0070100,BELL,36.72268,-83.681046,KY,Kentucky,Middlesboro Police Department,City,TRUE,2009-01-01
KY0070000,BELL,36.72268,-83.681046,KY,Kentucky,Bell County Sheriff's Office,County,TRUE,2009-01-01
