name,id,name_type,class,mass,fall,year,lat,long,geolocation
Elephant Moraine 99443,9986,Valid,Howardite,2.4,Found,1999,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99444,9987,Valid,L5,15.3,Found,1999,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99445,9988,Valid,H5,4.9,Found,1999,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99446,9989,Valid,H5,15.1,Found,1999,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99447,9990,Valid,H6,1,Found,1999,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99448,9991,Valid,H5,7,Found,1999,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99449,9992,Valid,H5,10.9,Found,1999,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99450,9993,Valid,L5,28,Found,1999,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99451,9994,Valid,H5,19.3,Found,1999,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99452,9995,Valid,H5,14.6,Found,1999,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99453,9996,Valid,L5,22,Found,1999,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99454,9997,Valid,H5,25,Found,1999,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99456,9998,Valid,H5,41.8,Found,1999,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99457,9999,Valid,L4,9.8,Found,1999,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99458,10000,Valid,L6,7.4,Found,1999,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99459,10001,Valid,L4,41.3,Found,1999,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine A79001,10002,Valid,Martian (shergottite),7942,Found,1979,-76.29083,157.26667,"(-76.29083, 157.26667)"
Elephant Moraine A79002,10003,Valid,Diogenite,2843,Found,1979,-76.33,157.24278,"(-76.33, 157.24278)"
Elephant Moraine A79003,10004,Valid,L6,435.6,Found,1979,-76.29,157.23833,"(-76.29, 157.23833)"
Elephant Moraine A79004,10005,Valid,Eucrite-pmict,390.3,Found,1979,-76.29167,157.23945,"(-76.29167, 157.23945)"
Elephant Moraine A79005,10006,Valid,Eucrite-pmict,450.9,Found,1979,-76.29111,157.23944,"(-76.29111, 157.23944)"
Elephant Moraine A79006,10007,Valid,Eucrite-pmict,716.4,Found,1979,-76.29111,157.22278,"(-76.29111, 157.22278)"
Elephant Moraine A79007,10008,Valid,H5,199.9,Found,1979,-76.2886,157.22118,"(-76.2886, 157.22118)"
Elephant Moraine A79009,10009,Valid,L5,140.3,Found,1979,-76.29028,157.22778,"(-76.29028, 157.22778)"
Elephant Moraine A79010,10010,Valid,L6,287.3,Found,1979,-76.29167,157.2225,"(-76.29167, 157.2225)"
Elephant Moraine A79011,10011,Valid,Eucrite-pmict,86.4,Found,1979,-76.29111,157.22167,"(-76.29111, 157.22167)"
Elga,10012,Valid,"Iron, IIE",28800,Found,1959,64.7,141.2,"(64.7, 141.2)"
Eli Elwah,10013,Valid,L6,15200,Found,1888,-34.5,144.71667,"(-34.5, 144.71667)"
Elida (a),10014,Valid,L6,936.8,Found,1968,33.78333,-103.57667,"(33.78333, -103.57667)"
Elida (b),10015,Valid,OC,537.8,Found,1968,33.91667,-103.51833,"(33.91667, -103.51833)"
Elida (c),10016,Valid,H5,385.5,Found,1968,33.79,-103.56333,"(33.79, -103.56333)"
Elizabeth,56566,Valid,"Iron, IAB-ung",732,Found,NA,42.318,-90.221,"(42.318, -90.221)"
Elkhart,10017,Valid,H5,573,Found,1936,37.01667,-101.88333,"(37.01667, -101.88333)"
Ella Island,10018,Valid,L6,7500,Found,1971,72.88333,-25.11667,"(72.88333, -25.11667)"
Ellerslie,10020,Valid,L5,10200,Found,1905,-28.9,146.76667,"(-28.9, 146.76667)"
Ellicott,10021,Valid,"Iron, IAB-ung",15700,Found,1960,38.80778,-104.56944,"(38.80778, -104.56944)"
Ellis County,10022,Valid,H6,4692,Found,1948,38.78333,-99.33333,"(38.78333, -99.33333)"
Ellisras,10023,Valid,Iron,2066,Found,1970,-23.83333,27.91667,"(-23.83333, 27.91667)"
Elm Creek,10024,Valid,H4,7000,Found,1906,38.5,-96.2,"(38.5, -96.2)"
El-Oued,47729,Valid,H4,2305,Found,1952,31.533333,8.883333,"(31.533333, 8.883333)"
Elqui,10025,Valid,"Iron, IIAB",260,Found,1990,NA,NA,NA
El-Quss Abu Said,10026,Valid,CM2,53.1,Found,1999,27.31417,27.96467,"(27.31417, 27.96467)"
Elsinora,10027,Valid,H5,1797,Found,1922,-29.45,143.6,"(-29.45, 143.6)"
Eltanin,10028,Valid,Mesosiderite,1200,Found,1981,-57.78667,-90.79333,"(-57.78667, -90.79333)"
Elton,10029,Valid,"Iron, ungrouped",1900,Found,1936,33.71667,-100.83333,"(33.71667, -100.83333)"
Elyria,10030,Valid,"Iron, IIIAB",10900,Found,1971,38.28,-97.365,"(38.28, -97.365)"
Emery,10031,Valid,Mesosiderite-A3,16700,Found,1962,43.56333,-97.58333,"(43.56333, -97.58333)"
Emmitsburg,10034,Valid,"Iron, IIIAB?",450,Found,1854,39.71667,-77.3,"(39.71667, -77.3)"
Emsland,10035,Valid,"Iron, ungrouped",19000,Found,1940,53.1,7.2,"(53.1, 7.2)"
En Naffatiyah,52012,Valid,L6,87.2,Found,2007,33.21888,10.83445,"(33.21888, 10.83445)"
Enigma,10036,Valid,H4,94,Found,1967,31.33333,-82.31667,"(31.33333, -82.31667)"
Enon,10037,Valid,"Iron, ungrouped",763,Found,1883,39.86667,-83.95,"(39.86667, -83.95)"
Erg Tiferine,30562,Valid,H5/6,325,Found,2001,27.26667,6.76667,"(27.26667, 6.76667)"
Erie,10045,Valid,L6,3300,Found,1965,40.03167,-105.05667,"(40.03167, -105.05667)"
Erldunda,10046,Valid,H5,190,Found,1992,-25.29647,133.20006,"(-25.29647, 133.20006)"
Erofeevka,10048,Valid,H4,1771.9,Found,1937,51.86667,70.35,"(51.86667, 70.35)"
Escalón,10050,Valid,H4,54.3,Found,1979,27,-104,"(27.0, -104.0)"
Esperance,10052,Valid,L/LL3.4,397,Found,1991,-33.86667,121.91667,"(-33.86667, 121.91667)"
Espiritu Santo,10053,Valid,"Iron, IIIAB",89,Found,NA,20,-102.18333,"(20.0, -102.18333)"
Esquel,10054,Valid,"Pallasite, PMG",755000,Found,1951,-42.9,-71.33333,"(-42.9, -71.33333)"
Essex,10056,Valid,H5,5000,Found,2002,34.61167,-115.03333,"(34.61167, -115.03333)"
Estacado,10057,Valid,H6,290000,Found,1883,33.9,-101.75,"(33.9, -101.75)"
Estación Imilac,54717,Valid,H5,1908,Found,2004,-24.22983,-68.89253,"(-24.22983, -68.89253)"
Ethiudna,10060,Valid,L4,74318,Found,1977,-32.03333,139.78333,"(-32.03333, 139.78333)"
Etosha,10061,Valid,"Iron, IC",110700,Found,1970,-18.5,16,"(-18.5, 16.0)"
Etter,10062,Valid,L5,450000,Found,1965,35.98333,-101.9,"(35.98333, -101.9)"
Euclid,10063,Valid,H5,2500,Found,1970,47.95833,-96.7,"(47.95833, -96.7)"
Eunice,10064,Valid,H5,2300,Found,1961,34.47,-101.75833,"(34.47, -101.75833)"
Eustis,10065,Valid,H4,502,Found,1918,28.83333,-81.68333,"(28.83333, -81.68333)"
Eva,10066,Valid,H5,6700,Found,1965,36.81667,-101.90833,"(36.81667, -101.90833)"
Fairburn,56565,Valid,"Iron, IAB-ung",445,Found,1907,43.603,-103.026,"(43.603, -103.026)"
Fairfield,10069,Valid,"Iron, IAB-MG",1600,Found,1974,39.33333,-84.6,"(39.33333, -84.6)"
Fairview,10070,Valid,"Iron, IIIAB",28800,Found,1986,34.10139,-102.65,"(34.10139, -102.65)"
Faith,10071,Valid,H5,105000,Found,1952,45.33333,-102.08333,"(45.33333, -102.08333)"
Falsey Draw,10072,Valid,L6,4180,Found,1995,33.84333,-103.93667,"(33.84333, -103.93667)"
Farley,10073,Valid,H5,19400,Found,1936,36.33333,-104.05,"(36.33333, -104.05)"
Farnum,10076,Valid,L5,4200,Found,1937,40.25,-100.23333,"(40.25, -100.23333)"
Faucett,10077,Valid,H5,100000,Found,1966,39.61667,-94.86667,"(39.61667, -94.86667)"
Felsted,10082,Valid,"Iron, IIIAB",13500,Found,1977,54.99056,9.49194,"(54.99056, 9.49194)"
Felt,10083,Valid,H6,5400,Found,1970,36.55,-102.78333,"(36.55, -102.78333)"
Felt (b),10084,Valid,L3.5-5,5590,Found,1990,36.58333,-102.7,"(36.58333, -102.7)"
Fenbark,10085,Valid,H5,1861,Found,1968,-30.44028,121.25694,"(-30.44028, 121.25694)"
Fengzhen,10087,Valid,"Iron, IIIAB",458,Found,NA,40.5,113,"(40.5, 113.0)"
Ferguson Switch,10089,Valid,H5,1700,Found,1937,34,-101.5,"(34.0, -101.5)"
Ferintosh,10090,Valid,OC,2201,Found,1965,52.8,-112.98333,"(52.8, -112.98333)"
Fife,30563,Valid,H5,8600,Found,2003,31.38972,-99.40583,"(31.38972, -99.40583)"
Fillmore,10093,Valid,Iron,113,Found,1916,49.883333,-103.6,"(49.883333, -103.6)"
Finger Ridge 00100,10094,Valid,H5,39.61,Found,2000,NA,NA,NA
Finger Ridge 00101,10095,Valid,H4,121.79,Found,2000,NA,NA,NA
Finger Ridge 00102,10096,Valid,H5,78.11,Found,2000,NA,NA,NA
Finger Ridge 01600,10097,Valid,H5,876.2,Found,2001,NA,NA,NA
Finmarken,10103,Valid,"Pallasite, PMG",78300,Found,1902,70,24,"(70.0, 24.0)"
Finney,10104,Valid,L5,10700,Found,1962,34.26667,-101.56667,"(34.26667, -101.56667)"
Finney (c),10105,Valid,OC,492,Found,1978,34.29833,-101.68333,"(34.29833, -101.68333)"
Fish Canyon,10106,Valid,"Iron, IAB complex",27.3,Found,1992,31.735,-110.75333,"(31.735, -110.75333)"
Fitzwater Pass,51738,Valid,"Iron, IIIF",65.4,Found,1974,42.03839,-120.58942,"(42.03839, -120.58942)"
Flagg,10108,Valid,L5,7000,Found,1954,34.43333,-102.51667,"(34.43333, -102.51667)"
Flagler,30564,Valid,H3.8,4100,Found,1972,39.23,-102.99,"(39.23, -102.99)"
Flandreau,10109,Valid,H5,21360,Found,1983,44.04833,-96.59167,"(44.04833, -96.59167)"
Fleming,10110,Valid,H3.7,1750,Found,1940,40.68333,-102.81667,"(40.68333, -102.81667)"
Florey,10112,Valid,H6,110800,Found,1978,32.5225,-102.705,"(32.5225, -102.705)"
Floyd,10113,Valid,L4,13000,Found,1966,34.19333,-103.575,"(34.19333, -103.575)"
Floydada,10114,Valid,"Iron, IIIAB",12500,Found,1912,33.98333,-101.28333,"(33.98333, -101.28333)"
Floydada (b),10115,Valid,H5,6266,Found,1999,33.98333,-101.33333,"(33.98333, -101.33333)"
Fluvanna (a),10116,Valid,L5,9500,Found,1967,32.8,-101.11667,"(32.8, -101.11667)"
Fluvanna (b),10117,Valid,H6,4110,Found,1976,32.90333,-101.16278,"(32.90333, -101.16278)"
Föllinge,10118,Valid,"Iron, IAB-sLH",400,Found,1932,63.73333,14.85,"(63.73333, 14.85)"
Forestburg (a),10121,Valid,L4,26100,Found,1957,33.50667,-97.65139,"(33.50667, -97.65139)"
Forestburg (b),10122,Valid,L5,26600,Found,1957,33.49556,-97.58861,"(33.49556, -97.58861)"
Forrest 001,10124,Valid,H5,97.7,Found,1967,-30.81667,128.21667,"(-30.81667, 128.21667)"
Forrest 002,10125,Valid,L6,26000,Found,1980,-30.98333,127.88333,"(-30.98333, 127.88333)"
Forrest 003,10126,Valid,H3,74,Found,1970,-30.9,128.08333,"(-30.9, 128.08333)"
Forrest 004,10127,Valid,L6,64,Found,1970,-30.46667,128.2,"(-30.46667, 128.2)"
Forrest 005,10128,Valid,H4,36,Found,1970,-30.45833,128.21667,"(-30.45833, 128.21667)"
Forrest 006,10129,Valid,L6,47.3,Found,1977,-30.63333,128.125,"(-30.63333, 128.125)"
Forrest 007,10130,Valid,H4,910,Found,1979,-30.785,128.01667,"(-30.785, 128.01667)"
Forrest 008,10131,Valid,L6,122.6,Found,1979,-30.75,127.99167,"(-30.75, 127.99167)"
Forrest 009,10132,Valid,L6,1000,Found,1979,-30.15,128.08333,"(-30.15, 128.08333)"
Forrest 010,10133,Valid,L4,359,Found,1982,-30.11667,127.86667,"(-30.11667, 127.86667)"
Forrest 011,10134,Valid,H5,34.6,Found,1982,-30.15,128.08333,"(-30.15, 128.08333)"
Forrest 012,10135,Valid,H5,28.6,Found,1982,-30.15,128.08333,"(-30.15, 128.08333)"
Forrest 013,10136,Valid,L6,26.9,Found,1982,-30.15,128.08333,"(-30.15, 128.08333)"
Forrest 014,10137,Valid,H5,104,Found,1990,-30.78333,127.75,"(-30.78333, 127.75)"
Forrest 015,10138,Valid,H4,82,Found,1990,-30.78333,127.8,"(-30.78333, 127.8)"
Forrest 016,10139,Valid,H5-6,46.87,Found,1992,-30.15383,128.07283,"(-30.15383, 128.07283)"
Forrest 017,10140,Valid,H4,4.6,Found,1992,-30.17417,128.069,"(-30.17417, 128.069)"
Forrest 018,10141,Valid,H6,54.41,Found,1992,-30.16667,128.08333,"(-30.16667, 128.08333)"
Forrest 019,10142,Valid,H5,42.94,Found,1992,-30.16667,126.08333,"(-30.16667, 126.08333)"
Forrest 020,10143,Valid,L5/6,6.99,Found,1992,-30.73783,127.95367,"(-30.73783, 127.95367)"
Forrest 021,10144,Valid,L6,59.7,Found,1992,-30.757,127.95167,"(-30.757, 127.95167)"
Forrest 022,10145,Valid,L5,7.46,Found,1992,-30.77283,127.94667,"(-30.77283, 127.94667)"
Forrest 023,10146,Valid,L4,7.67,Found,1992,-30.78167,127.94417,"(-30.78167, 127.94417)"
Forrest 024,10147,Valid,LL6,16.23,Found,1992,-30.758,127.94783,"(-30.758, 127.94783)"
Forrest 025,10148,Valid,L5,8.11,Found,1992,-30.756,127.93717,"(-30.756, 127.93717)"
Forrest 026,10149,Valid,H5/6,64.11,Found,1992,-30.757,127.938,"(-30.757, 127.938)"
Forrest 027,10150,Valid,L5/6,14.41,Found,1992,-30.75967,127.94983,"(-30.75967, 127.94983)"
Forrest 028,10151,Valid,L7,48.7,Found,1992,-30.73233,127.949,"(-30.73233, 127.949)"
Forrest 029,10152,Valid,H3-5,6,Found,1992,-30.7315,127.93917,"(-30.7315, 127.93917)"
Forrest 030,10153,Valid,L6/7,77.68,Found,1992,-30.731,127.93917,"(-30.731, 127.93917)"
Forrest 031,10154,Valid,H4,0.83,Found,1992,-30.73783,127.95367,"(-30.73783, 127.95367)"
Forrest 032,10155,Valid,L6/7,1.38,Found,1992,-30.71667,127.93333,"(-30.71667, 127.93333)"
Forrest 033,10156,Valid,EL6,31.3,Found,1991,-30.75,128.08333,"(-30.75, 128.08333)"
Forrest 034,10157,Valid,L6,99,Found,1991,-30.75,128.08333,"(-30.75, 128.08333)"
Forrest 035,10158,Valid,L6,166,Found,1991,-30.75,128.08333,"(-30.75, 128.08333)"
Forrest 036,10159,Valid,H6,57,Found,1991,-30.75,128.08333,"(-30.75, 128.08333)"
Forrest 037,10160,Valid,H4,10,Found,1991,-30.75,128.08333,"(-30.75, 128.08333)"
Forrest Lakes,10161,Valid,LL5,500,Found,1948,-29.41667,129.5,"(-29.41667, 129.5)"
Forrest Lakes 002,10162,Valid,H5,52,Found,1974,-29.58333,128.91667,"(-29.58333, 128.91667)"
Forsyth County,10165,Valid,"Iron, IIAB",22700,Found,1891,36.1,-80.2,"(36.1, -80.2)"
Fort Pierre,10167,Valid,"Iron, IIIAB",15900,Found,1856,44.35,-100.38333,"(44.35, -100.38333)"
Fort Stockton,10168,Valid,Iron,4762.8,Found,1952,30.91667,-103.06667,"(30.91667, -103.06667)"
Fortuna,10169,Valid,Winonaite,312,Found,1998,-35.13333,-65.36667,"(-35.13333, -65.36667)"
Foster,10170,Valid,H4,1992,Found,1975,33.1,-102.26667,"(33.1, -102.26667)"
Foum Zguid,10171,Valid,"Iron, IIAB",6000,Found,1998,30.06667,-6.9,"(30.06667, -6.9)"
Fountain Hills,30565,Valid,CBa,60,Found,2002,33.61,-111.72,"(33.61, -111.72)"
Four Corners,10172,Valid,"Iron, IAB-ung",25000,Found,1924,37,-109.05,"(37.0, -109.05)"
Franceville,10173,Valid,"Iron, IIIAB",18800,Found,1890,38.81667,-104.61667,"(38.81667, -104.61667)"
Franconia,10174,Valid,H5,100000,Found,2002,34.71637,-114.22197,"(34.71637, -114.22197)"
Frankel City,10175,Valid,L6,4700,Found,1977,32.33333,-102.745,"(32.33333, -102.745)"
Frankfort (iron),10176,Valid,"Iron, IIIAB",10900,Found,1866,38.2,-84.83333,"(38.2, -84.83333)"
Franklin,10178,Valid,H5,9062,Found,1921,36.71667,-86.56667,"(36.71667, -86.56667)"
Franklinville,10179,Valid,L6,108,Found,1888,38.5,-100,"(38.5, -100.0)"
Freda,10180,Valid,"Iron, IAB-sLH",268,Found,1919,46.38333,-101.23333,"(46.38333, -101.23333)"
Fremont Butte,10181,Valid,L4,6647,Found,1963,38.5,-105.5,"(38.5, -105.5)"
Frenchman Bay,10182,Valid,H3.5,8800,Found,1964,-30.60833,115.16667,"(-30.60833, 115.16667)"
Friona,10184,Valid,L5,21900,Found,1981,34.54,-102.56833,"(34.54, -102.56833)"
Frontier Mountain 01001,10185,Valid,H5/6,3.2,Found,2001,-72.95194,160.50056,"(-72.95194, 160.50056)"
Frontier Mountain 01002,10186,Valid,H3,13.6,Found,2001,-72.9525,160.50528,"(-72.9525, 160.50528)"
Frontier Mountain 01003,10187,Valid,H6,14.3,Found,2001,-72.95194,160.50806,"(-72.95194, 160.50806)"
Frontier Mountain 01004,10188,Valid,H5,7.4,Found,2001,-72.95167,160.50889,"(-72.95167, 160.50889)"
Frontier Mountain 01005,10189,Valid,L3,6.6,Found,2001,-72.95167,160.50889,"(-72.95167, 160.50889)"
Frontier Mountain 01006,10190,Valid,H5,5.6,Found,2001,-72.95167,160.50917,"(-72.95167, 160.50917)"
Frontier Mountain 01007,10191,Valid,L4,2.6,Found,2001,-72.95194,160.50944,"(-72.95194, 160.50944)"
Frontier Mountain 01008,10192,Valid,L3,3.2,Found,2001,-72.95194,160.50944,"(-72.95194, 160.50944)"
Frontier Mountain 01009,10193,Valid,H6,6.7,Found,2001,-72.95278,160.51139,"(-72.95278, 160.51139)"
Frontier Mountain 01010,10194,Valid,H5,0.7,Found,2001,-72.9525,160.5075,"(-72.9525, 160.5075)"
Frontier Mountain 01011,10195,Valid,H5,11.6,Found,2001,-72.96361,160.53667,"(-72.96361, 160.53667)"
Frontier Mountain 01012,10196,Valid,Ureilite,19.2,Found,2001,-72.97111,160.33389,"(-72.97111, 160.33389)"
Frontier Mountain 01013,10197,Valid,H3,11.4,Found,2001,-72.98722,160.40639,"(-72.98722, 160.40639)"
Frontier Mountain 01014,10198,Valid,H3/4,3.6,Found,2001,-72.98889,160.405,"(-72.98889, 160.405)"
Frontier Mountain 01015,10199,Valid,H5,1.2,Found,2001,-72.98889,160.40583,"(-72.98889, 160.40583)"
Frontier Mountain 01016,10200,Valid,H3,1.6,Found,2001,-72.98917,160.40583,"(-72.98917, 160.40583)"
Frontier Mountain 01017,10201,Valid,H3-4,1.5,Found,2001,-72.98889,160.40528,"(-72.98889, 160.40528)"
Frontier Mountain 01018,10202,Valid,H5,1.2,Found,2001,-72.98889,160.40472,"(-72.98889, 160.40472)"
Frontier Mountain 01019,10203,Valid,H3-6,1.9,Found,2001,-72.99,160.40333,"(-72.99, 160.40333)"
Frontier Mountain 01020,10204,Valid,H6,2.3,Found,2001,-72.98972,160.40333,"(-72.98972, 160.40333)"
Frontier Mountain 01022,10205,Valid,H5,3.5,Found,2001,-72.98667,160.4025,"(-72.98667, 160.4025)"
Frontier Mountain 01023,10206,Valid,H6,3.3,Found,2001,-72.9875,160.40056,"(-72.9875, 160.40056)"
Frontier Mountain 01024,10207,Valid,L4,14.8,Found,2001,-72.9525,160.51833,"(-72.9525, 160.51833)"
Frontier Mountain 01025,10208,Valid,L3,8,Found,2001,-72.98889,160.40611,"(-72.98889, 160.40611)"
Frontier Mountain 01026,10209,Valid,H4,2.7,Found,2001,-72.98889,160.40556,"(-72.98889, 160.40556)"
Frontier Mountain 01027,10210,Valid,H4,7.3,Found,2001,-72.99028,160.40389,"(-72.99028, 160.40389)"
Frontier Mountain 01028,10211,Valid,H6,3.9,Found,2001,-72.99028,160.40444,"(-72.99028, 160.40444)"
Frontier Mountain 01029,10212,Valid,L4/5,8.4,Found,2001,-72.99056,160.40278,"(-72.99056, 160.40278)"
Frontier Mountain 01030,10213,Valid,Ureilite,6,Found,2001,-72.99083,160.4025,"(-72.99083, 160.4025)"
Frontier Mountain 01031,10214,Valid,H3-6,9,Found,2001,-72.99,160.40389,"(-72.99, 160.40389)"
Frontier Mountain 01032,10215,Valid,H3,27,Found,2001,-72.99083,160.40333,"(-72.99083, 160.40333)"
Frontier Mountain 01033,10216,Valid,H3-6,6.2,Found,2001,-72.99028,160.40194,"(-72.99028, 160.40194)"
Frontier Mountain 01034,10217,Valid,H3,1,Found,2001,-72.98889,160.40528,"(-72.98889, 160.40528)"
Frontier Mountain 01035,10218,Valid,H3,2.6,Found,2001,-72.98889,160.40528,"(-72.98889, 160.40528)"
Frontier Mountain 01036,10219,Valid,H3-6,0.8,Found,2001,-72.98889,160.40528,"(-72.98889, 160.40528)"
Frontier Mountain 01037,10220,Valid,H3-6,18.2,Found,2001,-72.98889,160.40528,"(-72.98889, 160.40528)"
Frontier Mountain 01038,10221,Valid,H3,3.1,Found,2001,-72.98889,160.40528,"(-72.98889, 160.40528)"
Frontier Mountain 01039,10222,Valid,H3/4,22,Found,2001,-72.98944,160.40722,"(-72.98944, 160.40722)"
Frontier Mountain 01040,10223,Valid,H3/4,13.6,Found,2001,-72.98889,160.40528,"(-72.98889, 160.40528)"
Frontier Mountain 01041,10224,Valid,H3-6,4.9,Found,2001,-72.99083,160.4075,"(-72.99083, 160.4075)"
Frontier Mountain 01042,10225,Valid,H3-5,2,Found,2001,-72.98917,160.40722,"(-72.98917, 160.40722)"
Frontier Mountain 01043,10226,Valid,H3-5,0.7,Found,2001,-72.98833,160.40694,"(-72.98833, 160.40694)"
Frontier Mountain 01044,10227,Valid,H5,26.6,Found,2001,-72.98917,160.40528,"(-72.98917, 160.40528)"
Frontier Mountain 01045,10228,Valid,H4,8.9,Found,2001,-72.98917,160.40528,"(-72.98917, 160.40528)"
Frontier Mountain 01046,10229,Valid,H4,5.1,Found,2001,-72.98944,160.40278,"(-72.98944, 160.40278)"
Frontier Mountain 01047,10230,Valid,H4/5,0.9,Found,2001,-72.98972,160.40444,"(-72.98972, 160.40444)"
Frontier Mountain 01048,10231,Valid,H3/4,6.8,Found,2001,-72.98944,160.40611,"(-72.98944, 160.40611)"
Frontier Mountain 01049,10232,Valid,H3/4,44.1,Found,2001,-72.98944,160.40611,"(-72.98944, 160.40611)"
Frontier Mountain 01050,10233,Valid,H4-6,3.2,Found,2001,-72.99,160.40722,"(-72.99, 160.40722)"
Frontier Mountain 01051,10234,Valid,H4,10.6,Found,2001,-72.98917,160.405,"(-72.98917, 160.405)"
Frontier Mountain 01052,10235,Valid,H3,14.6,Found,2001,-72.98944,160.40694,"(-72.98944, 160.40694)"
Frontier Mountain 01053,10236,Valid,H3,8.4,Found,2001,-72.98972,160.40556,"(-72.98972, 160.40556)"
Frontier Mountain 01054,10237,Valid,H3,1.3,Found,2001,-72.98833,160.40722,"(-72.98833, 160.40722)"
Frontier Mountain 01055,10238,Valid,L3,14,Found,2001,-72.95333,160.45806,"(-72.95333, 160.45806)"
Frontier Mountain 01056,10239,Valid,H3,0.8,Found,2001,-72.98806,160.40611,"(-72.98806, 160.40611)"
Frontier Mountain 01057,10240,Valid,H3-6,15.2,Found,2001,-72.98861,160.40639,"(-72.98861, 160.40639)"
Frontier Mountain 01058,10241,Valid,H4,1.3,Found,2001,-72.98889,160.40583,"(-72.98889, 160.40583)"
Frontier Mountain 01059,10242,Valid,H3,5.4,Found,2001,-72.98889,160.40611,"(-72.98889, 160.40611)"
Frontier Mountain 01060,10243,Valid,H6,1.8,Found,2001,-72.98944,160.40444,"(-72.98944, 160.40444)"
Frontier Mountain 01061,10244,Valid,H3,4.1,Found,2001,-72.99,160.40722,"(-72.99, 160.40722)"
Frontier Mountain 01062,10245,Valid,H5,13.3,Found,2001,-72.98778,160.40944,"(-72.98778, 160.40944)"
Frontier Mountain 01063,10246,Valid,H3,0.7,Found,2001,-72.98778,160.40861,"(-72.98778, 160.40861)"
Frontier Mountain 01064,10247,Valid,L6,1.2,Found,2001,-72.98806,160.40833,"(-72.98806, 160.40833)"
Frontier Mountain 01065,10248,Valid,H3,1.7,Found,2001,-72.98806,160.40833,"(-72.98806, 160.40833)"
Frontier Mountain 01066,10249,Valid,H3,5.6,Found,2001,-72.98861,160.40722,"(-72.98861, 160.40722)"
Frontier Mountain 01067,10250,Valid,H3,8.4,Found,2001,-72.98917,160.40667,"(-72.98917, 160.40667)"
Frontier Mountain 01068,10251,Valid,H3-6,13.6,Found,2001,-72.98972,160.405,"(-72.98972, 160.405)"
Frontier Mountain 01069,10252,Valid,H5,5.4,Found,2001,-72.99,160.40639,"(-72.99, 160.40639)"
Frontier Mountain 01070,10253,Valid,H3,6.6,Found,2001,-72.99,160.40639,"(-72.99, 160.40639)"
Frontier Mountain 01071,10254,Valid,H4-6,1.7,Found,2001,-72.98972,160.4025,"(-72.98972, 160.4025)"
Frontier Mountain 01072,10255,Valid,H5,6.5,Found,2001,-72.99,160.40389,"(-72.99, 160.40389)"
Frontier Mountain 01073,10256,Valid,H3-6,1,Found,2001,-72.99,160.40306,"(-72.99, 160.40306)"
Frontier Mountain 01074,10257,Valid,H3,3,Found,2001,-72.99,160.40278,"(-72.99, 160.40278)"
Frontier Mountain 01075,10258,Valid,H3,5.5,Found,2001,-72.99056,160.40611,"(-72.99056, 160.40611)"
Frontier Mountain 01076,10259,Valid,H4/5,2.1,Found,2001,-72.99056,160.405,"(-72.99056, 160.405)"
Frontier Mountain 01077,10260,Valid,H6,9.7,Found,2001,-72.95278,160.41278,"(-72.95278, 160.41278)"
Frontier Mountain 01078,10261,Valid,L6,15,Found,2001,-72.95417,160.45194,"(-72.95417, 160.45194)"
Frontier Mountain 01079,10262,Valid,L6,0.9,Found,2001,-72.9525,160.44972,"(-72.9525, 160.44972)"
Frontier Mountain 01080,10263,Valid,H6,0.4,Found,2001,-72.95194,160.45417,"(-72.95194, 160.45417)"
Frontier Mountain 01081,10264,Valid,H3-6,3.4,Found,2001,-72.98972,160.40722,"(-72.98972, 160.40722)"
Frontier Mountain 01082,10265,Valid,H3-6,5,Found,2001,-72.98972,160.40722,"(-72.98972, 160.40722)"
Frontier Mountain 01083,10266,Valid,H5-6,11.1,Found,2001,-72.98972,160.40667,"(-72.98972, 160.40667)"
Frontier Mountain 01084,10267,Valid,H3,11.5,Found,2001,-72.99083,160.40417,"(-72.99083, 160.40417)"
Frontier Mountain 01085,10268,Valid,H4,4.2,Found,2001,-72.98889,160.40778,"(-72.98889, 160.40778)"
Frontier Mountain 01086,10269,Valid,H5,9.8,Found,2001,-72.97333,160.47472,"(-72.97333, 160.47472)"
Frontier Mountain 01087,10270,Valid,H5,76.4,Found,2001,-72.95417,160.4475,"(-72.95417, 160.4475)"
Frontier Mountain 01088,10271,Valid,Ureilite,11.1,Found,2001,-72.95222,160.45528,"(-72.95222, 160.45528)"
