date,year,wreck_name,wreck_no,classification,description,descriptive_date,place_of_loss,latitude,longitude,source_of_co_ordinate
1821-12-04,1821,Anea,W04751,Vessel,We regret that we are unable to supply descriptive details for this record at present.,04/12/1821,"Tramore Bay, Co Waterford",NA,NA,NA
1867-01-06,1867,Anemone,W04752,Schooner,We regret that we are unable to supply descriptive details for this record at present.,06/01/1867,"Tramore, Co Waterford",NA,NA,NA
1862-01-28,1862,Angiolina S. / Angelica,W04753,Unknown,We regret that we are unable to supply descriptive details for this record at present.,28/01/1862,Creadan Bay Bank (beside Sophia),NA,NA,NA
1852-12-29,1852,Ann,W04754,Brig,We regret that we are unable to supply descriptive details for this record at present.,29/12/1852,"Tramore Bay, Co Waterford",NA,NA,NA
1791-09-13,1791,Ann,W04755,Unknown,We regret that we are unable to supply descriptive details for this record at present.,13/09/1791,"Mine Head, Co Waterford",NA,NA,NA
1763-01-14,1763,Ann,W04756,Unknown,We regret that we are unable to supply descriptive details for this record at present.,14/01/1763,"Dungarvan, Off",NA,NA,NA
1757-12-20,1757,Ann & Isabel,W04757,Ship,"Spanish ship wrecked near Waterford while en route to Dublin.
----------------------------",20/12/1757,"Waterford, near",NA,NA,NA
1852-01-14,1852,Ann & John,W04758,Unknown,We regret that we are unable to supply descriptive details for this record at present.,14/01/1852,Dungarvan,NA,NA,NA
NA,NA,Ann & Margaret,W04759,Unknown,We regret that we are unable to supply descriptive details for this record at present.,Between 23/1/1753 and 16/2/1753,"Waterford, near",NA,NA,NA
1849-12-07,1849,Ann Gales,W04760,Unknown,We regret that we are unable to supply descriptive details for this record at present.,07/12/1849,"Creadan Head, near",NA,NA,NA
1873-02-03,1873,Anne Jones,W04762,Unknown,We regret that we are unable to supply descriptive details for this record at present.,03/02/1873,Below Passage,NA,NA,NA
1809-01-17,1809,Apledore / Appledore,W04763,Sloop,We regret that we are unable to supply descriptive details for this record at present.,17/01/1809,"Tramore, Co Waterford",NA,NA,NA
1816-01-30,1816,Apollonia / Apollo,W04764,Galliot,We regret that we are unable to supply descriptive details for this record at present.,30/01/1816,"Tramore Bay, Co Waterford",NA,NA,NA
1822-04-22,1822,Asia,W04766,Vessel,We regret that we are unable to supply descriptive details for this record at present.,22/04/1822,"Tramore Bay, Co Waterford",NA,NA,NA
1940-07-28,1940,Auckland Star (MV),W04767,Liner,We regret that we are unable to supply descriptive details for this record at present.,28/07/1940,"Kerry, Dunmore Head, c. 132km W of.",52.28333,-12.53333,BVLS
1876-03-08,1876,Aurora Australis,W04768,Barque,We regret that we are unable to supply descriptive details for this record at present.,08/03/1876,"Tramore Bay, Co Waterford",NA,NA,NA
1917-04-13,1917,Bandon (SS),W04769,Steamship,"Built in 1910 by Swan, Hunter & Wigham Richardson Ltd. In Newcastle-upon-Tyne, the SS Bandon was
owned by the City of Cork Steam Packet Company Ltd. Grossing 1,456 tons, the vessel was propelled by a 394 horsepower, three-cylinder, triple-expansion steam engine that provided speeds up to 14.5 knots. Given that the Bandon was plying her trade in dangerous times, the vessel was armed with one 3-pounder gun on the stern for defensive purposes. However, lightly armed merchant vessels could do little to fend off the menace of U-boats, which attacked without warning. The Cork Steam Packet Navigation Company suffered badly during World War I at the hands of U-boats, with the loss of six of its cargo steamers: Inniscarra, Innisfallen, Ardmore, Lismore, Kenmare and Bandon. The SS Bandon was en route from Liverpool to Cork,
under the command of Captain P.F. Kelly, when it was either torpedoed or mined by UC-44 (KapitÃ¤nleutnant
Kurt Tebbenjohanns) late on the afternoon of Friday, 13 April 1917. The torpedo struck the port side, disabling the engine room and causing the ship to sink immediately, 5km southwest of Mine Head. The 1,050-ton cargo was lost in the attack, along with 28 members of the crew. Only four crew members, including the shipâs master, were rescued by a motor launch sent by the Mine Head Lighthouse, after spending 2.5 hours in the water. They were landed at Dungarvan. The UC-44 was responsible for sinking 29 other ships during World War I. Less than a year later, Captain P.F. Kelly survived another U-boat attack when the SS Inniscarra, which he was commanding, was torpedoed and sunk by U-86 off the Waterford coast, once again with the loss of 28 lives.

The wreck of the SS Bandon measures 81.9m in length, 11.5m in width and 5.5m in maximum height. The vessel is badly broken up and lies in a general sea depth of 33m and is orientated almost EâW, with its bow lying to the E.

GSI_271",13/04/1917,"Waterford, Mine Head, 5km S of.",51.93972,-7.57999,INFOMAR Wreck Data
1792-06-12,1792,Barbados Packet,W04770,Brig,We regret that we are unable to supply descriptive details for this record at present.,12/06/1792,"River Suir, Co Waterford",NA,NA,NA
1917-05-11,1917,Barrister (SS),W04772,Steamship,We regret that we are unable to supply descriptive details for this record at present.,11/05/1917,"Waterford, Mine Head, 7 miles SW.",51.91389,-7.72222,UKHO
1852-08-05,1852,Baticola,W04773,Unknown,We regret that we are unable to supply descriptive details for this record at present.,05/08/1852,Waterford,NA,NA,NA
1917-10-06,1917,Bedale (SS),W04774,Steamship,We regret that we are unable to supply descriptive details for this record at present.,06/10/1917,"Waterford, Mine Head, 25 miles SE by S / 25M SE by E.",51.725,-7.03333,UKHO
1868-11-29,1868,Betsey,W04775,Schooner,We regret that we are unable to supply descriptive details for this record at present.,29/11/1868,Ballymacaw,NA,NA,NA
1812-03-05,1812,Betsey,W04776,Unknown,We regret that we are unable to supply descriptive details for this record at present.,05/03/1812,"River Suir, Co Waterford",NA,NA,NA
1771-03-12,1771,Betsy,W04777,Unknown,We regret that we are unable to supply descriptive details for this record at present.,12/03/1771,"Ballystraw Bay, near Duncannon",NA,NA,NA
1763-01-25,1763,Betsy / Betsey,W04778,Unknown,We regret that we are unable to supply descriptive details for this record at present.,25/01/1763,"Dungarvan, Off",NA,NA,NA
NA,NA,Betsy / Betsey,W04779,Unknown,We regret that we are unable to supply descriptive details for this record at present.,Between 19/11/1807 and 4/12/1807,"Dungarvan, near",NA,NA,NA
1758-11-17,1758,Betty,W04780,Unknown,We regret that we are unable to supply descriptive details for this record at present.,17/11/1758,"Waterford, near",NA,NA,NA
1766-01-10,1766,Bienvenu,W04781,Unknown,We regret that we are unable to supply descriptive details for this record at present.,10/01/1766,Waterford harbour,NA,NA,NA
1825-12-19,1825,Bolton,W04782,Unknown,We regret that we are unable to supply descriptive details for this record at present.,19/12/1825,"Tramore Bay, Co Waterford",NA,NA,NA
1771-11-05,1771,Bonny James,W04783,Unknown,We regret that we are unable to supply descriptive details for this record at present.,05/11/1771,Passage East,NA,NA,NA
1917-04-30,1917,Borrowdale,W04784,Barque,We regret that we are unable to supply descriptive details for this record at present.,30/04/1917,Unknown,49,-10.33333,wrecksite.eu
NA,NA,Breeze,W04785,Yacht,We regret that we are unable to supply descriptive details for this record at present.,1838,"Tramore, Co Waterford",NA,NA,NA
1820-12-15,1820,Bridget,W04786,Vessel,We regret that we are unable to supply descriptive details for this record at present.,15/12/1820,Dungarvan Bar,NA,NA,NA
NA,NA,Bridget,W04787,Brig,We regret that we are unable to supply descriptive details for this record at present.,1824,"Tramore, Co Waterford",NA,NA,NA
1852-09-07,1852,Bridget,W04788,Smack,We regret that we are unable to supply descriptive details for this record at present.,07/09/1852,Dungarvan,NA,NA,NA
1825-12-02,1825,Brilliant,W04789,Unknown,We regret that we are unable to supply descriptive details for this record at present.,02/12/1825,Youghal,NA,NA,NA
1852-03-17,1852,Brilliant,W04790,Unknown,We regret that we are unable to supply descriptive details for this record at present.,17/03/1852,Passage,NA,NA,NA
1824-12-14,1824,Britannia,W04791,Unknown,We regret that we are unable to supply descriptive details for this record at present.,14/12/1824,"Black Ball Head, Near",NA,NA,NA
1803-12-20,1803,Britannia,W04792,Unknown,We regret that we are unable to supply descriptive details for this record at present.,20/12/1803,"Waterford, near",NA,NA,NA
1774-04-26,1774,Brothers,W04793,Unknown,We regret that we are unable to supply descriptive details for this record at present.,26/04/1774,Waterford,NA,NA,NA
NA,NA,Brothers,W04794,Schooner,We regret that we are unable to supply descriptive details for this record at present.,1838,"Tramore, Co Waterford",NA,NA,NA
1915-08-13,1915,Cairo (SS),W04795,Steamship,We regret that we are unable to supply descriptive details for this record at present.,13/08/1915,"Waterford, Tusker Rock, 34 miles SSW of.",51.73333,-6.55,www.uboat.net
1809-01-27,1809,Caledonia,W04796,Sailing Boat,We regret that we are unable to supply descriptive details for this record at present.,27/01/1809,"Tramore Bay, Co Waterford",NA,NA,NA
1854-11-29,1854,Cambria,W04797,Barque,We regret that we are unable to supply descriptive details for this record at present.,29/11/1854,"Waterford, at sea - put into",NA,NA,NA
1885-02-21,1885,Camilla,W04798,Brigantine,We regret that we are unable to supply descriptive details for this record at present.,21/02/1885,"Tramore Bay, Co Waterford / Bar near Brownstown Head/entrance to Sark Channel",NA,NA,NA
1905-03-15,1905,Cannebiere,W04799,Barque,We regret that we are unable to supply descriptive details for this record at present.,15/03/1905,"Dundrum Bay and Scilly,Between",NA,NA,NA
1917-12-24,1917,Canova (SS),W04800,Steamship,We regret that we are unable to supply descriptive details for this record at present.,24/12/1917,"Waterford, Mine Head, 15 miles S.",51.75833,-7.46667,UKHO
NA,NA,Casket,W04801,Sloop,We regret that we are unable to supply descriptive details for this record at present.,1847,"Tramore, Co Waterford",NA,NA,NA
1758-12-15,1758,Castleton,W04802,Sailing Ship,We regret that we are unable to supply descriptive details for this record at present.,15/12/1758,Dunmore,NA,NA,NA
1838-02-17,1838,Catherine,W04803,Vessel,We regret that we are unable to supply descriptive details for this record at present.,17/02/1838,"Youghal, Co Cork, offshore",NA,NA,NA
1825-12-27,1825,Catherine,W04804,Vessel,We regret that we are unable to supply descriptive details for this record at present.,27/12/1825,"Youghal, Co Cork, Whiting Bay",NA,NA,NA
1865-01-28,1865,Certes,W04805,Unknown,We regret that we are unable to supply descriptive details for this record at present.,28/01/1865,Ardmore,NA,NA,NA
1852-05-22,1852,Charlotte,W04806,Schooner,We regret that we are unable to supply descriptive details for this record at present.,22/05/1852,Waterford,NA,NA,NA
1804-11-06,1804,Charlotte & Ann,W04807,Unknown,We regret that we are unable to supply descriptive details for this record at present.,06/11/1804,"Tramore Bay, Co Waterford",NA,NA,NA
1806-11-02,1806,Cheshire,W04808,Brig,We regret that we are unable to supply descriptive details for this record at present.,02/11/1806,"Tramore Bay, Co Waterford",NA,NA,NA
1873-11-14,1873,Chiavari,W04810,Schooner,We regret that we are unable to supply descriptive details for this record at present.,14/11/1873,"Mine Head, Co Waterford, 20 miles S of",NA,NA,NA
NA,NA,Christianna Davis / Christian Davis,W04811,Schooner,We regret that we are unable to supply descriptive details for this record at present.,Between 5/3/1911 and 5/3/1918,"Tramore, Co Waterford",NA,NA,NA
NA,NA,Christina,W04812,Unknown,We regret that we are unable to supply descriptive details for this record at present.,January 1894,Waterford Harbour,NA,NA,NA
1901-10-04,1901,Cintra,W04813,Schooner,We regret that we are unable to supply descriptive details for this record at present.,04/10/1901,"Cheekpoint pier, River Suir, off",NA,NA,NA
1924-09-22,1924,Clareen,W04814,Ketch,We regret that we are unable to supply descriptive details for this record at present.,22/09/1924,"Churchpoint, Rocks off Ballyhack",NA,NA,NA
1828-12-07,1828,Clwyd / Clewyd,W04815,Unknown,We regret that we are unable to supply descriptive details for this record at present.,07/12/1828,"Creadan Bay['Creden'], Waterford Harbour",NA,NA,NA
NA,NA,Clyde,W04816,Unknown,We regret that we are unable to supply descriptive details for this record at present.,1828,"Tramore Bay, Co Waterford",NA,NA,NA
1908-02-02,1908,Clytie (SS),W04817,Steam Trawler,We regret that we are unable to supply descriptive details for this record at present.,02/02/1908,"Mine Head, Co Waterford, c. 9 miles SE of",NA,NA,NA
1835-11-21,1835,Collins,W04818,Unknown,We regret that we are unable to supply descriptive details for this record at present.,21/11/1835,Dunmore / Wateford estuary,NA,NA,NA
1852-01-06,1852,Columbia / Columbus,W04819,Unknown,We regret that we are unable to supply descriptive details for this record at present.,06/01/1852,"Killoggan Bay, 0.5 mile W of Hook Tower",NA,NA,NA
1852-01-06,1852,Columbus,W04820,Ship,We regret that we are unable to supply descriptive details for this record at present.,06/01/1852,"Waterford / Hook Head Lighthouse, near",NA,NA,NA
1917-08-13,1917,Comita,W04821,Unknown,We regret that we are unable to supply descriptive details for this record at present.,13/08/1917,"Ardmore, 5 miles from",NA,NA,NA
1811-02-22,1811,Commerce,W04822,Unknown,We regret that we are unable to supply descriptive details for this record at present.,22/02/1811,"Tramore, Co Waterford",NA,NA,NA
1834-02-06,1834,Commerce,W04823,Brig,We regret that we are unable to supply descriptive details for this record at present.,06/02/1834,"Waterford, near",NA,NA,NA
1813-02-20,1813,Conceicao,W04824,Brig,We regret that we are unable to supply descriptive details for this record at present.,20/02/1813,Cromwellâs Rock,NA,NA,NA
1775-10-19,1775,Cornwall Packet,W04825,Packet boat,We regret that we are unable to supply descriptive details for this record at present.,19/10/1775,"Dungarvan, near",NA,NA,NA
1799-10-12,1799,Countess of Lecister,W04826,Packet boat,We regret that we are unable to supply descriptive details for this record at present.,12/10/1799,"Waterford, off",NA,NA,NA
1882-09-01,1882,Crininabrath-Brandt,W04827,Barque,We regret that we are unable to supply descriptive details for this record at present.,01/09/1882,"Creadan Head, near",NA,NA,NA
1835-11-24,1835,Cuba,W04829,Brig,We regret that we are unable to supply descriptive details for this record at present.,24/11/1835,"Tramore Bay, Co Waterford",NA,NA,NA
1848-12-13,1848,DâArtagnan / Dartagnan,W04830,Lugger,We regret that we are unable to supply descriptive details for this record at present.,13/12/1848,"Tramore Bay, Co Waterford
Co. Donegal, Tremore Bay",NA,NA,NA
NA,NA,Dart,W04831,Schooner,We regret that we are unable to supply descriptive details for this record at present.,1820,"Tramore, Co Waterford",NA,NA,NA
1881-03-03,1881,Day Spring,W04832,Brigantine,We regret that we are unable to supply descriptive details for this record at present.,03/03/1881,"Broomhill shoals, Waterford Harbour, Off / Arthurstown, near, at Broomhill",NA,NA,NA
NA,NA,Dennis,W04833,Unknown,We regret that we are unable to supply descriptive details for this record at present.,Between 16/2/1799 and 19/2/1799,Dungarvan Bay,NA,NA,NA
1769-01-31,1769,DFS,W04834,Vessel,We regret that we are unable to supply descriptive details for this record at present.,31/01/1769,"Waterford, offshore",NA,NA,NA
1860-12-26,1860,Diana,W04835,Brigantine,We regret that we are unable to supply descriptive details for this record at present.,26/12/1860,"Ardmore Bay, Co Waterford",NA,NA,NA
NA,NA,Diana,W04836,Brig,We regret that we are unable to supply descriptive details for this record at present.,1830,"Tramore, Co Waterford",NA,NA,NA
1845-02-12,1845,Diligent,W04837,Unknown,We regret that we are unable to supply descriptive details for this record at present.,12/02/1845,"Dungarvan, Off",NA,NA,NA
1794-11-28,1794,Dispatch,W04838,Vessel,We regret that we are unable to supply descriptive details for this record at present.,28/11/1794,Dungarvan Bar,NA,NA,NA
1809-02-10,1809,Dispatch,W04839,Unknown,We regret that we are unable to supply descriptive details for this record at present.,10/02/1809,"Waterford Harbour, Mouth of",NA,NA,NA
1876-11-12,1876,Donegal,W04840,Brig,We regret that we are unable to supply descriptive details for this record at present.,12/11/1876,"Creadan Head, near",NA,NA,NA
1824-01-25,1824,Dorothea,W04841,Unknown,We regret that we are unable to supply descriptive details for this record at present.,25/01/1824,"Annestown and Bonmahon, between",NA,NA,NA
1789-01-30,1789,Douglas,W04842,Unknown,We regret that we are unable to supply descriptive details for this record at present.,30/01/1789,"Waterford Harbour, entrance to",NA,NA,NA
1881-10-22,1881,Douze ApÃ´tres,W04843,Lugger,We regret that we are unable to supply descriptive details for this record at present.,22/10/1881,"Helvick Head, 2 miles E of",NA,NA,NA
NA,NA,Dove,W04844,Sloop,We regret that we are unable to supply descriptive details for this record at present.,1845,"Tramore, Co Waterford",NA,NA,NA
1905-08-03,1905,Dove,W04845,Yawl,We regret that we are unable to supply descriptive details for this record at present.,03/08/1905,"Nancy Cove / Swines end, Ballymacaw",NA,NA,NA
1783-10-14,1783,Draper,W04846,Brig,We regret that we are unable to supply descriptive details for this record at present.,14/10/1783,"Waterford, near",NA,NA,NA
1769-01-21,1769,Duchess of Leinster,W04847,Brig,We regret that we are unable to supply descriptive details for this record at present.,21/01/1769,"Waterford, off /  Hook Tower, near",NA,NA,NA
1749-09-15,1749,Duke of Cumberland,W04848,Unknown,We regret that we are unable to supply descriptive details for this record at present.,15/09/1749,Waterford,NA,NA,NA
1847-03-26,1847,Dunbrody,W04849,Sailing Ship,We regret that we are unable to supply descriptive details for this record at present.,26/03/1847,"Waterford, off",NA,NA,NA
1798-11-01,1798,Duntzfelt,W04850,Merchant Vessel,We regret that we are unable to supply descriptive details for this record at present.,01/11/1798,"Waterford, 20 miles below and 4 miles from Dungarvan at Dungarvan Bay",NA,NA,NA
1898-01-19,1898,Dunvegan,W04851,Barque,We regret that we are unable to supply descriptive details for this record at present.,19/01/1898,"Ballymacart Old Parish, Cliffs at",NA,NA,NA
1776-02-27,1776,Dutchess De Clarke,W04852,Unknown,We regret that we are unable to supply descriptive details for this record at present.,27/02/1776,"Waterford, near",NA,NA,NA
1773-05-04,1773,Eagle,W04853,Ship,We regret that we are unable to supply descriptive details for this record at present.,04/05/1773,Drumroe Bank - Dunmore?,NA,NA,NA
1765-12-17,1765,Earl of Sandwich,W04855,Brig,We regret that we are unable to supply descriptive details for this record at present.,17/12/1765,"Islandikeem, Ardmore / in the River of Waterford",NA,NA,NA
1860-02-16,1860,Echo,W04856,Brig,We regret that we are unable to supply descriptive details for this record at present.,16/02/1860,"Mine Head, Co Waterford, lighthouse",NA,NA,NA
1861-10-10,1861,Eclat,W04857,Cutter,We regret that we are unable to supply descriptive details for this record at present.,10/10/1861,"Ballinacourty Lighthouse, 2 miles SE of",NA,NA,NA
1915-06-27,1915,Edith (SV),W04858,Schooner,We regret that we are unable to supply descriptive details for this record at present.,27/06/1915,"Cork, Capel Island, 10 miles SE from.",51.76389,-7.6625,UKHO
1837-12-19,1837,Edward,W04859,Vessel,We regret that we are unable to supply descriptive details for this record at present.,19/12/1837,Ballymacaw,NA,NA,NA
1907-08-30,1907,Effort (SS),W04860,Steamship,We regret that we are unable to supply descriptive details for this record at present.,30/08/1907,"Barrels Lighthouse, 7 miles WSW of the",NA,NA,NA
1871-11-21,1871,Egeria,W04861,Barque,We regret that we are unable to supply descriptive details for this record at present.,21/11/1871,Ballymacaw,NA,NA,NA
1836-01-22,1836,Elanor Todd,W04862,Unknown,We regret that we are unable to supply descriptive details for this record at present.,22/01/1836,"Baillies, The",NA,NA,NA
NA,NA,Eliza,W04863,Brig,We regret that we are unable to supply descriptive details for this record at present.,1820,"Tramore, Co Waterford",NA,NA,NA
1874-06-29,1874,Eliza,W04864,Schooner,We regret that we are unable to supply descriptive details for this record at present.,29/06/1874,"Mine Head, Co Waterford, 30 miles S of",NA,NA,NA
NA,NA,Eliza,W04865,Barque,We regret that we are unable to supply descriptive details for this record at present.,1856,"Tramore, Co Waterford",NA,NA,NA
1809-12-05,1809,Eliza,W04866,Vessel,We regret that we are unable to supply descriptive details for this record at present.,05/12/1809,"Tramore, Co Waterford",NA,NA,NA
1900-02-15,1900,Eliza OâKeeffe,W04867,Brigantine,We regret that we are unable to supply descriptive details for this record at present.,15/02/1900,"Dungarvan, Co Waterford, Wyseâs Point, Ballynacourty, abreast of",NA,NA,NA
NA,NA,Elizabeth,W04868,Brig,We regret that we are unable to supply descriptive details for this record at present.,1845,"Tramore, Co Waterford",NA,NA,NA
1853-12-20,1853,Elizabeth,W04869,Brig,We regret that we are unable to supply descriptive details for this record at present.,20/12/1853,"Waterford, 15 miles SSE of",NA,NA,NA
1881-10-23,1881,Elizabeth,W04870,Brig,We regret that we are unable to supply descriptive details for this record at present.,23/10/1881,"Whiting Bay, rocks c.Â¼ miles from shore of",NA,NA,NA
1844-01-11,1844,Elizabeth,W04871,Vessel,We regret that we are unable to supply descriptive details for this record at present.,11/01/1844,"Tramore Bay, Co Waterford",NA,NA,NA
1804-11-09,1804,Elizabeth & Margaret,W04872,Sloop,We regret that we are unable to supply descriptive details for this record at present.,09/11/1804,Dungarvan,NA,NA,NA
1900-01-05,1900,Elizabeth Worthington,W04873,Schooner,We regret that we are unable to supply descriptive details for this record at present.,05/01/1900,"Passage Spit Light, Waterford Harbour, Near",NA,NA,NA
NA,NA,Ellas / Elas,W04874,Brig,We regret that we are unable to supply descriptive details for this record at present.,Between 18/1/1851 and 20/1/1851,"Elbow Sand Bank / Spit Bank, Dungarvan, On",NA,NA,NA
NA,NA,Ellen,W04875,Smack,We regret that we are unable to supply descriptive details for this record at present.,1825,"Tramore, Co Waterford",NA,NA,NA
1882-04-07,1882,Ellen,W04876,Schooner,We regret that we are unable to supply descriptive details for this record at present.,07/04/1882,"Ballyquin Strand, Ardmore Bay",NA,NA,NA
1882-04-02,1882,Ellen,W04877,Schooner,We regret that we are unable to supply descriptive details for this record at present.,02/04/1882,"Ballyquin Strand, Ardmore Bay",NA,NA,NA
1894-12-21,1894,Ellen Mar,W04878,Schooner,We regret that we are unable to supply descriptive details for this record at present.,21/12/1894,"Ardoginna Head, near Ram Head",NA,NA,NA
1849-02-27,1849,Emma,W04879,Unknown,We regret that we are unable to supply descriptive details for this record at present.,27/02/1849,Waterford Harbour,NA,NA,NA
1879-04-14,1879,Emma C. Beal,W04880,Barque,We regret that we are unable to supply descriptive details for this record at present.,14/04/1879,"Hook, Near the",NA,NA,NA
1854-10-15,1854,Emma Tully,W04881,Barque,We regret that we are unable to supply descriptive details for this record at present.,15/10/1854,"Waterford, at sea - put into",NA,NA,NA
1807-11-19,1807,Endeavour,W04882,Unknown,We regret that we are unable to supply descriptive details for this record at present.,19/11/1807,"Waterford, near",NA,NA,NA
1825-12-27,1825,Endeavour,W04883,Brig,We regret that we are unable to supply descriptive details for this record at present.,27/12/1825,"Ballyroney, Dungarvan",NA,NA,NA
1821-12-09,1821,Endeavour,W04884,Unknown,We regret that we are unable to supply descriptive details for this record at present.,09/12/1821,Waterford Harbour,NA,NA,NA
NA,NA,Enna,W04885,Brig,We regret that we are unable to supply descriptive details for this record at present.,1818,"Tramore, Co Waterford",NA,NA,NA
1786-12-01,1786,Enterprize,W04886,Sailing Ship,We regret that we are unable to supply descriptive details for this record at present.,01/12/1786,"Waterford Harbour, Duncannon Strand",NA,NA,NA
1822-04-21,1822,Esther,W04887,Unknown,We regret that we are unable to supply descriptive details for this record at present.,21/04/1822,"Hook Head lighthouse, Off",NA,NA,NA
1825-12-19,1825,Esther,W04888,Snow,We regret that we are unable to supply descriptive details for this record at present.,19/12/1825,Dungarvan Bar,NA,NA,NA
1888-12-21,1888,Etta,W04889,Barque,We regret that we are unable to supply descriptive details for this record at present.,21/12/1888,"Creadan Head, south side of",NA,NA,NA
1917-09-19,1917,Etal Manor (SS),W04890,Collier,We regret that we are unable to supply descriptive details for this record at present.,19/09/1917,"Wexford, Hook Head, 14km South.",52.00346,-6.89931,GSI_214
1917-12-16,1917,Excelisior,W04892,Motor Fishing Vessel,We regret that we are unable to supply descriptive details for this record at present.,16/12/1917,"Helvick coastguard station, c.200 yards E of",NA,NA,NA
1917-07-23,1917,Excelsior,W04893,Ketch,We regret that we are unable to supply descriptive details for this record at present.,23/07/1917,"Waterford, Ardmore Head, 3.5 miles E.",51.95417,-7.675,UKHO
1917-08-12,1917,Falkland (SS),W04894,Steamship,We regret that we are unable to supply descriptive details for this record at present.,12/08/1917,"Mine Head, Co Waterford, 10 miles off / S by E",NA,NA,NA
1875-01-03,1875,Fanny,W04895,Schooner,We regret that we are unable to supply descriptive details for this record at present.,03/01/1875,"Tramore Bay, Co Waterford",NA,NA,NA
NA,NA,Fanny,W04896,Schooner,We regret that we are unable to supply descriptive details for this record at present.,1816,"Tramore Bay, Co Waterford",NA,NA,NA
1804-01-28,1804,Fanny,W04897,Snow,We regret that we are unable to supply descriptive details for this record at present.,28/01/1804,"Mawless Rock, Kings Channel",NA,NA,NA
1792-02-07,1792,Fanny,W04898,Unknown,We regret that we are unable to supply descriptive details for this record at present.,07/02/1792,Waterford Harbour,NA,NA,NA
1875-01-16,1875,Fatima,W04899,Barque,We regret that we are unable to supply descriptive details for this record at present.,16/01/1875,"Waterford, off",NA,NA,NA
1769-09-05,1769,Favourite,W04900,Yacht,We regret that we are unable to supply descriptive details for this record at present.,05/09/1769,"Dungarvan, offshore",NA,NA,NA
1838-01-05,1838,Favourite,W04901,Sailing Ship,We regret that we are unable to supply descriptive details for this record at present.,05/01/1838,Dogâs Nose,NA,NA,NA
1798-02-06,1798,Favourite,W04902,Unknown,We regret that we are unable to supply descriptive details for this record at present.,06/02/1798,"Waterford, near",NA,NA,NA
1782-06-18,1782,Felicity,W04903,Unknown,We regret that we are unable to supply descriptive details for this record at present.,18/06/1782,Dungarvan Bay,NA,NA,NA
1917-05-05,1917,Feltria (SS),W04904,Steamship,We regret that we are unable to supply descriptive details for this record at present.,05/05/1917,"Waterford, Mine Head, 8 miles SE of.",51.96228,-7.312,INFOMAR Wreck Data
1792-03-30,1792,Fille Unique,W04905,Unknown,We regret that we are unable to supply descriptive details for this record at present.,30/03/1792,"Waterford, near",NA,NA,NA
1917-09-01,1917,Fingal (SS),W04906,Steamship,We regret that we are unable to supply descriptive details for this record at present.,01/09/1917,"Hook Head, 7 miles SE of",NA,NA,NA
1758-01-24,1758,Firme,W04907,Vessel,We regret that we are unable to supply descriptive details for this record at present.,24/01/1758,"River Suir, Co Waterford",NA,NA,NA
1811-03-27,1811,Fleece,W04908,Unknown,We regret that we are unable to supply descriptive details for this record at present.,27/03/1811,"River Suir, Co Waterford",NA,NA,NA
1825-12-19,1825,Flora,W04909,Schooner,We regret that we are unable to supply descriptive details for this record at present.,19/12/1825,"Tramore Bay, Co Waterford",NA,NA,NA
1917-03-11,1917,Unknown,W04910,Unknown,We regret that we are unable to supply descriptive details for this record at present.,11/03/1917,"Old Head of Kinsale, 70km SE by S",51.06667,-8.03333,UKHO Wreck Data
1783-01-03,1783,Fortune,W04911,Brig,We regret that we are unable to supply descriptive details for this record at present.,03/01/1783,"Ardmore Bay, Co Waterford / Ballyquin, 5 miles from Youghal",NA,NA,NA
1811-02-05,1811,Fox,W04912,Brig,We regret that we are unable to supply descriptive details for this record at present.,05/02/1811,"Tramore Bay, Co Waterford",NA,NA,NA
NA,NA,Fox,W04913,Brig,We regret that we are unable to supply descriptive details for this record at present.,1817,"Tramore, Co Waterford",NA,NA,NA
1784-07-28,1784,Frances & Mary,W04914,Boat,We regret that we are unable to supply descriptive details for this record at present.,28/07/1784,Ballytrent,NA,NA,NA
1902-11-27,1902,Frances Jane,W04915,Schooner,We regret that we are unable to supply descriptive details for this record at present.,27/11/1902,Drumore Bank,NA,NA,NA
1820-12-15,1820,Friends,W04916,Sailing Ship,We regret that we are unable to supply descriptive details for this record at present.,15/12/1820,Dungarvan Bar,NA,NA,NA
1812-06-28,1812,Friends,W04917,Unknown,We regret that we are unable to supply descriptive details for this record at present.,28/06/1812,"River Suir, Co Waterford",NA,NA,NA
1886-01-21,1886,Friends,W04918,Yawl,We regret that we are unable to supply descriptive details for this record at present.,21/01/1886,"Waterford, entrance to",NA,NA,NA
1746-02-03,1746,Friends Adventure,W04919,Unknown,We regret that we are unable to supply descriptive details for this record at present.,03/02/1746,Dungarvan,NA,NA,NA
1847-12-08,1847,Frs Lawson,W04920,Sailing Ship,We regret that we are unable to supply descriptive details for this record at present.,08/12/1847,"Mine Head, Co Waterford, near",NA,NA,NA
1861-02-09,1861,Galexede,W04921,Ship,We regret that we are unable to supply descriptive details for this record at present.,09/02/1861,"Tramore, Co Waterford",NA,NA,NA
1891-09-15,1891,Garland,W04922,Cutter,We regret that we are unable to supply descriptive details for this record at present.,15/09/1891,"Tramore, Co Waterford",NA,NA,NA
1917-07-10,1917,Garmoyle (SS),W04923,Steamship,We regret that we are unable to supply descriptive details for this record at present.,10/07/1917,"Waterford, Mine Head, 14 miles SE.",51.89167,-7.24167,UKHO
