year,n_tree,europe_temp_index
866,-0.99,-0.33
865,-1.68,-0.88
864,-0.5,0.02
863,-0.88,-0.43
862,-0.84,-0.39
861,-1.24,-0.61
860,-1.38,-0.18
859,-1.02,-0.43
858,-0.54,-0.24
857,-0.9,-0.33
856,-0.56,-0.01
855,-0.56,0.06
854,-0.84,-0.28
853,-0.85,-0.69
852,-0.94,-0.81
851,-0.54,-0.48
850,0.19,0.11
849,-0.05,0.04
848,-0.42,-0.16
847,-0.52,-0.14
846,-0.33,-0.17
845,0.32,0.59
844,-0.59,-0.08
843,-0.02,-0.02
842,0.08,0.26
841,-0.27,-0.08
840,-0.02,-0.03
839,0.04,0.38
838,-0.34,-0.12
837,0.28,0.32
836,-0.53,0.02
835,-0.11,0.24
834,-0.9,-0.35
833,-0.21,0.09
832,-0.65,-0.13
831,-0.99,-0.3
830,-0.81,-0.11
829,-0.98,-0.23
828,-0.41,-0.21
827,-0.81,-0.22
826,-0.67,-0.19
825,-0.46,-0.08
824,-0.67,-0.67
823,-0.41,-0.37
822,-0.47,-0.35
821,-0.17,-0.27
820,-0.26,-0.03
819,-0.69,-0.23
818,-1.32,-0.61
817,-1.27,-0.04
816,-0.68,0.04
815,-1.06,-0.42
814,-1.69,-0.53
813,-0.8,0.05
812,-0.69,-0.17
811,-0.85,-0.09
810,-1.28,-0.28
809,-1.46,-0.74
808,-0.86,-0.48
807,-1.29,-0.52
806,-1.03,-0.46
805,-0.7,-0.5
804,-1.2,-0.38
803,-1.38,-0.83
802,-1.24,-0.56
801,-1.38,-0.55
800,-2.37,-1.57
799,-1.02,-0.72
798,-0.81,-0.37
797,-1.08,-0.6
796,-0.75,-0.41
795,-0.63,-0.21
794,-0.49,-0.16
793,0.18,0.37
792,0.62,0.47
791,-1.01,-0.33
790,0.07,0.34
789,-0.98,-0.37
788,-0.97,-0.43
787,-0.34,0.06
786,-0.35,-0.21
785,-0.57,-0.01
784,-1.26,-0.54
783,-0.94,-0.48
782,-0.45,-0.19
781,-1.09,-0.32
780,-0.22,0.2
779,-0.27,0.27
778,0.3,0.46
777,-0.14,0.33
776,-0.54,-0.36
775,0.09,0.26
774,-0.04,0.09
773,-0.72,-0.4
772,-0.93,-0.39
771,0.68,0.77
770,-0.23,0.34
769,0.64,0.39
768,0.48,0.35
767,0.65,0.28
766,-0.46,-0.24
765,0.68,0.21
764,1.09,0.54
763,0.72,0.47
762,-0.4,-0.17
761,0.48,0.65
760,0.68,0.7
759,0.4,0.33
758,0.97,0.51
757,0.58,0.21
756,0.33,-0.28
755,0.48,0.15
754,0.49,0.67
753,0.61,0.64
752,0.04,-0.07
751,0.41,0.41
750,0.32,0.28
749,0.23,0.39
748,0.1,0.06
747,0.49,0.79
746,0.08,0.3
745,-0.38,0.11
744,-0.53,-0.28
743,-0.57,0.11
742,0.38,0.58
741,-0.37,-0.1
740,-0.71,-0.35
739,-0.71,-0.18
738,-0.97,-0.35
737,-0.24,0.11
736,0.56,0.6
735,0.12,0.06
734,0.11,0.34
733,-0.31,0.15
732,0.76,0.55
731,0,-0.02
730,0.57,0.63
729,0.11,0.45
728,0.25,0.4
727,-0.34,0.19
726,-0.06,0.45
725,-0.2,0.5
724,-0.01,0.28
723,-0.21,0.11
722,-0.14,0.21
721,0.21,0.5
720,-0.94,-0.08
719,-0.62,0.01
718,-0.4,0.16
717,-0.08,0.33
716,-0.43,0.23
715,-0.53,-0.18
714,-0.14,-0.01
713,-0.23,0.06
712,-0.76,-0.36
711,-0.67,-0.29
710,-0.71,-0.24
709,-0.59,-0.32
708,0.49,0.46
707,-0.63,0.05
706,-0.23,0.34
705,-0.1,-0.01
704,0.11,-0.06
703,-0.17,0.29
702,-0.5,-0.06
701,-0.54,-0.07
700,-1.46,-0.54
699,-0.53,0.05
698,-0.93,-0.43
697,-0.75,-0.03
696,-0.17,0.25
695,-0.83,0.07
694,-1.3,-0.5
693,-1.33,-0.12
692,-1.33,-0.73
691,-0.96,-0.12
690,-1.21,-0.24
689,-0.69,0.05
688,-1.33,-0.08
687,-1.93,-0.7
686,-0.48,0.23
685,-0.78,-0.22
684,-0.95,-0.16
683,0.24,0.64
682,-0.93,0.26
681,-1.04,-0.02
680,-0.05,0.32
679,-0.26,-0.03
678,-0.3,0.05
677,0.06,0.04
676,-1.05,-0.58
675,-0.33,0.3
674,0.67,0.48
673,0.33,0.12
672,0.1,0.12
671,0.19,0.35
670,-0.33,0.18
669,-0.53,-0.39
668,-0.4,-0.24
667,-0.06,0.21
666,-0.08,0.02
665,-0.16,0.07
664,-0.87,-0.53
663,-0.85,-0.27
662,-1.06,-0.73
661,-1.19,-0.51
660,-0.77,-0.29
659,-1.04,-0.68
658,-0.49,-0.21
657,0.04,0.15
656,-0.06,0.19
655,-1.43,-0.51
654,-0.68,-0.31
653,-0.87,-0.23
652,-0.14,0.2
651,-1.04,-0.43
650,-0.83,-0.36
649,-0.65,-0.07
648,-1.74,-0.57
647,-1.38,-0.86
646,-0.99,-0.41
645,-0.59,0.38
644,-1.45,-0.32
643,-1.04,-0.49
642,-0.66,-0.3
641,-0.62,0.04
640,-0.9,-0.17
639,-1.54,-0.56
638,-0.59,0.03
637,-0.27,0.22
636,-0.75,-0.4
635,-0.74,-0.49
634,0.06,0.15
633,0.31,0.25
632,-0.23,0.06
631,-0.81,-0.42
630,0.07,0.04
629,0.28,-0.07
628,-0.98,-0.22
627,-3.02,-1.01
626,-1.25,-0.71
625,-0.72,-0.21
624,-0.81,-0.41
623,-0.85,-0.12
622,-0.17,0.3
621,-0.34,-0.13
620,-0.38,0.23
619,-0.13,0.15
618,-0.44,-0.34
617,-1.07,-0.68
616,0.22,0.35
615,-0.94,-0.19
614,-0.72,-0.43
613,-0.99,-0.23
612,-0.53,0.04
611,-1,-0.26
610,-1.34,-0.4
609,-1.18,-0.38
608,-1.72,-0.7
607,-1.52,-0.75
606,-0.19,0.09
605,-0.37,-0.19
604,-0.17,0.21
603,-1.86,-0.97
602,-0.29,-0.21
601,-1.49,-0.66
600,-0.83,-0.27
599,-0.63,-0.36
598,-1.14,-0.57
597,-0.83,-0.69
596,-1.86,-0.7
595,-0.43,-0.24
594,0.33,0.15
593,-0.08,-0.23
592,-0.36,-0.27
591,-0.72,-0.4
590,-0.15,0.14
589,-1.42,-0.69
588,-0.17,-0.07
587,-0.32,0.15
586,-0.1,0.08
585,-1.4,-0.68
584,-0.61,-0.17
583,-0.65,-0.21
582,-1.16,-0.55
581,-0.49,-0.09
580,-0.74,-0.01
579,-1.22,-0.33
578,-1.33,-0.29
577,-0.91,-0.12
576,-1.1,-0.16
575,-1.37,-0.65
574,-2.56,-1.39
573,-0.79,-0.18
572,-0.98,-0.05
571,-0.62,0.05
570,-0.71,0.14
569,-1.77,-0.56
568,-0.32,0.07
567,-0.82,-0.27
566,-1.04,-0.43
565,-1.47,-0.75
564,-1.47,-0.81
563,-1.31,-0.23
562,-1.41,-0.18
561,-0.87,0
560,-1.53,-0.81
559,-0.6,0.19
558,0.23,0.58
557,-0.8,-0.28
556,-0.25,0.33
555,-0.84,-0.38
554,-1.26,-0.29
553,-0.95,0.02
552,-1.39,-0.42
551,-2.13,-1.14
550,-1.46,-0.68
549,-2.32,-1.34
548,-1.43,-0.34
547,-2.12,-0.62
546,-2.45,-0.8
545,-2.58,-1.11
544,-2.65,-1.41
543,-3.08,-1.37
542,-1.6,-0.66
541,-2.53,-1.34
540,-1.9,-0.86
539,-1.21,-0.53
538,-2.01,-1.08
537,-1.89,-0.32
536,-3.29,-1.58
535,0.07,0.1
534,-0.22,0.08
533,-0.51,0.05
532,-0.56,-0.09
531,-0.32,0.09
530,-0.21,-0.27
529,-0.08,0.08
528,-0.58,-0.1
527,-0.57,-0.19
526,-0.5,-0.11
525,0.12,0.22
524,-0.77,-0.15
523,0.06,0.29
522,-1.09,-0.55
521,-0.36,-0.28
520,-0.37,-0.1
519,0.32,0.36
518,0.03,0.22
517,-0.16,0.07
516,-0.4,0.03
515,-0.51,-0.52
514,-0.15,-0.06
513,0.52,0.39
512,-0.16,0.03
511,-1.44,-0.78
510,-0.02,0.31
509,0.17,0.76
508,0,0.41
507,0.17,0.52
506,-0.33,0.03
505,-0.23,-0.06
504,-0.85,-0.52
503,0.54,0.64
502,0.23,0.33
501,-0.07,0.46
500,0.18,0.82
499,0.29,0.44
498,-0.08,0.29
497,0.11,0.55
496,-0.17,0.22
495,-0.44,0.25
494,0.49,0.71
493,0.22,0.79
492,-0.56,-0.01
491,-0.27,0.07
490,-0.15,-0.07
489,-0.2,0.27
488,-1.06,-0.15
487,-1.27,-0.7
486,-1.09,-0.18
485,-0.02,0.4
484,-1.15,-0.32
483,-0.75,0.19
482,-0.67,-0.12
481,-0.42,-0.1
480,-0.56,-0.28
479,-1.6,-0.68
478,-0.75,-0.72
477,-0.78,-0.46
476,-0.68,-0.22
475,-1.04,-0.21
474,-0.83,-0.56
473,-0.26,0.48
472,-0.34,0.09
471,-0.9,-0.6
470,-0.63,-0.07
469,-0.63,-0.17
468,-0.68,-0.27
467,-0.83,-0.64
466,-0.56,-0.13
465,-0.86,-0.4
464,-1.04,-0.61
463,-0.54,0.09
462,-1.4,-0.95
461,-0.98,-0.52
460,-0.6,-0.02
459,-1.3,-1
458,-0.19,-0.05
457,-0.21,0.02
456,-0.75,-0.08
455,-0.18,-0.01
454,-0.64,-0.33
453,-0.5,-0.02
452,-0.52,0.02
451,-1.05,0.04
450,-0.75,0.13
449,-1.06,-0.36
448,-0.52,-0.14
447,-0.94,-0.34
446,-0.94,-0.39
445,-1.11,-0.23
444,-0.05,0.57
443,-0.4,0.38
442,-0.16,0.44
441,-0.32,0.28
440,-0.67,-0.06
439,-1.92,-0.64
438,-0.34,-0.12
437,-1.19,-0.21
436,-1.07,-0.64
435,0.35,0.19
434,0.38,0.33
433,-0.21,-0.22
432,-0.48,-0.1
431,-0.76,-0.27
430,0.37,0.65
429,-0.5,0.06
428,-0.39,-0.08
427,-0.78,-0.34
426,-1.87,-0.79
425,-0.73,-0.26
424,-0.57,-0.01
423,-1.14,-0.26
422,-1.58,-0.65
421,-1.29,-0.73
420,-0.97,-0.26
419,-1.02,-0.5
418,-1.17,-0.68
417,-0.95,-0.95
416,-1.29,-0.65
415,-1.11,-0.75
414,-1.44,-1.22
413,-0.76,-0.62
412,-0.84,-0.24
411,-0.6,-0.12
410,-0.28,0.21
409,0.07,0.38
408,0.05,0.41
407,0.19,0.39
406,0.24,0.43
405,-0.36,-0.06
404,-0.79,-0.1
403,-0.36,-0.11
402,-0.18,0
401,0.06,0.15
400,-0.87,-0.34
399,-0.58,-0.3
398,-0.98,-0.51
397,-0.93,-0.57
396,-1.75,-1.19
395,-1.29,-0.59
394,-1.16,-0.73
393,-1.72,-0.75
392,-0.96,-0.96
391,-0.62,-0.61
390,-0.72,-0.61
389,-0.45,-0.34
388,-0.72,-0.24
387,-0.53,-0.04
386,0.42,0.21
385,-0.12,0.24
384,-0.25,0.07
383,-0.76,-0.32
382,-0.78,-0.16
381,-1.47,-0.64
380,0,0.17
379,-0.45,-0.3
378,-0.34,0.02
377,0.25,0.21
376,-0.29,-0.4
375,0.65,0.37
374,-0.42,0.2
373,0.34,0.37
372,0.17,-0.35
371,0.69,0.25
370,-0.74,-0.1
369,-0.56,-0.27
368,-0.46,-0.18
367,-0.43,-0.17
366,-0.27,-0.14
365,-0.46,-0.34
364,0.1,0.11
363,0.06,0.31
362,-0.29,-0.07
361,-0.14,-0.22
360,-0.67,-0.82
359,-1.09,-0.67
358,-0.58,-0.69
357,-1.47,-1.12
356,-1.28,-1.04
355,-1.15,-0.76
354,-1.55,-0.79
353,-0.92,-0.55
352,-1.47,-0.68
351,-1.16,-0.24
350,-0.77,-0.33
349,-1.05,-0.32
348,-0.38,0.26
347,-0.39,0.14
346,-0.63,0.17
345,-1.41,-0.76
344,-1.29,-0.21
343,-1.81,-0.85
342,-1.42,-0.52
341,-0.71,-0.38
340,-1.49,-0.86
339,-2.48,-1.28
338,-1.12,-0.45
337,-1.06,-0.23
336,-1.36,-0.84
335,-1.69,-0.99
334,-0.5,-0.18
333,-1.37,-0.77
332,-0.97,-0.75
331,-0.78,-0.32
330,-0.92,-0.25
329,-1.11,-0.82
328,-1.17,-0.4
327,-1.25,-0.73
326,-1.37,-0.6
325,-0.71,-0.44
324,-0.03,0.31
323,-0.61,-0.19
322,-0.77,-0.39
321,-1.09,0.02
320,-0.59,-0.05
319,-0.7,-0.06
318,-0.58,-0.08
317,-0.71,-0.31
316,-0.81,-0.59
315,-0.92,-0.57
314,-0.76,-0.41
313,-0.7,-0.18
312,-0.81,-0.37
311,-1.1,-0.53
310,-0.75,-0.46
309,-1.01,-0.65
308,-0.99,-0.61
307,-0.58,-0.31
306,-0.59,-0.22
305,-0.85,-0.58
304,-0.27,-0.11
303,-0.34,-0.25
302,-0.88,-0.41
301,-1.27,-0.66
300,-0.78,-0.48
299,-1.26,-0.76
298,-0.35,0.09
297,0.31,0.58
296,-0.14,0.15
295,-0.51,0.13
294,-0.64,-0.03
293,-1.29,-0.51
292,-0.46,-0.01
291,-0.11,0.12
290,-1.48,-0.49
289,-0.01,-0.01
288,-0.22,-0.11
287,-0.33,0
286,0.08,0.07
285,-0.56,0.14
284,0.1,0.24
283,-0.36,0.18
282,-0.05,0.24
281,-0.22,0.44
280,0.03,0.1
279,0.15,0.38
278,0.18,0.69
277,-0.14,0.52
276,-0.45,0.58
275,-0.72,0.15
274,-1.85,-0.3
273,-1.12,-0.19
272,-1.01,-0.05
271,-1.59,-0.61
270,-1.01,-0.74
269,-0.83,-0.57
268,-1.52,-0.57
267,-1.25,-0.52
266,-0.09,-0.11
265,-0.93,-0.59
264,-0.53,-0.31
263,-0.57,-0.33
262,-0.11,0.33
261,-0.17,0.03
260,-1.29,-0.73
259,-0.06,0.11
258,0.08,-0.4
257,-0.07,0.34
256,0.17,0.42
255,0.16,0.57
254,-0.35,0.01
253,-0.29,-0.15
252,0.14,0.62
251,-0.69,-0.72
250,0.56,0.33
249,-0.32,0.18
248,0.29,0.26
247,1.01,0.25
246,0.82,0.35
245,1.86,0.89
244,0.63,0.39
243,0.32,0.37
242,1.53,0.63
241,0.42,0.56
240,0.8,0.27
239,0.76,0.76
238,0.36,0.4
237,-0.17,0.12
236,-0.58,0.02
235,0.3,0.77
234,0.45,0.32
233,-0.12,0.02
232,-0.06,0.12
231,-0.02,-0.01
230,-0.76,-0.41
229,0.54,0.59
228,-0.53,-0.04
227,-0.52,-0.3
226,0.14,0.35
225,0.13,0.25
224,-0.52,0.07
223,-0.9,-0.21
222,-0.57,-0.11
221,-2.04,-1.03
220,-1.23,-0.32
219,-0.72,-0.13
218,-0.73,-0.37
217,0.03,0.5
216,-0.11,0.17
215,-0.29,0.08
214,0.17,0.31
213,0.32,0.27
212,0.39,0.37
211,-0.66,-0.01
210,0.66,0.37
209,-0.15,0.21
208,-1.29,-0.88
207,-0.8,-0.51
206,0.34,-0.31
205,-0.27,-0.43
204,-0.43,-0.25
203,-0.41,-0.4
202,-0.33,-0.25
201,-0.65,-0.46
200,-0.25,-0.13
199,-0.67,-0.13
198,-0.28,-0.01
197,0.08,0.33
196,0.09,0.56
195,-0.23,0.06
194,-0.18,0.29
193,-0.37,0.19
192,-0.05,0.51
191,0.57,0.54
190,0,0.7
189,-0.35,0.19
188,-0.05,0.07
187,-0.63,-0.16
186,-0.38,0.04
185,-0.22,0.28
184,-0.83,-0.08
183,-0.58,0.05
182,-1.03,0.44
181,-0.69,0.17
180,-1.29,-0.16
179,-1.63,-0.64
178,-1.15,-0.42
177,-1.27,-0.43
176,-1.03,-0.01
175,-1.5,-0.48
174,-1.75,-0.43
173,-0.98,-0.28
172,-0.61,-0.48
171,-1.04,-0.27
170,-0.8,-0.04
169,-0.7,-0.27
168,-0.52,-0.22
167,-0.28,-0.06
166,-1.14,-0.48
165,-1.58,-0.25
164,-0.77,-0.33
163,-0.77,-0.44
162,-0.52,-0.23
161,-0.33,-0.09
160,-0.92,-0.31
159,-0.77,-0.42
158,-0.83,-0.38
157,-0.6,-0.43
156,-0.97,-0.61
155,-0.98,-0.24
154,-0.46,0.01
153,-0.81,-0.37
152,-1.17,-0.69
151,-1.45,-0.15
150,-1.63,-0.52
149,-0.24,0.16
148,-1.29,-0.2
147,0.09,0.48
146,-1.14,-0.24
145,-0.33,0
144,-1.23,-0.57
143,-0.95,0.2
142,-0.75,0.09
141,-0.43,0.34
140,0.01,0.61
139,0.19,0.58
138,-0.46,0.04
137,-0.43,0.51
136,-0.5,0.08
135,-0.01,0.41
134,-0.79,0.43
133,-0.79,0.05
132,-0.35,0.47
131,-0.18,0.37
130,-0.75,-0.47
129,-0.3,0.24
128,-0.68,-0.04
127,-0.1,0.37
126,-0.41,0.23
125,0.04,0.24
124,-0.38,-0.06
123,-0.57,0.03
122,-0.17,0.36
121,0.44,0.08
120,-0.25,0.17
119,-0.74,0.05
118,0.02,0.39
117,0.07,0.41
116,0.35,0.4
115,0.74,0.48
114,0.49,0.65
113,-0.43,0.14
112,-0.12,0.51
111,0.24,0.36
110,-0.41,0.06
109,-0.15,0.07
108,0.23,0.44
107,-0.08,0.15
106,-0.32,-0.03
105,0.46,0.49
104,-0.21,-0.18
103,-0.17,0.19
102,-0.17,0.34
101,-0.55,0.13
100,-0.35,0.21
99,0.53,0.54
98,0.03,0.37
97,-0.34,0.05
96,-0.03,-0.01
95,-0.64,-0.32
94,-0.91,-0.28
93,-0.12,0.17
92,0.3,0.44
91,0.53,0.42
90,-0.21,-0.29
89,0.44,0.46
88,1.06,1.13
87,-0.35,-0.08
86,-0.17,0.02
85,-0.76,-0.43
84,-0.74,-0.64
83,-0.4,-0.1
82,-0.29,-0.16
81,-0.75,-0.14
80,-0.21,-0.52
79,0.53,0.4
78,-0.38,-0.02
77,0.47,0.27
76,0.23,0.14
75,0.4,0.4
74,-0.27,-0.02
73,0.36,0.6
72,0.23,0.44
71,-0.05,0.12
70,0.17,0.55
69,0.38,0.64
68,0.15,0.47
67,0.86,0.95
66,0.64,0.72
65,-0.05,0.3
64,0.59,0.33
63,-0.01,0.29
62,-0.57,-0.03
61,0.4,0.73
60,0.31,0.53
59,-1.19,-0.21
58,-0.16,0.55
57,-0.77,-0.12
56,-0.62,0.25
55,0.49,0.83
54,0.27,0.44
53,0.02,0.59
52,0.11,0.8
51,-0.25,0.62
50,0.18,0.77
49,-0.29,0.72
48,0.55,0.89
47,0.99,1.53
46,0.49,1.47
45,0.14,0.86
44,0.46,0.87
43,0.78,1.04
42,0.61,0.73
41,0.49,0.62
40,-0.21,0.16
39,0.96,0.81
38,0.82,1
37,1.2,0.94
36,0.63,0.47
35,2.26,1.12
34,1.86,0.92
33,0.71,0.31
32,0.81,0.27
31,0.31,-0.18
30,0.07,0.02
29,-1.48,-0.66
28,0.26,0.16
27,0.32,0.42
26,-0.01,-0.21
25,0.3,0.02
24,-0.7,-0.57
23,0.05,-0.09
22,-0.51,-0.28
21,-1.14,-0.69
20,-1.02,-0.88
19,-0.07,0.02
18,-0.23,0.15
17,0.27,0.17
16,-0.82,-0.15
15,0.03,0.36
14,-0.02,-0.04
13,0.04,0.12
12,-0.32,0.36
11,-0.37,-0.34
10,-0.84,-0.6
9,-0.6,-0.1
8,-0.24,0.15
7,0.5,0.74
6,0.16,0.67
5,0.25,0.32
4,-0.28,0.22
3,-0.73,-0.24
2,-0.6,-0.26
1,-0.18,0.09
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
