volcano_number,volcano_name,primary_volcano_type,last_eruption_year,country,region,subregion,latitude,longitude,elevation,tectonic_settings,evidence_category,major_rock_1,major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5,population_within_5_km,population_within_10_km,population_within_30_km,population_within_100_km
290360,Chikurachki,Stratovolcano(es),2016,Russia,Kuril Islands,Kuril Islands,50.324,155.461,1781,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,0,65,527,2492
351110,Chiles-Cerro Negro,Stratovolcano,1936,Colombia-Ecuador,South America,Colombia,0.817,-77.938,4698,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Dacite,Andesite / Basaltic Andesite, , , , , , , , ,977,4573,151519,1826460
357070,"Chillan, Nevados de",Stratovolcano,2020,Chile,South America,Central Chile and Argentina,-36.868,-71.378,3180,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Rhyolite, , , , , , , ,68,371,3733,512325
343090,Chinameca,Stratovolcano,Unknown,El Salvador,México and Central America,El Salvador and Honduras,13.478,-88.33,1300,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite, , , , , , , , , ,14998,89206,824983,4897760
342170,Chingo,Stratovolcano,Unknown,Guatemala-El Salvador,México and Central America,Guatemala,14.12,-89.73,1775,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,330595,330595,867678,7235923
342200,Chiquimula Volcanic Field,Pyroclastic cone(s),Unknown,Guatemala,México and Central America,Guatemala,14.83,-89.55,1192,Subduction zone / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,240892,240892,412617,3740914
290090,Chirippusan [Chirip],Stratovolcano(es),1860,Japan - administered by Russia,Kuril Islands,Kuril Islands,45.338,147.92,1587,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Dacite, , , , ,77,372,1125,4810
290150,Chirpoi,Caldera,2016,Russia,Kuril Islands,Kuril Islands,46.532,150.871,742,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,1,1,3,491
283220,Chokaisan,Stratovolcano(es),1974,Japan,"Japan, Taiwan, Marianas",Honshu,39.099,140.049,2236,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,131,707,185681,2301576
306020,Ch'uga-ryong,Shield,Unknown,North Korea-South Korea,Kamchatka and Mainland Asia,Korea,38.33,127.33,452,Intraplate / Continental crust (>25 km),Evidence Uncertain,Basalt / Picro-Basalt, , , , , , , , , ,1668,23030,262911,15245593
222130,Chyulu Hills,Volcanic field,1855,Kenya,Africa and Red Sea,Africa (eastern),-2.68,37.88,2188,Rift zone / Continental crust (>25 km),Eruption Dated,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt,Foidite, , , , , , , ,14889,14889,91280,1784980
322150,Cinnamon Butte,Pyroclastic cone(s),Unknown,United States,Canada and Western USA,USA (Oregon),43.241,-122.108,1956,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Basalt / Picro-Basalt, , , , , , , , , ,113,113,913,69577
323100,Clear Lake,Volcanic field,Unknown,United States,Canada and Western USA,USA (California),38.97,-122.77,1439,Subduction zone / Continental crust (>25 km),Evidence Credible,Dacite,Andesite / Basaltic Andesite,Rhyolite,Basalt / Picro-Basalt, , , , , , ,52801,52801,71791,1059280
331030,Cleft Segment,Submarine,1986,Undersea Features,Hawaii and Pacific Ocean,Pacific Ocean (northern),44.83,-130.3,-2140,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt, , , , , , , , , ,0,0,0,0
343041,Coatepeque Caldera,Caldera,Unknown,El Salvador,México and Central America,El Salvador and Honduras,13.87,-89.55,746,Subduction zone / Continental crust (>25 km),Evidence Credible,Rhyolite,Dacite,Andesite / Basaltic Andesite, , ,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, , , ,616730,616730,1210307,6486011
331020,CoAxial Segment,Submarine,1993,Undersea Features,Hawaii and Pacific Ocean,Pacific Ocean (northern),46.52,-129.58,-2400,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt, , , , , , , , , ,0,0,0,0
234050,"Cochons, Ile aux",Stratovolcano,Unknown,France,Middle East and Indian Ocean,Indian Ocean (southern),-46.1,50.23,775,Rift zone / Oceanic crust (< 15 km),Evidence Credible,Basalt / Picro-Basalt, , , , , , , , , ,0,0,0,0
341096,Cofre de Perote,Shield(s),1150,Mexico,México and Central America,Mexico,19.492,-97.15,4282,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , ,658,18638,885440,4907992
341040,Colima,Stratovolcano(es),2019,Mexico,México and Central America,Mexico,19.514,-103.62,3850,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , ,Dacite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, ,76,746,303490,1494790
211004,Colli Albani,Caldera,Unknown,Italy,Mediterranean and Western Asia,Italy,41.73,12.7,949,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Foidite,Phono-tephrite /  Tephri-phonolite, , , ,Trachybasalt / Tephrite Basanite, , , , ,897039,897039,2962194,5330273
341012,Comondu-La Purisima,Volcanic field,Unknown,Mexico,México and Central America,Mexico,26,-111.92,780,Rift zone / Continental crust (>25 km),Evidence Uncertain,Trachyandesite / Basaltic Trachyandesite,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , ,1033,1033,2365,43271
344120,Concepcion,Stratovolcano,2011,Nicaragua,México and Central America,Nicaragua,11.538,-85.622,1700,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , ,14072,28900,92378,2266903
357090,Copahue,Stratovolcano,2019,Chile-Argentina,South America,Central Chile and Argentina,-37.856,-71.183,2953,Subduction zone / Continental crust (>25 km),Eruption Observed,Trachybasalt / Tephrite Basanite,Andesite / Basaltic Andesite,Trachyte / Trachydacite,Rhyolite, , , , , , ,88,555,3042,138414
221290,Corbetti Caldera,Caldera,Unknown,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,7.193,38.39,2320,Rift zone / Continental crust (>25 km),Evidence Credible,Rhyolite,Basalt / Picro-Basalt, , , , , , , , ,565206,565206,1171948,9794061
355101,Cordon de Puntas Negras,Stratovolcano(es),Unknown,Chile,South America,"Northern Chile, Bolivia and Argentina",-23.743,-67.534,5852,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,0,0,217,5798
382002,Corvo,Stratovolcano,Unknown,Portugal,Atlantic Ocean,Azores,39.699,-31.111,718,Intraplate / Oceanic crust (< 15 km),Evidence Credible,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,516,516,1517,5340
344010,Cosiguina,Stratovolcano,1859,Nicaragua,México and Central America,Nicaragua,12.98,-87.57,872,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,143,4114,18876,2179830
352050,Cotopaxi,Stratovolcano,2016,Ecuador,South America,Ecuador,-0.677,-78.436,5911,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Rhyolite, , , , , , , ,251,7299,152139,3631492
358025,Crater Basalt Volcanic Field,Pyroclastic cone(s),Unknown,Argentina,South America,Southern Chile and Argentina,-42.018,-70.194,1344,Intraplate / Continental crust (>25 km),Evidence Credible,Trachybasalt / Tephrite Basanite, , , , ,Basalt / Picro-Basalt, , , , ,448,448,1140,20539
322160,Crater Lake,Caldera,-2850,United States,Canada and Western USA,USA (Oregon),42.93,-122.12,2487,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite,Andesite / Basaltic Andesite, , , ,Basalt / Picro-Basalt, , , , ,52,52,366,272674
324020,Craters of the Moon,Pyroclastic cone(s),-130,United States,Canada and Western USA,USA (Idaho),43.42,-113.5,2005,Rift zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , , , ,15,15,1459,93300
272010,Cuernos de Negros,Complex,Unknown,Philippines,Philippines and SE Asia,Central Philippines,9.25,123.17,1862,Subduction zone / Continental crust (>25 km),Unrest / Holocene,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , , , , , , ,1458,39681,531644,2960980
352003,Cuicocha,Caldera,650,Ecuador,South America,Ecuador,0.308,-78.364,3246,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite, , , , , , , , , ,178815,178815,364146,3193683
342111,Cuilapa-Barbarena,Volcanic field,Unknown,Guatemala,México and Central America,Guatemala,14.33,-90.4,1454,Subduction zone / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,119602,119602,987252,6943297
351100,Cumbal,Stratovolcano,1926,Colombia,South America,Colombia,0.95,-77.87,4764,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,1405,10206,244853,1800919
341098,"Cumbres,  Las",Stratovolcano,-3920,Mexico,México and Central America,Mexico,19.15,-97.27,3940,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Dacite,Rhyolite, , , , , , , ,113,1923,315004,6365085
221113,Dabbahu,Stratovolcano,2005,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,12.595,40.48,1401,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Rhyolite,Trachyandesite / Basaltic Trachyandesite,Trachybasalt / Tephrite Basanite,Trachyte / Trachydacite, , , , , ,204,1150,36494,540735
221114,Dabbayra,Shield,Unknown,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,12.38,40.07,1302,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt,Rhyolite, , , , , , , , ,804,3324,47053,1946949
252040,Dakataua,Caldera,1895,Papua New Guinea,Melanesia and Australia,New Britain,-5.094,150.094,408,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , , , , , , ,1147,1147,3743,113954
221141,Dama Ali,Shield,1631,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,11.28,41.63,1068,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Trachyte / Trachydacite,Rhyolite, , , , , , , ,24,1944,40013,353949
232010,Damavand,Stratovolcano,-5350,Iran,Middle East and Indian Ocean,Middle East (western),35.951,52.109,5670,Intraplate / Continental crust (>25 km),Eruption Dated,Trachyandesite / Basaltic Trachyandesite, , , , ,Basalt / Picro-Basalt,Trachyte / Trachydacite, , , ,27,2295,59171,11945981
303040,Dariganga Volcanic Field,Pyroclastic cone(s),Unknown,Mongolia,Kamchatka and Mainland Asia,Mongolia,45.754,114.279,1778,Intraplate / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Foidite, , , , , , , ,18247,18247,18247,25280
353030,Darwin,Shield,1813,Ecuador,South America,Galapagos Islands,-0.18,-91.28,1330,Rift zone / Oceanic crust (< 15 km),Eruption Dated,Basalt / Picro-Basalt, , , , ,Andesite / Basaltic Andesite, , , , ,190,190,343,2366
261210,"Daun, Bukit",Stratovolcano(es),Unknown,Indonesia,Indonesia,Sumatra,-3.38,102.37,2467,Subduction zone / Continental crust (>25 km),Unrest / Holocene,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,4088,42410,425096,2318233
322100,Davis Lake,Volcanic field,-2790,United States,Canada and Western USA,USA (Oregon),43.57,-121.82,2163,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite, , , , , , , , , ,1440,1440,7483,164597
253060,Dawson Strait Group,Volcanic field,1350,Papua New Guinea,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-9.62,150.88,500,Subduction zone / Continental crust (>25 km),Eruption Dated,Rhyolite,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , , , , , , ,5388,5388,7721,80476
390030,Deception Island,Caldera,1970,Antarctica,Antarctica,Antarctica and South Sandwich Islands,-63.001,-60.652,602,Intraplate / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, ,Dacite, , , , ,0,0,0,0
261230,Dempo,Stratovolcano(es),2017,Indonesia,Indonesia,Sumatra,-4.016,103.121,3142,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , ,124,9613,96058,2307584
357050,Descabezado Grande,Stratovolcano(es),1933,Chile,South America,Central Chile and Argentina,-35.58,-70.75,3953,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,39,142,3454,704116
322120,Devils Garden,Volcanic field,Unknown,United States,Canada and Western USA,USA (Oregon),43.512,-120.861,1698,Rift zone / Continental crust (>25 km),Evidence Uncertain,Basalt / Picro-Basalt, , , , , , , , , ,51,51,287,162601
231120,"Dhamar, Harras of",Volcanic field,1937,Yemen,Middle East and Indian Ocean,Middle East (southern),14.57,44.67,3500,Intraplate / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Rhyolite, , , , , , , , ,791276,791276,791276,5778965
360080,"Diables, Morne aux",Lava dome(s),Unknown,Dominica,West Indies,West Indies,15.612,-61.43,861,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,8048,12036,33148,479470
360090,"Diablotins, Morne",Stratovolcano,Unknown,Dominica,West Indies,West Indies,15.503,-61.397,1430,Subduction zone / Oceanic crust (< 15 km),Evidence Uncertain,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , , , , , , ,423,9775,69935,513702
322170,Diamond Craters,Volcanic field,-5610,United States,Canada and Western USA,USA (Oregon),43.1,-118.75,1435,Rift zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt, , , , , , , , , ,66,66,136,6969
263200,Dieng Volcanic Complex,Complex,2018,Indonesia,Indonesia,Java,-7.2,109.879,2565,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,1092929,1092929,1886942,24381814
300022,Diky Greben,Lava dome(s),350,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,51.452,156.978,1040,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite,Andesite / Basaltic Andesite,Rhyolite, , , , , , , ,0,56,544,4568
357067,Domuyo,Stratovolcano,Unknown,Argentina,South America,Central Chile and Argentina,-36.638,-70.432,4702,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Dacite, , , , , , , , , ,1,34,1425,30006
221100,Dubbi,Stratovolcano,1861,Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,13.579,41.809,1625,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , ,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite,Rhyolite, , ,0,0,18,14867
268010,Dukono,Complex,2020,Indonesia,Indonesia,Halmahera,1.693,127.894,1229,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,Trachyte / Trachydacite,Basalt / Picro-Basalt, , , , , , , ,1575,3348,101506,393070
341022,Durango Volcanic Field,Pyroclastic cone(s),Unknown,Mexico,México and Central America,Mexico,24.15,-104.45,2075,Subduction zone / Continental crust (>25 km),Evidence Credible,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt, , , , , , , , ,571282,571282,571282,797133
300110,Dzenzursky,Compound,Unknown,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,53.637,158.922,2285,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,0,0,110,250934
284201,East Diamante,Submarine,Unknown,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",15.93,145.67,-127,Subduction zone / Crustal thickness unknown,Unrest / Holocene,Dacite, , , , , , , , , ,0,0,0,76403
356011,Easter Island,Shield(s),Unknown,Chile,South America,Pacific Ocean (Chilean Islands),-27.15,-109.38,511,Rift zone / Oceanic crust (< 15 km),Evidence Credible,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Trachybasalt / Tephrite Basanite,Rhyolite, ,Trachyte / Trachydacite, , , , ,698,4029,4091,4091
290380,Ebeko,Stratovolcano,2020,Russia,Kuril Islands,Kuril Islands,50.686,156.014,1103,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , ,0,267,1076,3098
222080,"Eburru, Ol Doinyo",Complex,Unknown,Kenya,Africa and Red Sea,Africa (eastern),-0.65,36.22,2856,Rift zone / Continental crust (>25 km),Evidence Credible,Rhyolite,Phonolite,Trachyte / Trachydacite, , , , , , , ,460,9365,323529,7992639
353011,Ecuador,Shield,1150,Ecuador,South America,Galapagos Islands,-0.02,-91.546,790,Rift zone / Oceanic crust (< 15 km),Eruption Dated,Basalt / Picro-Basalt, , , , , , , , , ,135,135,193,894
315040,Edgecumbe,Stratovolcano(es),-2220,United States,Alaska,Alaska (eastern),57.05,-135.75,970,Intraplate / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Rhyolite,Dacite, , , , , , ,0,0,6613,7074
320060,Edziza,Stratovolcano,950,Canada,Canada and Western USA,Canada,57.72,-130.63,2786,Intraplate / Continental crust (>25 km),Eruption Dated,Trachyte / Trachydacite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Rhyolite, ,Trachyandesite / Basaltic Trachyandesite, , , , ,0,0,0,898
214010,Elbrus,Stratovolcano,50,Russia,Mediterranean and Western Asia,Western Asia,43.351,42.442,5642,Intraplate / Continental crust (>25 km),Eruption Dated,Dacite,Andesite / Basaltic Andesite,Rhyolite,Trachyte / Trachydacite, , , , , , ,26,195,5718,1469719
300590,Elovsky,Shield(s),-7550,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,57.55,160.53,1381,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt, , , , , , , , , ,0,0,44,2704
312020,Emmons Lake,Caldera,Unknown,United States,Alaska,Alaska Peninsula,55.341,-162.073,1436,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Rhyolite, , , , , , , ,0,0,686,1199
222051,Emuruangogolak,Shield,1910,Kenya,Africa and Red Sea,Africa (eastern),1.5,36.33,1285,Rift zone / Continental crust (>25 km),Eruption Dated,Trachyte / Trachydacite,Basalt / Picro-Basalt, , , , , , , , ,80,252,4448,445177
331010,Endeavour Segment,Submarine,-3490,Canada,Hawaii and Pacific Ocean,Pacific Ocean (northern),47.95,-129.1,-2050,Rift zone / Oceanic crust (< 15 km),Eruption Dated,Basalt / Picro-Basalt, , , , , , , , , ,0,0,0,0
257060,Epi,Stratovolcano(es),2004,Vanuatu,Melanesia and Australia,Vanuatu,-16.68,168.37,833,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite, , , , , , , ,0,170,7819,52827
213010,Erciyes Dagi,Stratovolcano,-6880,Turkey,Mediterranean and Western Asia,Turkey,38.531,35.447,3864,Intraplate / Continental crust (>25 km),Eruption Dated,Dacite,Andesite / Basaltic Andesite,Rhyolite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, , , , , ,1715,8036,767813,1817720
390020,Erebus,Stratovolcano,2020,Antarctica,Antarctica,Antarctica and South Sandwich Islands,-77.53,167.17,3794,Intraplate / Continental crust (>25 km),Eruption Observed,Phonolite,Phono-tephrite /  Tephri-phonolite,Trachybasalt / Tephrite Basanite, , ,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , , ,0,0,0,0
221080,Erta Ale,Shield,2020,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,13.6,40.67,613,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,2685,2796,8857,235083
285011,Esan,Lava dome(s),1874,Japan,"Japan, Taiwan, Marianas",Hokkaido,41.805,141.166,618,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,1734,5831,33197,916560
374020,Esjufjoll,Stratovolcano,Unknown,Iceland,Iceland and Arctic Ocean,Iceland (southeastern),64.25,-16.583,1620,Rift zone / Oceanic crust (< 15 km),Unrest / Holocene,Basalt / Picro-Basalt, , , , ,Rhyolite, , , , ,0,0,0,2564
344131,Esteli,Fissure vent(s),Unknown,Nicaragua,México and Central America,Nicaragua,13.17,-86.4,899,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Basalt / Picro-Basalt, , , , , , , , , ,133804,133804,246244,2574633
211060,Etna,Stratovolcano(es),2020,Italy,Mediterranean and Western Asia,Italy,37.748,14.999,3295,Subduction zone / Continental crust (>25 km),Eruption Observed,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, , ,Trachyte / Trachydacite,Phono-tephrite /  Tephri-phonolite, , , ,78,3291,1016540,3052770
290050,Etorofu-Atosanupuri [Atosanupuri],Stratovolcano,1932,Japan - administered by Russia,Kuril Islands,Kuril Islands,44.808,147.131,1206,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,1,289,644,4311
290070,Etorofu-Yakeyama [Grozny Group],Complex(es),2013,Japan - administered by Russia,Kuril Islands,Kuril Islands,45.012,147.871,1158,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , ,0,39,2417,6361
372020,Eyjafjallajokull,Stratovolcano,2010,Iceland,Iceland and Arctic Ocean,Iceland (southern),63.633,-19.633,1651,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Trachybasalt / Tephrite Basanite,Trachyte / Trachydacite, , , , , , ,0,4,786,18516
284140,Farallon de Pajaros,Stratovolcano,1967,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",20.546,144.893,337,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , ,0,0,0,0
382010,Fayal,Stratovolcano,1958,Portugal,Atlantic Ocean,Azores,38.6,-28.73,1043,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , , , , ,1514,13757,24414,50663
221190,Fentale,Stratovolcano,1820,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,8.975,39.93,2007,Rift zone / Continental crust (>25 km),Eruption Observed,Rhyolite,Trachyte / Trachydacite,Trachybasalt / Tephrite Basanite,Andesite / Basaltic Andesite, , , , , , ,1919,14201,169357,3482286
311350,Fisher,Stratovolcano,1830,United States,Alaska,Aleutian Islands,54.65,-164.43,1112,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Trachyte / Trachydacite, , , , , , ,0,0,0,25
342140,Flores,Volcanic field,Unknown,Guatemala,México and Central America,Guatemala,14.308,-89.992,1600,Subduction zone / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt, , , , , , , , , ,205145,205145,397357,7489933
382001,Flores,Stratovolcano(es),-950,Portugal,Atlantic Ocean,Azores,39.462,-31.216,914,Intraplate / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, ,Phono-tephrite /  Tephri-phonolite, , , , ,1054,4560,5825,5865
384010,Fogo,Stratovolcano,2015,Cape Verde,Atlantic Ocean,Cape Verde Islands,14.95,-24.35,2829,Intraplate / Intermediate crust (15-25 km),Eruption Observed,Foidite,Trachybasalt / Tephrite Basanite,Phonolite, , , , , , , ,189,13254,37650,267298
223001,Fort Portal,Tuff cone(s),-2120,Uganda,Africa and Red Sea,Africa (central),0.7,30.25,1615,Rift zone / Continental crust (>25 km),Eruption Dated,Foidite, , , , , , , , , ,242914,242914,498815,4167189
320010,Fort Selkirk,Volcanic field,Unknown,Canada,Canada and Western USA,Canada,62.93,-137.38,1239,Intraplate / Continental crust (>25 km),Evidence Uncertain,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt,Foidite, , , , , , , ,6,6,6,491
233020,"Fournaise, Piton de la",Shield,2020,France,Middle East and Indian Ocean,Indian Ocean (western),-21.244,55.708,2632,Intraplate / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,55859,55859,246792,717820
373070,Fremrinamar,Stratovolcano,-1200,Iceland,Iceland and Arctic Ocean,Iceland (northeastern),65.416,-16.666,970,Rift zone / Oceanic crust (< 15 km),Eruption Dated,Basalt / Picro-Basalt,Rhyolite, , , , , , , , ,0,0,476,19143
312010,Frosty,Stratovolcano(es),Unknown,United States,Alaska,Alaska Peninsula,55.067,-162.835,1728,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,0,0,67,1153
342090,Fuego,Stratovolcano(es),2020,Guatemala,México and Central America,Guatemala,14.473,-90.88,3763,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Trachyandesite / Basaltic Trachyandesite, , , , ,1373,54332,1016339,7677809
383050,Fuerteventura,Fissure vent(s),Unknown,Spain,Atlantic Ocean,Canary Islands,28.358,-14.02,529,Intraplate / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Foidite,Trachyandesite / Basaltic Trachyandesite, , , , , , ,1432,8752,52038,226781
283030,Fujisan,Stratovolcano,1708,Japan,"Japan, Taiwan, Marianas",Honshu,35.361,138.728,3776,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt, , , , ,Andesite / Basaltic Andesite,Dacite, , , ,570,1759,906969,25022187
282091,Fukue,Shield(s),-400,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,32.657,128.849,315,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt, , , , , , , , , ,18334,40407,61450,704523
