submission_id,age,cups,where_drink,brew,brew_other,purchase,purchase_other,favorite,favorite_specify,additions,additions_other,dairy,sweetener,style,strength,roast_level,caffeine,expertise,coffee_a_bitterness,coffee_a_acidity,coffee_a_personal_preference,coffee_a_notes,coffee_b_bitterness,coffee_b_acidity,coffee_b_personal_preference,coffee_b_notes,coffee_c_bitterness,coffee_c_acidity,coffee_c_personal_preference,coffee_c_notes,coffee_d_bitterness,coffee_d_acidity,coffee_d_personal_preference,coffee_d_notes,prefer_abc,prefer_ad,prefer_overall,wfh,total_spend,why_drink,why_drink_other,taste,know_source,most_paid,most_willing,value_cafe,spent_equipment,value_equipment,gender,gender_specify,education_level,ethnicity_race,ethnicity_race_specify,employment_status,number_children,political_affiliation
LdM4Ey,25-34 years old,3,"At home, At a cafe, At the office","Pour over, Coffee brewing machine (e.g. Mr. Coffee)",NA,NA,NA,Regular drip coffee,NA,"Milk, dairy alternative, or coffee creamer",NA,Half and half,NA,Floral,Somewhat strong,Medium,Full caffeine,8,4,5,4,"Not ripe fruit, blueberries",1,3,3,"Chocolate, leaves, fall, wine",1,2,2,"Dirt, mud, water",4,4,4,"Fruity, cherries, bark, floral",Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,"It tastes good, I need the ritual",NA,Yes,Yes,$4-$6,$6-$8,No,$100-$300,Yes,Male,NA,Master's degree,White/Caucasian,NA,Employed full-time,1,Republican
ylq8gg,35-44 years old,1,At home,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), Bean-to-cup machine",NA,NA,NA,Pourover,NA,No - just black,NA,NA,NA,Sweet,Medium,Medium,Full caffeine,4,3,2,4,NA,2,1,3,NA,4,1,3,NA,3,2,4,"Tropical, fruit",Coffee A,Coffee A,Coffee A,I primarily work from home,$20-$40,"I need the caffeine, It tastes good, I need the ritual",NA,Yes,Yes,$4-$6,$4-$6,No,$500-$1000,Yes,Male,NA,Bachelor's degree,White/Caucasian,NA,Unemployed,2,Democrat
42NlOY,25-34 years old,2,"At home, At a cafe","Pour over, French press, Espresso",NA,NA,NA,Americano,NA,No - just black,NA,NA,NA,Full Bodied,Somewhat strong,Medium,Half caff,8,4,3,3,"Clean, sugar, plum, light",2,3,4,"Chocolatey, cake, mild spices, medium body",3,3,5,"Fermented fruit, apple , medium body, nuttiness",3,4,1,"Currant, strong body, heavy finish",Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,"It tastes good, I need the ritual",NA,Yes,Yes,$8-$10,$10-$15,Yes,$500-$1000,No,Male,NA,Master's degree,White/Caucasian,NA,Employed full-time,None,Independent
MAdjPM,25-34 years old,2,At home,"Pour over, Espresso",NA,NA,NA,Espresso,NA,No - just black,NA,NA,NA,Fruity,Medium,Nordic,Full caffeine,7,4,4,4,NA,2,3,2,NA,3,5,5,NA,3,2,1,NA,Coffee C,Coffee A,Coffee C,I primarily work from home,$60-$80,"I need the ritual, It tastes good",NA,Yes,Yes,$15-$20,More than $20,Yes,"More than $1,000",Yes,Male,NA,Master's degree,White/Caucasian,NA,Employed full-time,None,No affiliation
8dpb5O,55-64 years old,4,At home,"Other, Espresso",Pulsar Immersion Brewer,NA,NA,Cortado,NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,Whole milk,NA,Fruity,Medium,Medium,Full caffeine,7,3,3,4,"There was a strange herbaceousness here. Maybe a 'grassiness.' Couldn't quite put my finger on it. It was not unpleasant. It was interesting and intriguing. Ultimately, this was second in the round up for me. Would drink again.",4,1,3,"Not a bad cup. Had more 'bass' notes for me than any of the others. If I had pulled this as an espresso shot it would pair well with a bit of steamed, whole milk -- think cortado.",1,2,3,"This was not terrible. It was a nice cup of coffee but it wasn't special. Unremarkable. Had I been served this cup in a diner or cafe I wouldn't have had any objections. It just didn't rise to the quality levels I serve in my home. Meh, is the official verdict on this one.",2,5,5,I knew this was special from the moment I started adding water to the cup! I got a big blast of berries even before I was finished filling the mug. Got blueberries reminiscent of a single origin Ethiopian from the East Harrar ... or perhaps a good Sidamo. As it cooled I got pronounced apples. This was delicious. It was the only cup I chose to finish this morning.,Coffee A,Coffee D,Coffee D,I primarily work from home,$60-$80,"It tastes good, I need the caffeine, I need the ritual",NA,Yes,Yes,$6-$8,$15-$20,No,"More than $1,000",Yes,Male,NA,Some college or associate's degree,White/Caucasian,NA,Retired,1,Democrat
1r2QRl,25-34 years old,2,"At home, At the office, On the go, At a cafe","Pour over, Espresso, Cold brew",NA,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)",NA,Pourover,NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,Whole milk,NA,Fruity,Somewhat strong,Light,Full caffeine,7,2,5,4,"Cherry
Sweet",5,2,1,"Smokey
Woodsy
Earthy",2,4,3,"Mild
Apricot
Brown sugar",3,4,5,"Berry
Sour
Flavorful",Coffee A,Coffee D,Coffee D,I primarily work from home,<$20,"It tastes good, I need the caffeine, It makes me go to the bathroom",NA,Yes,Yes,$6-$8,$6-$8,No,$100-$300,Yes,Male,NA,Bachelor's degree,White/Caucasian,NA,Employed full-time,None,Democrat
jB985Q,45-54 years old,2,At home,Espresso,NA,NA,NA,Americano,NA,No - just black,NA,NA,NA,Bold,Medium,Medium,Full caffeine,5,1,4,3,"berry undertones, light mouth feel",2,2,5,"brown taste, smells the best, strong mouth feel",4,4,2,faint leather taste,4,4,1,"didnt care for the smell or taste, tasted earthy, thick mouth feel",Coffee B,Coffee A,Coffee B,I primarily work in person,>$100,"It tastes good, I need the caffeine",NA,Yes,Yes,$6-$8,$6-$8,Yes,"More than $1,000",Yes,Female,NA,Some college or associate's degree,White/Caucasian,NA,Employed full-time,None,No affiliation
J2kEBo,55-64 years old,2,At home,Instant coffee,NA,NA,NA,Latte,NA,"Milk, dairy alternative, or coffee creamer",NA,"Oat milk, Almond milk",NA,Chocolatey,Somewhat strong,Medium,Full caffeine,4,1,4,5,"Fruity, fun",3,3,3,"undistinctive, mild",2,3,2,"rounded, mild",1,4,4,"Fruity, Earthy, truffle",Coffee A,Coffee A,Coffee A,I do a mix of both,<$20,I need the caffeine,NA,Yes,No,$4-$6,$4-$6,No,$20-$50,No,Male,NA,Bachelor's degree,White/Caucasian,NA,Employed full-time,More than 3,NA
eBxgvk,55-64 years old,2,"At home, At a cafe","Pour over, Coffee brewing machine (e.g. Mr. Coffee)",NA,NA,NA,Pourover,NA,"Milk, dairy alternative, or coffee creamer",NA,"Half and half, Almond milk",NA,Full Bodied,Somewhat strong,Medium,Full caffeine,2,1,4,1,NA,2,3,5,NA,4,2,5,NA,4,3,2,NA,Coffee B,Coffee D,Coffee B,I primarily work from home,$60-$80,"It tastes good, I need the ritual",NA,Yes,No,$4-$6,$4-$6,Yes,$100-$300,Yes,Female,NA,Master's degree,White/Caucasian,NA,Employed part-time,2,NA
7d97jZ,25-34 years old,2,"On the go, At a cafe",NA,NA,"Local cafe, Specialty coffee shop",NA,Latte,NA,"Milk, dairy alternative, or coffee creamer, No - just black",NA,Whole milk,NA,Caramalized,Somewhat strong,Medium,Full caffeine,5,4,3,2,NA,3,3,3,NA,3,4,4,NA,4,2,4,NA,Coffee C,Coffee D,Coffee D,I primarily work in person,$20-$40,It tastes good,NA,Yes,Yes,$10-$15,More than $20,Yes,$500-$1000,Yes,Male,NA,Some college or associate's degree,White/Caucasian,NA,Employed full-time,None,Democrat
dY2JzK,35-44 years old,1,"At home, On the go",Pour over,NA,Specialty coffee shop,NA,Pourover,NA,No - just black,NA,NA,NA,Juicy,Somewhat strong,Light,Full caffeine,8,3,3,4,"low roast, raspberry, apple skin, fig",3,1,3,"Nuts, burnt sugar, Mexican chocolate",4,3,2,"Sour cherry, melted dark chocolate, dry leaf, corn husk",3,4,5,"Current, red grape, fruit, juice, tea like",Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,"I need the ritual, I need the caffeine, It tastes good, It makes me go to the bathroom",NA,Yes,Yes,More than $20,More than $20,Yes,$300-$500,Yes,Male,NA,Master's degree,Asian/Pacific Islander,NA,Employed full-time,None,Democrat
PABZe5,35-44 years old,1,At home,"Espresso, Coffee brewing machine (e.g. Mr. Coffee)",NA,NA,NA,Cappuccino,NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Whole milk, Half and half",Granulated Sugar,Nutty,Somewhat strong,Medium,Full caffeine,7,2,4,4,Sweeter with lighter bodied flavour,2,2,4,medium bodied flavor with a nuttier taste,3,3,5,A nuttier balanced flavour profile and easily the favoured of the 4,3,5,1,not easy on the palate,Coffee C,Coffee A,Coffee C,I primarily work from home,$40-$60,"It tastes good, I need the caffeine",NA,Yes,Yes,$8-$10,More than $20,No,$500-$1000,Yes,Male,NA,Bachelor's degree,Asian/Pacific Islander,NA,Employed full-time,None,No affiliation
J2kEGo,35-44 years old,1,"At home, At the office","Coffee brewing machine (e.g. Mr. Coffee), Cold brew, French press, Other",Aeropress,NA,NA,Mocha,NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Whole milk, Half and half, Oat milk","Honey, Granulated Sugar, Raw Sugar (Turbinado)",Chocolatey,Somewhat strong,Dark,Full caffeine,5,3,3,3,NA,4,2,2,NA,4,3,2,NA,2,4,2,NA,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,"I need the caffeine, It tastes good",NA,Yes,Yes,$6-$8,$6-$8,Yes,$300-$500,Yes,Male,NA,Some college or associate's degree,White/Caucasian,NA,Employed full-time,None,No affiliation
ylq8zx,25-34 years old,1,At home,"Espresso, Pod/capsule machine (e.g. Keurig/Nespresso), Instant coffee, Cold brew",NA,NA,NA,Latte,NA,"Milk, dairy alternative, or coffee creamer, Flavor syrup",NA,"Whole milk, Skim milk",NA,Chocolatey,Somewhat strong,Dark,Full caffeine,6,4,3,2,NA,3,3,3,NA,2,1,5,NA,3,4,2,NA,Coffee C,Coffee A,Coffee C,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, I need the ritual",NA,Yes,Yes,$8-$10,$8-$10,Yes,"More than $1,000",Yes,Female,NA,Bachelor's degree,Hispanic/Latino,NA,Employed full-time,None,No affiliation
WApapR,25-34 years old,Less than 1,At the office,NA,NA,NA,NA,Regular drip coffee,NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,Coffee creamer,Granulated Sugar,Fruity,Medium,Medium,Full caffeine,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xdN8z5,25-34 years old,2,"At home, At a cafe, At the office",Pour over,NA,NA,NA,Pourover,NA,No - just black,NA,NA,NA,Fruity,Somewhat strong,Medium,Full caffeine,9,1,4,3,"light body, generally balances, mildly vegetal, peach, earthy- it's pretty good but not my favorite",4,1,1,"Smoky, very bitter, slight chocolate and caramel sugars, flat, lacking sweetness, tastes of stale coffee- I typically swoon over George Howell (there was a particular Kenyan SL-28 from them that won my heart) but I did not like this one bit. Very K-cuppy",4,2,2,"Bit roasty, deep caramels, slight astringency, more balanced and sweet on cooling- this one was fine and is definitely a crowd-pleaser but reminded me of drip from Caribou/Pike Place from Starbucks. Not my fav.",1,3,5,"Sweet, juicy, some cherry, deep berry, round, delicious fruit punch bomb explosion of happiness. Please sir, may I have some more?",Coffee A,Coffee D,Coffee D,I primarily work in person,$20-$40,"It tastes good, Other",My wife and I are both coffee professionals,Yes,Yes,$15-$20,$15-$20,Yes,"More than $1,000",Yes,Male,NA,Bachelor's degree,White/Caucasian,NA,Employed full-time,1,No affiliation
NAB2dj,25-34 years old,2,"At the office, At home","Pour over, French press, Espresso",NA,NA,NA,Pourover,NA,No - just black,NA,NA,NA,Chocolatey,Medium,Medium,Full caffeine,6,2,3,3,"Clean
Fruity
Crisp",4,2,2,"Chocolate
Mud",3,4,4,Increasing bitterness as cooled,3,4,4,"Fermented fruit
Complex",Coffee C,Coffee D,Coffee D,I do a mix of both,$20-$40,It tastes good,NA,Yes,No,$10-$15,$10-$15,Yes,$500-$1000,Yes,Male,NA,Doctorate or professional degree,White/Caucasian,NA,Employed full-time,None,Independent
ylq81x,18-24 years old,1,At home,Pour over,NA,NA,NA,Cortado,NA,No - just black,NA,NA,NA,Fruity,Medium,Light,Full caffeine,6,1,4,4,Tastes like sour apple and reminds me of most third wave coffee roasters,3,3,4,"Caramel, hazelnut, little chocolate at the tail end, lovely coffee that will most definitely be a crowd pleaser",4,2,2,"Reminds me of the second wave of coffee, little darker food with some milk",1,4,5,"Blueberry at the front, very fruity, very fun and complex. My favorite coffee from all of them, these guys definitely care and do amazing work",Coffee A,Coffee D,Coffee D,I primarily work in person,$20-$40,It tastes good,NA,Yes,Yes,$8-$10,$10-$15,No,$300-$500,Yes,Male,NA,Some college or associate's degree,Hispanic/Latino,NA,Employed full-time,None,Independent
vNx8zD,45-54 years old,1,"At home, At a cafe, On the go, At the office","Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee), Instant coffee, Coffee extract (e.g. Cometeer), Cold brew, Other",VacOne,"National chain (e.g. Starbucks, Dunkin), Specialty coffee shop",NA,Latte,NA,"Milk, dairy alternative, or coffee creamer, Flavor syrup, No - just black",NA,"Flavored coffee creamer, Oat milk, Almond milk, Soy milk, Coffee creamer",NA,Full Bodied,Somewhat strong,Light,Decaf,8,3,4,4,Started off slightly earthy then became much more fruity. One of my favorites for everyday drinking along with C.,4,2,2,The most bitter and earthiest of the four. It tasted more full-bodied and became much more drinkable as time went on.,3,3,4,Slightly earthy and tasted slightly more bitter as time went on. One of my favorites for everyday drinking along with A.,3,3,2,"This one was the most interesting of the four. At first, I thought it tasted like chicory coffee but then realized it tasted like another coffee I tried a while back: https://www.drinktrade.com/colombia-monteblanco-passion-fruit-washed/p/3845 This isn't a good everyday drinker for me but I like that it's something different.",Coffee A,Coffee A,Coffee D,I primarily work in person,$40-$60,"I need the ritual, Other, It tastes good",I like hanging out in coffee shops,Yes,Yes,$8-$10,More than $20,No,$300-$500,Yes,Male,NA,Bachelor's degree,Other (please specify),White-Asian,Employed part-time,None,Independent
oAV8zP,25-34 years old,3,"At home, At the office, At a cafe, On the go","Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee)",NA,"Deli or supermarket, Specialty coffee shop",NA,Pourover,NA,No - just black,NA,NA,NA,Bold,Very strong,Medium,Full caffeine,6,3,5,4,NA,2,1,5,NA,3,3,3,NA,4,4,5,NA,Coffee B,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the caffeine, I need the ritual",NA,Yes,Yes,$10-$15,More than $20,Yes,$100-$300,Yes,Male,NA,Master's degree,Asian/Pacific Islander,NA,Employed full-time,None,No affiliation
QABNkG,35-44 years old,1,At home,"Pour over, Cold brew",NA,NA,NA,Cappuccino,NA,"Milk, dairy alternative, or coffee creamer",NA,Half and half,NA,Chocolatey,Somewhat strong,Medium,Full caffeine,7,2,4,1,"Sour berries, currants, tea-like",4,1,1,Tastes like cigarettes smell,3,1,4,Dark chocolate; nutty,1,5,2,Sour apples,Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,"It tastes good, I need the caffeine",NA,Yes,Yes,$4-$6,$4-$6,No,$300-$500,Yes,Male,NA,Doctorate or professional degree,White/Caucasian,NA,Employed part-time,2,Democrat
8dpbDA,>65 years old,1,At a cafe,NA,NA,NA,NA,NA,NA,No - just black,NA,NA,NA,Juicy,Somewhat strong,Medium,Full caffeine,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YZz760,25-34 years old,2,At home,"Coffee brewing machine (e.g. Mr. Coffee), Espresso",NA,NA,NA,Pourover,NA,No - just black,NA,NA,NA,Full Bodied,Somewhat strong,Medium,Full caffeine,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coffee C,Coffee A,Coffee C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PABZqd,35-44 years old,3,"At the office, At a cafe",NA,NA,NA,NA,Latte,NA,"Milk, dairy alternative, or coffee creamer",NA,"Whole milk, Oat milk",NA,Bold,Somewhat strong,Dark,Full caffeine,4,2,4,2,NA,3,3,5,NA,4,2,4,NA,2,5,3,NA,Coffee B,Coffee D,Coffee B,I primarily work in person,$80-$100,"It tastes good, I need the caffeine",NA,Yes,Yes,$10-$15,More than $20,Yes,$500-$1000,Yes,Male,NA,Master's degree,White/Caucasian,NA,Employed full-time,2,Democrat
oAV8LX,18-24 years old,2,"At a cafe, At the office, On the go",NA,NA,Local cafe,NA,Cold brew,NA,"Milk, dairy alternative, or coffee creamer",NA,Half and half,NA,Nutty,Medium,Medium,Full caffeine,8,3,4,2,NA,3,3,4,NA,2,2,5,NA,3,2,4,NA,Coffee C,Coffee D,Coffee C,I do a mix of both,$80-$100,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",NA,Yes,No,$6-$8,$8-$10,Yes,$100-$300,Yes,Male,NA,NA,NA,NA,NA,NA,NA
XeB6Pd,18-24 years old,2,At home,Pod/capsule machine (e.g. Keurig/Nespresso),NA,NA,NA,Americano,NA,No - just black,NA,NA,NA,Caramalized,Very strong,Light,Full caffeine,10,5,5,2,Vinegar,1,1,1,Flavorless,1,1,2,NA,3,5,3,Apple 🍏,Coffee A,Coffee D,Coffee D,I primarily work from home,<$20,"It tastes good, I need the caffeine, I need the ritual",NA,Yes,No,$6-$8,$4-$6,Yes,$100-$300,Yes,Female,NA,Bachelor's degree,Asian/Pacific Islander,NA,Employed full-time,None,No affiliation
AlbMRB,35-44 years old,2,"At home, At a cafe","Pour over, Espresso",NA,NA,NA,Pourover,NA,No - just black,NA,NA,NA,Chocolatey,Somewhat strong,Medium,Full caffeine,8,1,2,4,NA,1,2,2,NA,2,1,3,NA,2,2,5,Fruity scent,Coffee A,Coffee D,Coffee D,I primarily work from home,$60-$80,"It tastes good, I need the caffeine",NA,Yes,Yes,$15-$20,More than $20,Yes,"More than $1,000",Yes,Male,NA,Some college or associate's degree,White/Caucasian,NA,Employed full-time,None,Democrat
jB98XR,18-24 years old,2,At home,Espresso,NA,NA,NA,Cappuccino,NA,"Milk, dairy alternative, or coffee creamer, Flavor syrup",NA,Whole milk,NA,Sweet,Somewhat strong,Medium,Full caffeine,7,2,3,2,Banana,3,2,4,NA,3,2,5,NA,3,4,1,Blueberry,Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,"It tastes good, I need the caffeine",NA,Yes,Yes,$6-$8,$6-$8,No,$300-$500,Yes,Female,NA,Bachelor's degree,Hispanic/Latino,NA,Student,None,Democrat
NAB2Zb,25-34 years old,Less than 1,At a cafe,NA,NA,NA,NA,Latte,NA,"Milk, dairy alternative, or coffee creamer",NA,Almond milk,NA,Sweet,Somewhat light,Light,Decaf,3,2,4,2,NA,4,2,3,NA,2,3,4,NA,4,3,4,NA,Coffee C,Coffee D,Coffee C,I primarily work in person,<$20,I need the ritual,NA,No,No,$8-$10,$8-$10,No,Less than $20,No,Female,NA,Bachelor's degree,White/Caucasian,NA,Employed full-time,None,Independent
aBrpMy,25-34 years old,2,"At the office, At home","Pour over, Espresso",NA,NA,NA,Latte,NA,"Milk, dairy alternative, or coffee creamer",NA,Whole milk,NA,Chocolatey,Medium,Dark,Full caffeine,2,3,2,5,NA,2,3,3,NA,2,3,3,NA,2,5,1,NA,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,"It tastes good, I need the caffeine, I need the ritual",NA,Yes,Yes,$10-$15,$10-$15,Yes,$50-$100,Yes,Female,NA,Bachelor's degree,Asian/Pacific Islander,NA,Employed full-time,None,Democrat
OABxKK,18-24 years old,2,"On the go, At a cafe",NA,NA,"Specialty coffee shop, Local cafe",NA,Espresso,NA,"Milk, dairy alternative, or coffee creamer, No - just black",NA,Whole milk,NA,Bright,Somewhat light,Light,Full caffeine,4,2,2,4,"Heavier, vegetable, squash",3,4,2,"Lighter, but decently dark",4,3,3,"Light, creamy, fruity",1,4,5,Sweet (Honey),Coffee A,Coffee D,Coffee D,I primarily work in person,$20-$40,"It tastes good, I need the caffeine",NA,Yes,Yes,$8-$10,$10-$15,Yes,$100-$300,Yes,Male,NA,Some college or associate's degree,White/Caucasian,NA,Student,None,Democrat
pLPYlP,18-24 years old,Less than 1,"At home, At a cafe",Other,Clever Dripper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPbooq,25-34 years old,Less than 1,At a cafe,NA,NA,NA,NA,Iced coffee,NA,"Sugar or sweetener, Flavor syrup",NA,NA,Granulated Sugar,Sweet,Weak,Blonde,Decaf,1,2,3,4,"Was a 5, put it down to 4 when it cooled down",2,3,2,NA,3,2,5,Enjoyed it more when it cooled down,5,5,1,NA,Coffee C,Coffee A,Coffee C,I primarily work from home,<$20,It tastes good,NA,No,No,$8-$10,$10-$15,Yes,Less than $20,No,Female,NA,Bachelor's degree,Hispanic/Latino,NA,Employed full-time,1,Democrat
XeB6je,25-34 years old,2,At home,Coffee extract (e.g. Cometeer),NA,NA,NA,Espresso,NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, No - just black",NA,"Whole milk, Coffee creamer, Half and half, Oat milk",Raw Sugar (Turbinado),Full Bodied,Medium,Medium,Full caffeine,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PABZq0,35-44 years old,2,"At home, At the office",Coffee extract (e.g. Cometeer),NA,NA,NA,Iced coffee,NA,No - just black,NA,NA,NA,Full Bodied,Medium,Medium,Half caff,5,2,4,3,NA,4,2,3,NA,5,2,3,NA,3,3,4,NA,Coffee B,Coffee D,Coffee B,I primarily work in person,$60-$80,"It tastes good, I need the caffeine",NA,Yes,No,$8-$10,$10-$15,No,"More than $1,000",No,Male,NA,Doctorate or professional degree,White/Caucasian,NA,Employed full-time,2,Independent
GrBOE2,25-34 years old,1,"On the go, At home, At a cafe",Espresso,NA,Local cafe,NA,Latte,NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",NA,Whole milk,Granulated Sugar,Chocolatey,Somewhat strong,Medium,Full caffeine,7,1,4,2,NA,3,3,4,NA,2,3,3,NA,1,5,1,NA,Coffee B,Coffee A,Coffee B,I primarily work in person,>$100,"It tastes good, I need the caffeine",NA,Yes,Yes,$8-$10,$10-$15,Yes,"More than $1,000",Yes,Male,NA,Master's degree,Hispanic/Latino,NA,Employed full-time,None,Democrat
pLPYYZ,25-34 years old,1,At home,Pour over,NA,NA,NA,Latte,NA,No - just black,NA,NA,NA,Chocolatey,Medium,Light,Full caffeine,3,4,5,3,"Toffee, nutty",2,4,1,NA,3,4,3,NA,2,5,4,"Fruity, fermented",Coffee C,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the ritual, I need the caffeine",NA,Yes,Yes,$6-$8,More than $20,Yes,$500-$1000,Yes,Male,NA,Master's degree,Asian/Pacific Islander,NA,Employed full-time,None,Democrat
GrBOVj,25-34 years old,2,At home,"Pour over, Espresso",NA,NA,NA,Espresso,NA,No - just black,NA,NA,NA,Fruity,Medium,Light,Full caffeine,7,2,4,4,Became so complex as it cooled,3,3,3,Such a good simple coffee,4,3,2,Became rather bitter. Got hot chocolate like going forward,1,5,5,So weird. I loved it. So great,Coffee A,Coffee D,Coffee D,I primarily work from home,>$100,"It tastes good, I need the caffeine, I need the ritual",NA,Yes,Yes,$6-$8,$10-$15,Yes,"More than $1,000",Yes,Male,NA,Bachelor's degree,White/Caucasian,NA,Employed full-time,None,Democrat
DVvROb,25-34 years old,2,At home,"Espresso, Pour over, Coffee brewing machine (e.g. Mr. Coffee)",NA,NA,NA,Pourover,NA,No - just black,NA,NA,NA,Bright,Medium,Light,Full caffeine,5,3,4,5,smooth & acidic,3,3,2,full body & boring,2,3,4,warm,2,5,3,fruit,Coffee A,Coffee A,Coffee A,I primarily work from home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rlr8Z5,25-34 years old,1,"At a cafe, At the office, At home, On the go","Pour over, Coffee extract (e.g. Cometeer)",NA,"Local cafe, Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)",NA,Regular drip coffee,NA,"Milk, dairy alternative, or coffee creamer",NA,"Whole milk, Half and half",NA,Bright,Medium,Medium,Full caffeine,6,2,5,5,NA,4,3,4,NA,4,3,5,NA,2,4,3,NA,Coffee C,Coffee A,Coffee C,I primarily work in person,$60-$80,"It tastes good, I need the caffeine",NA,Yes,Yes,$10-$15,$4-$6,Yes,$300-$500,Yes,Female,NA,Bachelor's degree,White/Caucasian,NA,Employed full-time,None,Democrat
KMBr2M,25-34 years old,2,"At home, At the office",Other,Aeropress,NA,NA,Regular drip coffee,NA,No - just black,NA,NA,NA,Fruity,Medium,Light,Full caffeine,5,1,4,4,Balanced light roast. Honey-like.,2,2,5,Slightly darker roast (medium?) - caramel notes.,1,3,3,"Creamy, fermented dairy-like flavors. Not really my preference.",1,5,5,"Strongly fruity and acidic. Feels very much like an Ethiopian natural. Strong blueberry notes, some strawberry.",Coffee B,Coffee D,Coffee D,I primarily work in person,$20-$40,"It tastes good, I need the caffeine",NA,Yes,Yes,$10-$15,More than $20,No,$100-$300,Yes,Male,NA,Bachelor's degree,Asian/Pacific Islander,NA,Employed full-time,None,Democrat
kYR8BJ,25-34 years old,2,At home,Coffee extract (e.g. Cometeer),NA,NA,NA,Regular drip coffee,NA,No - just black,NA,NA,NA,Bright,Medium,Light,Full caffeine,6,2,4,4,"Citrus, caramel",3,3,3,"Chocolate, peanut",2,3,4,"Stone fruit, herb",2,4,5,Apple orchard (apples plus baking spices),Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,"It tastes good, I need the ritual",NA,Yes,Yes,$10-$15,More than $20,Yes,$20-$50,No,Female,NA,Master's degree,White/Caucasian,NA,Unemployed,None,Democrat
aBrpJ9,25-34 years old,1,"At home, At a cafe",Espresso,NA,NA,NA,Latte,NA,"Milk, dairy alternative, or coffee creamer",NA,"Whole milk, Oat milk",NA,Chocolatey,Medium,Medium,Full caffeine,4,3,4,2,Caramel and fruit notes,2,4,3,NA,2,3,5,"Graham cracker, caramel",1,5,3,"Olives, fruit",Coffee C,Coffee D,Coffee C,I primarily work from home,<$20,"It tastes good, I need the ritual",NA,Yes,Yes,$10-$15,$10-$15,Yes,$500-$1000,Yes,Female,NA,Bachelor's degree,Hispanic/Latino,NA,Employed full-time,None,No affiliation
bl41a0,25-34 years old,2,"At home, At a cafe, At the office","Pour over, Coffee brewing machine (e.g. Mr. Coffee), Cold brew",NA,NA,NA,Pourover,NA,No - just black,NA,NA,NA,Bold,Somewhat strong,Medium,Full caffeine,7,1,3,2,NA,4,1,3,NA,2,2,3,NA,1,4,4,NA,Coffee B,Coffee D,Coffee D,I primarily work from home,$60-$80,"I need the ritual, I need the caffeine, It tastes good",NA,Yes,Yes,$8-$10,$10-$15,Yes,$500-$1000,Yes,Male,NA,Bachelor's degree,White/Caucasian,NA,Employed full-time,None,Democrat
