Date,Broadway Cycle Track North Of E Union St Total,NB,SB
07/10/2015 06:00:00 PM,35,19,16
07/10/2015 07:00:00 PM,23,9,14
07/10/2015 08:00:00 PM,14,8,6
07/10/2015 09:00:00 PM,12,8,4
07/10/2015 10:00:00 PM,9,4,5
07/10/2015 11:00:00 PM,15,5,10
07/11/2015 12:00:00 AM,7,4,3
07/11/2015 01:00:00 AM,10,4,6
07/11/2015 02:00:00 AM,9,4,5
07/11/2015 03:00:00 AM,0,0,0
07/11/2015 04:00:00 AM,4,0,4
07/11/2015 05:00:00 AM,6,0,6
07/11/2015 06:00:00 AM,9,2,7
07/11/2015 07:00:00 AM,8,2,6
07/11/2015 08:00:00 AM,7,4,3
07/11/2015 09:00:00 AM,7,5,2
07/11/2015 10:00:00 AM,8,3,5
07/11/2015 11:00:00 AM,22,17,5
07/11/2015 12:00:00 PM,14,5,9
07/11/2015 01:00:00 PM,19,15,4
07/11/2015 02:00:00 PM,16,5,11
07/11/2015 03:00:00 PM,11,3,8
07/11/2015 04:00:00 PM,16,10,6
07/11/2015 05:00:00 PM,20,7,13
07/11/2015 06:00:00 PM,17,8,9
07/11/2015 07:00:00 PM,6,4,2
07/11/2015 08:00:00 PM,12,4,8
07/11/2015 09:00:00 PM,8,2,6
07/11/2015 10:00:00 PM,12,6,6
07/11/2015 11:00:00 PM,8,4,4
07/12/2015 12:00:00 AM,15,8,7
07/12/2015 01:00:00 AM,8,1,7
07/12/2015 02:00:00 AM,6,2,4
07/12/2015 03:00:00 AM,8,1,7
07/12/2015 04:00:00 AM,5,1,4
07/12/2015 05:00:00 AM,2,0,2
07/12/2015 06:00:00 AM,6,2,4
07/12/2015 07:00:00 AM,3,0,3
07/12/2015 08:00:00 AM,2,2,0
07/12/2015 09:00:00 AM,11,6,5
07/12/2015 10:00:00 AM,12,6,6
07/12/2015 11:00:00 AM,16,8,8
07/12/2015 12:00:00 PM,14,5,9
07/12/2015 01:00:00 PM,23,10,13
07/12/2015 02:00:00 PM,11,6,5
07/12/2015 03:00:00 PM,18,7,11
07/12/2015 04:00:00 PM,29,14,15
07/12/2015 05:00:00 PM,22,13,9
07/12/2015 06:00:00 PM,14,8,6
07/12/2015 07:00:00 PM,10,7,3
07/12/2015 08:00:00 PM,13,7,6
07/12/2015 09:00:00 PM,4,1,3
07/12/2015 10:00:00 PM,8,4,4
07/12/2015 11:00:00 PM,7,4,3
07/13/2015 12:00:00 AM,4,0,4
07/13/2015 01:00:00 AM,0,0,0
07/13/2015 02:00:00 AM,4,1,3
07/13/2015 03:00:00 AM,1,1,0
07/13/2015 04:00:00 AM,1,0,1
07/13/2015 05:00:00 AM,8,0,8
07/13/2015 06:00:00 AM,24,7,17
07/13/2015 07:00:00 AM,44,14,30
07/13/2015 08:00:00 AM,29,7,22
07/13/2015 09:00:00 AM,27,13,14
07/13/2015 10:00:00 AM,15,8,7
07/13/2015 11:00:00 AM,20,6,14
07/13/2015 12:00:00 PM,24,12,12
07/13/2015 01:00:00 PM,31,10,21
07/13/2015 02:00:00 PM,23,9,14
07/13/2015 03:00:00 PM,35,22,13
07/13/2015 04:00:00 PM,36,21,15
07/13/2015 05:00:00 PM,51,32,19
07/13/2015 06:00:00 PM,36,18,18
07/13/2015 07:00:00 PM,31,14,17
07/13/2015 08:00:00 PM,17,8,9
07/13/2015 09:00:00 PM,14,7,7
07/13/2015 10:00:00 PM,11,2,9
07/13/2015 11:00:00 PM,8,4,4
07/14/2015 12:00:00 AM,1,1,0
07/14/2015 01:00:00 AM,1,0,1
07/14/2015 02:00:00 AM,1,0,1
07/14/2015 03:00:00 AM,3,2,1
07/14/2015 04:00:00 AM,3,1,2
07/14/2015 05:00:00 AM,5,0,5
07/14/2015 06:00:00 AM,32,9,23
07/14/2015 07:00:00 AM,47,16,31
07/14/2015 08:00:00 AM,35,12,23
07/14/2015 09:00:00 AM,23,13,10
07/14/2015 10:00:00 AM,12,7,5
07/14/2015 11:00:00 AM,17,9,8
07/14/2015 12:00:00 PM,20,7,13
07/14/2015 01:00:00 PM,28,12,16
07/14/2015 02:00:00 PM,16,6,10
07/14/2015 03:00:00 PM,24,11,13
07/14/2015 04:00:00 PM,49,31,18
07/14/2015 05:00:00 PM,48,35,13
07/14/2015 06:00:00 PM,38,18,20
07/14/2015 07:00:00 PM,23,13,10
07/14/2015 08:00:00 PM,21,7,14
07/14/2015 09:00:00 PM,8,3,5
07/14/2015 10:00:00 PM,16,8,8
07/14/2015 11:00:00 PM,13,7,6
07/15/2015 12:00:00 AM,3,1,2
07/15/2015 01:00:00 AM,4,4,0
07/15/2015 02:00:00 AM,2,0,2
07/15/2015 03:00:00 AM,0,0,0
07/15/2015 04:00:00 AM,2,1,1
07/15/2015 05:00:00 AM,8,3,5
07/15/2015 06:00:00 AM,24,8,16
07/15/2015 07:00:00 AM,40,11,29
07/15/2015 08:00:00 AM,37,14,23
07/15/2015 09:00:00 AM,19,11,8
07/15/2015 10:00:00 AM,13,4,9
07/15/2015 11:00:00 AM,18,7,11
07/15/2015 12:00:00 PM,16,7,9
07/15/2015 01:00:00 PM,14,5,9
07/15/2015 02:00:00 PM,19,10,9
07/15/2015 03:00:00 PM,27,14,13
07/15/2015 04:00:00 PM,48,29,19
07/15/2015 05:00:00 PM,63,33,30
07/15/2015 06:00:00 PM,41,22,19
07/15/2015 07:00:00 PM,29,15,14
07/15/2015 08:00:00 PM,25,13,12
07/15/2015 09:00:00 PM,18,7,11
07/15/2015 10:00:00 PM,14,8,6
07/15/2015 11:00:00 PM,9,3,6
07/16/2015 12:00:00 AM,4,3,1
07/16/2015 01:00:00 AM,8,4,4
07/16/2015 02:00:00 AM,1,0,1
07/16/2015 03:00:00 AM,0,0,0
07/16/2015 04:00:00 AM,6,3,3
07/16/2015 05:00:00 AM,9,2,7
07/16/2015 06:00:00 AM,20,6,14
07/16/2015 07:00:00 AM,33,5,28
07/16/2015 08:00:00 AM,23,11,12
07/16/2015 09:00:00 AM,25,11,14
07/16/2015 10:00:00 AM,19,14,5
07/16/2015 11:00:00 AM,26,14,12
07/16/2015 12:00:00 PM,24,11,13
07/16/2015 01:00:00 PM,30,10,20
07/16/2015 02:00:00 PM,14,6,8
07/16/2015 03:00:00 PM,21,17,4
07/16/2015 04:00:00 PM,37,21,16
07/16/2015 05:00:00 PM,43,24,19
07/16/2015 06:00:00 PM,44,24,20
07/16/2015 07:00:00 PM,21,9,12
07/16/2015 08:00:00 PM,28,16,12
07/16/2015 09:00:00 PM,13,7,6
07/16/2015 10:00:00 PM,15,8,7
07/16/2015 11:00:00 PM,10,6,4
07/17/2015 12:00:00 AM,8,4,4
07/17/2015 01:00:00 AM,7,4,3
07/17/2015 02:00:00 AM,5,2,3
07/17/2015 03:00:00 AM,1,1,0
07/17/2015 04:00:00 AM,4,1,3
07/17/2015 05:00:00 AM,10,3,7
07/17/2015 06:00:00 AM,13,4,9
07/17/2015 07:00:00 AM,44,8,36
07/17/2015 08:00:00 AM,25,6,19
07/17/2015 09:00:00 AM,16,8,8
07/17/2015 10:00:00 AM,17,13,4
07/17/2015 11:00:00 AM,26,15,11
07/17/2015 12:00:00 PM,15,8,7
07/17/2015 01:00:00 PM,19,10,9
07/17/2015 02:00:00 PM,19,11,8
07/17/2015 03:00:00 PM,30,18,12
07/17/2015 04:00:00 PM,30,24,6
07/17/2015 05:00:00 PM,47,22,25
07/17/2015 06:00:00 PM,29,17,12
07/17/2015 07:00:00 PM,21,10,11
07/17/2015 08:00:00 PM,11,5,6
07/17/2015 09:00:00 PM,12,4,8
07/17/2015 10:00:00 PM,15,10,5
07/17/2015 11:00:00 PM,10,6,4
07/18/2015 12:00:00 AM,13,7,6
07/18/2015 01:00:00 AM,18,8,10
07/18/2015 02:00:00 AM,6,0,6
07/18/2015 03:00:00 AM,3,3,0
07/18/2015 04:00:00 AM,2,0,2
07/18/2015 05:00:00 AM,6,1,5
07/18/2015 06:00:00 AM,9,3,6
07/18/2015 07:00:00 AM,11,4,7
07/18/2015 08:00:00 AM,7,3,4
07/18/2015 09:00:00 AM,10,9,1
07/18/2015 10:00:00 AM,7,3,4
07/18/2015 11:00:00 AM,25,16,9
07/18/2015 12:00:00 PM,18,7,11
07/18/2015 01:00:00 PM,22,7,15
07/18/2015 02:00:00 PM,20,12,8
07/18/2015 03:00:00 PM,19,5,14
07/18/2015 04:00:00 PM,19,8,11
07/18/2015 05:00:00 PM,13,9,4
07/18/2015 06:00:00 PM,11,1,10
07/18/2015 07:00:00 PM,15,11,4
07/18/2015 08:00:00 PM,8,4,4
07/18/2015 09:00:00 PM,9,6,3
07/18/2015 10:00:00 PM,11,4,7
07/18/2015 11:00:00 PM,14,7,7
07/19/2015 12:00:00 AM,5,3,2
07/19/2015 01:00:00 AM,21,5,16
07/19/2015 02:00:00 AM,7,1,6
07/19/2015 03:00:00 AM,3,0,3
07/19/2015 04:00:00 AM,1,0,1
07/19/2015 05:00:00 AM,4,1,3
07/19/2015 06:00:00 AM,7,3,4
07/19/2015 07:00:00 AM,9,3,6
07/19/2015 08:00:00 AM,9,6,3
07/19/2015 09:00:00 AM,7,4,3
07/19/2015 10:00:00 AM,7,5,2
07/19/2015 11:00:00 AM,18,7,11
07/19/2015 12:00:00 PM,14,5,9
07/19/2015 01:00:00 PM,12,8,4
07/19/2015 02:00:00 PM,23,11,12
07/19/2015 03:00:00 PM,12,6,6
07/19/2015 04:00:00 PM,12,7,5
07/19/2015 05:00:00 PM,9,5,4
07/19/2015 06:00:00 PM,12,6,6
07/19/2015 07:00:00 PM,14,5,9
07/19/2015 08:00:00 PM,16,8,8
07/19/2015 09:00:00 PM,11,3,8
07/19/2015 10:00:00 PM,13,7,6
07/19/2015 11:00:00 PM,5,2,3
07/20/2015 12:00:00 AM,6,3,3
07/20/2015 01:00:00 AM,8,4,4
07/20/2015 02:00:00 AM,1,0,1
07/20/2015 03:00:00 AM,3,1,2
07/20/2015 04:00:00 AM,2,0,2
07/20/2015 05:00:00 AM,6,1,5
07/20/2015 06:00:00 AM,18,3,15
07/20/2015 07:00:00 AM,37,13,24
07/20/2015 08:00:00 AM,45,16,29
07/20/2015 09:00:00 AM,25,14,11
07/20/2015 10:00:00 AM,19,6,13
07/20/2015 11:00:00 AM,25,11,14
07/20/2015 12:00:00 PM,25,17,8
07/20/2015 01:00:00 PM,17,8,9
07/20/2015 02:00:00 PM,27,12,15
07/20/2015 03:00:00 PM,19,11,8
07/20/2015 04:00:00 PM,39,29,10
07/20/2015 05:00:00 PM,53,31,22
07/20/2015 06:00:00 PM,43,21,22
07/20/2015 07:00:00 PM,33,14,19
07/20/2015 08:00:00 PM,29,15,14
07/20/2015 09:00:00 PM,7,4,3
07/20/2015 10:00:00 PM,15,6,9
07/20/2015 11:00:00 PM,11,2,9
07/21/2015 12:00:00 AM,3,1,2
07/21/2015 01:00:00 AM,4,2,2
07/21/2015 02:00:00 AM,2,0,2
07/21/2015 03:00:00 AM,0,0,0
07/21/2015 04:00:00 AM,1,0,1
07/21/2015 05:00:00 AM,6,2,4
07/21/2015 06:00:00 AM,21,5,16
07/21/2015 07:00:00 AM,38,11,27
07/21/2015 08:00:00 AM,34,10,24
07/21/2015 09:00:00 AM,19,13,6
07/21/2015 10:00:00 AM,12,7,5
07/21/2015 11:00:00 AM,19,10,9
07/21/2015 12:00:00 PM,16,13,3
07/21/2015 01:00:00 PM,22,7,15
07/21/2015 02:00:00 PM,20,13,7
07/21/2015 03:00:00 PM,23,16,7
07/21/2015 04:00:00 PM,36,21,15
07/21/2015 05:00:00 PM,57,34,23
07/21/2015 06:00:00 PM,37,20,17
07/21/2015 07:00:00 PM,29,18,11
07/21/2015 08:00:00 PM,23,8,15
07/21/2015 09:00:00 PM,11,7,4
07/21/2015 10:00:00 PM,22,11,11
07/21/2015 11:00:00 PM,14,7,7
07/22/2015 12:00:00 AM,4,1,3
07/22/2015 01:00:00 AM,1,0,1
07/22/2015 02:00:00 AM,3,2,1
07/22/2015 03:00:00 AM,0,0,0
07/22/2015 04:00:00 AM,1,0,1
07/22/2015 05:00:00 AM,4,2,2
07/22/2015 06:00:00 AM,28,5,23
07/22/2015 07:00:00 AM,42,9,33
07/22/2015 08:00:00 AM,31,16,15
07/22/2015 09:00:00 AM,32,23,9
07/22/2015 10:00:00 AM,14,10,4
07/22/2015 11:00:00 AM,20,11,9
07/22/2015 12:00:00 PM,22,10,12
07/22/2015 01:00:00 PM,25,13,12
07/22/2015 02:00:00 PM,22,11,11
07/22/2015 03:00:00 PM,20,11,9
07/22/2015 04:00:00 PM,45,19,26
07/22/2015 05:00:00 PM,61,33,28
07/22/2015 06:00:00 PM,50,33,17
07/22/2015 07:00:00 PM,41,18,23
07/22/2015 08:00:00 PM,13,9,4
07/22/2015 09:00:00 PM,12,5,7
07/22/2015 10:00:00 PM,20,9,11
07/22/2015 11:00:00 PM,5,1,4
07/23/2015 12:00:00 AM,7,4,3
07/23/2015 01:00:00 AM,1,1,0
07/23/2015 02:00:00 AM,4,2,2
07/23/2015 03:00:00 AM,1,0,1
07/23/2015 04:00:00 AM,1,0,1
07/23/2015 05:00:00 AM,8,2,6
07/23/2015 06:00:00 AM,35,6,29
07/23/2015 07:00:00 AM,36,5,31
07/23/2015 08:00:00 AM,31,11,20
07/23/2015 09:00:00 AM,16,9,7
07/23/2015 10:00:00 AM,11,6,5
07/23/2015 11:00:00 AM,19,11,8
07/23/2015 12:00:00 PM,22,16,6
07/23/2015 01:00:00 PM,20,6,14
07/23/2015 02:00:00 PM,12,9,3
07/23/2015 03:00:00 PM,30,13,17
07/23/2015 04:00:00 PM,29,21,8
07/23/2015 05:00:00 PM,51,33,18
07/23/2015 06:00:00 PM,46,28,18
07/23/2015 07:00:00 PM,28,17,11
07/23/2015 08:00:00 PM,20,8,12
07/23/2015 09:00:00 PM,12,7,5
07/23/2015 10:00:00 PM,12,6,6
07/23/2015 11:00:00 PM,7,6,1
07/24/2015 12:00:00 AM,2,2,0
07/24/2015 01:00:00 AM,8,3,5
07/24/2015 02:00:00 AM,4,1,3
07/24/2015 03:00:00 AM,1,0,1
07/24/2015 04:00:00 AM,3,1,2
07/24/2015 05:00:00 AM,0,0,0
07/24/2015 06:00:00 AM,1,0,1
07/24/2015 07:00:00 AM,0,0,0
07/24/2015 08:00:00 AM,3,3,0
07/24/2015 09:00:00 AM,4,4,0
07/24/2015 10:00:00 AM,2,1,1
07/24/2015 11:00:00 AM,2,0,2
07/24/2015 12:00:00 PM,3,1,2
07/24/2015 01:00:00 PM,5,0,5
07/24/2015 02:00:00 PM,5,0,5
07/24/2015 03:00:00 PM,7,0,7
07/24/2015 04:00:00 PM,6,0,6
07/24/2015 05:00:00 PM,59,30,29
07/24/2015 06:00:00 PM,43,23,20
07/24/2015 07:00:00 PM,43,16,27
07/24/2015 08:00:00 PM,51,25,26
07/24/2015 09:00:00 PM,28,12,16
07/24/2015 10:00:00 PM,29,14,15
07/24/2015 11:00:00 PM,30,15,15
07/25/2015 12:00:00 AM,16,4,12
07/25/2015 01:00:00 AM,7,1,6
07/25/2015 02:00:00 AM,0,0,0
07/25/2015 03:00:00 AM,0,0,0
07/25/2015 04:00:00 AM,0,0,0
07/25/2015 05:00:00 AM,2,1,1
07/25/2015 06:00:00 AM,4,0,4
07/25/2015 07:00:00 AM,6,1,5
07/25/2015 08:00:00 AM,6,4,2
07/25/2015 09:00:00 AM,6,3,3
07/25/2015 10:00:00 AM,8,6,2
07/25/2015 11:00:00 AM,13,11,2
07/25/2015 12:00:00 PM,22,10,12
07/25/2015 01:00:00 PM,18,13,5
07/25/2015 02:00:00 PM,8,4,4
07/25/2015 03:00:00 PM,18,9,9
07/25/2015 04:00:00 PM,22,10,12
07/25/2015 05:00:00 PM,23,12,11
07/25/2015 06:00:00 PM,20,9,11
07/25/2015 07:00:00 PM,29,18,11
07/25/2015 08:00:00 PM,2,1,1
07/25/2015 09:00:00 PM,0,0,0
07/25/2015 10:00:00 PM,8,1,7
07/25/2015 11:00:00 PM,6,4,2
07/26/2015 12:00:00 AM,3,0,3
07/26/2015 01:00:00 AM,3,1,2
07/26/2015 02:00:00 AM,2,0,2
07/26/2015 03:00:00 AM,0,0,0
07/26/2015 04:00:00 AM,0,0,0
07/26/2015 05:00:00 AM,2,2,0
07/26/2015 06:00:00 AM,1,0,1
07/26/2015 07:00:00 AM,4,0,4
07/26/2015 08:00:00 AM,0,0,0
07/26/2015 09:00:00 AM,0,0,0
07/26/2015 10:00:00 AM,0,0,0
07/26/2015 11:00:00 AM,3,2,1
07/26/2015 12:00:00 PM,0,0,0
07/26/2015 01:00:00 PM,0,0,0
07/26/2015 02:00:00 PM,0,0,0
07/26/2015 03:00:00 PM,4,0,4
07/26/2015 04:00:00 PM,1,0,1
07/26/2015 05:00:00 PM,0,0,0
07/26/2015 06:00:00 PM,2,0,2
07/26/2015 07:00:00 PM,0,0,0
07/26/2015 08:00:00 PM,0,0,0
07/26/2015 09:00:00 PM,2,0,2
07/26/2015 10:00:00 PM,0,0,0
07/26/2015 11:00:00 PM,0,0,0
07/27/2015 12:00:00 AM,0,0,0
07/27/2015 01:00:00 AM,0,0,0
07/27/2015 02:00:00 AM,0,0,0
07/27/2015 03:00:00 AM,2,0,2
07/27/2015 04:00:00 AM,0,0,0
07/27/2015 05:00:00 AM,12,2,10
07/27/2015 06:00:00 AM,23,4,19
07/27/2015 07:00:00 AM,24,7,17
07/27/2015 08:00:00 AM,23,7,16
07/27/2015 09:00:00 AM,27,13,14
07/27/2015 10:00:00 AM,9,7,2
07/27/2015 11:00:00 AM,21,8,13
07/27/2015 12:00:00 PM,19,10,9
07/27/2015 01:00:00 PM,15,11,4
07/27/2015 02:00:00 PM,21,10,11
07/27/2015 03:00:00 PM,17,9,8
07/27/2015 04:00:00 PM,35,20,15
07/27/2015 05:00:00 PM,41,23,18
07/27/2015 06:00:00 PM,23,13,10
07/27/2015 07:00:00 PM,29,18,11
07/27/2015 08:00:00 PM,20,12,8
07/27/2015 09:00:00 PM,13,4,9
07/27/2015 10:00:00 PM,6,3,3
07/27/2015 11:00:00 PM,7,1,6
07/28/2015 12:00:00 AM,4,2,2
07/28/2015 01:00:00 AM,1,0,1
07/28/2015 02:00:00 AM,1,0,1
07/28/2015 03:00:00 AM,0,0,0
07/28/2015 04:00:00 AM,1,0,1
07/28/2015 05:00:00 AM,5,2,3
07/28/2015 06:00:00 AM,14,2,12
07/28/2015 07:00:00 AM,34,14,20
07/28/2015 08:00:00 AM,36,13,23
07/28/2015 09:00:00 AM,27,10,17
07/28/2015 10:00:00 AM,15,9,6
07/28/2015 11:00:00 AM,17,9,8
07/28/2015 12:00:00 PM,17,10,7
07/28/2015 01:00:00 PM,20,7,13
07/28/2015 02:00:00 PM,11,3,8
07/28/2015 03:00:00 PM,25,12,13
07/28/2015 04:00:00 PM,34,22,12
07/28/2015 05:00:00 PM,62,43,19
07/28/2015 06:00:00 PM,26,15,11
07/28/2015 07:00:00 PM,27,10,17
07/28/2015 08:00:00 PM,18,9,9
07/28/2015 09:00:00 PM,13,7,6
07/28/2015 10:00:00 PM,8,6,2
07/28/2015 11:00:00 PM,8,6,2
07/29/2015 12:00:00 AM,2,2,0
07/29/2015 01:00:00 AM,2,0,2
07/29/2015 02:00:00 AM,6,4,2
07/29/2015 03:00:00 AM,1,0,1
07/29/2015 04:00:00 AM,2,2,0
07/29/2015 05:00:00 AM,6,1,5
07/29/2015 06:00:00 AM,17,4,13
07/29/2015 07:00:00 AM,32,9,23
07/29/2015 08:00:00 AM,33,14,19
07/29/2015 09:00:00 AM,22,10,12
07/29/2015 10:00:00 AM,14,8,6
07/29/2015 11:00:00 AM,22,9,13
07/29/2015 12:00:00 PM,26,15,11
07/29/2015 01:00:00 PM,11,4,7
07/29/2015 02:00:00 PM,21,10,11
07/29/2015 03:00:00 PM,16,6,10
07/29/2015 04:00:00 PM,41,26,15
07/29/2015 05:00:00 PM,44,24,20
07/29/2015 06:00:00 PM,35,18,17
07/29/2015 07:00:00 PM,26,9,17
07/29/2015 08:00:00 PM,25,15,10
07/29/2015 09:00:00 PM,21,13,8
07/29/2015 10:00:00 PM,10,3,7
07/29/2015 11:00:00 PM,6,5,1
07/30/2015 12:00:00 AM,6,2,4
07/30/2015 01:00:00 AM,3,0,3
07/30/2015 02:00:00 AM,17,8,9
07/30/2015 03:00:00 AM,1,0,1
07/30/2015 04:00:00 AM,2,1,1
07/30/2015 05:00:00 AM,10,2,8
07/30/2015 06:00:00 AM,13,4,9
07/30/2015 07:00:00 AM,38,14,24
07/30/2015 08:00:00 AM,33,8,25
07/30/2015 09:00:00 AM,19,8,11
07/30/2015 10:00:00 AM,12,7,5
07/30/2015 11:00:00 AM,17,7,10
07/30/2015 12:00:00 PM,18,10,8
07/30/2015 01:00:00 PM,17,8,9
07/30/2015 02:00:00 PM,13,5,8
07/30/2015 03:00:00 PM,17,9,8
07/30/2015 04:00:00 PM,35,22,13
07/30/2015 05:00:00 PM,38,20,18
07/30/2015 06:00:00 PM,44,24,20
07/30/2015 07:00:00 PM,16,10,6
07/30/2015 08:00:00 PM,20,7,13
07/30/2015 09:00:00 PM,16,9,7
07/30/2015 10:00:00 PM,11,5,6
07/30/2015 11:00:00 PM,20,11,9
07/31/2015 12:00:00 AM,12,7,5
07/31/2015 01:00:00 AM,3,0,3
07/31/2015 02:00:00 AM,0,0,0
07/31/2015 03:00:00 AM,1,0,1
07/31/2015 04:00:00 AM,2,1,1
07/31/2015 05:00:00 AM,3,1,2
07/31/2015 06:00:00 AM,17,3,14
07/31/2015 07:00:00 AM,33,8,25
07/31/2015 08:00:00 AM,38,15,23
07/31/2015 09:00:00 AM,20,11,9
07/31/2015 10:00:00 AM,7,4,3
07/31/2015 11:00:00 AM,11,3,8
07/31/2015 12:00:00 PM,13,3,10
07/31/2015 01:00:00 PM,21,9,12
07/31/2015 02:00:00 PM,25,13,12
07/31/2015 03:00:00 PM,25,18,7
07/31/2015 04:00:00 PM,32,18,14
07/31/2015 05:00:00 PM,39,23,16
07/31/2015 06:00:00 PM,24,16,8
07/31/2015 07:00:00 PM,16,8,8
07/31/2015 08:00:00 PM,16,9,7
07/31/2015 09:00:00 PM,13,10,3
07/31/2015 10:00:00 PM,15,6,9
07/31/2015 11:00:00 PM,15,11,4
08/01/2015 12:00:00 AM,10,5,5
08/01/2015 01:00:00 AM,14,3,11
08/01/2015 02:00:00 AM,9,5,4
08/01/2015 03:00:00 AM,0,0,0
08/01/2015 04:00:00 AM,1,0,1
08/01/2015 05:00:00 AM,7,1,6
08/01/2015 06:00:00 AM,3,0,3
08/01/2015 07:00:00 AM,7,5,2
08/01/2015 08:00:00 AM,6,2,4
08/01/2015 09:00:00 AM,10,6,4
08/01/2015 10:00:00 AM,13,7,6
08/01/2015 11:00:00 AM,18,9,9
08/01/2015 12:00:00 PM,14,6,8
08/01/2015 01:00:00 PM,13,5,8
08/01/2015 02:00:00 PM,11,7,4
08/01/2015 03:00:00 PM,19,6,13
08/01/2015 04:00:00 PM,27,12,15
08/01/2015 05:00:00 PM,19,8,11
08/01/2015 06:00:00 PM,26,10,16
08/01/2015 07:00:00 PM,15,8,7
08/01/2015 08:00:00 PM,8,1,7
08/01/2015 09:00:00 PM,14,8,6
08/01/2015 10:00:00 PM,14,5,9
08/01/2015 11:00:00 PM,14,7,7
08/02/2015 12:00:00 AM,10,5,5
08/02/2015 01:00:00 AM,11,8,3
08/02/2015 02:00:00 AM,9,2,7
08/02/2015 03:00:00 AM,1,0,1
08/02/2015 04:00:00 AM,0,0,0
08/02/2015 05:00:00 AM,4,1,3
08/02/2015 06:00:00 AM,10,1,9
08/02/2015 07:00:00 AM,2,1,1
08/02/2015 08:00:00 AM,6,4,2
08/02/2015 09:00:00 AM,5,3,2
08/02/2015 10:00:00 AM,12,5,7
08/02/2015 11:00:00 AM,13,7,6
08/02/2015 12:00:00 PM,11,4,7
08/02/2015 01:00:00 PM,22,9,13
08/02/2015 02:00:00 PM,18,6,12
08/02/2015 03:00:00 PM,13,8,5
08/02/2015 04:00:00 PM,17,10,7
08/02/2015 05:00:00 PM,18,7,11
08/02/2015 06:00:00 PM,17,11,6
08/02/2015 07:00:00 PM,18,9,9
08/02/2015 08:00:00 PM,10,3,7
08/02/2015 09:00:00 PM,8,4,4
08/02/2015 10:00:00 PM,11,3,8
08/02/2015 11:00:00 PM,7,4,3
08/03/2015 12:00:00 AM,6,5,1
08/03/2015 01:00:00 AM,3,1,2
08/03/2015 02:00:00 AM,3,2,1
08/03/2015 03:00:00 AM,0,0,0
08/03/2015 04:00:00 AM,3,1,2
08/03/2015 05:00:00 AM,6,1,5
08/03/2015 06:00:00 AM,29,6,23
08/03/2015 07:00:00 AM,22,7,15
08/03/2015 08:00:00 AM,34,9,25
08/03/2015 09:00:00 AM,22,11,11
08/03/2015 10:00:00 AM,19,10,9
08/03/2015 11:00:00 AM,20,5,15
08/03/2015 12:00:00 PM,20,6,14
08/03/2015 01:00:00 PM,16,6,10
08/03/2015 02:00:00 PM,18,8,10
08/03/2015 03:00:00 PM,24,15,9
08/03/2015 04:00:00 PM,38,23,15
08/03/2015 05:00:00 PM,53,27,26
08/03/2015 06:00:00 PM,42,25,17
08/03/2015 07:00:00 PM,24,11,13
08/03/2015 08:00:00 PM,24,9,15
08/03/2015 09:00:00 PM,21,11,10
08/03/2015 10:00:00 PM,13,7,6
08/03/2015 11:00:00 PM,8,3,5
08/04/2015 12:00:00 AM,3,1,2
08/04/2015 01:00:00 AM,0,0,0
08/04/2015 02:00:00 AM,2,0,2
08/04/2015 03:00:00 AM,2,0,2
08/04/2015 04:00:00 AM,3,0,3
08/04/2015 05:00:00 AM,7,1,6
08/04/2015 06:00:00 AM,18,6,12
08/04/2015 07:00:00 AM,27,5,22
08/04/2015 08:00:00 AM,36,10,26
08/04/2015 09:00:00 AM,23,12,11
08/04/2015 10:00:00 AM,15,11,4
08/04/2015 11:00:00 AM,18,9,9
08/04/2015 12:00:00 PM,22,13,9
08/04/2015 01:00:00 PM,21,8,13
08/04/2015 02:00:00 PM,18,14,4
08/04/2015 03:00:00 PM,21,12,9
08/04/2015 04:00:00 PM,43,27,16
08/04/2015 05:00:00 PM,53,32,21
08/04/2015 06:00:00 PM,36,21,15
08/04/2015 07:00:00 PM,30,15,15
08/04/2015 08:00:00 PM,23,13,10
08/04/2015 09:00:00 PM,14,4,10
08/04/2015 10:00:00 PM,10,3,7
08/04/2015 11:00:00 PM,4,3,1
08/05/2015 12:00:00 AM,4,1,3
08/05/2015 01:00:00 AM,3,2,1
08/05/2015 02:00:00 AM,2,0,2
08/05/2015 03:00:00 AM,1,0,1
08/05/2015 04:00:00 AM,2,0,2
08/05/2015 05:00:00 AM,8,1,7
08/05/2015 06:00:00 AM,27,8,19
08/05/2015 07:00:00 AM,28,2,26
08/05/2015 08:00:00 AM,29,9,20
08/05/2015 09:00:00 AM,23,14,9
08/05/2015 10:00:00 AM,13,7,6
08/05/2015 11:00:00 AM,26,14,12
08/05/2015 12:00:00 PM,26,11,15
08/05/2015 01:00:00 PM,18,7,11
08/05/2015 02:00:00 PM,19,5,14
08/05/2015 03:00:00 PM,23,12,11
08/05/2015 04:00:00 PM,50,29,21
08/05/2015 05:00:00 PM,55,30,25
08/05/2015 06:00:00 PM,49,31,18
08/05/2015 07:00:00 PM,27,15,12
08/05/2015 08:00:00 PM,20,11,9
08/05/2015 09:00:00 PM,13,6,7
08/05/2015 10:00:00 PM,9,2,7
08/05/2015 11:00:00 PM,6,2,4
08/06/2015 12:00:00 AM,9,2,7
08/06/2015 01:00:00 AM,1,1,0
08/06/2015 02:00:00 AM,5,4,1
08/06/2015 03:00:00 AM,2,1,1
08/06/2015 04:00:00 AM,2,1,1
