"","species","id","name","sex","accuracy","birthYear","acquisition","originDate","originLocation","mother","father","transfers","currently","region","status","statusDate","COD","notes","transferDate","transfer","entryDate"
"538","Bottlenose","AZA ????","Halia's Calf","U","a","2013","Born",2013-10-14,"Dolphin Quest Hawaii","Hali'a",NA,NA,"Dolphin Quest Hawai'i","US","Died",2013-10-01,"-","Died sometime in October 2013 (estimated)",NA,"US",2013-10-14
"539","Bottlenose","NOA0010384, 1216M1","Haliâ€™aâ€™s Calf","M","a","2016","Born",2016-12-02,"Dolphin Quest Hawaii",NA,NA,NA,"Dolphin Quest Hawai'i","US","Died",2016-12-05,"-","The mother of this calf is believed to be Haliâ€™a, however, this is not confirmed.",NA,"US",2016-12-02
"540","Bottlenose","NOA0004383, AZA 675, IDR-72-1","Mr. Gipper","M","e","1949","Capture",1959-01-01,"Florida Keys",NA,NA,"Florida Keys to Dolphin Research Center (1960s)","Dolphin Research Center","US","Died",1985-06-09,"Pneumonia & complications of old age","Captured sometime in the 1960's, exact date unknown to Ceta-Base",NA,"US",1959-01-01
"541","Bottlenose","NOA0004414, AZA 23, TT-013 (Navy), DRC-88-3","Josephine","F","e","1959","Capture",1963-01-01,"Atlantic Ocean, FL?",NA,NA,"Florida, Atlantic Ocean? to U.S. Navy MMP (??-???-1963) to Long Marine Laboratory (11-Jul-1986) to Dolphin Research Center (30-Jun-1988)","Dolphin Research Center","US","Died",2003-01-13,"Euthanasia",NA,NA,"US",1963-01-01
"542","Bottlenose","NOA0004372","Charlie","M","e","1961","Capture",1964-01-01,"Florida Keys",NA,NA,"Florida Keys to Dolphin Research Center (1960s)","Dolphin Research Center","US","Died",1973-03-26,"Bacterial septicemia","Captured sometime in the 1960's, exact date unknown to Ceta-Base",NA,"US",1964-01-01
"543","Bottlenose","NOA0004382, AZA 20, IDR-72-2","Little Bit","F","e","1958","Capture",1964-01-01,"Florida Keys",NA,NA,"Florida Keys to Dolphin Research Center (??-???-1964)","Dolphin Research Center","US","Died",1991-02-18,"Toxemia associated with left ovarian tumor",NA,NA,"US",1964-01-01
"544","Bottlenose","NOA0004373, 007 (Flipper's Sea School)","Patty","F","e",NA,"Capture",1964-01-01,"Florida",NA,NA,"Florida, Unknown to Unknown Florida Facility, possible DRC (1960s) to Montreal Aquarium (Late 1960s?) to Dolphin Research Center (23-Apr-1980)","Dolphin Research Center","US","Died",1980-04-26,"Unknown",NA,NA,"US",1964-01-01
"545","Bottlenose","NOA0000152, TT10 (Montreal Aquarium)","Pierrot","M","e","1962","Capture",1964-01-01,"Florida",NA,NA,"Florida, Unknown to Unknown Florida Facility, possible DRC (1960s) to Montreal Aquarium (Late 1960s?) to Dolphin Research Center (23-Apr-1980)","Dolphin Research Center","US","Died",1980-04-26,"Stress",NA,NA,"US",1964-01-01
"546","Bottlenose","NOA0004371","Sam","M","e","1957","Capture",1964-01-01,"Florida Keys",NA,NA,"Florida Keys to Dolphin Research Center (1960s)","Dolphin Research Center","US","Died",1977-01-20,"Unknown","Captured sometime in the 1960's, exact date unknown to Ceta-Base",NA,"US",1964-01-01
"547","Bottlenose","NOA0004377, 009 (Flipper's Sea School)","Sonny","M","e",NA,"Capture",1964-01-01,"Florida",NA,NA,"Unknown to Dolphin Research Center (??-???-????)","Dolphin Research Center","US","Died",1973-06-04,"Pneumonia",NA,NA,"US",1964-01-01
"548","Bottlenose","NOA0004385, AZA 36, IDR-72-3","Theresa","F","e","1960","Capture",1968-01-01,"Atlantic Ocean, FL?",NA,NA,"Florida, Atlantic Ocean? to U.S. Navy MMP (1960s) to Dolphin Research Center (1968?) to Virgin Islands, Film Shoot (??-???-1989) to Escape, Virgin Islands (03-Mar-1989) to Re-Capture, Virgin Islands (04-Apr-1989) to Dolphin Research Center (??-???-1989)","Dolphin Research Center","US","Died",2011-05-04,"Age-related health issues","Captured sometime in the 1960's, exact date unknown to Ceta-Base",NA,"US",1968-01-01
"549","Bottlenose","NOA0004374","Chauncey","M","e","1961","Capture",1971-11-02,"Florida Keys",NA,NA,"Florida Keys to Dolphin Research Center (02-Nov-1971)","Dolphin Research Center","US","Died",1974-10-13,"pneumonia",NA,NA,"US",1971-11-02
"550","Bottlenose","NOA0004381, AZA 62, IDR-74-1","Delphi","M","e","1967","Capture",1972-01-01,"Gulf of Mexico, MS, US",NA,NA,"Mississippi, Gulf of Mexico to Audubon Zoo (","Dolphin Research Center","US","Died",2008-08-16,"subacute bronchopneumonia",NA,NA,"US",1972-01-01
"551","Bottlenose","NOA0004376","Poco","M","e","1967","Capture",1972-06-01,"Florida Keys",NA,NA,"Florida Keys to Dolphin Research Center (","Dolphin Research Center","US","Died",1975-08-18,"Internal bleeding","Captured prior to June 1972",NA,"US",1972-06-01
"552","Bottlenose","NOA0004380, AZA 48, IDR-72-5","Bee","F","e","1965","Capture",1972-07-14,"Florida Keys",NA,NA,"Florida Keys to Dolphin Research Center (14-Jul-1972)","Dolphin Research Center","US","Died",1989-11-30,"multifactorial/gastrointestinal",NA,NA,"US",1972-07-14
"553","Bottlenose","NOA0000149, IDR_72-4","Shannon","F","e","1958","Capture",1972-07-14,"Florida Keys",NA,NA,"Florida Keys to Dolphin Research Center (14-Jul-1972)","Dolphin Research Center","US","Died",1980-12-23,"severe, pre-natal uterine infection","Pregnant at the time of her death",NA,"US",1972-07-14
"554","Bottlenose","NOA0004375","Corky","F","a","1973","Born",1973-08-01,"Dolphin Research Center",NA,NA,NA,"Dolphin Research Center","US","Died",1975-05-08,"regetative endocarditis",NA,NA,"US",1973-08-01
"555","Bottlenose","NOA0004384, AZA 1022, IDR-74-2","Natua","M","a","1974","Born",1974-12-28,"Dolphin Research Center","Theresa",NA,NA,"Dolphin Research Center","US","Died",1991-10-01,"hepatitis & cirrhosis",NA,NA,"US",1974-12-28
"556","Bottlenose","NOA0000146, IDR-75-1","Captain Gray","U","e","1961","Capture",1975-05-13,"Florida Keys",NA,NA,"Florida Keys to Dolphin Research Center (13-May-1975)","Dolphin Research Center","US","Died",1983-09-13,"-",NA,NA,"US",1975-05-13
"557","Bottlenose","NOA0000150, IDR-75-2","Longnose","F","e","1972","Capture",1975-05-13,"Florida Keys",NA,NA,"Florida Keys to Dolphin Research Center (13-May-1975)","Dolphin Research Center","US","Died",1980-10-20,"pancreatic inflam.; fibrosis, gastritis",NA,NA,"US",1975-05-13
"558","Bottlenose","NOA0004387, AZA 114, IDR-77-1","Misty","F","e","1972","Capture",1975-05-13,"Florida Keys",NA,NA,"Florida Keys to Unknown (DRC or other?) (13-May-1975) to Dolphin Research Center (02-Oct-1977)","Dolphin Research Center","US","Died",1993-07-21,"hepatic insufficiency/failure",NA,NA,"US",1975-05-13
"559","Bottlenose","NOA0004370","Mitchell","M","e","1969","Capture",1975-05-20,"Florida Keys",NA,NA,"Florida Keys to Dolphin Research Center (20-May-1975)","Dolphin Research Center","US","Died",1976-12-22,"Unknown",NA,NA,"US",1975-05-20
"560","Bottlenose","NOA0000729","Buie","M","e",NA,"Capture",1975-05-20,"Florida Keys",NA,NA,"Florida Keys to Dolphin Research Center (20-May-1975) to New York Aquarium (02-Jun-1976) to Dolphin Research Center (1976 ~ 1983)","Dolphin Research Center","US","Released?",1983-01-01,"-",NA,NA,"US",1975-05-20
"561","Bottlenose","NOA0000151","Moxie","M","a","1976","Born",1976-09-05,"Dolphin Research Center","Bee",NA,NA,"Dolphin Research Center","US","Died",1979-02-16,"Mother-infant incompatibility",NA,NA,"US",1976-09-05
"562","Bottlenose","NOA0001123","Sabby","F","e","1973","Capture",1976-10-31,"Florida Keys",NA,NA,"Florida Keys to Dolphin Research Center (31-Oct-1976)","Dolphin Research Center","US","Died",1976-12-18,"Trematodes",NA,NA,"US",1976-10-31
"563","Bottlenose","NOA0004388, TT30 (Montreal Aquarium)","Kim","F","e","1973","Capture",1976-11-04,"Florida Keys",NA,NA,"Florida Keys to Dolphin Research Center (04-Nov-1976) to Montreal Aquarium (~ 1976?) to Dolphin Research Center (23-Apr-1980)","Dolphin Research Center","US","Died",1984-11-08,"Unknown",NA,NA,"US",1976-11-04
"564","Bottlenose","NOA0004405, TT-579 (Navy), DRC-88-4","Arrow","F","e","1959","Capture",1977-08-17,"Atlantic Ocean, FL?",NA,NA,"Florida, Atlantic Ocean? to U.S. Navy MMP (17-Aug-1977) to Long Marine Laboratory (11-Jul-1986) to Dolphin Research Center (30-Jun-1988)","Dolphin Research Center","US","Died",1988-07-16,"subacute cystitis","Arrow was previously named ""Gwendolyn""",NA,"US",1977-08-17
"565","Bottlenose","NOA0000147, IDR-77-3","Ceti","M","a","1977","Born",1977-11-16,"Dolphin Research Center",NA,NA,NA,"Dolphin Research Center","US","Died",1983-10-16,"hemorrhagic enteritis/colitis",NA,NA,"US",1977-11-16
"566","Bottlenose","NOA0000148, IDR-78-1","Rosetta","F","a","1978","Born",1978-05-06,"Dolphin Research Center","Theresa",NA,NA,"Dolphin Research Center","US","Died",1982-03-28,"depression of bone marrow",NA,NA,"US",1978-05-06
"567","Bottlenose","NOA0001794, #4 (Cedar Point)","Breeze","F","e","1978","Capture",1980-01-13,"Florida Keys",NA,NA,"Florida Keys to Miami Seaquarium (13-Jan-1980) to Cedar Point (05-May-1980) to Dolphin Research Center (31-Mar-1998)","Dolphin Research Center","US","Died",1998-06-28,"liver failure",NA,NA,"US",1980-01-13
"568","Bottlenose","NOA0003416, F3 (Collector's ID)","Ubie","F","e","1975","Capture",1980-07-16,"Gulf of Mexico, FL?",NA,NA,"Florida, Gulf Coast? to Marine Animal Productions (16-Jul-1980) to Dolphin Research Center (03-Nov-1980)","Dolphin Research Center","US","Died",1983-07-22,"undetermined",NA,NA,"US",1980-07-16
"569","Bottlenose","NOA0004404, AZA 189, TT402","Kibby","M","e","1977","Capture",1981-04-22,"Texas, Gulf of Mexico",NA,NA,"Texas, Gulf of Mexico to Sea-Arama Marineworld (22-Apr-1981) to National Aquarium in Baltimore (01-Aug-1981) to Dolphin Research Center (21-Nov-1981) to National Aquarium in Baltimore (??-Jun-1982) to Dolphin Research Center (11-Aug-1982)","Dolphin Research Center","US","Died",2013-01-25,"viventricular heart failure with (apparent) acute decompensation",NA,NA,"US",1981-04-22
"570","Bottlenose","NOA0004409, AZA 188, TT 403","Aphrodite","F","e","1977","Capture",1981-07-15,"Texas, Gulf of Mexico",NA,NA,"Texas, Gulf of Mexico to Sea-Arama Marineworld (15-Jul-1981) to National Aquarium in Baltimore (01-Aug-1981) to Dolphin Research Center (21-Nov-1981) to National Aquarium in Baltimore (??-Jun-1982) to Dolphin Research Center (11-Aug-1982)","Dolphin Research Center","US","Died",2000-05-08,"-",NA,NA,"US",1981-07-15
"571","Bottlenose","NOA0004389, AZA 1029, IDR-81-1","Annessa","M","a","1981","Born",1981-09-25,"Dolphin Research Center","Bee","Delphi",NA,"Dolphin Research Center","US","Escaped",1992-08-23,"-",NA,NA,"US",1981-09-25
"572","Bottlenose","NOA0004421,","Cindy","F","e","1977","Capture",1981-10-30,"Atlantic Ocean, FL",NA,NA,"Florida, Atlantic Ocean to Ocean World Ft Lauderdale (30-Oct-1981) to Dolphin Research Center (28-Jun-1994)","Dolphin Research Center","US","Died",2000-01-17,"multifactoral","** check original acquisition date",NA,"US",1981-10-30
"573","Bottlenose","NOA0000153, AZA ????, IDR-82-1","Jonah","M","a","1982","Born",1982-01-02,"Dolphin Research Center",NA,NA,NA,"Dolphin Research Center","US","Died",1982-11-02,"adrenal cortical atrophy",NA,NA,"US",1982-01-02
"574","Bottlenose","NOA0004390, IDR-82-2","Nai'a'ili","M","e",NA,"Rescue",1982-09-08,"Florida Keys",NA,NA,"Florida Keys to Dolphin Research Center (08-Sep-1982)","Dolphin Research Center","US","Died",1987-06-24,"pulmonary, hepatic and myocardial","Offshore ecotype",NA,"US",1982-09-08
"575","Bottlenose","NOA0004397","Captain","M","e","1980","Capture",1984-02-24,"Florida Keys",NA,NA,"Florida Keys to Dolphin Research Center (24-Feb-1984)","Dolphin Research Center","US","Died",1985-06-22,"meningitis and liver complications",NA,NA,"US",1984-02-24
"576","Bottlenose","NOA0004395, DRC-BC 84-2","Tai","M","a",NA,"Born",1984-04-11,"Dolphin Research Center","Theresa",NA,NA,"Dolphin Research Center","US","Died",1985-08-07,"-",NA,NA,"US",1984-04-11
"577","Bottlenose","NOA0002128","Mimi's Calf","F","a","1984","Born",1984-09-28,"Dolphin Research Center","Mimi",NA,NA,"Dolphin Research Center","US","Died",1984-10-10,"salmonella",NA,NA,"US",1984-09-28
"578","Bottlenose","NOA0002125","Aphro's Calf","F","a","1985","Born",1985-05-18,"Dolphin Research Center","Aphrodite",NA,NA,"Dolphin Research Center","US","Died",1985-05-23,"salmonella",NA,NA,"US",1985-05-18
"579","Bottlenose","NOA0004399, AZA ????, DRC-BC-85-1","Halley","M","a","1985","Born",1985-08-15,"Dolphin Research Center",NA,NA,NA,"Dolphin Research Center","US","Died",1987-12-21,"multiple lacerations, etc.",NA,NA,"US",1985-08-15
"580","Bottlenose","NOA0004402, AZA ????, S86F-3","Captiva","F","e","1983","Capture",1986-09-12,"Florida Keys",NA,NA,"Florida Keys to Dolphin Research Center (12-Sep-1986)","Dolphin Research Center","US","Died",1989-10-21,"multi-organ functional compromise",NA,NA,"US",1986-09-12
"581","Spotted, Atlantic","NOA0004423, SWF-SF-8691B","Stanley","M","e",NA,"Rescue",1986-10-30,"Shell Island, FL, US",NA,NA,"Shell Island, Florida to SeaWorld Orlando (30-Oct-1986) to Dolphin Research Center (02-Feb-1995)","Dolphin Research Center","US","Died",1998-02-06,"regenerative anemia",NA,NA,"US",1986-10-30
"582","Bottlenose","NOA0004401, DRC-BC-86-2","Calf ","M","a","1986","Born",1986-12-23,"Dolphin Research Center",NA,NA,NA,"Dolphin Research Center","US","Died",1987-01-05,"neonatal lung dysfunction",NA,NA,"US",1986-12-23
"583","Spotted, Pantropical","NOA0004406, DRC-87-3","Dart","F","e",NA,"Rescue",1987-10-24,"Lower Matecumbe Key",NA,NA,"Lower Matecumbe Key to Dolphin Research Center (24-Oct-1987)","Dolphin Research Center","US","Died",1990-11-09,"multifactorial",NA,NA,"US",1987-10-24
"584","Bottlenose","NOA0004408, AZA 1032, DRC-BC-87-7","Omega","F","a","1987","Born",1987-11-20,"Dolphin Research Center","Bee","Delphi",NA,"Dolphin Research Center","US","Died",1991-10-31,"pneumonia",NA,NA,"US",1987-11-20
"585","Bottlenose","NOA0004407, DRC-BC-88-1","Calf ","M","a","1988","Born",1988-03-21,"Dolphin Research Center",NA,NA,NA,"Dolphin Research Center","US","Died",1988-09-12,"pancreatitis",NA,NA,"US",1988-03-21
"586","Bottlenose","NOA0004412, DRC-BC-88-9","Calf ","F","a","1988","Stillbirth",1988-12-10,"Dolphin Research Center",NA,NA,NA,"Dolphin Research Center","US","Stillbirth",1988-12-10,"premature/stillbirth",NA,NA,"US",1988-12-10
"587","Bottlenose","NOA0004411, DRC-BC-89-1","Calf ","M","a","1989","Born",1989-01-01,"Dolphin Research Center",NA,NA,NA,"Dolphin Research Center","US","Died",1989-01-08,"probably multifactorial",NA,NA,"US",1989-01-01
"588","Bottlenose","NOA0004463,","Buckbuk","M","e","1981","Capture",1989-08-07,"Atlantic Ocean, FL?",NA,NA,"Florida, Atlantic Ocean? to U.S. Navy MMP (07-Aug-1989) to Sugarloaf Dolphin Sanctuary (30-Nov-1994) to Near Key West (23-May-1996) to Florida Keys (04-Jun-1996) to Dolphin Research Center (04-Jun-1996)","Dolphin Research Center","US","Died",1999-06-20,"-",NA,NA,"US",1989-08-07
"589","Bottlenose","NOA0004415, AZA 1038, DRC-BC-90-5","Little Bit's Calf","F","a","1990","Stillbirth",1990-05-28,"Dolphin Research Center","Little Bit",NA,NA,"Dolphin Research Center","US","Stillbirth",1990-05-28,"extremely prolonged labor",NA,NA,"US",1990-05-28
"590","Bottlenose","NOA0004419, AZA 1060, DRC-BC-92-23","Aphro's Calf","M","a","1992","Stillbirth",1992-11-23,"Dolphin Research Center","Aphrodite","Rainbow",NA,"Dolphin Research Center","US","Stillbirth",1992-11-23,"premature/stillbirth",NA,NA,"US",1992-11-23
"591","Bottlenose","NOA0004420, DRC-BC-93-10","Theresa's Calf","F","a","1993","Born",1993-10-06,"Dolphin Research Center","Theresa","Rainbow",NA,"Dolphin Research Center","US","Died",1994-05-27,"gastric/foreign body impaction",NA,NA,"US",1993-10-06
"592","Bottlenose","NOA0004422, AZA 1068, DRC-BC-94-06","Picara","F","a","1994","Born",1994-09-02,"Dolphin Research Center","Cindy","Dimples II",NA,"Dolphin Research Center","US","Died",1995-07-05,"pancreatitis","Conceived at Ocean World Florida",NA,"US",1994-09-02
"593","Bottlenose","NOA0005726, AZA 627, DRC-BC-97-02","Theresa's Calf","F","a","1997","Born",1997-06-18,"Dolphin Research Center","Theresa","Buck",NA,"Dolphin Research Center","US","Died",1997-09-16,"-",NA,NA,"US",1997-06-18
"594","Bottlenose","DRC-BC-01-02, AZA 1083","Destiny","F","a","2001","Born",2001-03-07,"Dolphin Research Center","Aleta","Rainbow",NA,"Dolphin Research Center","US","Died",2001-03-13,"-",NA,NA,"US",2001-03-07
"595","Bottlenose","NOA0005955, AZA 1085, DRC-BC-01-03","Havana","M","a","2001","Born",2001-03-20,"Dolphin Research Center","Tursi","Rainbow",NA,"Dolphin Research Center","US","Died",2001-06-02,"pneumonia",NA,NA,"US",2001-03-20
"596","Bottlenose","AZA 1090","Aleta's Calf","F","a","2002","Born",2002-04-04,"Dolphin Research Center","Aleta","Kibby",NA,"Dolphin Research Center","US","Died",2002-04-04,"-",NA,NA,"US",2002-04-04
"597","Bottlenose","AZA 1091","Molly's Calf","F","a","2002","Born",2002-04-05,"Dolphin Research Center","Molly","Kibby",NA,"Dolphin Research Center","US","Died",2002-04-23,"-",NA,NA,"US",2002-04-05
"598","Bottlenose","AZA 1094","Merina's Calf","M","a","2004","Born",2004-09-23,"Dolphin Research Center","Merina","Rainbow",NA,"Dolphin Research Center","US","Died",2004-10-06,"-",NA,NA,"US",2004-09-23
"599","Bottlenose","AZA 1096","Tursi's Calf","F","a","2004","Stillbirth",2004-10-28,"Dolphin Research Center","Tursi","Kibby",NA,"Dolphin Research Center","US","Stillbirth",2004-10-28,"-",NA,NA,"US",2004-10-28
"600","Bottlenose","NOA0006302, AZA 1100, DRC-BC-05-01","Santini's Calf","M","a","2005","Born",2005-10-24,"Dolphin Research Center","Santini","Rainbow",NA,"Dolphin Research Center","US","Died",2005-10-24,"-",NA,NA,"US",2005-10-24
"601","Bottlenose","NOA0006368, AZA 1165, DRC-BC-06-01","Ras","M","a","2006","Born",2006-11-24,"Dolphin Research Center","Santini","Kibby",NA,"Dolphin Research Center","US","Died",2009-12-27,"sepsis from gastric impaction (seagrass)",NA,NA,"US",2006-11-24
"602","Bottlenose","NOA0006704, AZA ????, DRC-BC-10-03","Calusa's Calf","U","a","2010","Born",2010-11-13,"Dolphin Research Center","Calusa","A.I., Merlin",NA,"Dolphin Research Center","US","Died",2010-11-17,"acute bacterial septicemia","Conceived via artificial insemination, sire (Merlin) lives at Six Flags Discovery Kingdom",NA,"US",2010-11-13
"603","Bottlenose","NOA0003746, AZA 593","Kai'nalu","M","a","1996","Born",1996-10-03,"Dolphin Quest Hawaii","Leilani","Hobi","Dolphin Quest Hawaii to Dolphin Quest Oahu (05-Oct-2002) to Dolphin Quest Hawaii (14-Sep-2009) to Dolphin Quest Hawaii (08-Sep-2000) to Dolphin Quest Oahu (??-May-2012) to  Dolphinaris Arizona (26-Sep-2016)","Dolphinaris Arizona","US","Unknown",NA,"-",NA,NA,"US",1996-10-03
"604","Bottlenose","NOA0005761, AZA 649, SWT-TT-9877","Ping","F","a","1998","Born",1998-07-03,"SeaWorld San Antonio","Alice","Capricorn","SeaWorld San Antonio to Six Flags Discovery Kingdom (11-Feb-2013) to Dolphinaris Arizona (24-Aug-2016)","Dolphinaris Arizona","US","Unknown",NA,"-",NA,NA,"US",1998-07-03
"605","Bottlenose","NOA0005888, AZA 708, TT00611","Sonny","M","a","2009","Born",2000-06-11,"Six Flags Discovery Kingdom","Chelsea","Schooner","Six Flags Discovery Kingdom to Dolphinaris Arizona (24-Aug-2016)","Dolphinaris Arizona","US","Unknown",NA,"-",NA,NA,"US",2000-06-11
"606","Bottlenose","NOA0000420, AZA 550","Liko","M","a","2000","Born",2000-09-08,"Dolphin Quest Hawaii","Kona","Lono","Dolphin Quest Hawaii to Dolphin Quest Oahu (??-May-2012) to Dolphinaris Arizona (26-Sep-2016)","Dolphinaris Arizona","US","Unknown",NA,"-",NA,NA,"US",2000-09-08
"607","Bottlenose","NOA0006436, AZA 1203, SWF-TT-0711","Alia","F","a","2007","Born",2007-12-04,"SeaWorld Orlando","Ariel","Sebastian","SeaWorld Orlando to Discovery Cove Orlando (??-Jan-2013) to Six Flags Discovery Kingdom (10-Feb-2013) to Dolphinaris Arizona (24-Aug-2016)","Dolphinaris Arizona","US","Unknown",NA,"-",NA,NA,"US",2007-12-04
"608","Bottlenose","NOA0006454, AZA 1220, SWF-TT-0802","Khloe","F","a","2008","Born",2008-04-18,"SeaWorld Orlando","Kendall","Hekili","SeaWorld Orlando to Discovery Cove Orlando (??-Jan-2013) to Six Flags Discovery Kingdom (10-Feb-2013) to Dolphinaris Arizona (24-Aug-2016)","Dolphinaris Arizona","US","Unknown",NA,"-",NA,NA,"US",2008-04-18
"609","Bottlenose","NOA0006642, AZA ????, TT8320","Bodie","M","a","2010","Born",2010-06-07,"Six Flags Discovery Kingdom","Chelsea","A.I., Rainbow","Six Flags Discovery Kingdom to Dolphinaris Arizona (24-Aug-2016)","Dolphinaris Arizona","US","Unknown",NA,"-","Bodie was ""named"" Puna Kea during a marketing contest at Six Flags Discovery Kingdom, the name was symbolic and not official.",NA,"US",2010-06-07
"610","Bottlenose","NOA0006736, 811F1 (Dolphin Quest)","Noelani","F","a","2010","Born",2010-08-05,"Dolphin Quest Hawaii","Pele","-","Dolphin Quest Hawai'i to Dolphinaris Arizona (26-Sep-2016)","Dolphinaris Arizona","US","Unknown",NA,"-",NA,NA,"US",2010-08-05
"611","Bottlenose","NOA0001904, AZA 203","Genie","F","e","1978","Capture",1981-03-04,"Florida Keys",NA,NA,"Florida Keys to Dolphins Plus Oceanside (04-Mar-1981) to Dolphins Plus Bayside (11-Jan-1998)","Dolphins Plus Bayside","US","Died",2009-01-28,"-",NA,NA,"US",1981-03-04
"612","Bottlenose","NOA0001908, AZA 266","Spunky","F","e","1981","Capture",1985-04-29,"Florida Keys",NA,NA,"Florida Keys to Dolphins Plus Oceanside (29-Apr-1985) to Dolphins Plus Bayside (25-Jan-1998)","Dolphins Plus Bayside","US","Died",2008-09-26,"-",NA,NA,"US",1985-04-29
"613","Bottlenose","NOA0001913, AZA 315","Dreamer","F","e","1983","Capture",1987-04-26,"Florida Keys",NA,NA,"Florida Keys to Dolphins Plus Oceanside (26-Apr-1987) to Dolphins Plus Bayside (01-Feb-1999)","Dolphins Plus Bayside","US","Died",2002-10-31,"Hepatic fibrosis",NA,NA,"US",1987-04-26
"614","Bottlenose","NOA0001931, AZA 541","Duke","M","a","1994","Born",1994-07-23,"Dolphins Plus Oceanside","Spunky",NA,"Dolphins Plus Oceanside to Dolphins Plus Bayside (23-Jan-1998)","Dolphins Plus Bayside","US","Died",2008-08-28,"-",NA,NA,"US",1994-07-23
"615","Bottlenose","NOA0010050, AZA ????","Nica's Calf","M","a","2013","Born",2013-06-03,"Dolphins Plus Bayside","Nica",NA,NA,"Dolphins Plus Bayside","US","Died",2013-06-05,"Twisted gut",NA,NA,"US",2013-06-03
"616","Bottlenose","NOA0001903, AZA 202","Little Bit","M","e","1978","Capture",1981-03-02,"Florida Keys",NA,NA,"Florida Keys to Dolphins Plus (02-Mar-1981)","Dolphins Plus Oceanside","US","Died",2010-11-12,"Chronic liver issue (hemochromatosis)",NA,NA,"US",1981-03-02
"617","Bottlenose","NOA0001905, AZA 204","Fonzie","M","e","1978","Capture",1981-07-27,"Florida Keys",NA,NA,"Florida Keys to Dolphins Plus (27-Jul-1981)","Dolphins Plus Oceanside","US","Died",2004-03-11,"Anaerobic septicemia",NA,NA,"US",1981-07-27
"618","Bottlenose","NOA0001918","Dinghy's Calf","M","a","1990","Born",1990-05-24,"Dolphins Plus Oceanside","Dinghy",NA,NA,"Dolphins Plus Oceanside","US","Died",1990-05-24,"Patent ductus arteriosus",NA,NA,"US",1990-05-24
"619","Bottlenose","NOA0001919","Genie's Calf","M","a","1991","Born",1991-08-19,"Dolphins Plus Oceanside","Genie",NA,NA,"Dolphins Plus Oceanside","US","Died",1991-08-19,"Undetermined",NA,NA,"US",1991-08-19
"620","Bottlenose","NOA0001921","Spunky's Calf","F","a","1992","Born",1992-05-31,"Dolphins Plus Oceanside","Spunky",NA,NA,"Dolphins Plus Oceanside","US","Died",1992-06-04,"Undetermined",NA,NA,"US",1992-05-31
"621","Bottlenose","NOA0001920","Jessica's Calf","F","a","1992","Stillbirth",1992-06-04,"Dolphins Plus Oceanside","Jessica",NA,NA,"Dolphins Plus Oceanside","US","Stillbirth",1992-06-04,"-",NA,NA,"US",1992-06-04
"622","Bottlenose","NOA0001924","Squirt's Calf","F","a","1992","Born",1992-12-10,"Dolphins Plus Oceanside","Squirt",NA,NA,"Dolphins Plus Oceanside","US","Died",1992-12-26,"Bacterial pneumonia",NA,NA,"US",1992-12-10
"623","Bottlenose","NOA0001925","Nicky's Calf","F","a","1992","Born",1992-12-18,"Dolphins Plus Oceanside","Nicky",NA,NA,"Dolphins Plus Oceanside","US","Died",1992-12-20,"Septicemia, probably bacterial",NA,NA,"US",1992-12-18
"624","Bottlenose","NOA0001927","Samantha's Calf","M","a","1993","Born",1993-06-19,"Dolphins Plus Oceanside","Samantha",NA,NA,"Dolphins Plus Oceanside","US","Died",1993-06-24,"Severe liver disease",NA,NA,"US",1993-06-19
"625","Bottlenose","NOA0001926","Sarah's Calf","F","a","1993","Born",1993-06-24,"Dolphins Plus Oceanside","Sarah",NA,NA,"Dolphins Plus Oceanside","US","Died",1993-06-24,"Weakness, disorientation",NA,NA,"US",1993-06-24
"626","Bottlenose","NOA0001930","Dreamer's Calf","M","a","1994","Born",1994-07-23,"Dolphins Plus Oceanside","Dreamer",NA,NA,"Dolphins Plus Oceanside","US","Died",1994-07-28,"-",NA,NA,"US",1994-07-23
"627","Bottlenose","NOA0001933","Squirt's Calf","F","a","1994","Born",1994-08-12,"Dolphins Plus Oceanside","Squirt",NA,NA,"Dolphins Plus Oceanside","US","Died",1994-09-14,"Septicemia, respiratory abscess",NA,NA,"US",1994-08-12
"628","Bottlenose","NOA0005983","Dinghy's Calf","F","a","1999","Miscarriage",1999-05-29,"Dolphins Plus Oceanside","Dingy","Fonzie",NA,"Dolphins Plus Oceanside","US","Miscarriage",1999-05-29,"-",NA,NA,"US",1999-05-29
"629","Bottlenose","NOA0005985","Sarah's Calf","F","a","1999","Born",1999-07-01,"Dolphins Plus Oceanside","Sarah","L.B.",NA,"Dolphins Plus Oceanside","US","Died",1999-07-01,"Patent ductus arteriosus",NA,NA,"US",1999-07-01
"630","Bottlenose","NOA0006241, AZA 956","Elvis","M","a","2004","Born",2004-08-05,"Dolphins Plus Oceanside","Spunky","Alfonz","Dolphins Plus Bayside to Dolphins Plus Oceanside (12-Dec-2007) to Dolphins Plus Bayside (20-Oct-2011) to Dolphins Plus Oceanside (26-Jun-2013)","Dolphins Plus Oceanside","US","Died",2015-06-20,"Possible sepsis, pneumonia",NA,NA,"US",2004-08-05
