medal,beer_name,brewery,city,state,category,year
Gold,Drunkard's Cloak,Banded Oak Brewing Co.,Denver,CO,Old Ale or Strong Ale,2018
Silver,Old Scrooge,Silver City Brewery,Bremerton,WA,Old Ale or Strong Ale,2018
Bronze,Rail Gun Wee Heavy,BNS Brewing & Distilling Co.,Santee,CA,Old Ale or Strong Ale,2018
Silver,Copperline Amber Ale,Carolina Brewery - Chapel Hill,Pittsboro,NC,Ordinary or Special Bitter,2018
Gold,Pour le Mineur,Corridor Brewery & Provisions,Chicago,IL,Other Belgian-Style Ale,2018
Bronze,Red Devil,Printer's Ale Manufacturing Co.,Carrollton,GA,Other Belgian-Style Ale,2018
Gold,Golden Prairie Doppel Alt,Argus Brewery,Chicago,IL,Other Strong Beer,2018
Bronze,Lampshade Porter,Starr Brothers Brewing Co.,Albuquerque,NM,Other Strong Beer,2018
Bronze,La Bomba,Cheluna Brewing Co.,Aurora,CO,Proam,2018
Gold,Gordgeous,NoDa Brewing Co. - NE,Charlotte,NC,Pumpkin/Squash Beer or Pumpkin Spice Beer,2018
Silver,Whole Hog Pumpkin Ale,Stevens Point Brewery,Stevens Point,WI,Pumpkin/Squash Beer or Pumpkin Spice Beer,2018
Bronze,5 Phantoms Pumpkin Spice Barleywine,Philipsburg Brewing Co. - The Vault,Philipsburg,MT,Pumpkin/Squash Beer or Pumpkin Spice Beer,2018
Gold,Lomporter,Lompoc Brewing - The 5th Quadrant,Portland,OR,Robust Porter,2018
Silver,Porter,Founders Brewing Co.,Grand Rapids,MI,Robust Porter,2018
Gold,Rye Dawn,Breakwater Brewing Co.,Oceanside,CA,Rye Beer,2018
Silver,Unite the Clans,Third Space Brewing,Milwaukee,WI,Rye Beer,2018
Gold,Real Heavy,Real Ale Brewing Co.,Blanco,TX,Scotch Ale,2018
Silver,Skag,6th and La Brea,Los Angeles,CA,Scotch Ale,2018
Gold,Taildragger Clan-Destine,Saddle Mountain Brewing Co.,Goodyear,AZ,Scottish-Style Ale,2018
Silver,Saint Arnold Oktoberfest,Saint Arnold Brewing Co.,Houston,TX,Scottish-Style Ale,2018
Bronze,It Takes a Tribe Red Ale,Goat Patch Brewing Co.,Colorado Springs,CO,Scottish-Style Ale,2018
Gold,Natural Bridge: Vienna Lager,Eppig Brewing,San Diego,CA,Session Beer,2018
Bronze,Stonefly Session Ale,Three Creeks Production,Sisters,OR,Session Beer,2018
Gold,The Coachman,Societe Brewing Co.,San Diego,CA,Session India Pale Ale,2018
Silver,Little Downtown Tom,Three Mile Brewing Co.,Davis,CA,Session India Pale Ale,2018
Bronze,Mosaic Reprise,Little City Brewing Co.,Raleigh,NC,Session India Pale Ale,2018
Gold,St. Chuck's Smoke,Rogue Ales Issaquah Brewhouse,Issaquah,WA,Smoke Beer,2018
Silver,Pro-Pro Porter,Wormtown Brewery,Worcester,MA,Smoke Beer,2018
Bronze,Raucher,Wolverine State Brewing Co.,Ann Arbor,MI,Smoke Beer,2018
Gold,Civil Rest,Little Brother Brewing,Greensboro,NC,South German-Style Hefeweizen,2018
Silver,Hoofer's Hef,Bankhead Brewing Co.,Rowlett,TX,South German-Style Hefeweizen,2018
Bronze,Hefeweizen,Standard Deviant Brewing,San Francisco,CA,South German-Style Hefeweizen,2018
Silver,Double Stack,Great Notion Brewing,Portland,OR,Specialty Beer,2018
Bronze,I Did It All For The Cookie,FiftyFifty Brewing - Production Facility,Truckee,CA,Specialty Beer,2018
Silver,Sunken City,Insight Brewing Co.,Minneapolis,MN,Specialty Saison,2018
Bronze,Rustic Sunday,Birds Fly South Ale Project,Greenville,SC,Specialty Saison,2018
Silver,Udder Love,Beachwood Brewing,Huntington Beach,CA,Sweet Stout or Cream Stout,2018
Bronze,Melk Stout,Columbus Brewing Co.,Columbus,OH,Sweet Stout or Cream Stout,2018
Gold,Oktoberfest,SKA Brewing,Durango,CO,Vienna-Style Lager,2018
Silver,13.Five Ofest,Blue Mountain Barrel House and Organic Brewery,Arrington,VA,Vienna-Style Lager,2018
Bronze,Vienna Lager,Grains of Wrath Brewing,Camas,WA,Vienna-Style Lager,2018
Gold,Barrel Aged Japance Off,Denver Beer Co. - Olde Town Arvada,Arvada,CO,Wood- and Barrel-Aged Beer,2018
Silver,Redrum,Duck Foot Brewing Co.,San Diego,CA,Wood- and Barrel-Aged Beer,2018
Bronze,beWILDering C,Ten Pin Brewing Co.,Moses Lake,WA,Wood- and Barrel-Aged Beer,2018
Gold,3 Barrel Circus,River Dog Brewing Co.,Bluffton,SC,Wood- and Barrel-Aged Sour Beer,2018
Gold,Santa's Brass,Drake's Brewing Co.,San Leandro,CA,Wood- and Barrel-Aged Strong Beer,2018
Silver,Willett Barrel-Aged Ye Old Sprinklerhead Barleywine,The Wrecking Bar Brewpub,Atlanta,GA,Wood- and Barrel-Aged Strong Beer,2018
Bronze,Straight Jacket,Revolution Brewing,Chicago,IL,Wood- and Barrel-Aged Strong Beer,2018
Gold,70K Amburana,Against the Grain Brewery,Louisville,KY,Wood- and Barrel-Aged Strong Stout,2018
Gold,La Muerta,Freetail Brewing Co.,San Antonio,TX,Aged Beer,2017
Silver,Solzhenitsyn,Iron Hill Brewery & Restaurant - Media,Media,PA,Aged Beer,2017
Bronze,There is No Quad,The BottleHouse Brewery And Meadery,Cleveland,OH,Aged Beer,2017
Gold,Saison Du Bois,Lynnwood Brewing Concern - Production Facility,Raleigh,NC,American-Belgo-Style Ale,2017
Silver,Klipspringer,Metazoa Brewing Co.,Indianapolis,IN,American-Belgo-Style Ale,2017
Bronze,5 & 20 IPA,Nedloh Brewing Co.,Bloomfield,NY,American-Belgo-Style Ale,2017
Gold,Auburn Lager,Mad Anthony Brewing Co.,Fort Wayne,IN,American-Style Amber Lager,2017
Bronze,RodE2=80=99s Steam Bitter,Second Street Brewery,Santa Fe,NM,American-Style Amber Lager,2017
Gold,F-Town Amber,Copper Club Brewing Co.,Fruita,CO,American-Style Amber/Red Ale,2017
Gold,Hoppa Emeritus,Beachwood BBQ & Brewing,Long Beach,CA,American-Style Black Ale,2017
Bronze,Midnight Moonlight,Fat Head's Brewery,Middleburg Heights,OH,American-Style Black Ale,2017
Bronze,Machine Gun Teddy,Goldwater Brewing Co.,Scottsdale,AZ,American-Style Brown Ale,2017
Gold,Buckle Bunny,Eureka Heights Brewing Co.,Houston,TX,American-Style Cream Ale,2017
Bronze,Artifexican,Artifex Brewing Co.,San Clemente,CA,American-Style Cream Ale,2017
Gold,Razz Against the Machine,Little Machine,Denver,CO,American-Style Fruit Beer,2017
Silver,The Mesa,Cismontane Brewing Co.,Santa Ana,CA,American-Style Fruit Beer,2017
Bronze,Elvis Juice,BrewDog Brewing Co.,Canal Winchester,OH,American-Style Fruit Beer,2017
Gold,Prairie Madness,Hailstorm Brewing Co.,Tinley Park,IL,American-Style India Pale Ale,2017
Silver,Gold Digger IPA,Auburn Alehouse,Auburn,CA,American-Style India Pale Ale,2017
Bronze,Breakside IPA,Breakside Brewery & Taproom,Milwaukie,OR,American-Style India Pale Ale,2017
Gold,Mexican Lager,Lone Tree Brewing Co.,Lone Tree,CO,American-Style Lager or Malt Liquor,2017
Silver,Pabst Blue Ribbon (PBR),Pabst Brewing Co.,Los Angeles,CA,American-Style Lager or Malt Liquor,2017
Bronze,Sun Grown Fresh Craft Lager,The Sycamore Brewing Cannery,Charlotte,NC,American-Style Lager or Malt Liquor,2017
Gold,Monterey Street,Central Coast Brewing Co.,San Luis Obispo,CA,American-Style Pale Ale,2017
Silver,Mosaic Pale Ale,Lynnwood Brewing Concern - Production Facility,Raleigh,NC,American-Style Pale Ale,2017
Bronze,Triple Tail,SweetWater Brewing Co.,Atlanta,GA,American-Style Pale Ale,2017
Gold,Rocket 100,The Austin Beer Garden Brewing Co.,Austin,TX,American-Style Pilsener or International-Style Pilsener,2017
Silver,SesiC3=B3n Cerveza,Full Sail Brewing Co.,Hood River,OR,American-Style Pilsener or International-Style Pilsener,2017
Bronze,Lemon Pils,Elk Horn Brewery,Eugene,OR,American-Style Pilsener or International-Style Pilsener,2017
Silver,Disenchantment Blend #1,Bond Brothers Beer Co.,Cary,NC,American-Style Sour Ale,2017
Gold,Cholo Stout,Marble Brewery - Mav Lab,Albuquerque,NM,American-Style Stout,2017
Silver,American Stout,Wild Wolf Brewing Co.,Nellysford,VA,American-Style Stout,2017
Gold,Hubert MPA,Melvin Brewing,Alpine,WY,American-Style Strong Pale Ale,2017
Bronze,Breakside Stay West,Breakside Brewery + Beer Hall,Portland,OR,American-Style Strong Pale Ale,2017
Gold,Sweet As Pacific Ale,GoodLife Brewing Co.,Bend,OR,American-Style Wheat Beer,2017
Silver,Lemon Rye,105 West Brewing Co.,Castle Rock,CO,American-Style Wheat Beer,2017
Bronze,Fieldhouse Wheat,Triton Brewing Co.,Indianapolis,IN,American-Style Wheat Beer,2017
Silver,Miner's Gold Hefeweizen,Lewis & Clark Brewing Co.,Helena,MT,American-Style Wheat Beer With Yeast,2017
Bronze,Wrangler Wheat,Figueroa Mountain Brewing - Santa Barbara,Santa Barbara,CA,American-Style Wheat Beer With Yeast,2017
Gold,Triumvirate,Reuben's Brews Taproom,Seattle,WA,Australian-Style or International-Style Pale Ale,2017
Silver,Pure Intention Pale Ale,HopSaint Brewing Co.,Torrance,CA,Australian-Style or International-Style Pale Ale,2017
Gold,Public Enemy Baltic Porter,Dust Bowl Brewing Co.,Turlock,CA,Baltic-Style Porter,2017
Silver,Herd Of Turtles,Bagby Beer Co.,Oceanside,CA,Baltic-Style Porter,2017
Bronze,Powers of Observation,Ocelot Brewing Co.,Dulles,VA,Baltic-Style Porter,2017
Gold,Shipfaced,Silver Harbor Brewing Co.,Saint Joseph,MI,Barley Wine-Style Ale,2017
Silver,No. 20 Barleywine,The Freehouse,Minneapolis,MN,Barley Wine-Style Ale,2017
Bronze,Behemoth,One Barrel Brewing Co.,Madison,WI,Barley Wine-Style Ale,2017
Gold,Grisette Summer Ale,Sly Fox Brewing Co.,Pottstown,PA,Belgian- and French-Style Ale,2017
Bronze,Working Title,Perennial Artisan Ales,Saint Louis,MO,Belgian- and French-Style Ale,2017
Gold,Squatters Hell's Keep,Utah Brewers Cooperative,Salt Lake City,UT,Belgian-Style Blonde Ale or Pale Ale,2017
Silver,Breton Blonde,Metazoa Brewing Co.,Indianapolis,IN,Belgian-Style Blonde Ale or Pale Ale,2017
Bronze,Belgian Pale Ale,Redwood Curtain Brewing Co.,Arcata,CA,Belgian-Style Blonde Ale or Pale Ale,2017
Bronze,Four Fat Baby,Hillman Beer,Asheville,NC,Belgian-Style Dubbel or Quadrupel,2017
Gold,Blood Orange Wit,Refuge Brewery,Temecula,CA,Belgian-Style Fruit Beer,2017
Silver,ZuurPruim,Logsdon Farmhouse Ales,Hood River,OR,Belgian-Style Fruit Beer,2017
Bronze,Cherry Busey,Sun King Brewing Co.,Indianapolis,IN,Belgian-Style Fruit Beer,2017
Gold,El Sur,Casa Agria Specialty Ales,Oxnard,CA,Belgian-Style Lambic or Sour Ale,2017
Silver,Blended 2017,Side Project Brewing,Maplewood,MO,Belgian-Style Lambic or Sour Ale,2017
Bronze,Drinking with Friends,Mraz Brewing Co.,El Dorado Hills,CA,Belgian-Style Lambic or Sour Ale,2017
Gold,Amandus,Lazarus Brewing Co.,Austin,TX,Belgian-Style Strong Specialty Ale,2017
Silver,It's Always Something,Peticolas Brewing Co.,Dallas,TX,Belgian-Style Strong Specialty Ale,2017
Bronze,Smells Like Money,BearWaters Brewing Co.,Canton,NC,Belgian-Style Strong Specialty Ale,2017
Gold,Tripel Dog Dare,Big Dog's Brewing Co.,Las Vegas,NV,Belgian-Style Tripel,2017
Silver,Rapunzel,Corridor Brewery & Provisions,Chicago,IL,Belgian-Style Tripel,2017
Bronze,Tripel Horse,River Horse Brewing Co.,Ewing,NJ,Belgian-Style Tripel,2017
Gold,Wild Wacky Wit,Moon River Brewing Co.,Savannah,GA,Belgian-Style Witbier,2017
Silver,Suntrip,New Terrain Brewing Co.,Golden,CO,Belgian-Style Witbier,2017
Bronze,Witte Ale,Brewery Ommegang,Cooperstown,NY,Belgian-Style Witbier,2017
Gold,Kalliope,Captain Fatty's,Goleta,CA,Berliner-Style Weisse,2017
Silver,Ringmaster Raspberry Berliner,Big Top Brewing Co.,Sarasota,FL,Berliner-Style Weisse,2017
Bronze,Blackberry Table Sour,Baere Brewing Co.,Denver,CO,Berliner-Style Weisse,2017
Gold,Low Boy,On Tour Brewing Co.,Chicago,IL,Bock,2017
Silver,Rock Out with Maibock Out,Hailstorm Brewing Co.,Tinley Park,IL,Bock,2017
Bronze,Mountain Series: Maibock,Breckenridge Brewery,Littleton,CO,Bock,2017
Gold,Velvet Revolution,The Austin Beer Garden Brewing Co.,Austin,TX,Bohemian-Style Pilsener,2017
Silver,Bohemian Pilsener,TAPS Fish House and Brewery - Corona,Corona,CA,Bohemian-Style Pilsener,2017
Bronze,Torch Pilsner,Foothills Brewing Co.,Winston - Salem,NC,Bohemian-Style Pilsener,2017
Gold,Fancy Pants,Jessup Farm Barrel House,Fort Collins,CO,Brett Beer,2017
Silver,Saison Trystero,Our Mutual Friend Brewing,Denver,CO,Brett Beer,2017
Bronze,Touch of Brett Mosaic,Alesong Brewing & Blending,Eugene,OR,Brett Beer,2017
Gold,Porter,Back East Brewing,Bloomfield,CT,Brown Porter,2017
Silver,Pinch Hit Porter,Stadium Pizza Main St.,Lake Elsinore,CA,Brown Porter,2017
Bronze,Man Full of Trouble,Dock Street Brewery,Philadelphia,PA,Brown Porter,2017
Bronze,Dia de los Mangos,Beachwood Blendery,Long Beach,CA,Chili Beer,2017
Gold,Imperial Smoked Porter With Cacao Nibs,Joseph James Brewing Co.,Henderson,NV,Chocolate Beer,2017
Silver,Aphrodisiac Chocolate Pomegranate Imperial Stout,Cranker's Brewery,Big Rapids,MI,Chocolate Beer,2017
Bronze,Tears of My Enemies,Monday Night Brewing,Atlanta,GA,Chocolate Beer,2017
Gold,Mr. Kite's Pale Ale,Social Kitchen & Brewery,San Francisco,CA,Classic English-Style Pale Ale,2017
Silver,Extra Pale Ale,Summit Brewing Co.,Saint Paul,MN,Classic English-Style Pale Ale,2017
Gold,Bearded Seal,Pinthouse Pizza North,Austin,TX,Classic Irish-Style Dry Stout,2017
Silver,Sheehan's Stout,Rockford Brewing Co.,Rockford,MI,Classic Irish-Style Dry Stout,2017
Bronze,Boulder Stout,PT's Brewing Co.,Las Vegas,NV,Classic Irish-Style Dry Stout,2017
Gold,Saison,Funkwerks,Fort Collins,CO,Classic Saison,2017
Silver,Matisse,Night Shift Brewing,Everett,MA,Classic Saison,2017
Bronze,One Arm Farmhouse Ale,Hobbs Tavern & Brewing Co.,West Ossipee,NH,Classic Saison,2017
Gold,Heritage Coffee Brown Ale,Alaskan Brewing Co.,Juneau,AK,Coffee Beer,2017
Silver,It's 8 O'clock Somewhere,Torched Hop Brewing Co.,Atlanta,GA,Coffee Beer,2017
Bronze,Stony Joe,Stony Creek Brewery,Branford,CT,Coffee Beer,2017
Silver,Udder Chaos,RAM/Big Horn Brewery - Seattle,Seattle,WA,Coffee Stout or Porter,2017
Bronze,Kawi,Currahee Brewing Co.,Franklin,NC,Coffee Stout or Porter,2017
Gold,Mischievous Black,Six Ten Brewing,Tampa,FL,Dark Lager,2017
Silver,DTB Schwarzbier,Desperate Times Brewing Co.,Carlisle,PA,Dark Lager,2017
Bronze,Lighter Than I Look,Figueroa Mountain Brewing,Buellton,CA,Dark Lager,2017
Bronze,Northtown Native,Cinder Block Brewery,North Kansas City,MO,Dortmunder or German-Style Oktoberfest,2017
Gold,Hop Donkey,Auburn Alehouse,Auburn,CA,Double Red Ale,2017
Silver,St. James,Coldfire Brewing,Eugene,OR,Double Red Ale,2017
Bronze,Midwest Red IPA,Masthead Brewing Co.,Cleveland,OH,Double Red Ale,2017
Bronze,Rogue River Brown,Rockford Brewing Co.,Rockford,MI,English-Style Brown Ale,2017
Gold,Punjabi,CooperSmith's Pub & Brewing,Fort Collins,CO,English-Style India Pale Ale,2017
Silver,Hoppy Poppy IPA,Figueroa Mountain Brewing,Buellton,CA,English-Style India Pale Ale,2017
Bronze,Jacaranda Rye IPA,Claremont Craft Ales,Claremont,CA,English-Style India Pale Ale,2017
Gold,Hold the Reins,Brink Brewing Co.,Cincinnati,OH,English-Style Mild Ale,2017
Silver,Mamoot English Mild,Logboat Brewing Co.,Columbia,MO,English-Style Mild Ale,2017
Bronze,Nemo,Bonn Place Brewing,Bethlehem,PA,English-Style Mild Ale,2017
Gold,Organic California Blonde Ale,Eel River Brewing Co.,Fortuna,CA,English-Style Summer Ale,2017
Silver,Back In The ESSA,Monkey Paw Brewing,San Diego,CA,English-Style Summer Ale,2017
Silver,Roswell: Grudge,Black Project Spontaneous & Wild Ales,Denver,CO,Experimental Beer,2017
Bronze,Hot Pink,Four Day Ray Brewing,Fishers,IN,Experimental Beer,2017
Gold,Correspondent,Wander Brewing,Bellingham,WA,Export Stout,2017
Silver,Z-Man Stout,Pizza Port Carlsbad,Carlsbad,CA,Export Stout,2017
Silver,Extra Special Ale,Yards Brewing Co.,Philadelphia,PA,Extra Special Bitter,2017
Bronze,Holler ESB,Holler Brewing Co.,Houston,TX,Extra Special Bitter,2017
Gold,C Porter,LauderAle,Fort Lauderdale,FL,Field Beer,2017
Silver,No Crusts,Funky Buddha Brewery,Fort Lauderdale,FL,Field Beer,2017
Bronze,Spa Water Saison,Ohana Brewing Co.,Los Angeles,CA,Field Beer,2017
Gold,Wet Hop Melvin,Melvin Brewing Co.,Alpine,WY,Fresh or Wet Hop Ale,2017
Gold,Sierra Blanca Cherry Wheat,Sierra Blanca Brewing Co.,Moriarty,NM,Fruit Wheat Beer,2017
Silver,Purple Line,Smylie Brothers Brewing Co.,Evanston,IL,Fruit Wheat Beer,2017
Bronze,Paradise Now,Trim Tab Brewing,Birmingham,AL,Fruit Wheat Beer,2017
Silver,Sour Wench Blackberry Ale,Ballast Point Brewing Co. - Home Brew Mart,San Diego,CA,Fruited American-Style Sour Ale,2017
Bronze,Breakside Passionfruit Sour Ale,Breakside Brewery & Taproom,Milwaukie,OR,Fruited American-Style Sour Ale,2017
Gold,Zoned AG Apricot,Corralitos Brewing Co.,Watsonville,CA,Fruited Wood- and Barrel-Aged Sour Beer,2017
Silver,BA Excommunication,Max Lager's Wood-Fired Grill & Brewery,Atlanta,GA,Fruited Wood- and Barrel-Aged Sour Beer,2017
Bronze,Riserva,Weyerbacher Brewing Co.,Easton,PA,Fruited Wood- and Barrel-Aged Sour Beer,2017
Gold,Glacier Ale,Red Lodge Ales Brewing Co.,Red Lodge,MT,German-Style Altbier,2017
Silver,It's Your Fault,Piece Brewery,Chicago,IL,German-Style Altbier,2017
Bronze,Little Red Cap,Grimm Brothers Brewhouse,Loveland,CO,German-Style Altbier,2017
Gold,Wobblor,Crooked Lane Brewing Co.,Auburn,CA,German-Style Doppelbock or Eisbock,2017
Bronze,Goldie's Big Bock,Lonerider Brewing Co.,Raleigh,NC,German-Style Doppelbock or Eisbock,2017
Gold,Chuckanut Kolsch Style,Chuckanut Brewery,Bellingham,WA,German-Style Koelsch,2017
Silver,Seafarer,Three Weavers Brewing Co.,Inglewood,CA,German-Style Koelsch,2017
Gold,Asheville Lager,Wedge Brewing Co.,Asheville,NC,German-Style Maerzen,2017
Silver,Oktoberfest,Rahr & Sons Brewing Co.,Fort Worth,TX,German-Style Maerzen,2017
Bronze,Oktoberfest,Beaver Island Brewing Co.,Saint Cloud,MN,German-Style Maerzen,2017
Gold,Zoigl-Pils,Zoiglhaus Brewing Co.,Portland,OR,German-Style Pilsener,2017
Silver,Pilsner,Dry Dock Brewing Co. - South Dock,Aurora,CO,German-Style Pilsener,2017
Bronze,Pivo,Firestone Walker Brewing Co.,Paso Robles,CA,German-Style Pilsener,2017
Gold,AlpenGlow,Fat Head's Brewery & Saloon,North Olmsted,OH,German-Style Wheat Ale,2017
Silver,Hidden Gem,OB Brewery,San Diego,CA,German-Style Wheat Ale,2017
Bronze,Saint Arnold Weedwacker,Saint Arnold Brewing Co.,Houston,TX,German-Style Wheat Ale,2017
Gold,Dark Ale,Ground Breaker Brewing,Portland,OR,Gluten-Free Beer,2017
Silver,Meteor Shower Blonde Ale,Ghostfish Brewing Co.,Seattle,WA,Gluten-Free Beer,2017
Gold,Boone Creek Blonde,Appalachian Mountain Brewery - Portsmouth,Portsmouth,NH,Golden or Blonde Ale,2017
Silver,Firemans 4,Real Ale Brewing Co.,Blanco,TX,Golden or Blonde Ale,2017
Bronze,Blonde,Culture Brewing Co.,Solana Beach,CA,Golden or Blonde Ale,2017
Bronze,India Spring Honey Cream Ale,Broken Plow Brewery,Greeley,CO,Herb and Spice Beer,2017
Silver,Hilltopper's Pride Kentucky Common Ale,Ironworks Brewery & Pub,Lakewood,CO,Historical Beer,2017
Bronze,Spring Gruit,The BottleHouse Brewery And Meadery,Cleveland,OH,Historical Beer,2017
Gold,Orange Blossom Common,Karl Strauss Brewing Co. - Carlsbad,Carlsbad,CA,Honey Beer,2017
Silver,Jetty Ale,Great South Bay Brewery,Bay Shore,NY,Honey Beer,2017
Gold,Manta Ray,Ballast Point Brewing Co.,San Diego,CA,Imperial India Pale Ale,2017
Silver,Lupulin River,Knee Deep Brewing Co.,Auburn,CA,Imperial India Pale Ale,2017
Bronze,Chux,Danville Brewing Co.,Danville,CA,Imperial India Pale Ale,2017
Gold,Cinder Beast,Sunriver Brewing,Sunriver,OR,Imperial Red Ale,2017
Silver,Hop Zombie,Lone Tree Brewing Co.,Lone Tree,CO,Imperial Red Ale,2017
Bronze,Jagged Shard,Boise Brewing,Boise,ID,Imperial Red Ale,2017
Gold,The Russian,2SP Brewing Co.,Aston,PA,Imperial Stout,2017
Silver,Russian Imperial Stout,Iron Hill Brewery & Restaurant - Media,Media,PA,Imperial Stout,2017
Bronze,Duke Snider's Imperial Stout,Walking Tree Brewery,Vero Beach,FL,Imperial Stout,2017
Silver,Bomber Mountain,Black Tooth Brewing Co.,Sheridan,WY,Irish-Style Red Ale,2017
Bronze,Riley's Irish Red,Packinghouse Brewing Co.,Riverside,CA,Irish-Style Red Ale,2017
Gold,Zwickelbier,Red Rock Brewing Co. - Production,Salt Lake City,UT,Kellerbier or Zwickelbier,2017
Bronze,Pilsner,Marble Brewery - Production,Albuquerque,NM,Kellerbier or Zwickelbier,2017
Gold,Mermaid's Scorn,Benchtop Brewing Co.,Norfolk,VA,Leipzig-Style Gose or Contemporary Gose,2017
Bronze,Passionfruit Gose,Perrin Brewing Co.,Comstock Park,MI,Leipzig-Style Gose or Contemporary Gose,2017
Gold,Super Awesome Lager,Austin Beerworks,Austin,TX,Light Lager,2017
Bronze,Sun Grown,Sycamore Brewing,Charlotte,NC,Light Lager,2017
Silver,10 Buck Chuck,Firestone Walker Barrelworks,Buellton,CA,Mixed-Culture Brett Beer,2017
Bronze,CBC & Jester King's Cor Cordium,Cambridge Brewing Co.,Cambridge,MA,Mixed-Culture Brett Beer,2017
Gold,Chuckanut Dunkel,Chuckanut Brewery,Bellingham,WA,Munich-Style Dunkel or European-Style Dark Lager,2017
Silver,Moondoor Dunkel,Wibby Brewing,Longmont,CO,Munich-Style Dunkel or European-Style Dark Lager,2017
Gold,Penn Gold,Pennsylvania Brewing Co.,Pittsburgh,PA,Munich-Style Helles,2017
Silver,Solar,Sanctum Brewing Co.,Pomona,CA,Munich-Style Helles,2017
Bronze,Munich Light,Emmett's Brewing Co. - Wheaton,Wheaton,IL,Munich-Style Helles,2017
Gold,Wall of Sound,Stereo Brewing Co.,Placentia,CA,Oatmeal Stout,2017
Silver,The Ferguson,Studio Brew,Bristol,VA,Oatmeal Stout,2017
Bronze,Fat Pug,Maplewood Brewing Co.,Chicago,IL,Oatmeal Stout,2017
Bronze,Pilgrim's Dole,New Holland Brewing Co.,Holland,MI,Old Ale or Strong Ale,2017
Gold,Three Tun,Brew Hub,Lakeland,FL,Ordinary or Special Bitter,2017
Silver,Mooey,Bonn Place Brewing,Bethlehem,PA,Ordinary or Special Bitter,2017
Bronze,Saint Arnold Amber Ale,Saint Arnold Brewing Co.,Houston,TX,Ordinary or Special Bitter,2017
Gold,Witty Moron,Stone Brewing World Bistro & Gardens - Liberty Station,San Diego,CA,Other Belgian-Style Ale,2017
Silver,Lux Mundi,Save the World Brewing Co.,Marble Falls,TX,Other Belgian-Style Ale,2017
Bronze,Cousin Stoopid,Stickman Brews,Royersford,PA,Other Belgian-Style Ale,2017
Gold,Imperial Cream Ale,Nexus Brewery,Albuquerque,NM,Other Strong Beer,2017
Bronze,Antwerp's Placebo,Batch Brewing Co.,Detroit,MI,Other Strong Beer,2017
Gold,Just Another Pretty Face,Denver Beer Co.,Denver,CO,Pro-Am,2017
Silver,Lichtenhainer,Black Bottle Brewery,Fort Collins,CO,Pro-Am,2017
Gold,Just Another Pretty Face,Denver Beer Co.,Denver,CO,Proam,2017
Silver,Lichtenhainer,Black Bottle Brewery,Fort Collins,CO,Proam,2017
Bronze,Eluxansis,Odell Brewing Co.,Fort Collins,CO,Proam,2017
Gold,Saint Arnold Pumpkinator,Saint Arnold Brewing Co.,Houston,TX,Pumpkin/Squash Beer or Pumpkin Spice Beer,2017
Silver,Pumpkin Ale,Schlafly Beer/The Saint Louis Brewery,Saint Louis,MO,Pumpkin/Squash Beer or Pumpkin Spice Beer,2017
Bronze,5 Phantoms Pumpkin Spice Barleywine,Philipsburg Brewing Co.,Philipsburg,MT,Pumpkin/Squash Beer or Pumpkin Spice Beer,2017
Gold,Tabula Rasa Toasted Porter,Second Chance Beer Co.,San Diego,CA,Robust Porter,2017
Bronze,JFP,Rivertowne Pour House,Monroeville,PA,Robust Porter,2017
Gold,Unite the Clans,Third Space Brewing,Milwaukee,WI,Rye Beer,2017
Silver,Nighthawk Rye Pale Ale,Packinghouse Brewing Co.,Riverside,CA,Rye Beer,2017
Bronze,Breakside Rye Curious?,Breakside Brewery,Portland,OR,Rye Beer,2017
Gold,Real Heavy,Real Ale Brewing Co.,Blanco,TX,Scotch Ale,2017
Silver,Duck-Rabbit Wee Heavy Scotch Style Ale,Duck-Rabbit Craft Brewery,Farmville,NC,Scotch Ale,2017
Bronze,AleSmith Wee Heavy,AleSmith Brewing Co.,San Diego,CA,Scotch Ale,2017
Gold,Taildragger's Clan-Destine,Saddle Mountain Brewing Co.,Goodyear,AZ,Scottish-Style Ale,2017
Silver,McGarveys Scottish Ale,Oggi's Sports Brewhouse Pizza,San Clemente,CA,Scottish-Style Ale,2017
Bronze,Heavy 80 Scotch Ale,Coal Creek TAP,Laramie,WY,Scottish-Style Ale,2017
Gold,Guillaume,Pizza Port Ocean Beach,San Diego,CA,Session Beer,2017
Silver,Peacekeeper,Launch Pad Brewery,Aurora,CO,Session Beer,2017
Bronze,Stonefly Session Ale,Three Creeks Brewing Co.,Sisters,OR,Session Beer,2017
Gold,Rome City IPA,Brew Hub,Lakeland,FL,Session India Pale Ale,2017
Gold,So long and thank's for all the (smoked) fish!,The Sandlot Brewery at Coors Field,Denver,CO,Smoke Beer,2017
Silver,Smoke on the Lager,Chilly Water Brewing Co.,Indianapolis,IN,Smoke Beer,2017
Bronze,Croydon is Burning,Neshaminy Creek Brewing Co.,Croydon,PA,Smoke Beer,2017
Gold,Hefeweizen,Gordon Biersch Brewery Restaurant - Navy Yard,Broomfield,CO,South German-Style Hefeweizen,2017
Bronze,Hornet's Nest,The Olde Mecklenburg Brewery,Charlotte,NC,South German-Style Hefeweizen,2017
Gold,Barrel Aged Sweet Potato SoufflC3=A9 Rye<=/,Odd Side Ales,Grand Haven,MI,Specialty Beer,2017
Bronze,Agavamente,SouthNorte Beer Co.,San Diego,CA,Specialty Beer,2017
