name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size
Easter Elchies,Whiskies,2 oz, Single-malt Scotch whisky,1/2 oz, Cherry Heering,1/2 oz, Punt e Mes,1 oz, Orange Bitters, Brandied cherry,,,,Stir with ice and strain into chilled cocktail glass. Garnish with brandied cherry.,Cocktail Glass,6 or more ounces
Dufftown Flip,Whiskies,2 oz, Blended Scotch Whiskey,1/2 oz, Port,1/2 oz, Demerara Syrup,1/2 oz, Almond milk,1 oz, Whole Egg,, Freshly grated nutmeg,Shake without ice. Then shake with ice and strain into snifter. Top with nutmeg.,Brandy Snifter,8 to 12 ounces
Harvard Cooler,Brandy,2 oz, Apple Brandy,1/2 oz, Simple Syrup,, Soda water or ginger ale,, Orange and/or lemon zest spiral,,,,,Stir brandy and syrup in Collins glass. Add ice cubes and fill with soda water or ginger ale. Insert spiral of orange or lemon zest (or both) and dangle end(s) over rim of glass.,Collins Glass,14 to 16 ounces
The Duboudreau Cocktail,Whiskies,2 oz, Straight rye whiskey,3/4 oz, Dubonnet Rouge,1/4 oz, Fernet-Branca,1/4 oz, Elderflower liqueur, Lemon twist,,,,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Irish Whisky ,Cocktail Classics,1/2 oz, Mr. Boston Triple Sec,1/2 oz, Absinthe Substitute,1/4 oz, Maraschino,1 oz, Bitters,2 oz, Irish Whiskey,,,Stir with ice and strain into cocktail glass. Serve with an olive.,Cocktail Glass,6 or more ounces
Dubliner,Whiskies,2 oz, Irish Whiskey,1/2 oz, Sweet Vermouth,1/2 oz, Grand Marnier,2 oz, Orange Bitters," Orange twist, flamed",,,,Stir with ice and strain into chilled cocktail glass. Flame orange twist and add.,Cocktail Glass,6 or more ounces
Double Standard Sour,Whiskies,3/4 oz, Rye or bourbon whiskey,3/4 oz, Gin,1 oz, Fresh lemon juice,1/2 oz, White creme de menthe,1/2 oz, Grenadine,1/4 oz, Simple Syrup,Shake with ice and strain into chilled cocktail glass. Garnish with lemon and cherry.,Cocktail Glass,6 or more ounces
Dixie Whiskey Cocktail,Whiskies,2 oz, Bourbon whiskey,1/2 oz, White creme de menthe,1/2 oz, Triple Sec,1/4 oz, Simple Syrup,1 oz, Angostura Bitters,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Hill Billy Highball,Cocktail Classics,2 oz, Georgia Moon Corn Whiskey,, Mountain Dew,,,,,,,,,"Pour into highball glass over ice cubes, add a twist of lemon peel, and stir.",Highball Glass,7 to 10 ounces
The Titian,Vodka,1 oz, Orange-flavored vodka,1/2 oz, Grand Marnier,1 oz, Passion Fruit Juice,1/2 oz, Fresh Lime Juice,1/2 oz, Pomegranate syrup,, Fresh raspberry,Shake with ice and strain into chilled cocktail glass. Garnish with raspberry.,Cocktail Glass,6 or more ounces
Tiger Tanaka,Vodka,3 oz, Fresh cilantro leaves,1 oz, Slice peeled fresh ginger,2 oz, Citrus-flavored vodka,1/2 oz, Limoncello,3/4 oz, Pineapple Juice,,,Muddle cilantro and ginger in mixing glass. Add remaining ingredients and shake. Double-strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Grenadine Rickey,Cocktail Classics,1/2 oz, Juice of a Lime,1 1/2 oz, Grenadine,,,,,,,,,Pour into highball glass over ice cubes and fill with carbonated water. Stir. Put a slice of lime in glass.,Highball Glass,7 to 10 ounces
Thyme Collins,Vodka,2 oz, Citrus-flavored vodka,1 oz, Mint syrup,1 oz, Fresh lemon juice,1 oz, Thyme sprig,3 oz, Bitter lemon soda,2 oz, Long thyme sprigs,"Put first four ingredients in mixing glass, add ice, and shake well. Strain into ice-filled Collins glass. Top with bitter lemon soda and stir briefly. Garnish with long thyme sprigs.",Collins Glass,14 to 16 ounces
Tabby Cat,Vodka,2 oz, Dubonnet Rouge,1 oz, Orange-flavored vodka,2 oz, Orange Bitters,, Lemon twist,,,,,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
God Child,Cocktail Classics,1 oz, Amaretto di Saronno,1 oz, Mr. Boston Vodka,1 oz, Heavy cream,,,,,,,Shake well with cracked ice. Strain and serve in a champagne glass.,Champagne Flute,6 to 8 ounces
Sweet Maria,Vodka,1 oz, Vodka,1/2 oz, Amaretto,1/2 oz, half-and-half,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Dirty Harry,Whiskies,1 oz, Absinthe,2 oz, Straight rye whiskey,1/2 oz, Sweet Vermouth,1/4 oz, Maraschino liqueur, Maraschino cherry,,,,Swirl absinthe in chilled cocktail glass to coat inside; discard excess absinthe. Stir remaining ingredients with ice and strain into glass. Garnish with cherry.,Cocktail Glass,6 or more ounces
Harvard Cocktail,Brandy,1 1/2 oz, Brandy,3/4 oz, Sweet Vermouth,1/2 oz, Fresh lemon juice,1 oz, Grenadine,1 oz, Angostura Bitters,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Gin and Milk Punch,Cocktail Classics,1 oz, Powdered Sugar,2 oz, Mr. Boston Gin,1 oz, Milk,,,,,,,"Shake with ice, strain into collins glass, and sprinkle nutmeg on top.",Collins Glass,14 to 16 ounces
Surf Rider,Vodka,2 oz, Vodka,1/2 oz, Sweet Vermouth,2 oz, Fresh orange juice,1/2 oz, Fresh lemon juice,1/4 oz, Grenadine,," Orange half-wheel, maraschino cherry",Shake with ice and strain into ice-filled highball glass. Garnish with orange and cherry.,Highball Glass,7 to 10 ounces
Dinah Cocktail,Whiskies,1 1/2 oz, Bourbon whiskey,3/4 oz, Fresh lemon juice,1/2 oz, Simple Syrup,, Fresh mint leaf,,,,,Shake well with ice and strain into chilled cocktail glass. Garnish with mint.,Cocktail Glass,6 or more ounces
Tea Saronno,Cocktail Classics,6 oz,Hot Tea,1 1/2 oz, Amaretto di Saronno,1 oz, Whipped cream,,,,,,,"Pour hot tea into a stemmed glass, using a spoon in glass to prevent cracking. Add Amaretto di Saronno but do not stir. Top with chilled whipped cream.",Stem Glass,
The Summer Of Love,Vodka,2 oz, Orange-flavored vodka,2 oz, Rose water,1 oz, Lillet Blanc,1/4 oz, Black raspberry liqueur,,,,,Shake with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Devil's Soul,Whiskies,1 1/2 oz, Straight rye whiskey,1/2 oz, Mezcal,1/2 oz, Amaro,1/4 oz, Aperol,1/4 oz, Elderflower liqueur,," Orange twist, flamed",Stir with ice and strain into cocktail glass. Flame orange twist and add to glass.,Cocktail Glass,6 or more ounces
Deshler,Whiskies,1 1/2 oz, Straight rye whiskey,1/2 oz, Dubonnet Rouge,1/4 oz, Triple Sec,2 oz, Angostura Bitters, Lemon twist,,,,Stir with ice and strain into chilled champagne flute. Add lemon twist.,Champagne Flute,6 to 8 ounces
T.N.T. No. 1,Cocktail Classics,1 1/2 oz, Old Thompson Blended Whiskey,1 1/2 oz, Absinthe Substitute,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Stupid Cupid,Vodka,2 oz, Citrus-flavored vodka,1/2 oz, Sloe gin,1 oz, Simple Syrup,1 oz, Fresh lemon juice, Maraschino cherry,,,,Shake with ice and strain into chilled cocktail glass. Garnish with cherry.,Cocktail Glass,6 or more ounces
Derby,Whiskies,2 oz, Bourbon whiskey,1/4 oz, Benedictine,1 oz, Angostura Bitters,, Lemon twist,,,,,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Stockholm 75,Vodka,For glass," Lemon wedge, superfine sugar",3/4 oz, Citrus-flavored vodka,3/4 oz, Simple Syrup,3/4 oz, Fresh lemon juice,3 oz, Chilled Champagne,,,"Rim chilled cocktail glass with lemon and sugar. Shake vodka, syrup, and lemon juice with ice. Strain into glass. Fill with Champagne",Cocktail Glass,6 or more ounces
The Delmarva Cocktail,Whiskies,2 oz, Straight rye whiskey,1/2 oz, Dry Vermouth,1/2 oz, White creme de menthe,1/2 oz, Fresh lemon juice, Fresh mint sprigs,,,,Shake with ice and strain into chilled cocktail glass. Garnish with mint.,Cocktail Glass,6 or more ounces
Sputnik,Vodka,1 1/4 oz, Vodka,1 1/4 oz, Peach schnapps,3 oz, Fresh orange juice,3 oz, half-and-half, Peach slice,,,,Shake with ice until frothy and pour into red-wine glass. Garnish with peach.,Red-Wine Glass,12 to 24 ounces
Gotham,Brandy,1 oz, Absinthe or pastis,3 oz, Brandy,3 oz, Peach bitters,, Lemon twist,,,,,Pour absinthe into chilled old-fashioned glass and swirl to coat. Shake brandy and bitters with ice and strain into glass. Add lemon twist.,Old-Fashioned Glass,6 to 8 ounces
De La Louisiane,Whiskies,3/4 oz, Straight rye whiskey,3/4 oz, Sweet Vermouth,3/4 oz, Benedictine,3 oz, Absinthe or pastis,3 oz, Peychaud's Bitters,, Maraschino cherry,Stir with ice and strain into chilled cocktail glass. Garnish with cherry.,Cocktail Glass,6 or more ounces
The Debonair,Whiskies,2 1/2 oz, Single-malt Scotch whisky,1 oz, Ginger liqueur,, Lemon twist,,,,,,,Stir and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Soviet,Vodka,1 1/2 oz, Vodka,1/2 oz, Amontillado sherry,1/2 oz, Dry Vermouth,, Lemon twist,,,,,Shake with ice and strain into ice-filled old-fashioned glass. Add lemon twist.,Old-Fashioned Glass,6 to 8 ounces
Daisy Dueller,Whiskies,2 oz, Tennessee whiskey,3/4 oz, Fresh lemon juice,3/4 oz, Simple Syrup,1/2 oz, Triple Sec, Soda water,,, Orange and lemon wheels,Shake first four ingredients with ice. Strain into chilled highball glass. Add ice and fill with soda. Garnish with orange and lemon.,Highball Glass,7 to 10 ounces
Sonic Blaster,Vodka,1/2 oz, Vodka,1/2 oz, Light Rum,1/2 oz, Creme de banana,1 oz, Pineapple Juice,1 oz, Orange juice,1 oz, Cranberry Juice,Shake and pour into ice-filled Collins glass. Garnish with orange and lime.,Collins Glass,14 to 16 ounces
Creole Lady,Whiskies,1 1/2 oz, Bourbon whiskey,1 1/2 oz, Madeira,1 oz, Grenadine,, Maraschino cherry,,,,,Stir with ice and strain into chilled cocktail glass. Garnish with cherry.,Cocktail Glass,6 or more ounces
Rum Coooler,Cocktail Classics,1/2 tsp ,powdered sugar,2 oz, carbonated water,1 oz, Mr. Boston Rum,,ginger ale,spirals of lemon and orange peel,,,,"In collins glass, dissolve powdered sugar in carbonated water. Stir. Fill glass with ice and add rum. Fill with carbonated water or ginger ale and stir again. Insert a spiral of orange or lemon peel (or both) and dangle end over rim of glass.",Collins Glass,14 to 16 ounces
Siberian Sleighride,Vodka,1 1/4 oz, Vodka,3/4 oz, White creme de cacao,1/2 oz, White creme de menthe,3 oz, half-and-half, Shaved bittersweet chocolate,,,,Shake with ice and strain into chilled snifter. Sprinkle with chocolate shavings.,Brandy Snifter,8 to 12 ounces
Cotton Club Flip,Whiskies,2 oz, Vanilla-Infused Bourbon,1/2 oz, Honey-Currant Syrup,3/4 oz, Fresh Lime Juice,1 oz, Egg White,2 oz, Rhubarb bitters,, Stick of cotton candy,Shake first four ingredients without ice. Add ice and shake again. Strain into ice-filled old-fashioned glass. Top with bitters. Garnish with cotton candy.,Old-Fashioned Glass,6 to 8 ounces
Golden Dawn,Brandy,1 oz, Apple Brandy,1/2 oz, Apricot-Flavored Brandy,1/2 oz, Gin,1 oz, Fresh orange juice,1 oz, Grenadine,,,Shake first four ingredients with ice and strain into ice-filled oldfashioned glass. Add grenadine.,Old-Fashioned Glass,6 to 8 ounces
Sidecar,Cocktail Classics,1 oz, Cognac,1 oz, Triple Sec,1/2 oz, Fresh lemon juice,1 1/2 oz, Vodka,1 oz, Madeira,1/2 oz, Fresh orange juice and orange wheel,Shake with ice and strain into a chilled cocktail glass.,Cocktail Glass,6 or more ounces
Shalom,Vodka,1 1/2 oz, Vodka,1 oz, Madeira,1/2 oz, Fresh orange juice and orange wheel,2 oz, Bourbon Whiskey,3/4 oz, White creme de cacao,1/2 oz, Fresh lemon juice,Shake with ice and strain into ice-filled old-fashioned glass. Add orange wheel.,Old-Fashioned Glass,6 to 8 ounces
Commodore Cocktail,Whiskies,2 oz, Bourbon Whiskey,3/4 oz, White creme de cacao,1/2 oz, Fresh lemon juice,1 oz, Grenadine,,,,,Shake with ice and strain into chilled champagne flute.,Champagne Flute,6 to 8 ounces
Sea Breeze,Vodka,1 1/2 oz, Vodka,4 oz, Cranberry Juice,1 oz, Fresh grapefruit juice,, Lime wedge,,,,,Pour into ice-filled highball glass. Garnish with lime.,Highball Glass,7 to 10 ounces
Screwdriver,Vodka,1 1/2 oz, Vodka,5 oz, Orange juice,,,,,,,,,Pour into ice-filled highball glass. Stir well.,Highball Glass,7 to 10 ounces
Coffee Old-Fashioned,Whiskies,2 oz, Bourbon whiskey,3/4 oz, Simple Syrup,2 oz, Angostura Bitters,1 oz, Cold brewed coffee,2 oz, Soda water,," Orange wheel, maraschino cherry","Pour bourbon, syrup, bitters, and coffee into ice-filled old-fashioned glass and stir. Add soda water and stir again. Garnish with orange and cherry.",Old-Fashioned Glass,6 to 8 ounces
Dry Martini,Cocktail Classics,1 2/3 oz, Mr. Boston Gin,1/3 oz, Dry Vermouth,,,,,,,,,serve with an olive. ,,
Salty Dog,Vodka,For glass," Lemon wedge, coarse salt",1 1/2 oz, Vodka,5 oz, Grapefruit Juice,,,,,,,Rim highball glass with lemon and salt. Fill with ice. Add vodka and grapefruit juice and stir.,Highball Glass,7 to 10 ounces
Dr. Cook,Cocktail Classics,3/4 oz, Mr. Boston Gin,1 oz, Lemon Juice,1 oz, Maraschino,1 oz, Egg White,,,,,Shake with ice and strain into wine glass.,Red-Wine Glass,12 to 24 ounces
Dillatini Cocktail,Cocktail Classics,1 1/2 oz, Mr. Boston Gin,3/4 oz, Dry Vermouth,,,,,,,,,Serve with a dilly bean.,,
Chi-Town Flip,Whiskies,2 oz, Bourbon whiskey,3/4 oz, Tawny port,3/4 oz, Fresh lemon juice,3/4 oz, Vanilla liqueur and 3 oz,1/4 oz, Simple Syrup,1 oz, Whole Egg and grated nutmet,Shake first six ingredients without ice. Add ice and shake again. Strain into ice-filled Collins glass. Add bitters and top with nutmeg.,Collins Glass,14 to 16 ounces
Chef's Pain,Vodka,2 oz, Bourbon whiskey,3/4 oz, Fresh Lime Juice,1/2 oz, Blackberry liqueur,1/2 oz, B & B,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Sampan Shipwreck A,Vodka,1 1/2 oz, Vodka,1/2 oz, Orange liqueur,1/2 oz, Canned coconut milk,1/2 oz, Cold brewed chai tea,1/2 oz, orgeat or almond syrup,, Pineapple wedge,Shake well with ice. Double-strain into chilled cocktail glass. Perch pineapple on rim of glass.,Cocktail Glass,6 or more ounces
Chas,Whiskies,1 1/2 oz, Bourbon whiskey,1/4 oz, Amaretto,1/4 oz, Benedictine,1/4 oz, Triple Sec,1/4 oz, Orange curacao,, Orange twist,Stir with ice and strain into chilled cocktail glass. Add orange twist.,Cocktail Glass,6 or more ounces
Goat's Delight,Brandy,1 oz, Brandy,1 1/2 oz, Kirschwasser,1/4 oz, half-and-half,1 oz, orgeat or almond syrup,1 oz, Absinthe or pastis,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Russian Bear Cocktail,Vodka,1 oz, Vodka,1/2 oz, White creme de cacao,1/2 oz, half-and-half,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Character Development,Whiskies,2 oz, Scotch Whiskey,1/2 oz, Coconut liqueur,1/2 oz, Dry Sherry,2 oz, Grapefruit bitters, Grapefruit twist,,,,Stir with ice and strain into chilled cocktail glass. Add grapefruit twist.,Cocktail Glass,6 or more ounces
Ruby Red,Vodka,2 oz, Grapefruit-flavored vodka,1 1/2 oz, Triple Sec,1 1/2 oz, Fresh ruby red grapefruit juice,1 oz, Fresh orange juice, Grapefruit twist,,,,Shake with ice and strain into chilled cocktail glass. Add grapefruit twist.,Cocktail Glass,6 or more ounces
Chaplin,Whiskies,3/4 oz, Bourbon whiskey,3/4 oz, Dry Sherry,3/4 oz, Ramazzotti Amaro,1 oz, Triple Sec,2 oz, Orange Bitters,, Lemon twist,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Rouxby Red,Vodka,For glass,"For glass Lemon wedge, coarse salt",1 1/2 oz, Grapefruit-flavored vodka,1/4 oz, Fresh lemon juice,3/4 oz, Grapefruit Juice,1/2 oz, Campari,1/2 oz, Simple Syrup,Rim chilled cocktail glass with lemon and salt. Shake remaining ingredients with ice and strain into glass.,Cocktail Glass,6 or more ounces
Rosemary Clementine Sparkle,Vodka,1/4 oz, Clementine or mandarin orange,1 1/2 oz, Vodka,3/4 oz, Fresh lemon juice,3/4 oz, Honey Syrup,1 oz, Fresh rosemary sprig,1 oz, Chilled sparkling wine or Champagne,"Squeeze clementine into mixing glass. Twist rind and add to glass. Add vodka, lemon juice, syrup, and rosemary sprig. Add ice and shake. Strain into chilled cocktail glass. Top with sparkling wine or Champagne. Garnish with remaining rosemary sprig.",Cocktail Glass,6 or more ounces
Chapel Hill,Whiskies,2 oz, Bourbon whiskey,1/2 oz, Triple Sec,1/2 oz, Fresh lemon juice,, Orange twist,,,,,Shake with ice and strain into chilled cocktail glass. Add orange twist.,Cocktail Glass,6 or more ounces
Robin's Nest,Vodka,1 oz, Vodka,1 oz, Cranberry Juice,1/2 oz, White creme de cacao,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Chancellor Cocktail,Whiskies,1 1/2 oz, Blended Scotch Whiskey,1/2 oz, Dry Vermouth,1/2 oz, Tawny port,1 oz, Peychaud's Bitters, Lemon twist,,,,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Cafe di Saronno,Cocktail Classics,1 oz, Amaretto di Saronno,, Hot Black Coffee,,,,,,,,,Add 1 oz. Amaretto di Saronno to a cup of black coffee. Top with whipped cream.,Mug,
Carre Reprise,Whiskies,1 oz, Straight rye whiskey,1 oz, Cognac,1 oz, Sweet Vermouth,1/2 oz, Elderflower liqueur,1 oz, Angostura Bitters,1 oz, Peychaud's Bitters,Stir with ice. Strain into ice-filled old-fashioned glass. Add lemon twist.,Old-Fashioned Glass,6 to 8 ounces
Gilroy Cocktail,Brandy,3/4 oz, cherry-flavored brandy,3/4 oz, Gin,1/2 oz, Dry Vermouth,1/2 oz, Fresh lemon juice,1 oz, Orange Bitters,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Redhead Martini,Vodka,4 oz," Strawberries, cut into halves",3/4 oz, Fresh lemon juice,3/4 oz, Simple Syrup,1 1/2 oz, Citrus-flavored vodka,1 oz, Chilled Moscato d'Asti or sweet sparkling wine,, Strawberry,Muddle halved strawberries in mixing glass with lemon juice and syrup. Add vodka and ice and shake well. Strain into chilled cocktail glass. Add sparkling wine. Garnish with the strawberry.,Cocktail Glass,6 or more ounces
Red Apple,Vodka,1 1/2 oz, Vodka,1 oz, Apple juice,1/2 oz, Fresh lemon juice,1 oz, Grenadine,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Canal Street Daisy,Whiskies,1 oz, Blended Scotch Whiskey,1 oz, Orange juice,3/4 oz, Fresh lemon juice,1 oz, Soda water,1 oz, Orange wheel,,,Add Scotch and juices to ice-filled Collins glass and stir. Fill with soda water and stir again. Garnish with orange.,Collins Glass,14 to 16 ounces
Canadian Cocktail,Whiskies,1 1/2 oz, Canadian whisky,1/2 oz, Triple Sec,1/2 oz, Simple Syrup,1 oz, Angostura Bitters,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Purple Ruby,Vodka,1 1/2 oz, Vodka,1 1/2 oz, Pomegranate juice,1/2 oz, Grapefruit Juice,1/4 oz, Fresh Lime Juice,1/4 oz, Honey Syrup,, Grapefruit twist,Shake with ice and strain into chilled cocktail glass. Add grapefruit twist.,Cocktail Glass,6 or more ounces
Canadian Cherry,Whiskies,1 oz, Maraschino liqueur,1 1/2 oz, Canadian whisky,1/2 oz, Maraschino liqueur,1/2 oz, Fresh lemon juice,1/2 oz, Orange juice,,,Moisten rim of old-fashioned glass with maraschino liqueur. Fill with ice. Shake ingredients with ice and strain into glass.,Old-Fashioned Glass,6 to 8 ounces
Orange Smile,Cocktail Classics,1 oz, Egg,1 oz, Juice of Orange,1 oz, Grenadine,,,,,,,Shake with ice and strain into stem goblet.,Red-Wine Glass,12 to 24 ounces
Purple Passion Iced Tea,Vodka,1/2 oz, Vodka,1/2 oz, Light Rum,1/2 oz, Gin,1/2 oz, Black raspberry liqueur,1/2 oz, Simple Syrup,3/4 oz, Fresh lemon juice and 3 oz,Pour ingredients into ice-filled highball glass in order listed and stir. Add lemon twist.,Highball Glass,7 to 10 ounces
Canadian Breeze,Whiskies,1 1/2 oz, Canadian whisky,3/4 oz, Pineapple Juice,1/2 oz, Fresh lemon juice,1/4 oz, Maraschino liqueur,1 oz," Pineapple wedge, maraschino cherry",,,Shake with ice. Strain into ice-filled old-fashioned glass. Garnish with pineapple and cherry.,Old-Fashioned Glass,6 to 8 ounces
Purple Passion,Vodka,1 1/2 oz, Vodka,2 oz, Grapefruit Juice,2 oz, Concord grape juice,1/2 oz, Simple Syrup,,,,,Shake with ice. Pour with ice into Collins glass.,Collins Glass,14 to 16 ounces
Cameron's Kick Cocktail,Whiskies,3/4 oz, Blended Scotch Whiskey,3/4 oz, Irish Whiskey,1/2 oz, Fresh lemon juice,2 oz, Orange Bitters,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Georgia Mint Julep,Brandy,2 oz, Mint sprigs,1/4 oz, Simple Syrup,1 1/2 oz, Brandy,1 oz, Peach-flavored brandy, mint sprigs,,,,Muddle mint and syrup in Collins glass. Fill with ice. Add brandy and peach-flavored brandy. Stir and garnish with additional mint.,Collins Glass,14 to 16 ounces
California Lemonade,Whiskies,2 oz, Bourbon whiskey,1 oz, Fresh lemon juice,1 oz, Fresh Lime Juice,1 oz, Simple Syrup,1/4 oz, Grenadine,1 oz," Soda water, Orange and lemon wheels, maraschino cherry","Shake first five ingredients with ice. Strain into shaved ice-filled Collins glass. Fill with soda water and garnish with orange, lemon, and cherry. Serve with straws.",Collins Glass,14 to 16 ounces
Boston Side Car ,Cocktail Classics,3/4 oz, Mr. Boston Five Star Brandy,3/4 oz, Mr. Boston Rum,3/4 oz, Mr. Boston Triple Sec,1/2 oz, Juice of a Lime,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Cablegram,Whiskies,2 oz, Bourbon whiskey,1 oz, Fresh lemon juice,1/2 oz, Simple Syrup,1 oz, Ginger ale,,,,,Stir first three ingredients in ice-filled highball glass. Fill with ginger ale.,Highball Glass,7 to 10 ounces
Bull And Bear,Whiskies,1 1/2 oz, Bourbon whiskey,3/4 oz, Orange curacao,1 oz, Fresh lemon juice,1/4 oz, Grenadine," Maraschino cherry, orange half-wheel",,,,Shake with ice and strain into chilled cocktail glass. Garnish with cherry and orange.,Cocktail Glass,6 or more ounces
Brooklyn,Whiskies,1 1/2 oz, Rye or bourbon whiskey,1/2 oz, Sweet Vermouth,1 oz, Amer Picon or Torani Amer,1 oz, Maraschino liqueur,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Brighton Punch,Whiskies,3/4 oz, Bourbon whiskey,3/4 oz, Brandy,3/4 oz, Benedictine,2 oz, Orange juice,1 oz, Fresh lemon juice,," Soda water, orange and lemon wheels",Shake first five ingredients with ice and pour with ice into Collins glass. Fill with soda water and stir gently. Garnish with orange and lemon and serve with a straw.,Collins Glass,14 to 16 ounces
Bourbon Renewal,Whiskies,2 oz, Bourbon whiskey,1 oz, Fresh lemon juice,1/2 oz, Creme de Cassis,1/2 oz, Simple Syrup,1 oz, Angostura Bitters,,,Shake with ice. Strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces
Bourbon Highball,Whiskies,2 oz, Bourbon whiskey,, Ginger ale or soda water,, Lemon twist,,,,,,,Pour whiskey into ice-filled highball glass. Fill with ginger ale or soda water and stir. Add lemon twist.,Highball Glass,7 to 10 ounces
Bourbon And Elder,Whiskies,2 oz, Bourbon whiskey,3/4 oz, Elderflower liqueur,1 oz, Angostura Bitters,, Lemon twist,,,,,Stir with ice and strain into chilled old-fashioned glass. Add lemon twist.,Old-Fashioned Glass,6 to 8 ounces
Bourbon Crusta,Whiskies,For glass," Lemon wedge, superfine sugar,  Long, wide spiral of orange zest",2 oz, Bourbon whiskey,1/2 oz, Triple Sec,1 oz, Maraschino liqueur,1 oz, Fresh lemon juice,2 oz, Orange Bitters,Rim chilled cocktail glass with lemon and sugar. Curl the zest spiral in glass. Stir remaining ingredients with ice and strain into glass.,Cocktail Glass,6 or more ounces
Bourbon Cooler,Whiskies,2 1/2 oz, Bourbon whiskey,1/2 oz, Fresh lemon juice,1/2 oz, Grapefruit Juice,1/2 oz, Orgeat Syrup, Peach slice,,,,Shake with ice in mixing glass. Pour with ice into old-fashioned glass. Garnish with peach.,Old-Fashioned Glass,6 to 8 ounces
Froupe Cocktail,Brandy,1 1/2 oz, Brandy,1 1/2 oz, Sweet Vermouth,1 oz, Benedictine,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Bourbon A La Creme,Whiskies,2 oz, Bourbon whiskey,1 oz, Dark creme de cacao,1/2 oz, Vanilla liqueur,,,,,,,Stir ingredients with ice. Strain into chilled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces
The Bone,Whiskies,2 oz, Bourbon whiskey,1/2 oz, Fresh Lime Juice,1/2 oz, Simple Syrup,3 oz, Hot red pepper sauce,,,,,Shake with ice and strain into chilled shot glass.,Shot Glass,1 _ to 2 ounces
Bobby Burns Cocktail,Whiskies,1 1/2 oz, Blended Scotch Whiskey,1 1/2 oz, Sweet Vermouth,1 oz, Benedictine,, Lemon twist,,,,,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Bloody Scotsman,Whiskies,24 oz," Smoky Scotch whisky, such as Laphroaig",24 oz, Tomato Juice,24 oz, V8 cocktail juice,1c, ketchup,3 oz, Fresh Lime Juice,3 oz," Simple Syrup, 3/4 oz","Mix ingredients together, stirring often, in a large container, adding salt to taste. Chill for at least 24 hours before serving. Serve in icefilled old-fashioned glasses.",Old-Fashioned Glass,6 to 8 ounces
White Cargo Cocktail,Cocktail Classics,1 oz, Vanilla Ice Cream,1 oz, Mr. Boston Gin,,,,,,,,,Shake until thoroughly mixed and add water or sauterne if the mixture if too thick. Serve in an old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces
Blood and Sand,Whiskies,1/2 oz, Blended Scotch Whiskey,1/2 oz, cherry-flavored brandy,1/2 oz, Sweet Vermouth,1/2 oz, Orange juice,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
The Blinker,Whiskies,2 oz, Straight rye whisky,1 1/2 oz, Grapefruit Juice,1 oz, Raspberry Syrup,, Grapefruit twist or skewered raspberry,,,,,Shake and strain into cocktail glass. Garnish with grapefruit twist or raspberry.,Cocktail Glass,6 or more ounces
