,strDrink,dateModified,idDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIBA,strIngredient1,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strInstructions,strMeasure1,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strVideo
146,Blind Russian,2016-09-01 10:00:08,14356,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/wxuqvr1472720408.jpg,Collins glass,,Bailey's irish cream,,,,,,,Godiva liqueur,Kahlua,Butterscotch schnapps,Milk,,,,,Fill glass with ice. Add all liquers. Add milk. shake.,3/4 oz ,"
",,,,,,3/4 oz ,3/4 oz ,1/2 oz ," to fill
","
","
","
","
",
147,Bloody Maria,2017-09-02 22:57:41,11112,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yz0j6z1504389461.jpg,Old-fashioned glass,,Tequila,,,,,,,Tomato juice,Lemon juice,Tabasco sauce,Celery salt,Lemon,,,,Shake all ingredients (except lemon slice) with cracked ice and strain into an old-fashioned glass over ice cubes. Add the slice of lemon and serve.,1 oz , , ,,,,,2 oz ,1 dash ,1 dash ,1 dash ,1 slice , , , ,
148,Bloody Mary,2015-08-18 15:09:14,11113,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uyquuu1439906954.jpg,Old-fashioned glass,Contemporary Classics,Vodka,,,,,,,Tomato juice,Lemon juice,Worcestershire sauce,Tabasco sauce,Lime,,,,"Stirring gently, pour all ingredients into highball glass. Garnish.",1 1/2 oz , , ,,,,,3 oz ,1 dash ,1/2 tsp ,2-3 drops ,1 wedge , , , ,
149,Blue Lagoon,2017-09-02 22:58:25,11117,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vak0e51504389504.jpg,Highball glass,,Vodka,,,,,,,Blue Curacao,Lemonade,Cherry,,,,,,"Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve.",1 oz ,,,,,,,1 oz ,"
","
","
","
","
","
","
",
150,Blue Margarita,2015-08-18 14:51:53,11118,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qtvvyq1439905913.jpg,Cocktail glass,,Tequila,,,,,,,Blue Curacao,Lime juice,Salt,,,,,,"Rub rim of cocktail glass with lime juice. Dip rim in coarse salt. Shake tequila, blue curacao, and lime juice with ice, strain into the salt-rimmed glass, and serve.",1 1/2 oz ,,,,,,,1 oz ,1 oz ,Coarse , , , , , ,
151,Blue Mountain,2015-09-02 17:04:13,11119,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vsxssp1441209853.jpg,Old-fashioned glass,,Añejo rum,,,,,,,Tia maria,Vodka,Orange juice,Lemon juice,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass alomst filled with ice cubes.",1 1/2 oz , ,,,,,,1/2 oz ,1/2 oz ,1 oz ,1 tsp , , , , ,
152,Bluebird,2015-09-02 17:06:11,11120,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vxypsq1441209971.jpg,Cocktail glass,,Gin,,,,,,,Triple sec,Blue Curacao,Bitters,Maraschino cherry,Lemon peel,,,,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",1 1/2 oz , , ,,,,,1/2 oz ,1/2 oz ,2 dashes ,1 ,1 twist of , , , ,
153,Bob Marley,2016-10-22 13:51:04,13395,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg,Shot glass,,Midori melon liqueur,,,,,,,Jägermeister,Goldschlager,,,,,,,Layer in a 2 oz shot glass or pony glass,1/2 oz ,,,,,,,1/2 oz ,1/2 oz , , , , , ,,
154,Bobby Burns Cocktail,2017-01-14 16:33:28,11121,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/km6se51484411608.jpg,Cocktail glass,,Sweet Vermouth,,,,,,,Scotch,Benedictine,Lemon peel,,,,,,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,1 1/2 oz ,,,,,,,1 1/2 oz ,1 1/4 tsp ,1 twist of , , , , , ,
155,Boomerang,2017-09-02 22:59:12,11124,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg,Cocktail glass,,Gin,,,,,,,Dry Vermouth,Bitters,Maraschino liqueur,Maraschino cherry,,,,,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",2 oz , ,,,,,,1/2 oz ,2 dashes ,1/2 tsp ,1 , , , , ,
156,Boozy Snickers Milkshake,2017-09-07 12:36:04,17221,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/861tzm1504784164.jpg,Mason jar,,Vanilla Ice-Cream,,,,,,,Milk,Godiva liqueur,Whipped Cream,caramel sauce,chocolate sauce,Mini-snickers bars,,,"Place the snickers bars in a plastic bag and roll over them with a rolling pin until crushed. Add crushed snickers pieces, ice cream, milk, caramel sauce, chocolate sauce, and chocolate liquor to a blender. Blend until shake is thick and frothy. Pour into glasses and top with chocolate liquor and whip cream.",3 cups ,,,,,,,1 cup ,1/2 cup ,for topping,"4 tablespoons
","4 tablespoons
","15
",,,
157,Bora Bora,2016-09-06 23:43:31,12572,Non alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg,Highball glass,,Pineapple juice,,,,,,,Passion fruit juice,Lemon juice,Grenadine,,,,,,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.",10 cl ,,,,,,,6 cl ,1 cl ,1 cl , , , , , ,
158,Boston Sidecar,2017-09-02 16:26:02,11128,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qzs5d11504365962.jpg,Cocktail glass,,Light rum,,,,,,,Brandy,Triple sec,Lime,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",3/4 oz ,,,,,,,3/4 oz ,3/4 oz ,Juice of 1/2 , , , , , ,
159,Boston Sour,2017-09-02 16:28:20,11129,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/kxlgbi1504366100.jpg,Whiskey sour glass,,Blended whiskey,,,,,,,Lemon,Powdered sugar,Egg white,Lemon,Cherry,,,,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",2 oz , , ,,,,,Juice of 1/2 ,1 tsp ,1 ,1 slice ,1 , , , ,
160,Bourbon Sling,2017-09-02 16:31:00,11146,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3s36ql1504366260.jpg,Highball glass,,Sugar,,,,,,,Water,Lemon juice,Bourbon,Lemon peel,,,,,"In a shaker half-filled with ice cubes, combine the sugar, water, lemon juice, and bourbon. Shake well. Strain well. Strain into a highball glass. Garnish with the lemon twist.",1 tsp superfine , ,,,,,,2 tsp ,1 oz ,2 oz ,1 twist of , , , , ,
161,Bourbon Sour,2017-09-02 16:31:58,11147,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/dms3io1504366318.jpg,Whiskey sour glass,,Bourbon,,,,,,,Lemon juice,Sugar,Orange,Maraschino cherry,,,,,"In a shaker half-filled with ice cubes, combine the bourbon, lemon juice, and sugar. Shake well. Strain into a whiskey sour glass, garnish with the orange slice and cherry.",2 oz , ,,,,,,1 oz ,1/2 tsp superfine ,1 ,1 , , , , ,
162,Boxcar,2017-09-02 16:32:57,11149,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,Whiskey sour glass,,Gin,,,,,,,Triple sec,Lemon juice,Grenadine,Egg white,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",1 1/2 oz , ,,,,,,1 oz ,1 tsp ,1/2 tsp ,1 , , , , ,
163,Brain Fart,2017-09-02 23:01:42,17120,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg,Punch bowl,,Everclear,,,,,,,Vodka,Mountain Dew,Surge,Lemon juice,Rum,,,,Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,1 fifth , , ,,,,,1 fifth Smirnoff red label ,2 L ,2 L ,1 small bottle ,1 pint , , , ,
164,Brainteaser,2016-04-28 18:54:26,13405,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/ruywtq1461866066.jpg,Shot Glass,,Sambuca,,,,,,,Erin Cream,Advocaat,,,,,,,"layered erin first, then sambuca and then avocart(should sit in middle of other two. To drink: use a straw to suck up avocart then shot the rest and then suck fumes up through straw.",30 ml white ,,,,,,,30 ml ,5 ml , , , , , ,,
165,Bramble,2017-09-02 18:15:26,17210,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/lvzl3r1504372526.jpg,Old-Fashioned glass,New Era Drinks,Gin,,,,,,,lemon juice,Sugar syrup,Creme de Mure,,,,,,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",4 cl,,,,,,,1.5 cl,1 cl,1.5 cl,, , ,,,
166,Brandon and Will's Coke Float,2016-09-01 09:39:45,16447,Alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/xspxyr1472719185.jpg,Beer mug,,Vanilla ice-cream,,,,,,,Coca-Cola,Bourbon,,,,,,,"Scoop two large scoops of vanilla ice-cream into frosted beer mug. Next, add 2 ounces Maker's Mark. Then, pour in coke. Gently stir and enjoy.",2 scoops ,,,,,,,1 can ,2 oz , , , , , ,,
167,Brandy Alexander,2017-01-02 20:09:06,11016,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tvqxvr1483387746.jpg,Cocktail glass,,Brandy,,,,,,,Creme de Cacao,Light cream,Nutmeg,,,,,,Shake all ingredients (except nutmeg) with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,1 oz ,,,,,,,1 oz white ,1 oz ,"
","
","
","
","
","
",
168,Brandy Cobbler,2015-08-13 12:37:16,11157,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtvutr1439465836.jpg,Old-fashioned glass,,Sugar,,,,,,,Club soda,Lemon,Brandy,Maraschino cherry,Orange,,,,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the brandy. Stir well. Garnish with the cherry and the orange and lemon slices.",1 tsp superfine , , ,,,,,3 oz ,1 ,2 oz ,1 ,1 , , , ,
169,Brandy Flip,2017-09-02 16:34:21,11164,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/6ty09d1504366461.jpg,Whiskey sour glass,,Brandy,,,,,,,Egg,Sugar,Light cream,Nutmeg,,,,,"In a shaker half-filled with ice cubes, combine the brandy, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg.",2 oz , ,,,,,,1 whole ,1 tsp superfine ,1/2 oz ,1/8 tsp grated , , , , ,
170,Brandy Sour,2017-09-02 16:35:40,11170,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tu0mts1504366540.jpg,Whiskey sour glass,,Brandy,,,,,,,Lemon,Powdered sugar,Lemon,Cherry,,,,,"Shake brandy, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with the lemon slice, top with the cherry, and serve.",2 oz , ,,,,,,Juice of 1/2 ,1/2 tsp ,1/2 slice ,1 , , , , ,
171,Brave Bull Shooter,2016-09-08 15:23:45,13068,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/yrtypx1473344625.jpg,Shot glass,,Tequila,,,,,,,Tabasco sauce,,,,,,,,Pour Tabasco into bottom of shot glass and fill with tequila.,1/2 oz ,,,,,,,1/2 oz , , , , , ,,,
172,Bruce's Puce,2016-09-08 15:22:38,13066,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/svsvqv1473344558.jpg,Shot glass,,Grenadine,,,,,,,Kahlua,Bailey's irish cream,,,,,,,"In a regular-sized shot glass, layer, with a spoon or cherry, the grenadine , the Kahlua , then the Bailey's Irish cream in equal portions. It goes down really smooth ,and you don't even need a chaser. It tastes just like chocolate milk.(Really!)","
",,,,,,,"
","
","
","
","
","
",,,
173,Bruised Heart,2017-08-24 09:43:29,16998,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/7if5kq1503564209.jpg,Shot glass,,Vodka,,,,,,,Chambord raspberry liqueur,Peachtree schnapps,Cranberry juice,,,,,,"Pour all ingredients in a mixing tin over ice, stir, and strain into shot glass",1/2 oz ,,,,,,,1/2 oz ,1/2 oz ,1/2 oz , , , , , ,
174,Bubble Gum,2016-07-18 22:53:03,14730,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/spuurv1468878783.jpg,Shot glass,,Vodka,,,,,,,Banana liqueur,Orange juice,Peach schnapps,,,,,,Layer in order into a shot glass.,1/4 ,,,,,,,1/4 ,1/4 ,1/4 , , , , , ,
175,Buccaneer,2015-09-03 03:57:03,17035,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg,Beer pilsner,,Corona,,,,,,,Bacardi Limon,,,,,,,,Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,1 ,,,,,,,1 shot , , , , , ,,,
176,Bumble Bee #1,2016-04-28 18:59:38,14538,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/uwqpvv1461866378.jpg,Shot glass,,Bailey's irish cream,,,,,,,Kahlua,Sambuca,,,,,,,"This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!",1/3 oz ,,,,,,,1/3 oz ,1/3 oz , , , , , ,,
177,Butter Baby,2017-09-07 12:29:23,17220,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/1xhjk91504783763.jpg,Beer mug,,Vanilla Ice-Cream,,,,,,,Butterscotch schnapps,Milk,Vodka,,,,,,Blend together in a blender. Serve in a chilled Beer mug with Fresh Blueberries and caramel for topping.,2 scoops ,,,,,,,1 part ,full glass ,2 parts ,"
","
","
",,,
178,Cafe Savoy,2015-09-03 03:35:11,14181,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg,Coffee mug,,Coffee,,,,,,,Milk,Triple sec,Brandy,,,,,,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.","
",,,,,,,1/2 oz ,1/2 oz , , , , , ,,
179,Caipirinha,2016-07-21 09:42:01,11202,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xyrppt1469090521.jpg,Old-fashioned glass,Contemporary Classics,Sugar,,,,,,,Lime,Cachaca,,,,,,,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,2 tsp,,,,,,,1 ,2 1/2 oz , , , , , ,,
180,Caipirissima,2017-08-24 10:05:15,13206,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yd47111503565515.jpg,Collins Glass,,Lime,,,,,,,Sugar,White rum,Ice,,,,,,Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,2 ,,,,,,,2 tblsp ,2-3 oz ,crushed , , , , , ,
181,California Lemonade,2016-08-28 18:47:04,11205,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qvvxwy1472406424.jpg,Collins glass,,Blended whiskey,,,,,,,Lemon,Lime,Powdered sugar,Grenadine,Carbonated water,,,,Shake all ingredients (except carbonated water) with ice and strain into a collins glass over shaved ice. Fill with carbonated water and stir. Decorate with slices of orange and lemon. Add the cherry and serve with a straw.,2 oz ,"
","
",,,,,Juice of 1 ,Juice of 1 ,1 tblsp ,1/4 tsp ,"
","
","
","
",
182,California Root Beer,2016-09-01 09:45:26,14282,Alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/rsxuyr1472719526.jpg,Highball glass,,Kahlua,,,,,,,Galliano,Soda water,,,,,,,Put Kahlua and Galliano in highball glass fill with soda,3/4 oz ,,,,,,,3/4 oz ,Fill with , , , , , ,,
183,Campari Beer,2015-09-03 03:58:50,16047,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/xsqrup1441249130.jpg,Beer mug,,Lager,,,,,,,Campari,,,,,,,,Use a 15 oz glass. Add Campari first. Fill with beer.,1 bottle ,,,,,,,1 1/2 cl , , , , , ,,,
184,Caribbean Boilermaker,2016-02-03 15:01:06,17065,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/svsxsv1454511666.jpg,Beer pilsner,,Corona,,,,,,,Light rum,,,,,,,,Pour the Corona into an 18oz beer glass pour the rum into the beer.,1 bottle ,,,,,,,1 shot , , , , , ,,,
185,Caribbean Orange Liqueur,2016-08-31 19:19:30,12796,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/qwxuwy1472667570.jpg,Collins Glass,,Orange,,,,,,,Vodka,Sugar,,,,,,,"Pare very thinly the bright-colored rind from the oranges (no white). Blot the peel on paper towels to remove any excess oil. Put peel in a 4 cup screw-top jar. Add 2 cups vodka. Close jar. Store in a cool, dark place for 2 days or until the vodka has absorbed the flavor. Remove peel and add remaining vodka. Close jar and add remaining cup of vodka. Close the jar and store in a cool dark place at least 1 month to age.",3 large ,,,,,,,3 cups ,1 1/3 cup superfine , , , , , ,,
186,Casino,2017-09-02 11:36:19,17185,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg,Cocktail glass,Unforgettables,Gin,,,,,,,Maraschino liqueur,Lemon juice,Orange bitters,Cherry,,,,,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,2 oz , ,,,,,,1/4 tsp ,1/4 tsp ,2 dashes ,1 , , , , ,
187,Casino Royale,2017-09-02 16:38:19,11224,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg,Whiskey sour glass,,Gin,,,,,,,Lemon juice,Maraschino liqueur,Orange bitters,Egg yolk,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",2 oz , ,,,,,,1/2 oz ,1 tsp ,1 dash ,1 , , , , ,
188,Castillian Hot Chocolate,2017-02-20 15:06:36,12730,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/3nbu4a1487603196.jpg,Coffee mug,,Cocoa powder,,,,,,,Sugar,Cornstarch,Water,Milk,,,,,"Shift the cocoa and sugar together into a medium-sized saucepan. Dissolve the cornstarch in the water, and stir into the cocoa and sugar until it is a smooth paste. Begin heating the mixture, stirring it with a whisk, and gradually pour in the milk. Continue stirring with the whisk as you bring the liquid to a simmer. Allow the chocolate to simmer for about 10 minutes, stirring often, until it is thick, glossy and completely smooth. Serve steaming hot in coffee mug. Serves six.",1/2 cup , ,,,,,,1 cup ,7 tsp ,1/2 cup ,1 qt , , , , ,
189,Champagne Cocktail,2017-09-02 16:40:11,11227,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ehh5df1504366811.jpg,Champagne flute,Contemporary Classics,Champagne,,,,,,,Sugar,Bitters,Lemon peel,Cognac,,,,,Add dash of Angostura bitter onto sugar cube and drop it into champagne flute. Add cognac followed by gently pouring chilled champagne. Garnish with orange slice and maraschino cherry.,Chilled ,,,,,,,1 piece ,2 dashes ,1 twist of ,1 dash, , , , ,
190,Cherry Electric Lemonade,2015-12-28 10:45:48,17174,,Cocktail,http://www.thecocktaildb.com/images/media/drink/tquyyt1451299548.jpg,Pint glass,,Gin,,,,,,,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,1 oz,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,
191,Cherry Rum,2015-09-06 16:47:04,11239,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg,Cocktail glass,,Light rum,,,,,,,Cherry brandy,Light cream,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 1/4 oz ,,,,,,,1 1/2 tsp ,1 tblsp , , , , , ,,
192,Chicago Fizz,2015-09-02 16:29:23,11242,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qwvwqr1441207763.jpg,Highball glass,,Light rum,,,,,,,Port,Lemon,Powdered sugar,Egg white,Carbonated water,,,,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",1 oz ,"
","
",,,,,1 oz ,Juice of 1/2 ,1 tsp ,1 ,"
","
","
","
",
193,Chocolate Beverage,2017-02-20 15:06:26,12732,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/jbqrhv1487603186.jpg,Coffee mug,,Milk,,,,,,,Chocolate,Cinnamon,Egg,,,,,,"Boil milk in the top of a deep double boiler five minutes. Remove from fire and add chocolate, mixed with the cinnamon, a little at a time, beating with molinillo or egg beater after each addition. When the chocolate is thoroughly blended, heat to the boiling point. Place over bottom of double boiler and add eggs, whipping constantly, until they are thoroughly blended and the mixture is frothing. Serve in coffee mug. Serves eight.",6 cups ,,,,,,,3 oz Mexican ,1 tsp powdered ,3 , , , , , ,
194,Chocolate Black Russian,2016-09-01 10:07:59,11243,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yyvywx1472720879.jpg,Champagne flute,,Kahlua,,,,,,,Vodka,Chocolate ice-cream,,,,,,,Combine all ingredients in an electric blender and blend at a low speed for a short length of time. Pour into a chilled champagne flute and serve.,1 oz ,,,,,,,1/2 oz ,5 oz , , , , , ,,
195,Chocolate Drink,2017-02-20 15:06:20,12734,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/q7w4xu1487603180.jpg,Coffee mug,,Chocolate,,,,,,,Milk,Water,,,,,,,"Melt the bar in a small amount of boiling water. Add milk. Cook over low heat, whipping gently (with a whisk, i would assume) until heated well. Don't let it boil! Serve in coffee mug.",125 gr,,,,,,,3/4 L ,,,,,,,,
196,Chocolate Milk,2017-09-08 17:49:59,13328,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/j6q35t1504889399.jpg,Shot Glass,,Chocolate liqueur,,,,,,,Milk,Amaretto,,,,,,,"Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!",1/2 shot ,,,,,,,1/2 shot ,1 dash , , , , , ,,
197,Chocolate Monkey,2016-07-18 21:53:32,15615,Optional alcohol,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/tyvpxt1468875212.jpg,Parfait glass,,Banana liqueur,,,,,,,Creme de Cacao,Chocolate ice-cream,Chocolate syrup,Chocolate milk,Whipped cream,Cherry,Banana,,"blend liqeuors with ice-cream, milk and syrup. pour into parfait glass, top with whipped cream and garnish with banana and cherry.",1 shot , , , , ,,,2 shots ,2 scoops ,1 oz ,4 oz ,1 ,1 ,1 piece , ,
198,Citrus Coke,2016-11-18 12:46:54,17135,Alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/uyrvut1479473214.jpg,Highball Glass,,Bacardi Limon,,,,,,,Coca-Cola,,,,,,,,Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!,1 part ,,,,,,,2 parts , , , , , ,,,
199,City Slicker,2017-09-02 16:42:29,11251,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/dazdlg1504366949.jpg,Cocktail glass,,Brandy,,,,,,,Triple sec,Lemon juice,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",2 oz ,,,,,,,1/2 oz ,1 tblsp , , , , , ,,
200,Classic Old-Fashioned,2017-09-02 16:29:33,11145,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/anhof61504366173.jpg,Old-fashioned glass,,Bitters,,,,,,,Water,Sugar,Bourbon,Orange,Maraschino cherry,,,,"In an old-fashioned glass, muddle the bitters and water into the sugar cube, using the back of a teaspoon. Almost fill the glass with ice cubes and add the bourbon. Garnish with the orange slice and the cherry. Serve with a swizzle stick.",3 dashes , , ,,,,,1 tsp ,1 ,3 oz ,1 ,1 , , , ,
201,Clove Cocktail,2016-04-28 19:19:39,11255,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qxvtst1461867579.jpg,Cocktail glass,,Sweet Vermouth,,,,,,,Sloe gin,Wine,,,,,,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",1 oz ,,,,,,,1/2 oz ,1/2 oz Muscatel , , , , , ,,
202,Clover Club,2017-09-02 11:38:35,17186,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/t0aja61504348715.jpg,Cocktail glass,Unforgettables,Gin,,,,,,,Grenadine,Lemon,Egg white,,,,,,"Dry shake ingredients to emulsify, add ice, shake and served straight up.",1 1/2 oz ,,,,,,,2 tsp ,Juice of 1/2 ,1 , , , , , ,
203,Coffee Liqueur,2015-09-03 05:17:31,12798,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/ryvtsu1441253851.jpg,Collins Glass,,Coffee,,,,,,,Vanilla extract,Sugar,Vodka,Water,,,,,"Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks.",10 tblsp instant , ,,,,,,4 tblsp ,2 1/2 cups ,1 qt ,2 1/2 cups , , , , ,
204,Coffee-Vodka,2016-08-31 19:18:14,12800,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/qvrrvu1472667494.jpg,Collins Glass,,Water,,,,,,,Sugar,Coffee,Vanilla,Vodka,Caramel coloring,,,,"Boil water and sugar until dissolved. Turn off heat. Slowly add dry instant coffee and continue stirring. Add a chopped vanilla bean to the vodka, then combine the cooled sugar syrup and coffee solution with the vodka. Cover tightly and shake vigorously each day for 3 weeks. Strain and filter. Its also best to let the sugar mixture cool completely so the vodka won't evaporate when its added. If you like a smoother feel to the liqueur you can add about 1 teaspoon of glycerine to the finished product.",2 cups ,"
","
",,,,,2 cups white ,1/2 cup instant ,1/2 ,1 1/2 cup ,"
","
","
","
",
205,Coke and Drops,2016-09-01 09:42:47,17108,Non alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/yrtxxp1472719367.jpg,Cocktail glass,,Coca-Cola,,,,,,,Lemon juice,,,,,,,,"Take a glass, pour the Coke in the glass, then you take 7 drops of lemon juice. Granish with a lemon slice on the rim of the glass.",1 dl ,,,,,,,7 drops , , , , , ,,,
