season_name,season,full_name,castaway,age,city,state,personality_type,day,order,result,jury_status,original_tribe,swapped_tribe,swapped_tribe2,merged_tribe,total_votes_received,immunity_idols_won
Survivor: Kaoh Rong,32,Neal Gottlieb,Neal,38,Sausalito,California,INTP,19,8,Medically evacuated,NA,Chan Loh,Chan Loh,NA,Dara,0,0
Survivor: Kaoh Rong,32,Nick Maiorano,Nick,30,Redondo Beach,California,INTP,22,9,7th voted out,2nd jury member,Gondol,Chan Loh,NA,Dara,6,1
Survivor: Kaoh Rong,32,Debbie Wanner,Debbie,49,Reading,Pennsylvania,ENTP,24,10,8th voted out,3rd jury member,Chan Loh,Chan Loh,NA,Dara,5,0
Survivor: Kaoh Rong,32,Scot Pollard,Scot,40,Carmel,Indiana,ESTJ,27,11,9th voted out,4th jury member,To Tang,Gondol,NA,Dara,7,0
Survivor: Kaoh Rong,32,Julia Sokolowski,Julia,19,Boston,Massachusetts,ENFP,29,12,10th voted out,5th jury member,Gondol,Gondol,NA,Dara,7,2
Survivor: Kaoh Rong,32,Kyle Jason,Jason,31,Detroit,Michigan,ESTJ,32,13,11th voted out,6th jury member,To Tang,Chan Loh,NA,Dara,5,1
Survivor: Kaoh Rong,32,Joseph Del Campo,Joe,71,Vero Beach,Florida,ISTJ,34,14,Medically evacuated,7th jury member,Chan Loh,Gondol,NA,Dara,1,0
Survivor: Kaoh Rong,32,Cydney Gillon,Cydney,22,Douglasville,Georgia,ISTP,37,15,12th voted out,8th jury member,To Tang,Chan Loh,NA,Dara,5,1
Survivor: Kaoh Rong,32,Tai Trang,Tai,51,San Francisco,California,INFP,39,16,2nd runner-up,NA,Gondol,Gondol,NA,Dara,4,1
Survivor: Kaoh Rong,32,Aubry Bracco,Aubry,29,Cambridge,Massachusetts,INFJ,39,17,Runner-up,NA,Chan Loh,Gondol,NA,Dara,8,0
Survivor: Kaoh Rong,32,Michele Fitzgerald,Michele,24,Freehold,New Jersey,ESFP,39,18,Sole Survivor,NA,Gondol,Chan Loh,NA,Dara,1,2
Survivor: Cambodia,31,Vytas Baskauskas,Vytas,35,Santa Monica,California,INFJ,3,1,1st voted out,NA,Ta Keo,NA,NA,NA,6,0
Survivor: Cambodia,31,Shirin Oskooi,Shirin,32,San Francisco,California,ENFP,6,2,2nd voted out,NA,Ta Keo,NA,NA,NA,5,0
Survivor: Cambodia,31,Peih-Gee Law,Peih-Gee,37,San Francisco,California,ENTP,9,3,3rd voted out,NA,Ta Keo,Angkor,NA,NA,4,0
Survivor: Cambodia,31,Jeff Varner,Jeff,49,Greensboro,North Carolina,ENFP,11,4,4th voted out,NA,Ta Keo,Angkor,NA,NA,4,0
Survivor: Cambodia,31,Monica Padilla,Monica,30,Queens,New York,ENFP,13,5,5th voted out,NA,Bayon,Bayon,NA,NA,3,0
Survivor: Cambodia,31,Terry Deitz,Terry,55,Simsbury,Connecticut,ESTJ,13,6,WithdrewFamily,NA,Ta Keo,Ta Keo,NA,NA,0,0
Survivor: Cambodia,31,Yung Hwang,Woo,31,Newport Beach,California,ISFP,16,7,6th voted out,NA,Ta Keo,Angkor,Ta Keo,NA,5,0
Survivor: Cambodia,31,Kassandra McQuillen,Kass,43,Tehachapi,California,INTJ,19,8,7th voted out,1st jury member,Bayon,Ta Keo,Ta Keo,Orkun,6,0
Survivor: Cambodia,31,Andrew Savage,Andrew,51,San Jose,California,ESTJ,21,9,8th voted out,2nd jury member,Bayon,Angkor,Ta Keo,Orkun,4,0
Survivor: Cambodia,31,Kelly Wiglesworth,Kelly,37,Greensboro,North Carolina,ISFP,24,10,9th voted out,3rd jury member,Ta Keo,Bayon,Ta Keo,Orkun,8,0
Survivor: Cambodia,31,Ciera Eastin,Ciera,26,Salem,Oregon,INFP,26,11,10th voted out,4th jury member,Bayon,Ta Keo,Ta Keo,Orkun,10,0
Survivor: Cambodia,31,Stephen Fishbach,Stephen,36,New York City,New York,INTP,29,12,11th voted out,5th jury member,Bayon,Bayon,Bayon,Orkun,9,0
Survivor: Cambodia,31,Joe Anglim,Joe,26,Scottsdale,Arizona,ISFP,32,13,12th voted out,6th jury member,Bayon,Ta Keo,Bayon,Orkun,8,4
Survivor: Cambodia,31,Abi-Maria Gomes,Abi-Maria,35,Los Angeles,California,ESFP,35,14,13th voted out,7th jury member,Ta Keo,Angkor,Ta Keo,Orkun,14,0
Survivor: Cambodia,31,Kimmi Kappenberg,Kimmi,42,The Woodlands,Texas,ENFP,36,15,14th voted out,8th jury member,Bayon,Bayon,Bayon,Orkun,5,0
Survivor: Cambodia,31,Keith Nale,Keith,54,Keithville,Louisiana,ISTP,37,16,15th voted out,9th jury member,Bayon,Ta Keo,Bayon,Orkun,4,1
Survivor: Cambodia,31,Kelley Wentworth,Kelley,29,Seattle,Washington,ENTP,38,17,16th voted out,10th jury member,Ta Keo,Ta Keo,Bayon,Orkun,17,2
Survivor: Cambodia,31,Spencer Bledsoe,Spencer,22,Chicago,Illinois,INTJ,39,18,Co-runner-up,NA,Ta Keo,Bayon,Ta Keo,Orkun,11,3
Survivor: Cambodia,31,Latasha Fox,Tasha,38,St. Louis,Missouri,ENFJ,39,19,Co-runner-up,NA,Bayon,Angkor,Bayon,Orkun,8,0
Survivor: Cambodia,31,Jeremy Collins,Jeremy,37,Foxboro,Massachusetts,ESTJ,39,20,Sole Survivor,NA,Bayon,Bayon,Bayon,Orkun,3,1
Survivor: Worlds Apart,30,So Kim,So,31,Long Beach,California,INTJ,3,1,1st voted out,NA,Masaya,NA,NA,NA,4,0
Survivor: Worlds Apart,30,Vince Sly,Vince,32,Santa Monica,California,INFP,6,2,2nd voted out,NA,Nagarote,NA,NA,NA,3,0
Survivor: Worlds Apart,30,Nina Poersch,Nina,51,Palmdale,California,ISFJ,8,3,3rd voted out,NA,Nagarote,NA,NA,NA,4,0
Survivor: Worlds Apart,30,Lindsey Cascaddan,Lindsey,24,College Park,Florida,ENFP,11,4,4th voted out,NA,Escameca,NA,NA,NA,5,0
Survivor: Worlds Apart,30,Max Dawson,Max,37,Topanga,California,ENTP,14,5,5th voted out,NA,Masaya,Nagarote,NA,NA,5,0
Survivor: Worlds Apart,30,Joaquin Souberbielle,Joaquin,27,Valley Stream,New York,ISTP,16,6,6th voted out,NA,Masaya,Escameca,NA,NA,4,0
Survivor: Worlds Apart,30,Kelly Remington,Kelly,44,Grand Island,New York,ISTJ,19,7,7th voted out,NA,Escameca,Nagarote,NA,Merica,4,0
Survivor: Worlds Apart,30,Hali Ford,Hali,25,San Francisco,California,INFP,22,8,8th voted out,1st jury member,Nagarote,Nagarote,NA,Merica,8,0
Survivor: Worlds Apart,30,Joe Anglim,Joe,25,Scottsdale,Arizona,ISFP,24,9,9th voted out,2nd jury member,Nagarote,Escameca,NA,Merica,8,2
Survivor: Worlds Apart,30,Jenn Brown,Jenn,22,Long Beach,California,ESTP,27,10,10th voted out,3rd jury member,Nagarote,Nagarote,NA,Merica,18,0
Survivor: Worlds Apart,30,Shirin Oskooi,Shirin,31,San Francisco,California,ENFP,29,11,11th voted out,4th jury member,Masaya,Nagarote,NA,Merica,7,0
Survivor: Worlds Apart,30,Tyler Fredrickson,Tyler,33,Los Angeles,California,ENFP,32,12,12th voted out,5th jury member,Masaya,Escameca,NA,Merica,5,1
Survivor: Worlds Apart,30,Dan Foley,Dan,47,Gorham,Maine,ESTJ,35,13,13th voted out,6th jury member,Escameca,Escameca,NA,Merica,9,0
Survivor: Worlds Apart,30,Sierra Dawn Thomas,Sierra,27,Roy,Utah,ISFJ,37,14,14th voted out,7th jury member,Escameca,Escameca,NA,Merica,6,0
Survivor: Worlds Apart,30,Rodney Lavoie Jr.,Rodney,24,Boston,Massachusetts,ESTJ,38,15,15th voted out,8th jury member,Escameca,Escameca,NA,Merica,5,0
Survivor: Worlds Apart,30,Will Sims II,Will,41,Sherman Oaks,California,ISFP,39,16,Co-runner-up,NA,Nagarote,Nagarote,NA,Merica,4,0
Survivor: Worlds Apart,30,Carolyn Rivera,Carolyn,52,Tampa,Florida,ENTP,39,17,Co-runner-up,NA,Masaya,Nagarote,NA,Merica,9,2
Survivor: Worlds Apart,30,Mike Holloway,Mike,38,North Richland Hills,Texas,ESTP,39,18,Sole Survivor,NA,Escameca,Escameca,NA,Merica,4,5
Survivor: San Juan del Sur,29,Nadiya Anderson,Nadiya,28,Edgewater,New Jersey,ESFP,3,1,1st voted out,NA,Coyopa,NA,NA,NA,5,0
Survivor: San Juan del Sur,29,Val Collins,Val,35,Foxboro,Massachusetts,INTJ,6,2,2nd voted out,NA,Coyopa,NA,NA,NA,9,0
Survivor: San Juan del Sur,29,John Rocker,John,39,Atlanta,Georgia,ESTP,8,3,3rd voted out,NA,Coyopa,NA,NA,NA,5,0
Survivor: San Juan del Sur,29,Drew Christy,Drew,25,Winter Park,Florida,ESTP,10,4,4th voted out,NA,Hunahpu,NA,NA,NA,5,0
Survivor: San Juan del Sur,29,Kelley Wentworth,Kelley,28,Seattle,Washington,ENTP,13,5,5th voted out,NA,Hunahpu,Coyopa,NA,NA,4,0
Survivor: San Juan del Sur,29,Dale Wentworth,Dale,55,Ephrata,Washington,ISTJ,15,6,6th voted out,NA,Coyopa,Coyopa,NA,NA,8,0
Survivor: San Juan del Sur,29,Julie McGee,Julie,34,Atlanta,Georgia,ISFP,18,7,Quit,NA,Hunahpu,Hunahpu,NA,Huyopa,2,0
Survivor: San Juan del Sur,29,Josh Canfield,Josh,32,New York City,New York,INFJ,21,8,7th voted out,1st jury member,Coyopa,Hunahpu,NA,Huyopa,6,0
Survivor: San Juan del Sur,29,Jeremy Collins,Jeremy,36,Foxboro,Massachusetts,ESTJ,24,9,8th voted out,2nd jury member,Hunahpu,Hunahpu,NA,Huyopa,5,1
Survivor: San Juan del Sur,29,Wes Nale,Wes,23,Shreveport,Louisiana,ISTP,26,10,9th voted out,3rd jury member,Coyopa,Hunahpu,NA,Huyopa,2,0
Survivor: San Juan del Sur,29,Reed Kelly,Reed,31,New York City,New York,ENTJ,29,11,10th voted out,4th jury member,Hunahpu,Hunahpu,NA,Huyopa,10,1
Survivor: San Juan del Sur,29,Alec Christy,Alec,22,Winter Park,Florida,ISFP,32,12,11th voted out,5th jury member,Coyopa,Hunahpu,NA,Huyopa,4,0
Survivor: San Juan del Sur,29,Jon Misch,Jon,26,Waterford,Michigan,ESFP,35,13,12th voted out,6th jury member,Hunahpu,Coyopa,NA,Huyopa,8,1
Survivor: San Juan del Sur,29,Baylor Wilson,Baylor,20,Nashville,Tennessee,ESFP,37,14,13th voted out,7th jury member,Coyopa,Coyopa,NA,Huyopa,17,1
Survivor: San Juan del Sur,29,Keith Nale,Keith,53,Shreveport,Louisiana,ISTP,38,15,14th voted out,8th jury member,Hunahpu,Coyopa,NA,Huyopa,16,3
Survivor: San Juan del Sur,29,Missy Payne,Missy,47,Dallas,Texas,ESFJ,39,16,2nd runner-up,NA,Hunahpu,Coyopa,NA,Huyopa,3,0
Survivor: San Juan del Sur,29,Jaclyn Schultz,Jaclyn,25,Las Vegas,Nevada,ESFP,39,17,Runner-up,NA,Coyopa,Coyopa,NA,Huyopa,6,1
Survivor: San Juan del Sur,29,Natalie Anderson,Natalie,28,Edgewater,New Jersey,ESTP,39,18,Sole Survivor,NA,Hunahpu,Hunahpu,NA,Huyopa,0,1
Survivor: Cagayan,28,David Samson,David,45,Plantation,Florida,ENTJ,3,1,1st voted out,NA,Luzon,NA,NA,NA,4,0
Survivor: Cagayan,28,Garrett Adelstein,Garrett,27,Santa Monica,California,INTP,6,2,2nd voted out,NA,Luzon,NA,NA,NA,3,0
Survivor: Cagayan,28,Brice Johnston,Brice,27,Philadelphia,Pennsylvania,ENFP,8,3,3rd voted out,NA,Solana,NA,NA,NA,5,0
Survivor: Cagayan,28,J'Tia Taylor,J'Tia,31,Chicago,Illinois,ENTJ,11,4,4th voted out,NA,Luzon,NA,NA,NA,7,0
Survivor: Cagayan,28,Cliff Robinson,Cliff,46,Buffalo,New York,ISTP,14,5,5th voted out,NA,Aparri,Solana,NA,NA,4,0
Survivor: Cagayan,28,Lindsey Ogle,Lindsey,29,Kokomo,Indiana,ESFP,14,6,Quit,NA,Aparri,Solana,NA,NA,0,0
Survivor: Cagayan,28,Alexis Maxwell,Alexis,21,Addison,Illinois,ENFP,16,7,6th voted out,NA,Solana,Aparri,NA,NA,8,0
Survivor: Cagayan,28,Sarah Lacina,Sarah,29,Cedar Rapids,Iowa,ENTJ,19,8,7th voted out,1st jury member,Aparri,Aparri,NA,Solarrion,6,0
Survivor: Cagayan,28,Morgan McLeod,Morgan,21,San Jose,California,ISFP,22,9,8th voted out,2nd jury member,Solana,Aparri,NA,Solarrion,8,0
Survivor: Cagayan,28,LJ McKanas,LJ,34,Boston,Massachusetts,ISTP,25,10,9th voted out,3rd jury member,Solana,Solana,NA,Solarrion,8,0
Survivor: Cagayan,28,Jeremiah Wood,Jeremiah,34,Dobson,North Carolina,ISFP,28,11,10th voted out,4th jury member,Solana,Aparri,NA,Solarrion,9,0
Survivor: Cagayan,28,Jefra Bland,Jefra,22,Campbellsville,Kentucky,ISFJ,30,12,11th voted out,5th jury member,Solana,Solana,NA,Solarrion,9,0
Survivor: Cagayan,28,Latasha Fox,Tasha,37,St. Louis,Missouri,ENFJ,33,13,12th voted out,6th jury member,Luzon,Aparri,NA,Solarrion,4,3
Survivor: Cagayan,28,Trish Hegarty,Trish,48,Needham,Massachusetts,ENFJ,36,14,13th voted out,7th jury member,Aparri,Solana,NA,Solarrion,5,0
Survivor: Cagayan,28,Spencer Bledsoe,Spencer,21,Chicago,Illinois,INTJ,37,15,14th voted out,8th jury member,Luzon,Aparri,NA,Solarrion,8,3
Survivor: Cagayan,28,Kassandra McQuillen,Kass,41,Tehachapi,California,INTJ,38,16,15th voted out,9th jury member,Luzon,Aparri,NA,Solarrion,2,1
Survivor: Cagayan,28,Yung Hwang,Woo,29,Newport Beach,California,ISFP,39,17,Runner-up,NA,Aparri,Solana,NA,Solarrion,4,1
Survivor: Cagayan,28,Tony Vlachos,Tony,39,Jersey City,New Jersey,ESTP,39,18,Sole Survivor,NA,Aparri,Solana,NA,Solarrion,5,0
Survivor: Blood vs. Water,27,Laura Boneham,Laura B.,44,Indianapolis,Indiana,NA,1,1,1st voted out,NA,Tadhana,NA,NA,NA,10,0
Survivor: Blood vs. Water,27,Candice Cody,Candice,30,Washington,D.C.,ISTJ,1,2,2nd voted out,NA,Galang,NA,NA,NA,5,0
Survivor: Blood vs. Water,27,Rupert Boneham,Rupert,49,Indianapolis,Indiana,ESFJ,1,3,Switched,NA,Galang,NA,NA,NA,0,0
Survivor: Blood vs. Water,27,Marissa Peterson,Marissa,21,Chapel Hill,North Carolina,ESTJ,3,4,3rd voted out,NA,Tadhana,NA,NA,NA,10,0
Survivor: Blood vs. Water,27,Rachel Foulger,Rachel,33,Provo,Utah,ISFJ,6,5,4th voted out,NA,Tadhana,NA,NA,NA,5,0
Survivor: Blood vs. Water,27,Colton Cumbie,Colton,22,Collinsville,Alabama,ESFP,7,6,Quit,NA,Galang,NA,NA,NA,0,0
Survivor: Blood vs. Water,27,John Cody,John,30,Washington,D.C.,ISFJ,8,7,5th voted out,NA,Tadhana,NA,NA,NA,8,0
Survivor: Blood vs. Water,27,Brad Culpepper,Brad,44,Tampa,Florida,ESTJ,10,8,6th voted out,NA,Tadhana,NA,NA,NA,7,0
Survivor: Blood vs. Water,27,Laura Morett,Laura M.,43,Salem,Oregon,ENFJ,13,9,7th voted out,NA,Galang,NA,NA,NA,19,0
Survivor: Blood vs. Water,27,Kat Edorsson,Kat,23,Orlando,Florida,ENFP,16,10,8th voted out,NA,Galang,Galang,NA,NA,5,0
Survivor: Blood vs. Water,27,Laura Boneham,Laura B.,44,Indianapolis,Indiana,NA,18,11,9th voted out,NA,Tadhana,Galang,NA,NA,10,0
Survivor: Blood vs. Water,27,Aras Baskauskas,Aras,31,Santa Monica,California,INFP,21,12,10th voted out,1st jury member,Galang,Tadhana,NA,Kasama,7,0
Survivor: Blood vs. Water,27,Vytas Baskauskas,Vytas,33,Santa Monica,California,INFJ,22,13,11th voted out,2nd jury member,Tadhana,Galang,NA,Kasama,10,1
Survivor: Blood vs. Water,27,Tina Wesson,Tina,52,Robbinsville,North Carolina,ESFJ,24,14,12th voted out,NA,Galang,Galang,NA,Kasama,10,0
Survivor: Blood vs. Water,27,Laura Morett,Laura M.,43,Salem,Oregon,ENFJ,26,15,13th voted out,6th jury member,Galang,NA,NA,Kasama,19,0
Survivor: Blood vs. Water,27,Caleb Bankston,Caleb,26,Collinsville,Alabama,ISTP,29,16,14th voted out,3rd jury member,Tadhana,Tadhana,NA,Kasama,4,0
Survivor: Blood vs. Water,27,Katie Collins,Katie,25,New York City,New York,INTP,32,17,Eliminated,4th jury member,Tadhana,Galang,NA,Kasama,4,1
Survivor: Blood vs. Water,27,Hayden Moss,Hayden,27,Springtown,Texas,ESFP,35,18,15th voted out,5th jury member,Tadhana,Tadhana,NA,Kasama,8,0
Survivor: Blood vs. Water,27,Ciera Eastin,Ciera,24,Salem,Oregon,INFP,37,19,16th voted out,7th jury member,Tadhana,Tadhana,NA,Kasama,14,1
Survivor: Blood vs. Water,27,Tina Wesson,Tina,52,Robbinsville,North Carolina,ESFJ,38,20,17th voted out,8th jury member,Galang,Galang,NA,Kasama,10,0
Survivor: Blood vs. Water,27,Gervase Peterson,Gervase,43,Philadelphia,Pennsylvania,ESTP,39,21,2nd runner-up,NA,Galang,Tadhana,NA,Kasama,6,1
Survivor: Blood vs. Water,27,Monica Culpepper,Monica,42,Tampa,Florida,ESFJ,39,22,Runner-up,NA,Galang,Galang,NA,Kasama,6,3
Survivor: Blood vs. Water,27,Tyson Apostol,Tyson,34,Provo,Utah,ESTP,39,23,Sole Survivor,NA,Galang,Tadhana,NA,Kasama,2,2
Survivor: Caramoan,26,Francesca Hogi,Francesca,38,Brooklyn,New York,INFJ,3,1,1st voted out,NA,Bikal,NA,NA,NA,6,0
Survivor: Caramoan,26,Alexandra Pohevitz,Allie,25,Oceanside,New York,ESTP,5,2,2nd voted out,NA,Gota,NA,NA,NA,6,0
Survivor: Caramoan,26,Hope Driskill,Hope,23,Jefferson City,Missouri,ISFP,7,3,3rd voted out,NA,Gota,NA,NA,NA,8,0
Survivor: Caramoan,26,Shamar Thomas,Shamar,27,Brooklyn,New York,INFP,10,4,Medically evacuated,NA,Gota,NA,NA,NA,8,0
Survivor: Caramoan,26,Laura Alexander,Laura,23,Washington,D.C.,ENTP,10,5,4th voted out,NA,Gota,NA,NA,NA,6,0
Survivor: Caramoan,26,Brandon Hantz,Brandon,20,Katy,Texas,ESFP,13,6,5th voted out,NA,Bikal,NA,NA,NA,8,0
Survivor: Caramoan,26,Matt Bischoff,Matt,38,Cincinnati,Ohio,INFP,16,7,6th voted out,NA,Gota,Bikal,NA,NA,4,0
Survivor: Caramoan,26,Julia Landauer,Julia,21,Stanford,California,ISTJ,19,8,7th voted out,NA,Gota,Bikal,NA,NA,9,0
Survivor: Caramoan,26,Corinne Kaplan,Corinne,33,Los Angeles,California,ENTJ,22,9,8th voted out,NA,Bikal,Bikal,NA,Enil Edam,7,0
Survivor: Caramoan,26,Michael Snow,Michael,44,New York City,New York,INFJ,25,10,9th voted out,1st jury member,Gota,Bikal,NA,Enil Edam,10,0
Survivor: Caramoan,26,Phillip Sheppard,Phillip,54,Santa Monica,California,ESTJ,28,11,10th voted out,2nd jury member,Bikal,Bikal,NA,Enil Edam,5,0
Survivor: Caramoan,26,Malcolm Freberg,Malcolm,25,Hermosa Beach,California,ENTP,30,12,11th voted out,3rd jury member,Bikal,Gota,NA,Enil Edam,11,0
Survivor: Caramoan,26,Reynold Toepfer,Reynold,30,San Francisco,California,ESTP,31,13,12th voted out,4th jury member,Gota,Gota,NA,Enil Edam,9,1
Survivor: Caramoan,26,Andrea Boehlke,Andrea,23,New York City,New York,ENFP,33,14,13th voted out,5th jury member,Bikal,Gota,NA,Enil Edam,13,1
Survivor: Caramoan,26,Brenda Lowe,Brenda,29,Miami,Florida,INTJ,36,15,14th voted out,6th jury member,Bikal,Gota,NA,Enil Edam,5,1
Survivor: Caramoan,26,Erik Reichenbach,Erik,27,Santa Clarita,California,INTP,36,16,Medically evacuated,7th jury member,Bikal,Gota,NA,Enil Edam,2,1
Survivor: Caramoan,26,Edward Fox,Eddie,23,East Brunswick,New Jersey,ESFP,38,17,15th voted out,8th jury member,Gota,Gota,NA,Enil Edam,16,0
Survivor: Caramoan,26,Sherri Biethman,Sherri,41,Boise,Idaho,ESFJ,39,18,Co-runner-up,NA,Gota,Gota,NA,Enil Edam,6,0
Survivor: Caramoan,26,Dawn Meehan,Dawn,42,South Jordan,Utah,ESFJ,39,19,Co-runner-up,NA,Bikal,Bikal,NA,Enil Edam,2,1
Survivor: Caramoan,26,John Cochran,Cochran,25,Washington,D.C.,INTP,39,20,Sole Survivor,NA,Bikal,Bikal,NA,Enil Edam,0,4
Survivor: Philippines,25,Zane Knight,Zane,28,Danville,Virginia,ENTP,3,1,1st voted out,NA,Matsing,NA,NA,NA,5,0
Survivor: Philippines,25,Roxanne Morris,Roxy,28,Brooklyn,New York,ESFP,6,2,2nd voted out,NA,Matsing,NA,NA,NA,4,0
Survivor: Philippines,25,Angie Layton,Angie,20,Provo,Utah,INFP,8,3,3rd voted out,NA,Matsing,NA,NA,NA,4,0
Survivor: Philippines,25,Russell Swan,Russell,45,Glenside,Pennsylvania,ESFJ,10,4,4th voted out,NA,Matsing,NA,NA,NA,4,0
Survivor: Philippines,25,Dana Lambert,Dana,32,Winston-Salem,North Carolina,ISTP,12,5,Quit,NA,Kalabaw,Kalabaw,NA,NA,0,0
Survivor: Philippines,25,Sarah Dawson,Dawson,28,Silver Spring,Maryland,ENFP,13,6,5th voted out,NA,Kalabaw,Kalabaw,NA,NA,5,0
Survivor: Philippines,25,Katie Hanson,Katie,22,Newark,Delaware,ENTP,16,7,6th voted out,NA,Kalabaw,Kalabaw,NA,NA,4,0
Survivor: Philippines,25,Roberta Saint-Amour,RC,27,New York City,New York,ENTJ,19,8,7th voted out,1st jury member,Tandang,Tandang,NA,Dangrayne,4,0
Survivor: Philippines,25,Jeff Kent,Jeff,44,Austin,Texas,ISTP,22,9,8th voted out,2nd jury member,Kalabaw,Kalabaw,NA,Dangrayne,5,0
Survivor: Philippines,25,Artis Silvester,Artis,53,Terrytown,Louisiana,ISTJ,25,10,9th voted out,3rd jury member,Tandang,Tandang,NA,Dangrayne,5,0
Survivor: Philippines,25,Peter Yurkowski,Pete,24,Holmdel,New Jersey,INTP,27,11,10th voted out,4th jury member,Tandang,Tandang,NA,Dangrayne,9,0
Survivor: Philippines,25,Jonathan Penner,Jonathan,50,Los Angeles,California,ENTP,30,12,11th voted out,5th jury member,Kalabaw,Kalabaw,NA,Dangrayne,14,1
Survivor: Philippines,25,Carter Williams,Carter,23,Shawnee,Kansas,ISFP,33,13,12th voted out,6th jury member,Kalabaw,Kalabaw,NA,Dangrayne,5,2
Survivor: Philippines,25,Abi-Maria Gomes,Abi-Maria,32,Los Angeles,California,ESFP,36,14,13th voted out,7th jury member,Tandang,Tandang,NA,Dangrayne,9,0
Survivor: Philippines,25,Malcolm Freberg,Malcolm,25,Hermosa Beach,California,ENTP,38,15,14th voted out,8th jury member,Matsing,Tandang,NA,Dangrayne,6,2
Survivor: Philippines,25,Lisa Whelchel,Lisa,49,Dallas,Texas,INFP,39,16,Co-runner-up,NA,Tandang,Tandang,NA,Dangrayne,0,0
Survivor: Philippines,25,Michael Skupin,Michael,50,White Lake,Michigan,ESFJ,39,17,Co-runner-up,NA,Tandang,Tandang,NA,Dangrayne,0,2
Survivor: Philippines,25,Denise Stapley,Denise,41,Cedar Rapids,Iowa,INFJ,39,18,Sole Survivor,NA,Matsing,Kalabaw,NA,Dangrayne,6,1
Survivor: One World,24,Kourtney Moon,Kourtney,29,Austin,Texas,ISFP,3,1,Medically evacuated,NA,Salani,NA,NA,NA,0,0
Survivor: One World,24,Nina Acosta,Nina,51,Clovis,California,ISTJ,5,2,1st voted out,NA,Salani,NA,NA,NA,6,0
Survivor: One World,24,Matt Quinlan,Matt,33,San Francisco,California,ENTJ,8,3,2nd voted out,NA,Manono,NA,NA,NA,10,0
Survivor: One World,24,Bill Posley,Bill,28,Venice,California,ENFP,11,4,3rd voted out,NA,Manono,NA,NA,NA,8,0
Survivor: One World,24,Monica Culpepper,Monica,41,Tampa,Florida,ESFJ,14,5,4th voted out,NA,Salani,Manono,NA,NA,5,0
Survivor: One World,24,Colton Cumbie,Colton,21,Monroeville,Alabama,ESFP,16,6,Medically evacuated,NA,Manono,Manono,NA,NA,1,0
Survivor: One World,24,Jonas Otsuji,Jonas,37,Lehi,Utah,ENTP,20,7,5th voted out,1st jury member,Manono,Manono,NA,Tikiano,10,0
Survivor: One World,24,Michael Jefferson,Michael,30,Seattle,Washington,ISTJ,22,8,6th voted out,2nd jury member,Manono,Salani,NA,Tikiano,9,0
Survivor: One World,24,Jay Byars,Jay,25,Gaffney,South Carolina,ISFP,25,9,7th voted out,3rd jury member,Manono,Salani,NA,Tikiano,5,1
Survivor: One World,24,Leif Manson,Leif,27,San Diego,California,ISFP,27,10,8th voted out,4th jury member,Manono,Manono,NA,Tikiano,5,0
Survivor: One World,24,Troy Robertson,Troyzan,50,Miami,Florida,ESFP,30,11,9th voted out,5th jury member,Manono,Salani,NA,Tikiano,6,2
Survivor: One World,24,Kat Edorsson,Kat,22,Orlando,Florida,ENFP,33,12,10th voted out,6th jury member,Salani,Salani,NA,Tikiano,7,0
Survivor: One World,24,Greg Smith,Tarzan,64,Houston,Texas,INTP,36,13,11th voted out,7th jury member,Manono,Manono,NA,Tikiano,16,0
Survivor: One World,24,Alicia Rosa,Alicia,25,Chicago,Illinois,ESTJ,37,14,12th voted out,8th jury member,Salani,Manono,NA,Tikiano,5,1
Survivor: One World,24,Christina Cha,Christina,29,Hollywood,California,INFP,38,15,13th voted out,9th jury member,Salani,Manono,NA,Tikiano,9,0
Survivor: One World,24,Chelsea Meissner,Chelsea,26,Charleston,South Carolina,ISFP,39,16,2nd runner-up,NA,Salani,Salani,NA,Tikiano,4,1
Survivor: One World,24,Sabrina Thompson,Sabrina,33,Brooklyn,New York,ENFJ,39,17,Runner-up,NA,Salani,Salani,NA,Tikiano,2,0
Survivor: One World,24,Kim Spradlin,Kim,29,San Antonio,Texas,INFJ,39,18,Sole Survivor,NA,Salani,Salani,NA,Tikiano,3,4
Survivor: South Pacific,23,Semhar Tadesse,Semhar,24,Los Angeles,California,ENFP,3,1,1st voted out,NA,Savaii,NA,NA,NA,8,0
Survivor: South Pacific,23,Christine Shields Markoski,Christine,39,Merrick,New York,ESTP,5,2,2nd voted out,NA,Upolu,NA,NA,NA,4,0
Survivor: South Pacific,23,Mark Caruso,Papa Bear,48,Forest Hills,New York,ESFJ,8,3,3rd voted out,NA,Savaii,NA,NA,NA,6,0
Survivor: South Pacific,23,Stacey Powell,Stacey,44,Grand Prairie,Texas,ISTJ,11,4,4th voted out,NA,Upolu,NA,NA,NA,10,0
Survivor: South Pacific,23,Elyse Umemoto,Elyse,27,Las Vegas,Nevada,ENFP,14,5,5th voted out,NA,Savaii,NA,NA,NA,3,0
Survivor: South Pacific,23,Mikayla Wingle,Mikayla,22,Tampa,Florida,ISFP,16,6,6th voted out,NA,Upolu,NA,NA,NA,4,0
Survivor: South Pacific,23,Oscar Lusth,Ozzy,29,Venice,California,ISFP,18,7,7th voted out,NA,Savaii,NA,NA,NA,17,2
Survivor: South Pacific,23,Keith Tollefson,Keith,26,Edina,Minnesota,ISFP,21,8,8th voted out,2nd jury member,Savaii,NA,NA,Te Tuna,12,0
